※これは,NEW_GAME！
りん,あっ、コウちゃん！？
ひふみ,！？
青葉,八神さん、大丈夫ですか！？
コウ,………
はじめ,起きた。大丈夫なようだね…
ゆん,や、八神さんっ！？す、すみｍコウゆ～ん～。は、はいぃっ！？
コウ,私に当てたこと、後悔させてやる～！くらえーー！！
ゆん,わぁっ！？
りん,あっ………きゃああっ！？
コウ,あっ、やべぇっ！？
ひふみ,りんちゃんっ！？
青葉,遠山さんっ！？
ゆん,ど、どないしよっ、ウチが避けたばかりに……！！
りん,………
はじめ,あっ、遠山さんが起きました！
コウ,ごめん、りんっ！？ゆんに当てるつもｒりんコ～ウ～ち～ゃ～ん。ひぇぇっ！？
りん,どうして私に当てたのかしら～？
コウ,ち、違う！！これはゆんが避けたせいでっ！？
りん,ゆんちゃんが避けた事もだけど、一番悪いのはコウちゃん！！貴方が…私がいる事も考えずに枕を投げるからでしょーーーー！！！
コウ,うわぁっ！？
ひふみ,えっ………っ！？
りん,大変っ、ひふみちゃんにっ！？
青葉ゆんはじめ,ひふみ先輩！？
コウ,ひふみん！大丈夫？
ひふみ,………
コウ,ひふみん？
ひふみ,…むぅ～///
りん,ひ、ひふみ、ちゃん…？
ひふみ,りんちゃん……ひどいっ
りん,うぅっ、ごめんなさい。私がコウちゃんに向けて投げたつもりが誤って…
ひふみ,………むぅ～～。きゃあっ！？
青葉,あっ………きゃああっ！？
ひふみ,あっ、あ、青葉ちゃん…に……！？
りん,青葉ちゃん！？
コウ,おい、大丈夫か？
青葉,………いてて
はじめ,あっ、起きた！
ゆん,大丈夫、青葉ちゃん？
青葉,はい。なんとか！
ひふみ,あ、青葉ちゃん……
青葉,ひふみ先輩？
ひふみ,ごめんなさいっ！！！
青葉,えっ？
ひふみ,わ、私が…青葉ちゃんに…枕を……当てて…。ごめんね、青葉…ちゃん！！お願い…だから…嫌いに…ならないで…ね……
青葉,そ、そんなぁっ！？そこまで落ち込まなくても大丈夫ですよ、ひふみ先輩！？
りん,青葉ちゃん、ひふみちゃんごめんなさい！私がコウちゃんに向かって投げた枕をひふみちゃんに当てなければ、ひふみちゃんも枕を投げて青葉ちゃんに当てることもなかったのに…
青葉,と、遠山さんっ、別に私は気にしていませんので、本当に大丈夫ですよっ！？。でも、枕投げの原因を作ったはじめさんに…
はじめ,えっ？
青葉,枕投げ返しです！
はじめ,イタッ！？
ゆん,なっ！？
はじめ,イタタッ。青葉ちゃん、何するのさ！？
青葉,仕返しです。はじめさんが枕投げをしなければ順番に枕投げをしなくて済んだのですから！
ゆん,あぁ…
りん,そういう事ね
コウ,ってか、青葉も意外にやる時はやるんだな……
ひふみ,青葉ちゃん…意地悪…になる時は……なるの…かな
りん,それじゃあ、電気消すわよ
青葉たち,は～い。
りん,おやすみなさい
青葉たち,おやすみなさ～い
青葉,どうしよう…なんだか眠れなくなって…。あっ！？。ヤバい、くしゃみが……ハッ、ハッ……お、抑えないとっ！？ムググッ！！！。あっ////
コウりんひふみはじめゆん,っ！？
りん,な、何いまのっ！？///
ひふみ,っ///
ゆん,は、恥ずい音がっ！///
はじめ,屁の音っ！？
コウ,今のは私じゃないぞっ！？はじめか？
はじめ,私じゃないですよっ！？///あっ、もしかして、ゆん？
ゆん,ウチがするわけないやろっ！？///もしや、ひふみ先輩か、遠山さんがっ？
ひふみ,ち、違う…よっ///
りん,私も違うわよっ！？///
コウ,じゃあ、一体……あっ！？
青葉,……っ///
りん,もしかして、今の青葉ちゃんが…///
青葉,………///
コウ,おーい、青葉ー！布団から顔を出して、正直に答えろ？
青葉,………。……はい///
はじめ,マジでっ！？
青葉,そ、その……くしゃみが出そうだったのでそれを抑えていたら、つい力が入っちゃったもので……///
ゆん,なんや、そういう事かいな！
ひふみ,あ、青葉ちゃん…人間…誰に…だって…過ち…という…ものは…あるから……///
青葉,うぅ……本当にすみません、でした///
りん,うぅん。ひふみちゃんの言った通り。さっきの事は誰にだってあるもの、気にしてないわよ♪
青葉,////
コウ,んじゃあ、分かった所で皆、さっさと寝るぞー！！
青葉,う～ん、急にトイレに行きたくなって……
コウ,ZZ
りん,すぅーZZ
ゆん,ムニャムニャ～ZZ
はじめ,くぅ～ZZ
ひふみ,ZZZ
青葉,皆さん、寝てますので、静かに部屋を出ましょう……
コウ,う～んZZZ
青葉,わぁっ！？や、八神さんの手に私の足が引っ掛かって……お、とととっ！！？？。おっと！？
はじめ,うぐっ！？
青葉,あっと！？
ゆん,うぅんっ！？
青葉,さっと！？
コウ,おわぁっ！？
青葉,ヤバい、はじめさんとゆんさん、八神さんの顔をっ！？
はじめ,何だ？今、私の顔に何か当たったぞ！？
ゆん,ウチもや！？
コウ,誰だ！？
青葉,……すみませんっ///
ひふみ,ZZZ
りん,すぅーZZ
青葉,ZZZ
コウ,ZZ
青葉,う～ん…ZZ
コウ,イテッ！？。青葉か…。しょうがない奴だな！
青葉,ZZ
コウ,これでよしっと……ZZ
青葉,う～ん…ZZ
コウ,イタッ！？。ったく、青葉のヤツ、なんでこんなに寝相が悪いんだよ…
青葉,ZZZ…
コウ,う～ん。トイレ……んっ？
青葉,ZZZ
コウ,うわああぁぁっー！？
りんひふみはじめゆん,！？
りん,う～ん。コウちゃん、どうしたの～？
コウ,あっ、りん。それにひふみん、ゆんにはじめも起きたか！？
はじめ,そりゃあ、部屋に響くぐらいの悲鳴聞いたら起きますよ…？
ひふみ,眠い……
ゆん,なんなんですかっ…？
コウ,青葉が下着のまま寝てるんだよっ！！！
ひふみ,あっ！？///
りん,あらっ、ほんとだわっ！？///
はじめ,寝相が悪くて布団から転がり出るうちに浴衣の帯が外れてこうなったんですかね？
ゆん,それやったら、なんちゅう寝相の悪さやっ！？
青葉,ふわぁ～！！！良い目覚めですね♪
コウ,ふわぁ～、ねみぃ～……
りん,あまり寝た気がしないわね……
ひふみ,………
はじめ,う～ん…
ゆん,あかん、まだ眠いわ…
青葉,あれっ、皆さん、どうしたんですかっ！？眠そうですし、それに目にクマがっ！？
りん,あっ、大丈夫よ……。気にしてないで……
青葉,そうですか？
ゆん,昨日…寝てる青葉ちゃんに浴衣を着せて何とか布団に戻した所まではええけど…
はじめ,それからずっと、青葉ちゃんの下着の事とかが妙に記憶に残っちゃって…
ひふみ,眠れなかった……///
コウ,結局、青葉に振り回されてしまった……
青葉,♪
コウりんひふみはじめゆん,………
うみこ,おや、涼風さん以外はやけにテンションが低め、ですね？
コウ,おっ、うみごん……イタッ！？
うみこ,うみこです！何ですか、うみごんって！！
りん,青葉ちゃん以外、私含めて皆睡眠不足なの。それで元気がないのよ……
うみこ,りんさんまで珍しいですね？昨日の夜、何かありましたか？
ゆん,べ、別に大したことは……
うみこ,そうですか。
はじめ,あれっ、そういえば、葉月さんがいないですね？
うみこ,………
コウ,おっ、そういえば、そうだな？
うみこ,………
りん,うみこちゃん、何か知ってるの？
うみこ,はぁ……実は、昨日寝る前にウィスキーを飲み過ぎたようでして……
ひふみ,成る程……
葉月,うぅ～、頭がぁ～……
もずく,うにゃああー
青葉,それは大変ですねっ！？
うみこ,まったくです。こんな時でも迷惑を掛けるとは、これは帰ったら少々お灸を据えないといけないですね。
青葉,いよいよ社員旅行の夜も今日で最後。明日には東京に帰るとなると寂しいですね…
ひふみ,うん……
ゆん,あっという間やったなぁ～
りん,そうね。でも、帰るまでが社員旅行だから、最後まで楽しみましょう♪
コウ,それにしても睡眠不足に加えて今日の疲れがたまってもう眠いよ…ふわぁ～
はじめ,ひふみ先輩、ゆん、遠山さん、八神さん！
ひふみ,？
ゆん,なんや？
コウ,んっ？
りん,なにかしら？
はじめ,寝酒なんていかがですか？
コウ,おっ、いいねぇ♪
ひふみ,日本酒……///
ゆん,ちょうど飲みとう思うとった所や！
りん,でも、寝酒って体に悪いんじゃ？
コウ,そんな事を気にしてる場合か、っての！いいから飲むぞーー！
りん,もぅ…
青葉,あぁー、皆さんだけずるいですよっ！？
コウ,そんな事言ったって、青葉はまだ未成年だから飲めないだろ？
ゆん,青葉ちゃん、お酒は20歳になってからや？
青葉,むぅ～//
はじめ,青葉ちゃんも20歳になったら誘ってあげるから、それまで我慢してて！
ひふみ,ご、ごめん……ね///
りん,なんだか、申し訳ないわね
青葉,いいえ。では、私はもう寝ますので、おやすみなさい！
コウりんひふみはじめゆん,おやすみなさい！！！！！
青葉,ふわぁ～。皆さん、昨日はどんな風に寝酒したんでしょうか？
コウ,ぐぅ～ZZZ
りん,すぅーZZ
はじめ,ZZZ
ゆん,ZZZ
ひふみ,すぅ～ZZ
青葉,わぁっ、浴衣が中途半端にはだけてますし、布団じゃなくてバラバラになって熟睡してますね！。酒も空にしたみたいですけど、うっ、酒臭いっ！？
