と一部繋がっている場面があります,特に重要な場面というわけでは無いのでこちらから読んでいただいた場合でも不都合無いとは思われます
ヴィーネ,天界から急に指令とかって来るの？
ラフィエル,うーん……そう多くはありませんが無いとは言えないですね
ヴィーネ,へー……無視したらどうなるのかしら
ラフィエル,仕送り減額など……あまりにも改善が見られなければ強制送還といった判断が下されることもあるかもしれません。何故このようなことを？
ヴィーネ,ううん、ただ気になっただけ。もし天界から重要な指令があっても、そのまま忘れてしまう可能性は十分にある……。警告も無しに強制送還はさすがに無いにしても、良い結果にはならないわよね。やっぱり、見ててあげなきゃか……
ガヴリール,ふぁ……帰るかー……
ヴィーネ,一緒に帰りましょ？
ガヴリール,うわぁ！？
ヴィーネ,そこまで驚かなくても……
ガヴリール,……ほ、本当に怒ってないんだな？
ヴィーネ,何度もそう言ってるじゃない……
ガヴリール,なんかずっと睨んでくるし、そうは見えないっての……
ヴィーネ,そ、そんな睨んでたかしら……
ガヴリール,んじゃね
ヴィーネ,あ……が、ガヴ
ガヴリール,ん、どうかしたの
ヴィーネ,えーっと……その……突然なんだけど。……三日くらい、泊まっていかない？
ガヴリール,……。……いや、突然すぎるでしょ……
ヴィーネ,さすがにダメ、よね……ごめん
ガヴリール,別にいいよ
ヴィーネ,え？
ガヴリール,私としては衣食住を提供してもらえて断る理由はないし。いつも通り好き勝手させてもらうけど、それでもいいなら
ヴィーネ,もちろん！好きなだけくつろいでいってちょうだい！
ガヴリール,お、おう……。そんな喜ぶことか……？。お邪魔ー。さて、早速迷える人々を導いてあげちゃいますかね
ヴィーネ,つまりネトゲでしょ……身体壊さない程度にしておきなさいよ？
ガヴリール,へーい
ヴィーネ,……。初日はネトゲの他に目立った動きは無し……と。私がうっかり忘れちゃったら意味無いからね、日記として残しておかなくちゃ。～♪
ガヴリール,……。……やめた。ヴィーネ、なんか手伝えることない？
ヴィーネ,あれ、ネトゲやめちゃったの？珍しいわね
ガヴリール,これといったイベントも無いしね。目の前でぐうたらしてて何も言われないっていうのもそれはそれでモヤモヤするな……
ヴィーネ,じゃあ食器並べてもらえるかな？
ガヴリール,りょーかい。ごちそうさまー
ヴィーネ,お風呂沸かしてあるから寝る前に入っちゃいなさいよ
ガヴリール,えー、面倒だな……。今度こそ私の背中を流してくれてもいいんだぞ？
ヴィーネ,遠慮しておくわ、とっとと入って……。……そうね、流してあげようかしら
ガヴリール,え、本気……？
ヴィーネ,何よ、あんたが言い出したことじゃない。こんなことに巻き込んでしまったのも私の不注意が原因だから。その間不自由はさせないであげないと
ガヴリール,……。この頃妙に優しいじゃん……なんか怖いんだけど
ヴィーネ,失礼な……。今日は自分から働きたいって言ってくれたしね、その慰労目的とでも思ってくれればいいわ
ガヴリール,我ながら大したことしてないと思うけどね……
ヴィーネ,物事の大小よりもその気持ちが大事なのよ。はいおしまい
ガヴリール,ありがと
ヴィーネ,さて、私も身体洗うから先に湯船入ってて
ガヴリール,何を言うか。次は私の番だよ。痒いところはありませんかー
ヴィーネ,あはははっ……！ちょ、そこくすぐった……！。あんた、洗うの下手……！くっ……ふふっ……！
ガヴリール,失敬な、わざとだわざと。妙に優しかったり、思い詰めた顔してたり。なんか様子が変だけど、今くらいは忘れていってよ。楽しそうに笑ってる方がヴィーネらしいし
ヴィーネ,ふふっ……！あっははははっ……！。……ありがとう、ガヴ。そして、ごめんなさい
ガヴリール,……
ヴィーネ,……。二日目もこれといって大きな問題は無し。ただ……気を張りすぎていたみたいでガヴに気を遣わせちゃった。あの子は他者の感情の揺れ動きにとても敏感に反応する。このままじゃ居心地も良くないだろうし、普段通りに振る舞うよう意識しないと。……ふう。大体三日半だから、あと丸二日ってところかな
ガヴリール,んん……！
ヴィーネ,おはよう、ガヴ。簡単なもの作っちゃうからちょっと待っててね
ガヴリール,はいよ。ん
ヴィーネ,あ、食器ありがとね。そんな気にしないでいいのに……お客様なんだからもっと楽にしてていいのよ？
ガヴリール,気にしないでって……そっくりそのままお返しするよ。私がやりたくてやってるんだから
ヴィーネ,ふふっ、偉い偉い
ガヴリール,暇だな……
ヴィーネ,ゲームはいいの？
ガヴリール,気分じゃない
ヴィーネ,じゃあ良い機会だし勉強でもしておく？
ガヴリール,お前勉強が暇つぶしになると思ってんの？
ヴィーネ,忙しい時はやる余裕も気力も無いんだから、暇がある時こそよ
ガヴリール,うえー……。ヴィーネ、いつもの調子に戻ったか……？。飽きた
ヴィーネ,まだ10分しか経ってないって……。……良く考えたら。忘れちゃうなら勉強しても意味ないじゃない。……早いけど勉強はお開きにしましょうか
ガヴリール,嘘……いつもなら覚えるまで絶対逃がしてくれないのに
ヴィーネ,あまり根を詰めすぎるのも良くないからね
ガヴリール,……いや、相変わらず違和感があるな。ヴィーネ
ヴィーネ,なに？
ガヴリール,じゃあさ、どっか出かけようよ。買い物でもなんでもいいから、ぶらぶらとさ
ヴィーネ,……！ガヴから外に出たいなんて言葉が聞けるなんて……！。出かけた先で大雨とかにならなければいいけど……
ガヴリール,ひっぱたくぞ
ヴィーネ,次はこの服着てみて！
ガヴリール,はいはい……
ヴィーネ,思った通り！似合うじゃない！
ガヴリール,ファッションとかあまり良くわからないけど……。ヴィーネの反応を眺めるだけの時間も退屈ではないな
ヴィーネ,最後はこれ！
ガヴリール,わかったわかった
ヴィーネ,私もちょっと着替えてくるから
ガヴリール,？ああ
ヴィーネ,じゃーん
ガヴリール,……なんだこりゃ
ヴィーネ,ペアルックよ！私としても好みだしガヴにも似合うと思ったの
ガヴリール,いや、さすがに恥ずかしいんだけど……
ヴィーネ,……嫌だった？
ガヴリール,……嫌ってわけじゃないけど
ヴィーネ,決まりね！このまま着て帰りましょ！
ガヴリール,おいおい……。ま、いいか……
ヴィーネ,良かった。今過ごしているこの楽しい時間も何もかも。たとえ、全てを忘れてしまっても。私たちが過ごした時間は、この服という形で確かに残るから
ガヴリール,まただ。はしゃいで、調子が良くて、いつものヴィーネのはずなのに。ほんの一瞬、とても残念そうな顔を覗かせる。どうして……
ヴィーネ,はー、良い買い物したわね……
ガヴリール,ぐ……なんか道行く人に見られてるような気がする……
ヴィーネ,やっぱり嫌だった？
ガヴリール,……さっきも言ったでしょ、嫌ではないよ。ただ、どうしても恥ずかしいんだよ……
ヴィーネ,ふふ、いつも以上に小さくなってかわいい
ガヴリール,抱きつくな！余計に注目を集めるだろ！
ヴィーネ,ごめんごめん
ガヴリール,ったく……あまりはしゃぎすぎてると身が持たないぞ
ヴィーネ,？
ガヴリール,……明日も暇だしさ、どこか行こうって話。……
ヴィーネ,……。……今日は楽しかったなあ。今日だけじゃない、明日も絶対楽しくなる。明日、テーマパークに行こうですって。あの人混みが大嫌いなガヴが、よ？。それはきっと私のためで、私のために張り切ってくれていて。文字にしたためるのが困難な程に、心が打ち震える。……あと、一日。明日、この一日でたくさんの思い出が作れたら良いな。その思い出が、私の中にしか残らないとしても。ガヴ！起きてガヴ！
ガヴリール,んが……あと五時間……
ヴィーネ,起きる気無しか！あんまり遅くなると遊びきれないわよ！
ガヴリール,ん……遊ぶ……。……はっ！出かけるんだっけ
ヴィーネ,おはよう、朝ご飯出来てるからぱぱっと準備しちゃってね
ガヴリール,ふぁい……
ヴィーネ,ガヴ
ガヴリール,ん？
ヴィーネ,今日、期待してるからね
ガヴリール,っ……。私がお客様のはずだったんだけどなあ……。そうまで言われちゃ、期待に応えてやらなきゃね……。……
ヴィーネ,いきなりラッパを構えないの
ガヴリール,おかしいでしょこんなの……列に何時間も並ぶなんて狂ってるのか人間共は
ヴィーネ,私たちもそのうちの二人になるのよ？
ガヴリール,うわあ……目眩がする
ヴィーネ,ふふ、冗談よ。まずは空いてるものから周りましょ。時間が経てば有名所も空いてくるかもしれないしね。きゃー！！
ガヴリール,うおぉ……！
ヴィーネ,いやー！！
ガヴリール,うっ……！
ヴィーネ,わー！！
ガヴリール,おぇ……。いきなり絶叫もの連続は無いだろ……口から絶叫じゃないものが出るかと思ったわ……
ヴィーネ,つい興奮しちゃって……
ガヴリール,次は私が決めるからな
ヴィーネ,い、良いわよ？
ガヴリール,なあに、次も絶叫出来るだろうから気に入るはずさ
ヴィーネ,……
ガヴリール,……さっきから露骨に避けてるよね？。そこの、お化け屋敷
ヴィーネ,な、何のことかしら……ただのお化け屋敷なんて……
ガヴリール,お化け屋敷と侮るなかれ、脱出までに一時間は堪能できるらしいぞ
ヴィーネ,。
ガヴリール,まだ何も出てきてないのに怯えすぎでしょ……
ヴィーネ,そそ、そんなこと言ったって……
ガヴリール,歩きにくいんだけど……。……とは言ったものの。ここまで手が込んでるとは……正直私も怖くないと言えば嘘になるくらいだ。ヴィーネが耐え切れるとは思えないし、早いとこ脱出しないとな……。考えてもみなよ、私たち天使と悪魔だよ？。自分たちの方が圧倒的に強いって考えを持っておけば何が出てきても大丈夫でしょ
ヴィーネ,そ、そうね！私たちは強い……私たちは負けない……
ガヴリール,その意気だ、さっさと出るぞ……。きゃああああぁぁぁぁ！？
ヴィーネ,い゛や゛あ゛あ゛ぁ゛ぁ゛！！！
ガヴリール,……ちょっと甘く見てたわ
ヴィーネ,血が……肉が……
ガヴリール,帰ってこーい
ヴィーネ,……はっ！あれ、外……？
ガヴリール,さすがに無理だろうと思ってリタイアしたよ
ヴィーネ,……怖かったぁ……
ガヴリール,こいつ下手したら建物ごとふっ飛ばしかねないし。だいぶ暗くなってきたな
ヴィーネ,もうそろそろ閉園みたいね……
ガヴリール,次で最後にするか、何が良い？
ヴィーネ,……あれ
ガヴリール,……観覧車、か。ヴィーネ、意外と子供っぽいよね
ヴィーネ,なによ、締めの定番じゃない。わぁ……
ガヴリール,ほー……夜の景色も悪くないじゃん
ヴィーネ,……もうすぐガヴは全てを忘れちゃう。忘れちゃうなら、良いよね？。ねえ、ガヴ
ガヴリール,ん
ヴィーネ,好きよ
ガヴリール,……うん、私も好きだよ
ヴィーネ,私の好きは、ガヴの好きとは違うと思う。愛しくて、ずっと一緒にいてほしくて、幸せにしてあげたくて、私だけを見ていてほしい。友達止まりじゃ感じ得ない、恋人としての好きなの
ガヴリール,……そうか
ヴィーネ,突然こんなこと言い出してごめんね。気持ち悪いでしょ？。叶わない想いだってわかっていても、これだけは伝えたかった。あまり時間も無いから……
ガヴリール,勝手に納得して、何なんだお前。私の好きを決めつけるな
ヴィーネ,え……？
ガヴリール,確かに、好きが曖昧なままだったのは謝る。お世話好きで、大人風を吹かして、それでいて見てて危なっかしくて、意外と子供っぽくて。何より、こんな私に付いてきてくれる。そんなヴィーネを大切にしたい、一緒に生きていきたい。これが私の好き、だ。これじゃダメなのかな
ヴィーネ,……。ダメじゃ、ない。私も、私もガヴと一緒に生きていきたい
ガヴリール,……なら決まり、簡単な話じゃん
ヴィーネ,ガヴ……
ガヴリール,ちょっとは自分に自信を持とうよ。ほんと見てて危なっかし……！？
ヴィーネ,ん……
ガヴリール,……ぷぁっ
ヴィーネ,……ふふ、貰っちゃった。でも、緊張しすぎてよくわからなかったな……
ガヴリール,……私もだっての。不意打ちは卑怯じゃない？
ヴィーネ,悪魔なんだから、卑怯でもいいの。そう、卑怯なんだ。……この時間がずっと続けばいいのに
ガヴリール,何言ってんだか……。……別に、何度でも一緒に来てあげるし。今この時間が続かなくても、何度でもこの時間を味わわせてやる。約束する
ヴィーネ,約束……ね。残念だな……。その約束も、忘れちゃうなんて
ガヴリール,……忘れっぽいのは自覚してるけど、そこまで酷くは
ヴィーネ,ううん、違うの。今この時間も、私の家で過ごした日々も、全部消えちゃうんだ。これはガヴのせいじゃない
ガヴリール,……ずっと思い詰めてたように見えたのもそのせいってわけ？。何を隠してる、吐け
ヴィーネ,……ガヴの記憶が、消えちゃうの
ガヴリール,私の記憶が……？
ヴィーネ,この瓶、見覚えある？
ガヴリール,……私が飲んだやつだよね。ヴィーネが怒ってたように見えたから、よく覚えてるよ
ヴィーネ,全部飲み干すと、三日半くらいかな？。飲んでからその期間の記憶は残らず、消えて無くなるんだって
ガヴリール,……！？。……私が飲んだのが確か三日前の朝。……あまり時間が無い、っていうのはそういうことか
ヴィーネ,怒らないんだ
ガヴリール,……元々私の自滅ではあるけど。そりゃあショックだよ。あれから結構良い思いさせてもらってさ。思い出と言えるものもたくさん出来て。こうしてヴィーネと好き同士になれて。それが全部消えて無くなるなんて、考えたくもない。……でも、お前は私の比じゃないくらい辛いはずだ。何もかも忘れて、そのまま普段と変わらず生きていく私と違って。いつまでも背負い続けなきゃいけないんでしょ、私と共有出来なくなった想いを……。そんなやつを責められるわけあるか……！
ヴィーネ,優しいね、ガヴ。確かに辛いし、苦しい。でもね、この想いを伝えられたのもこの薬のお陰なの。たとえガヴに拒絶されたとしても、忘れてもらえる。忘れてさえもらえれば、変わらず友達でいられる。そんな後ろ盾があって、ようやく行動に移せたの。この苦しみは、そんな卑怯な私への戒めだと思ってる
ガヴリール,ヴィーネ……
ヴィーネ,……下、着いたわね。出ましょう。ガヴ
ガヴリール,ああ
ヴィーネ,本当に楽しかったし、嬉しかった。今までありがとう
ガヴリール,っ……二度と会えないわけじゃないでしょ。……今後とも私とよろしく頼むよ
ヴィーネ,ええ……あなたに負けないくらい素敵な子にしてあげるから
ガヴリール,ははっ……それなら安心
ヴィーネ,……そろそろ時間が近いかしらね
ガヴリール,……またね
ヴィーネ,また……いえ。さよなら、ガヴリール
ガヴリール,私の家も久しぶりだな……。……さよなら、か。……っ。ううぅぅっ……！うああああぁぁ……！。嫌だ、忘れたくない……！ヴィーネ……！。ヴィー、ネ。……。……涙？。……何で泣いてたんだっけか。ま、いいや。はよーっす……
ヴィーネ,おはよう、ガヴ
ガヴリール,なんか最近時間が経つの早くない？。貴重な休みに限ってすぐ終わるように感じるのは不公平だ。そろそろ歳かな……
ヴィーネ,華の女子高生でしょうに……
ガヴリール,そうだ、今日泊まっていい？。家に食べ物ないし買いに行くの面倒なんだよね
ヴィーネ,私の家は民宿じゃないんだけど……
ガヴリール,んー……あと、なんだろうな。なんか無性にヴィーネの料理が食べたいんだよね
ヴィーネ,……そう。良いわよ、ご馳走してあげる
ガヴリール,ご馳走ってほど大層なもんじゃないっしょ
ヴィーネ,何様だお前。そう、今までと変わらない。軽口を言い合えるような、友達に戻っただけ
ガヴリール,ごちそうさまー。よいしょっと
ヴィーネ,！
ガヴリール,……あれ、なんで私食器片付けてるんだろ。自慢じゃないけど片付けなんて滅多にしないんだけどな
ヴィーネ,……いいことじゃない。……期待なんて、するだけ無駄なのに。先にお風呂入るから、後できちんと入りなさいよ？
ガヴリール,はーい。……。……なんか落ち着かないな。ヴィーネはしばらく出てこないし……。……漁るか！。ヴィーネちゃんの隠しものは何処ですかーっと……。ん……？。この服……私の家にも無かったっけか。……っ。なんだ……？頭が……。……まあ、普段から服選んでもらってるわけだし被りもするか。次行こ次……。机も整頓されてるなー、私のとは大違いだ。……おっ、面白そうなもんみっけ
ヴィーネ,上がったわよー
ガヴリール,……
ヴィーネ,ガヴ？
ガヴリール,……
ヴィーネ,あ、私の日記……。あっ……！！。私の書いた出来事は全て今のガヴの記憶外のこと。つまり、自分との交流を妄想で書き連ねているようにしか見えないんじゃ……！？。ち、違うの……それは
ガヴリール,……
ヴィーネ,ガ……
ガヴリール,ヴィーネ！！
ヴィーネ,が、ガヴ！？
ガヴリール,良かった……良かった……！。私、思い出せたんだ……！
ヴィーネ,え……？
ガヴリール,ヴィーネと関わるたびに、ぼんやりと感じるものはあったんだ。無意識に変な行動を取っちゃったりもしてた。でも、それだけじゃ思い出すには至らなかった……何かが必要だったんだ。……この日記を見た瞬間、切れてたコードが繋がったように感じたよ
ヴィーネ,思い出せた……って……まさか……
ガヴリール,不思議だけど……書いてある出来事を、私に対する気持ちを、出鱈目と疑うなんて一瞬たりとも無かった。嘘偽りの無い、ヴィーネの気持ちを感じたから。それは、私がヴィーネに対して抱いていた気持ちと微塵も変わりなくて。何の違和感も無く、私も同じ気持ちを抱いていたことを気づかせてくれた。そして、どうしてその気持ちを抱くに至ったのかだって……。全てが繋がって、思い出させてくれたんだ。ヴィーネと過ごした時間も、交わした約束も、何もかもだ！
ヴィーネ,……！
ガヴリール,良かった……！これからも一緒にいられるんだ……！
ヴィーネ,私、また決めつけちゃってた。消えて無くなってなんか、いなかったんだ
ガヴリール,苦しくないか……？
ヴィーネ,ううん、平気……
ガヴリール,……最後、私が私じゃなくなる瞬間……怖いなんてもんじゃなかった。良かった、本当に……
ヴィーネ,……自分が消えてしまうなんてこと、知らないで済むに越したことは無いのに。私のエゴのせいで……思い出したくもないような記憶まで作らせちゃったのね
ガヴリール,困ったやつだよ……まったく
ヴィーネ,ごめんなさい……。……そして、そんな私なんかの元に、もう一度戻ってきてくれてありがとう。おかえり、ガヴリール
ガヴリール,……ただいま、ヴィーネ。……何もかも思い出せたとは言ったけど。実を言うと、まだ完全に全てを思い出せたわけじゃないんだ
ヴィーネ,そんな……何が思い出せないの……？
ガヴリール,何があったかは大体覚えてるんだけど、細かい情報となるとちょっとね。あの時食べたヴィーネの料理の味とか
ヴィーネ,ふむふむ
ガヴリール,えと……その、ちゅー……の感覚とか……
ヴィーネ,ふむ……。なーんだ、すぐにでもわかることばかりじゃない
ガヴリール,す、すぐにでもって！このエロ悪魔！
ヴィーネ,酷い言われようね……別にいつでも良いから心の準備が出来たら言ってね
ガヴリール,なんでお前はそんな余裕なんだよ……！
ヴィーネ,私だって最初は余裕なんて無かったけど、これで二回目になるわけだし
ガヴリール,ぐぐ……。……します
ヴィーネ,？
ガヴリール,お願い……します
ヴィーネ,……素直じゃないんだから。……ん……
ガヴリール,……っは……
ヴィーネ,……どう？
ガヴリール,……何もわかんなかった
ヴィーネ,ぷぷ……ガヴ、顔真っ赤
ガヴリール,仕方ないだろ……！お前は二回目だとしても、私は今のが実質初めてなんだから……！
ヴィーネ,……じゃあもう一回、しちゃう？
ガヴリール,な、なんでそうなる。……いいけど
ヴィーネ,そうこなくちゃ♪。これでガヴも二回目になるわけだし。落ち着いて、私を感じてね……
ガヴリール,今日テストあるとか嘘でしょ……！
ヴィーネ,あはは……どうせ忘れちゃうんだと思って全く勉強教えられてなかったわね
ガヴリール,笑ってないで助けてくれ！
ヴィーネ,はいはい。ペース上げて教えていくから、しっかり付いてきなさいよ。忘れちゃうなんて、御免だからね？
