赤いリボンの白い猫,みんなー！今日は来てくれてありがとう！
ヴィーネ,ここまで来ると、逆に清々しいわね……
白い猫,そうだ。あなたたち、地元の人よね？
ヴィーネ,は、はい。一応、この街に住んでますけど……
白い猫,だったら、話が早いわ。私たち、これから地方巡業の続きで、この街を回らなきゃいけないの。もしよかったら、道案内をお願いできないかしら
タプリス,み、道案内ですか……？
ヴィーネ,タプちゃん、ど、どうする？
白いうさぎ,もし道案内してくれたら、わたしに投票する権利をあげるわー
白い猫,そんな権利、全くお礼になってませんよね
白いうさぎ,あなたの足りない頭では、価値がわからないみたいですねー
白い猫,んだとゴラッ！！もういっぺん言ってみろやッ！！
白いうさぎ,何度でも言ってやるよコラッ！この脳みそスッカスカ猫がッ！！
タプリス,そ、それはそうと、投票って何のことですか？
黄色い犬,ああ。今、キャラクター大賞というものが開かれていてね。一ヶ月の投票期間で、キャラクターの人気順位を決めるイベント中なんだ。そこで、一位になったキャラクターは。一年間、全てのキャラクターのトップに君臨することになり。それは、ものすごく名誉なことなんだよ。だからこうして、ぼくたちも各地を回って、PR活動をしてるんだ
ヴィーネ,へぇ、そんな催しがあったのね
白い猫,黙って聞いてりゃ、自慢かゴラッ！！
黄色い犬,ひっ
白いうさぎ,さすが二年連続トップのお犬様は余裕だな、アァンッ！？
黄色い犬,そんなんじゃ、そんなんじゃないから！
タプリス,まぁ、少し言動は過激ですけど……。一応、困っているみたいですし、わたしは道案内しても問題ないです。月乃瀬先輩は、どうですか？
ヴィーネ,ええ、私もタプちゃんが大丈夫ならいいわよ
黄色い犬,ありがとう！本当に助かるよ
白い猫,決めた、どっちがこの街で一番人気になれるか勝負しましょう
黄色い犬,しょ、勝負だって？
ヴィーネ,……まぁ、しっかりと白黒つけるのは、逆にいいかもしれないわね
タプリス,そ、そうですかね。余計こじれなければ良いですけど……
白いうさぎ,えー、勝負とか野蛮ですー、キモいー
白い猫,誰がキモいだってゴラッ！しばくぞッ！
白いうさぎ,やってみろや、コラッ！リボン、布ごと引きちぎるぞッ！
黄色い犬,ちょっと！喧嘩してたら、話が進まないでしょ！
白い猫,それもそうね。で、あなたたちは、どちらにつくつもり？
タプリス,えっ、どちらに、とは……？
白い猫,私か、うさぎさんか、どっちにつくかって聞いているんです
ヴィーネ,別にどっちにつかなくても良いんじゃ……
白い猫,ダメですよ。これは真剣勝負なんですから、不公平があったらだめです
白いうさぎ,じゃあわたしは、この黒髪のお姉さんにするー
ヴィーネ,なっ、か、勝手に……
白い猫,それじゃあ、私はこっちの金髪の子にするわ
タプリス,は、はぁ……
白い猫,一戦目は、一時間でどれだけ自分のグッズを販売できるか。それで勝負よ
白いうさぎ,面白そうじゃないですかー、いいですよー？
黄色い犬,そういうお金が絡むのは……
白い猫,……
白いうさぎ,……
黄色い犬,ひっ！なんでもないです！
タプリス,なんだか黄色い犬さんが、可哀想ですね……
ヴィーネ,まぁ気が弱そうだしね……
白い猫,さあ、持ち場につきなさい。よーい、スタート！
タプリス,それで、何か秘策はあるんですか、猫さん
白い猫,そんなものはありません
タプリス,えっ？
白い猫,私は既に四十年以上の歴史を積み重ね、老若男女に愛されてきたんです。まあ、うさぎさんは私と一年違いですが、知名度が圧倒的に違います。だから小細工なんて不要ですよ
白いうさぎ,お嬢ちゃん、こんにちはー
女の子,こんにちはー！
白いうさぎ,あなた、かわいいわねー。お母さんもさぞかし美人なんでしょうねー
女の子の母,そ、そんなことは……
白いうさぎ,あら、あなたがお母さん？てっきりお姉さんかと思ってたわー
女の子,ママ、うさぎさんのぬいぐるみ欲しいー
女の子の母,もうしょうがないわね、買ってあげるわ
女の子,わーい
白いうさぎ,ありがとう、わたしだと思って大事にしてねー
女の子,うんっ、ばいばい、うさぎさん！
白いうさぎ,……。はー、ちょろいちょろいー
ヴィーネ,商魂たくましいというか、なんというか……。私よりよっぽど、悪魔してるわね……
白い猫,……
タプリス,何してるんですか？
白い猫,えっ。な、なんでもないですよ
タプリス,これは……うさぎさんのグッズじゃないですか！。棚の奥の方に押し込むなんて……小細工はしないって言ってたのに！
白い猫,こ、小細工ではないわ、私のグッズをもっと見えやすくしていたのよ
タプリス,そういうのを小細工っていうのでは……
白いうさぎ,ちょっとー！わたしのグッズに何してるのよー
白い猫,何もしてないわよ。ただ、あんたのグッズが目障りだっただけ
白いうさぎ,そういうの営業妨害っていうんですよー。あなたには、プライドってものがないんですかー？
白い猫,んだとコラッ！もういっぺん言ってみろやッ！！
白いうさぎ,プライドがねぇのかっつってんだよ、このダボッ！！
子供,うぇーん、こわいよー
白い猫,ほらほら、泣かないのっ
白いうさぎ,怖くなんて、なーいよっ
子供,わぁ
ヴィーネ,実は仲が良かったりするのかしら、この二人……
タプリス,いや、それはないんじゃないですかね……
黄色い犬,ほら、もう１０分切ったよ！
店員,猫さんグッズの合計額は２万５２００円。うさぎさんグッズの合計額は２万２３００円になります
黄色い犬,ということで、グッズ販売勝負は、白い猫さんの勝利！
白い猫,まぁ、当然ですね
白いうさぎ,くーやーしーいー
タプリス,でも、猫さんの小細工がなかったら、危なかったんじゃ……
白い猫,余計なこと言わなくていいのよ
タプリス,ひっ
ヴィーネ,まぁ、さすが猫さんね。幅広い年代に支持されてるのが良くわかったわ
白いうさぎ,あなたー、どちらの味方なのー？むかつくー♪
ヴィーネ,まぁまぁ。つ、次、頑張りましょう？
白いうさぎ,そうねー
黄色い犬,それで次の勝負は……
白いうさぎ,だったら今後は、わたしが決めるー。愛されるキャラクターにはねー。優れたコミュニケーション能力も、備わってないとー。だからー、一時間以内にどれだけの子供を。集められるかで勝負よー
ヴィーネ,たしかに、子供たちとの接し方は重要よね
タプリス,どれだけ表の顔を維持できるか、の勝負ですね……
黄色い犬,警察沙汰になりませんように……
白い猫,いいわ、その勝負受けてあげます。そして私のニ連勝で、ピリオドを打ってあげるわ
白いうさぎ,言ってなさい、この猫かぶりー
白い猫,あら、負け惜しみかしら、ぶりっ子
黄色い犬,ほらほら、言ってるそばから！勝負、始めるんでしょ？
白い猫,なんで、あなたが仕切ってるのよ、たかが二連続優勝したくらいで
白いうさぎ,ちょっとSNSで人気があるからって、図に乗らないでよねー
黄色い犬,……もうやだ帰りたい
白いうさぎ,みんなー、集まれー♪。わたしと一緒にー、歌って踊ろうー♪
子供たち,きゃっきゃ！
ヴィーネ,こういうのは、さすがという感じね……。私もたまに、子供たちと遊ぶけど。ここまでうまくまとめられる自信はないわ
女の子,ねぇ、お姉さんも一緒に踊ろう？
ヴィーネ,えっ、わ、私も？
女の子,うんっ
白いうさぎ,ほら、月乃瀬さんも、ワンツーワンツー♪
ヴィーネ,うぅ、ワンツーワンツー……
白いうさぎ,もっと、大きな声でー♪
ヴィーネ,ワンツー！ワンツー！
白いうさぎ,いい調子ー、いい調子ー♪
ヴィーネ,は、恥ずかしい……
タプリス,あっちは、だいぶ盛り上がってるみたいですね
白い猫,あんなの、見掛け倒しよ。問題ないわ。さあ、こっちも呼び込んでいくわよ！。みんなー！私のところに、集まれー！
悪ガキ１,なんだよ、この猫。おもしれーの！
白い猫,ら、乱暴はやめてねー
悪ガキ２,ぎゃはは、かかってこいよー
白い猫,……チッ
タプリス,ね、猫さん、おさえておさえて！。子供のやることですから、ね？
白い猫,そんなのわかってるわ
悪ガキ１,おい、みんなこいよ！こいつ、どんだけ殴っても大丈夫だぞー！
悪ガキ共,ぎゃははははっ！
白い猫,やめてね、ほんとにやめてね。やめ……や、やめ……や……。やめい言うとるじゃろうがッ、このクソガキどもがァッ！！
悪ガキ共,ひぃっ
白い猫,おんどりゃ、ケツの穴から手ぇ突っ込んでぇ。奥歯ガタガタ言わしたろか、アァンッ！！
悪ガキ共,に、逃げろー！
タプリス,はぁ、やっぱりこうなっちゃいましたね……
黄色い犬,白い猫さん１８人、対して、白いうさぎさん５２人で。子供集め対決は、白いうさぎさんの勝利です！
白いうさぎ,圧倒的勝利すぎて、つまんなーい♪
白い猫,……チッ
ヴィーネ,結構、差が開いたわね
タプリス,こちらにも、いろいろありまして……。それよりも月乃瀬先輩、ずいぶん晴れやかなお顔をされてますけど。何か良いことでもあったんですか？
ヴィーネ,ええ。言うなれば、一皮むけた、そんな感じね
タプリス,は、はぁ……
黄色い犬,これで両者が一勝ずつとなりましたけど。次はどうするんですか？
白い猫,……もう、こんな細々した勝負続けても、埒が明かないわ。次で、完全決着をつけましょう。最後はね、私とうさぎさんの直接対決よ。この世は全て、強い者が生き、弱い者が死ぬ。すなわち強い者こそが、正義なのよ！
タプリス,いやいやいや……
ヴィーネ,キャラクターに腕っぷしの強さは必要ないでしょ……
白いうさぎ,いいわー、シンプルで、とてもいいー。猫さんとは一度、純粋にどっちが上か、戦ってみたかったのー
白い猫,ふんっ、こんなところだけは気が合うのね
黄色い犬,そ、そんな、物騒なことはやめましょう？
白い猫,うるさいわね！あんたは黙ってなさい！
白いうさぎ,これはね、わたしと猫さんの問題なのよ！？
黄色い犬,き、君たちが喧嘩すると、各方面、いろいろ困るというか……
タプリス,そうです、暴力を伴うケンカなんて、しちゃいけません！
白い猫,仕方ないわね。わかったわ、それじゃあ……。正々堂々と、スポーツで勝負よ
黄色い犬,見合って見合って……。はっけよーい、のこった！
白い猫,ぐっ……やるわね！
白いうさぎ,そっちこそー！
ヴィーネ,それで、なぜ相撲の流れに……
タプリス,まぁ……殴り合いよりかは、断然マシですよ……
ヴィーネ,確かに、こうやって端から見ているだけだと。微笑ましい感じすら、してくるわね……
白い猫,いい加減、負けを認めたらどう？
白いうさぎ,そっくりそのまま、お返しするわー
白い猫,私はね、あんたなんかに負けてられないの。いいえ……。誰にだって、負けてられないのよ。またあの頃の栄光に、返り咲いてみせるんだからッ！
白いうさぎ,ぐっ……ば、馬鹿力に押されるーっ！
白うさぎ,こうなったら……、ぺっ！
白い猫,ぎゃぁぁぁ、目がぁぁぁっ！！
白うさぎ,今がチャンスー♪
白い猫,なにさらしとんじゃワレェッ！ぶっ殺すぞッ！！
白うさぎ,アァンッ！？やってみろやボケカスがッ！
白い猫,死ねやゴラッ！！
白うさぎ,がはっ！やりやがったな、このダボがッ！！
白い猫,ごはッ！
ヴィーネ,ちょ、ちょっと、なんか殴り合いに！？
タプリス,相撲どころじゃなくなってます！止めないと！
ヴィーネ,あなた、男の子でしょ！止めてきなさい！
黄色い犬,そ、そんな無茶苦茶な！
タプリス,お願いします！黄色い犬さん！
ヴィーネ,ほら、行きなさい！
黄色い犬,わっ、っとっと！
白い猫,なんじゃオメー！邪魔する気か、この、どアホがッ！
白いうさぎ,真剣勝負に水差すたぁ、わかっとんのかいワレッ！
黄色い犬,ひぎっ、ひぎぃぃぃぃっ！！。
タプリス,あ、雨が……
ヴィーネ,だめ、もう二人を止められない……
白い猫,何がエクササイズじゃッ！あんなの誰もできんじゃろうがッ！！。その耳、引きちぎってやるわ、ボケがッ！！
白いうさぎ,てめぇのヒゲ全部引っこ抜いて。わけわからん動物にするぞ、このタコッ！！
白い猫,邪魔者は全員、排除じゃけぇッ！！
白いうさぎ,おめーさえ、最初からいなければッ！！
タプリス,あぁ、もう何が、何だか……
ヴィーネ,見てられないわ……
白い猫,ぐぎぎぎぎぎぎぎぎっ！！！！
白いうさぎ,ぐごごごごごごごっ！！！！
ヴィーネ,……ほら、もっと深く掘らないと
タプリス,はい……
ヴィーネ,……
タプリス,……
土をかぶった綿のかたまり,
ヴィーネ,……
タプリス,……
