津田タカトシ,おーいコトミ、もう朝だぞ～
コトミ,準備があるから、どっちが先か教えて欲しいんだけど
タカトシ,あれっ？
コトミ,それなら、もう沸いてるからすぐに入れるよ
タカトシ,…じゃあ、そうするよ。……？。晩御飯、美味しかったよコトミ
コトミ,よかったー、タカ兄に気に入ってもらえて。それじゃあ、これからは毎日作ってあげるよ！
タカトシ,それは悪いよ、オレも手伝うからさ
コトミ,いいの。私は部活とか特にしていないし…。タカ兄は生徒会の仕事で、毎日頑張っているんだもん。だから、家の事は全て私に任せてね！
タカトシ,…だったら、お言葉に甘えさせてもらおうかな
コトミ,ありがとうタカ兄。そうだ、明日何か食べたいものがあったらーーー
タカトシ,ーーーあれから１ヶ月経ったのですが、ずっとあんな感じなんです
シノ,私も驚いているぞ。三日坊主どころか、ここまでずっと続けているとは
スズ,でも、問題は無いですよね？
アリア,そうね。でも最近、私のぼけに突っ込んでくれなくて寂しいわ
スズ,この人、計算づくで言っていたのか…
タカトシ,テストの成績も、前回に比べて格段に良くなっていますし
スズ,遅刻も全然しなくなったわね
シノ,そこでだ、コトミがどうしてああなったかを津田に調べて欲しいんだが
スズ,別に良い事なんだから、無理に突き止めなくてもいいんじゃないですか？
アリア,でも、誰かに脅されてだったら危ないわよ？
スズ,いやいやいや、そんな大袈裟な
タカトシ,正直、オレも気になりますし、コトミには見つからないように上手くやりますよ。ただいま…。…あれ？コトミは居ないのか？。台所は…居ないか。リビングの方かな？
コトミ,………
タカトシ,お、居た。…何か読んでいるのか
コトミ,……はっ！？。ちょっとタカ兄！帰って来たのなら返事くらいしてよ！
タカトシ,ああ、ごめん
コトミ,あ……、私もいきなり怒鳴ったりしてごめん
タカトシ,気にしなくてもいいぞ……って、何を隠してるんだ？
コトミ,いや、何でも無いの！おなかへったでしょ！？急いで晩御飯の用意するから！
タカトシ,雑誌のようだったな…。コトミ、今からコンビニに行くけど、何か欲しいものはあるか？
コトミ,私は…別にいいや。車には気をつけてね？
タカトシ,ああ、じゃあ行ってくる
コトミ,………。ふう……、もうちょっとでタカ兄に見られる所だった……。見つからないように、机の中にでも仕舞っておこっと……
タカトシ,コトミの読んでいた雑誌が気になったから書店まで来たけど…。たしか、レ○プボーイとかいうタイトルが見えたな。しかし、なんというタイトルだ。えーと……あった。これか……。すみません、これお願いします。何とか買えてよかった。あ、コンビニに出かけるって言ったから、そっちでも何か買っておかないとな。ただいまー
コトミ,お帰りなさい、タカ兄
タカトシ,ほらコトミ、お前が前に食べたいって言っていたやつがあったから、買ってきたぞ
コトミ,そんな、別によかったのに…
タカトシ,気にすんなよ。最近、一生懸命に頑張っているしな
コトミ,ありがとう……、じゃあさっそくいただくね？
タカトシ,ああ、オレは部屋に戻っているから
コトミ,うん
タカトシ,………。とりあえず、さっき買ったやつ見てみるか……。……うわあ。何だこれ？とても１０代向けの内容じゃないぞ？。……ん？これは……。そうか……、だからコトミのやつ……
シノ,何だ？もう原因が分かったのか？
タカトシ,はい。まずはこれを見てもらえませんか？
シノ,おい！なんて本を学校に持って来たんだ！？
アリア,あらあら、やっぱり津田くんも男の子なのね
スズ,津田！何を考えてんのよ！
タカトシ,まあ確実に言われると思ってたんですけど……６９ページからを見てください
シノ,６９ページって、どんだけ過激な内容なんだ？。ふむふむ……
アリア,まぁ……
スズ,み、見えない……
シノ,それで津田、お前はどうする気だ？
アリア,そうね。さすがに私もこれはちょっと……
スズ,やっと見れた……って、何なのこれ！？
タカトシ,どうするもこうも、間違ってる事だと思っています。けど……
スズ,けどって何よ？どう考えたっておかしいじゃない！
タカトシ,萩村の言いたい事は分かるよ。でもうすうすは気付いていたんだけど。本当にコトミがあんな事を考えていたんだって分かると、オレもだんだんそんな風に意識してしまって……
シノ,まあ、これは津田兄妹の問題だからな。私達がどうこうしろとは言えない。だから、どうするかはお前にまかせる
アリア,そうね、私達が口を出す事はしないわ
シノ,別にお前がどうしようと、私達は馬鹿にするような事はしない
スズ,津田？私はアンタを信じているから
タカトシ,みんな……、分かりました。今日、コトミとしっかり話をしようと思います
コトミ,はーい。うん、分かった。……もしかしたら、あの雑誌に書かれた通りになったのかな？。タカ兄、話ってなに？
タカトシ,その前に、これに見覚えは無いか？
コトミ,あ、それって！私の部屋を勝手に漁るなんて酷いよ！
タカトシ,さすがにそんな事はしないよ。以前にオレが帰ったときに、あわてて隠していただろ？。もしかしたらと思って、あの後に買いに行ったんだ
コトミ,………タカ兄、買うの恥ずかしかったでしょ？
タカトシ,まあな
コトミ,私もだけど
タカトシ,そんな事よりも……、お前このページをずっと読んでいたんだろ？
コトミ,………
タカトシ,オレの事をそんな風に思っていてくれたのは、正直嬉しいよ
コトミ,じゃあ……
タカトシ,けど、オレ達は兄妹なんだ。こんな間違った関係になるのだけは駄目だよ
コトミ,なんで駄目なの！こんなにタカ兄の事が好きなんだよ！？
タカトシ,それでも駄目なんだ！……ごめん！
コトミ,………
タカトシ,オレの言う事が分かってくれたか？
コトミ,……よ
タカトシ,……えっ？
コトミ,嫌って言ってんの！私はタカ兄の事が大好きなの！とっても愛してるんだから！！。だからあきらめるなんて嫌！タカ兄には絶対に私の恋人になってもらうんだから！！
タカトシ,痛っ！？急に押し倒すな！
コトミ,タカ兄、愛してるよ……だから私を受け入れて……
タカトシ,おい、服を脱ぐな！
コトミ,………
タカトシ,くそっ！何を言っても止まらないし……。間違いだってわかってる……けど、コトミの気持ちを知ってしまってからは、オレも意識してしまったのは事実だ。許されるなら、このまま二人で深い所まで溺れてしまってもいいかもしれない。けど、オレ達二人の問題では済まされる訳が無いし……。オレはどうすれば……。……もう構わない、どうなってもいいからコトミと……。けど……
コトミ,タカ兄……、私の初めてもらってね？
タカトシ,……コトミ
コトミ,嫌よ……やめたりしないんだから……
タカトシ,そうじゃないんだ
コトミ,……えっ？
タカトシ,オレも……オレもコトミの事が好きだよ
コトミ,……それって、私が思っている好きと同じって事？
タカトシ,ああ
コトミ,だったら……このまま
タカトシ,待ってくれコトミ、それだけは出来ない
コトミ,なんで！？私の事、好きなんでしょ！愛してるんでしょ！？
タカトシ,そうだよ、けど万が一って事があるだろ？
コトミ,私はそんな事、気にしないよ……？
タカトシ,だけど本当にそんな事になったら、オレ達はもうこの街に居られなくなる
コトミ,………
タカトシ,だから、せめてお前が卒業するまでは待ってくれないか？。その後だったら、いくらでもお前を受け入れるから……
コトミ,……本当に？
タカトシ,ああ、約束する
コトミ,……分かった。とりあえず今はあきらめてあげる。でも、私と恋人になってくれるんだよね？
タカトシ,もちろん
コトミ,それなら、一つだけお願いを聞いてくれる？
タカトシ,オレに出来る事なら。でも無茶な事は……
コトミ,大丈夫だよ。……キスしてくれる？。恋人だったら出来るよね？
タカトシ,……分かった。おいでコトミ……
コトミ,うん、タカ兄……。私のファーストキスをもらってください……。……ん……
タカトシ,……ん……。……これで満足か？
コトミ,……ううん、もう一回……。……ん……ちゅ……くちゅ……
タカトシ,……ん！？こいつ舌を！？
コトミ,ん……ちゅぱぁ……んふぅぅ……れろぉ……じゅるっ……。……ふぁ……ん……ふぅ……。……私、幸せだよ……
タカトシ,……これで満足か？
コトミ,……うん
タカトシ,……明日も学校があるし、そろそろ寝ようか？
コトミ,……タカ兄、一緒に寝てもいい？
タカトシ,……おいで
コトミ,……うん！。～♪
タカトシ,本当に嬉しそうだな？
コトミ,当たり前じゃない、タカ兄と一緒に寝れるんだよ？
タカトシ,小さい頃はよく寝ていたじゃないか
コトミ,分かってないな～タカ兄は。それは兄妹とはしてでしょ？。これからは恋人としてなんだもん♪
タカトシ,そういうものなのか？
コトミ,そういうものなの
タカトシ,……おやすみ、コトミ
コトミ,……おやすみ、タカ兄
シノ,あの二人はどうなった事やら……
タカトシ,お早うございます、会長
コトミ,シノ会長、お早うございます！
シノ,ああ、お早う……って、お前達その手は……
タカトシ,えっと……その……そういう事です
コトミ,そんなんですよ、会長！
シノ,あ、ああ……そうか。その、なんだ……二人とも仲良くな？
コトミ,はい！タカ兄、お昼御飯は二人っきりで食べようね！
タカトシ,そうだな。じゃあ、オレ達は先に行きますんで
シノ,お、おお……。ううむ……
アリア,あらあら、結局ミイラ取りがミイラになっちゃったわね
シノ,そのようだな。しかし、二人にまかせると言った以上は、余計な口出しはしないほうがいいな
アリア,そうね。でも校内でイチャイチャしないようにだけは伝えておきましょうね
シノ,そうしておこう
スズ,……マジかよ
コトミ,タカ兄、あーん
タカトシ,あーん
コトミ,美味しい？
タカトシ,ああ、とっても
コトミ,ふふっ、よかった。……ねえ、タカ兄？
タカトシ,どうした、コトミ？
コトミ,私の気持ちがタカ兄に伝わる事が出来て幸せだよ。これからもよろしくね、タカ兄！
タカトシ,オレの方こそ、これからもよろしくな
コトミ,うん！タカ兄、大好き！！
