モバＰ,そうですかね？
Ｐ,その、ちひろさんに太ったんじゃないか、と言われてな
菜帆,Ｐさんが……あ、よく見ると、そんな気がしますね～
Ｐ,やっぱり、そうか……
菜帆,でも、気にすることないですよ。ほんのちょっとですし～
Ｐ,いやいや、それでも節制くらいはしようと思って
菜帆,Ｐさん
Ｐ,なんだ？
菜帆,私は私のままで良いって、そう言ったのはＰさんですよ
Ｐ,いや、それとこれとは
菜帆,同じです
Ｐ,……はい
菜帆,ダイエットも大事ですけど、食べたいときに食べるのも、同じくらい大事なんですから
Ｐ,分かった、分かったよ。お茶くらいは付き合うさ
菜帆,約束ですよ～
Ｐ,ああ、約束だ。……しかし、そうなると、昼間のお饅頭が恋しいなぁ
菜帆,また今度買ってきますから、そのときは、一緒に食べましょうね～
Ｐ,楽しみにしてるよ
菜帆,……そうえば、Ｐさんの分のお饅頭は、私が食べちゃったんです～
Ｐ,そうなのか。まあ、俺が断ったんだから、仕方ないな
菜帆,でも、Ｐさんは我慢したわけですから
Ｐ,だから、それは節制というか
菜帆,代わりのものを、今からあげますね～
Ｐ,俺の言葉、聞こえてる？
菜帆,お饅頭はとってもプニプニでしたから、同じくらいプニプニなものを
Ｐ,おい、なんで距離を詰めてくるんだ？
菜帆,ね、Ｐさん。私の体、とってもプニプニしてるんです～
Ｐ,だ、だから？
菜帆,私の柔らかいところ、好きなだけ触って良いですよ～
Ｐ,あのな、妙なことを言うんじゃない
菜帆,Ｐさん、これはお饅頭の代わりですから、変でも妙でもありませんよ
Ｐ,いや、しかし
菜帆,触ってくれたら、またＰさんと仲良くなれると思うんです。だから、好きなだけ、私のプニョフワを堪能してください～
Ｐ,――菜帆！
菜帆,やんっ
ちひろ,プロデューサーさん、だいぶ痩せましたね
Ｐ,まあ、最近運動をしてまして
ちひろ,へぇ、そんなに効果があるの、羨ましいですねー
Ｐ,そ、そうですか
ちひろ,菜帆ちゃんとおやつも食べてますし、ハードな運動なんでしょうね
Ｐ,な、菜帆と！？
菜帆,はい、呼びましたか～
ちひろ,菜帆ちゃん、今、プロデューサーさんのダイエットについて話してたのよ
菜帆,……ふふ、その話なら、私も手伝っているので、よく知ってますよ～
ちひろ,あら、菜帆ちゃんも一緒にしてるのね
菜帆,はい。今日も一緒にする予定なんです。そうですよね？Ｐさん～
Ｐ,……そ、そうだな、今日も頑張ろうな！
