穂積しおり,４０
喪黒,はい。エアロビ教室のインストラクターと深い関係になってはいけません
しおり,わ、分かりました……。喪黒さん
ひとみ,あの……。もしかして、あなた……。穂積さんじゃないですか？
しおり,槇村先生……。私、先生のことを尊敬しているんです。あんな風に、年を取っても輝き続けることができたらいいな……と
ひとみ,年を取っても輝き続ける……ですか。それが、そうでもないんですよ……
しおり,え！？一体、どういうことなんです！？
ひとみ,私は夫とは長年、仮面夫婦としての生活を続けています。だから、今の私は心が全く満たされていません
しおり,そうですか……。大変ですね……
ひとみ,あと……。あなただから、話そうと思っていたことがありますが……。実は私……、ビアンなんですよ
しおり,何ですって！？
ひとみ,……とはいっても、バイセクシャルですよ。まあ、男性よりも女性の方にときめきを感じますけどね……
しおり,そ、そんなこと急に言われても……
ひとみ,穂積さん、実はあなたもそうでしょ？だって、あなた……。エアロビ教室ではいつも……
しおり,わ、私はそんな……
ひとみ,隠さなくてもいいですよ。穂積さん。あなたも、夫との普段の生活に退屈さを覚えているはずでしょ？
しおり,ええ……。まあ……
ひとみ,私、この日をずっと待っていました……。あなたと愛し合えるこの日を……
しおり,先生、私もですよ……。今日は夫が出張中ですから……
喪黒,穂積しおりさん……。あなた約束を破りましたね
しおり,も、喪黒さん！！
喪黒,私はあなたに忠告しました。エアロビ教室のインストラクターと深い関係になってはいけない……と
しおり,す、すみません……！！でも、槇村先生にだって辛い事情があるんですから……
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
しおり・ひとみ,キャアアアアアアアアアアア！！！
しおり,な……、何これっ……！！
雅彦,お前とは離婚だ！！とっとと、この家から出て行け！！
優真,僕、これからはパパと一緒に暮らす。あんたなんか、僕のママでも何でもないから！！
ひとみ,あんな写真を教室に貼りつけるなんて……。あなたがそういうことをする人だとは、夢にも思わなかった！！
しおり,先生……、それは誤解です！！
ひとみ,言い訳はよして！！穂積さん、もうエアロビ教室に来ないでちょうだい！！私、あなたとは2度と会いたくない！！
しおり,ウ……、ウウウ……。ウワアアアアアアア……！！！アアアアアアアア……！！！
フィットネスクラブ,キャピタルスポーツ
喪黒,そもそも……。人間もまた動物である以上、身体を動かす何かしらの仕組みを誰もが持ち合わせています
