遊佐こずえ,こずえとあそぶのー……？いいよぉー
清美,さすが大商人！……と言いたいところだけど、シェルターなんて持ち歩けないでしょ
雪乃,魔法アイテムですから小さくできるのですわ
P,ほう……正直賑やかしで終わるかと思っていたが、ここに至って大きく動いたな
雪乃,でもごめんなさい、朋さん
朋,え？
雪乃,このシェルター5人用なんです
朋,えっと、こっち側は……6人。ええーーっ！？なんでそんな設定付け加えるのよ！。ていうかその言い方！あたしは入れないこと決定！？
雪乃,だって吟遊詩人って一番役に立たなそうですし
朋,ひどい！
雪乃,いつもの自分ではなく、大商人ユキノなのですから……これくらいやったほうが面白いですわ
P,雪乃が茶目っ気を出しておる。でもこれで、あれくらいやって良いんだという共通認識がみんなに出来ただろう。面白くなりそうだ。良いぞ、もっとやれ
由愛,……ふふふ、争いの歌～♪もっと仲間割れしてください……！
こずえ,あらそえー……たたかえー
蘭子,便乗した……！？
藍子,あの……なんとか詰め込めば1人くらい入れるんじゃないでしょうか
雪乃,魔法アイテムですからそのあたりの融通が効かないのですわ。それとも藍子さんが席を譲ります？。念のため言っておきますと、シェルター以外で隕石100連発に耐えられるとは思いませんが
藍子,えー、それは……
清美,すっかり主導権を握られている……！
響子,じゃあ私が席を譲ります！私なら魔法でなんとか出来るかも……
雪乃,いえいえ、やはり私が席を譲りましょう
裕美,あっ、この流れは……！。わ、私が譲るよ！
清美,いえ私が！
藍子,私が！
朋以外,ｼﾞｰｯ
朋,じゃああたしが……。チクショーッ！！
蘭子,ｗｗｗｗｗｗｗｗ
朋,やってる場合じゃないって！早くなにか考えないと隕石100連発が落ちてくる……！
こずえ,ちがうよー
朋,えっ？
こずえ,いんせき……さいしょのも、まだきてない……
蘭子,ど、どういうことだ？
こずえ,いま、むかってる……どせいのあたりー
蘭子,土星！？では、あとどれくらいで来るのだ？
こずえ,んー……3ねんくらい
蘭子,遅ッ！ていうかなんでそういうところはリアル！？
由愛,魔王様……ほかになにか攻撃、できないんですか？
こずえ,1ちょうどのひのたま、つくれるよー……
蘭子,そうだ、それを奴らにお見舞いしてやろう！
こずえ,でもねー、0.000072びょうできえるから……きづかないかもー
蘭子,なｗｗｗんｗｗｗｗｗでｗｗｗｗｗｗ
清美,敵は混乱している！今がチャンスですよ！
藍子,勇者様、正気に戻ってください！でないと……
裕美,でないと？
藍子,組手の相手になってもらいます！
蘭子,ごめんなさいっ！！
雪乃,役作りのために、有香さんや早苗さんに色々教えてもらってましたわね。なんと容赦ない
朋,あんたがゆーな
P,だんだん皆アドリブが暴走してきたなぁ
蘭子,わたしはしょうきにもどった！
裕美,すごーく不安なのはなぜだろう……
清美,由愛ちゃん、これあげる
由愛,え……な、なんですか？
清美,超☆錬金術師特製漂白剤です。これをかければーあらふしぎー。黒かった羽が白くなりました！悪の心もきれいに消え去ったでしょう？
由愛,そ、それくらいで……私は魔王様を裏切ったりしませんよっ！
響子,ふーん……。ねえみなさん、突然だけど……今日の夕食、焼鳥でいいですか！？
由愛,！！？？
響子,何故か新鮮な鶏肉が手に入りそうな気がするんです！
由愛,そ、そんな……おどしたって……
裕美,良いから早くこっち来てッ！
由愛,は、はいっ！
裕美,ﾌﾝｽ!
朋,ドラゴンですらひれ伏すんだから、ハーピーがあの目に逆らえるわけないんだよなぁ
清美,あとは魔王1人！
こずえ,ふわぁー。こずえ、ねむくなっちゃった……
蘭子,あれ、ソファに近づいて……もしかしてこのままお昼寝？
こずえ,ぷろでゅーさー……こっち、きてー
P,え、俺？
こずえ,すわってー……ここ、すわってー……ふわぁー
P,これでいいのか？
こずえ,うんー……おやすみー…………
P,こずえは俺の膝枕ですぐに寝入った
こずえ,すーすー……
P,魔王だから……仕方ないな
裕美,……こずえちゃんにはかなわないね
藍子,色んな意味で……ね
