※演出の関係上オリキャラ,っぽいもの
４℃,問答無用だ！いくらお前でもフェイリスたんを悪く言う奴は、俺が許さないぞ！
友人,きめぇ。だってさ、明らかにキャラ作ってるし媚びてんだろ、あれ。俺、正直めっちゃ嫌いな部類に入るわ
４℃,ふ、ふざけるな！フェイリスたんはな…俺を救ってくれた恩人なんだよ！
友人,え、マジで？
４℃,そう…あれは、茹だる昼ｱﾌﾀ･ﾇｩﾝ
友人,どうでもいいけど、俺といるときくらいその喋り方やめろ。ムカつく
４℃,あれは…まだ俺が鈴木だったころの話だ…。当時の俺は引っ込み思案で、碌に人とも話せねなかった…。お世辞にも明るいとは言えない根暗な人間だった
友人,友達、俺くらいしかいなかったな
４℃,話の腰を折るな。…そうさ。あの頃の俺は、寂しく廃れた青春時代を送っていた…
友人,ヒョロガリでおかっぱ頭でビン底眼鏡にしかも私服高校だったのに学ラン常備。今考えてみるとお前、絶滅危惧種だったよな…
４℃,ねぇ。お願いだから人の話聞いて。割とマジメに。ともかく、そんな俺の前に天使が舞い降りたのさ…この、秋葉原でな…
フェイリス,にゃ！？ご、ごめんなさいニャ！
鈴木,あ、いえ…すみません…
フェイリス,ごめんなさいニャ…あぁ、こんなに散らばっちゃって…
鈴木,………
フェイリス,にゃ？
鈴木,……
フェイリス,手伝って、くれるのかニャン？
鈴木,……
フェイリス,…ありがとうだニャン！。どうも、ありがとうニャン☆おかげで、すぐ片付いたニャン！
鈴木,いえ…じゃあ、僕はこれで…
フェイリス,あ！待つニャン！
鈴木,？
フェイリス,これ、今度オープンするウチのカフェのチラシニャン！良かったら、貰ってくれにゃいかニャ？
鈴木,……
フェイリス,特別に、君だけは初回来店時はタダにしてあげるニャン！手伝ってくれた御礼だニャン！
鈴木,そんな…悪い、ですよ…
フェイリス,そんなこと言っちゃだめニャ！もともとぶつかっちゃったのはフェイリスにゃん！だから、お詫びとお礼をしたいんだニャン！
鈴木,……
フェイリス,絶対来て欲しいニャン！フェイリスニャンニャンとの、約束だニャン！。おかえりなさいいませ、ご主人様☆ニャー！君、来てくれたのニャン！
鈴木,ど、どうも…
フェイリス,待ってたニャ！ようこそ、メイクーインニャン+２へ！
鈴木,は、はい…
フェイリス,早速席にご招待ニャ！特別に君をVIP席に案内するニャ！君の…
鈴木,？
フェイリス,んー…いつまでも君だと、何だか味気ないニャ。ねぇねぇ！良かったら、君の名前を教えてくれないかニャ！？。おかえりなさいませ、ご主人様☆あ、鈴木くん！また来てくれたのニャン！
鈴木,こ、こんにちは
フェイリス,フェイリスは嬉しいのニャン！メニューは、いつものでいいのかニャン？
鈴木,あ、はい。それで
フェイリス,かしこまりました、ご主人様☆オーダー！特性オムライスとカフェオレのセットにゃーん！。いってらっしゃいませ、ご主人様ー！はい、これ。お店の割引券を渡しておくニャン！
鈴木,…あの
フェイリス,ニャ？
鈴木,あの…なんで、僕にこんなに、よく、してくれるんですか？
フェイリス,ニャニャ？
鈴木,だ、だって…僕、あの日たまたまぶつかっちゃって…チラシ、拾うの手伝っただけなのに…
フェイリス,ニャー…質問の意図が分からないと思ったら、そんなこと気にしてたのかニャン
鈴木,？
フェイリス,確かに、鈴木くんの他にもお客さんはいっぱいいるニャ。鈴木くんだけ贔屓するのは、間違っているかもしれないニャ
鈴木,……
フェイリス,それに…
鈴木,？
フェイリス,鈴木くんは、この店の初めての常連さんだニャン！そんな人のことを無下に扱うなんて、天が許してもこのフェイリスが許さないニャ！
鈴木,ッッ///
４℃,その日から俺は変わった。フェイリスたんに見合う男になるように、必死に努力した。筋トレを始め、馴れないファッション誌を買い漁り、美容院にも出かけた。とにかく、今までの自分を払拭すべく、ワイルドさを出すことに徹した。肌も焼いた。髪も染めた。アクセサリーも買い揃えたピアスの穴は怖くて無理だったが。とある雑誌を参考に、魅力的なキャラ作りにも余念をかかなかった。そして生まれたのがこの黒の絶対零度、４℃様ってわけだ！！
友人,。ちなみにお前さ、その参考にしたファッション誌って？
４℃,メンズ殴ッグル
友人,…ああ、うん。予想はしてたよ、ホント。なるほどね。ベタだけど、お前が入れ込むのも分かる気がする
４℃,分かってくれたか。しかしお前にも悪いことさせたな。わざわざ俺の趣味に合わせて色々と手伝ってくれただろ？
友人,あー気にすんなよ。俺が好きでしたことだし。こいつが自分を変えたいって言った時は面白そうだったから放置していたが、まさかここまで迷走してくれるとは思わなかったがな。まぁお前は確かに変わったよ。今じゃ子分や取り巻きも増えて、迂闊にお前に手を出す輩はいねぇほどじゃねぇか
４℃,いや、本当にどうしてこんなことになったんだ…
友人,は？
４℃,俺はそもそも子分とか、そういうのは持つ気は全然なかったんだ…。ただ…何かこの外見からか、どっかのギャングとか、ヤクザの下っ端とかと勘違いされてたらしくて…。そしたら俺は秋葉原に君臨する関東最強のワルだ、みたいな噂が広まって…。しかも俺の知らないままに噂に尾ひれが付きまくって…。気が付いたらこうなってた…
友人,なんか取り巻きの間じゃ、最近はお前が妹と母親と祖母をレイプして孕ましたってのが専らの噂らしいぞ
４℃,いや、俺はただのフリーターだよ…。少ないながらもちゃんと実家に入れてるよ…第一、一人っ子だし、母子家庭だよ…。しかもこの間の話なんだけどさ
友人,ん？
４℃,アキバの裏通り沿いを歩いていたら、変な高校生たちに絡まれたんだよ。最初はちょっと驚かせば逃げてくれるかなと思っていたけど、予想以上に怖い人で…いきなり殴られた。ボコボコに蹴られるわ、殴られるわで、流石に本気でビビってさ。走って逃げたんだ。運良く軽い打撲と掠り傷だけで済んだのが幸いした。何とか逃げ切ったのは良かったんだけど…
友人,けど？
４℃,次の日、その高校生たちは全身ボロボロで泣きながら俺に土下座してきた…
友人,ほぅ
４℃,もちろん俺はやってない。でも、その現場に取り巻きたちがいたのが悪かった…
友人,あーあ。へぇー…
４℃,ちなみに後日、その高校生に問いただしたら、やったのは背格好の低い黒尽くめの男だか女だかよく分からないやつだったらしい
友人,ほぁー。妙な奴もいたもんだな。あのヤロウ、口外はしねぇって言ってたのにな。今度会ったら前歯折っとくか。そりゃそんな目にあってりゃ神経性円形脱毛症にもなるわな…
４℃,その事には触れないでくれ…
友人,あぁ、すまん…。で、話は戻すけど、これからどうすんだよ？今更俺とお前で恋愛相談ってわけじゃないだろ？
４℃,そうだなぁ…お前にも、彼女の１人でもいれば相談できたんだけど…
友人,彼女、ねぇ…
４℃,ふっふっふ…だが心配するな。お前、確かパソコン使えたな？
友人,まぁ人並みにはな。お前は使えないんだっけか
４℃,俺には不要なものだ。だが、この情報化社会、ネットに溢れる情報網を使わない手はないと思わないか？
友人,おい、まさか…
４℃,そのまさかだ！だからお前を呼んだ！
友人,あぁ…ようは代わりにネットで調べてくれ、と。このためだけに呼ばれたのか…。まぁいいけどさ。で、何？デートのハウツーサイトでも開くのか？
４℃,いや。最近聞いた話じゃ、個人的な相談を投稿すれば、それに答えてくれるサイトがあるらしい
友人,そんなとこでドヤ顔されてもなぁ…
４℃,駄目だ。そこだと回答を得られるまでに時間がかかると聞いた。なるべく早く答えが欲しい
友人,時間帯にもよるけど、確かに平日の昼間じゃ厳しいな
４℃,そこでだ…俺は知る人ぞ知る、伝説のサイトの名前を知ってしまったんだよ…。そこではリアルタイムに何万人も在住し、互いの意見に即座に反応してくれるという…。しかもそこでの情報量は膨大で、日々様々な分野の猛者たちが情報を紫電一閃のごとく飛び交わせる、という伝説のサイト…。そのサイトの名は……＠ちゃんねる！！
友人,。…＠ちゃんの存在は結構、常識の範囲内だぞ？
４℃,え、そうなのか？
友人,それと、その…そのサイトだけは止めたほうが…
４℃,な、何でだ！？サイトに質問を投稿すれば、知らない誰かがすぐに答えを返してくれるサイトなんだろ！？
友人,あながち間違ってはいないんだが…何ていうか…ここにいるような連中は社会の底辺の掃き溜めみたいなのばっかだぞ？。イヤだこの子…純真すぎて直視できない…。初心者にはオススメ出来ないんだが…まぁいいや。今回は俺が代理でスレを立ててやるよ
４℃,あぁ、ありがとな。すれ？
友人,で、スレタイは何にするんだ？
４℃,すれたい？
友人,…あー、うん。なんて質問するんだ？。……
うはｗｗｗｗｗｗｗｗｗｗ今から片思いの雌に告白するおｗｗｗｗｗｗｗｗｗ,1
４℃,おい！何で勝手に文章変えてんだよ！
友人,翻訳した。あースペックか。うっかりしてた
４℃,ふむ…流石は＠ちゃんねるだな…言ってる事が半分も分からん。やはり、情報量が膨大すぎると、発言するときも暗号化しなければならないのかな…
友人,…なぁ。気が削がれるから純粋に満ちた感想はやめてくれ…
４℃,？。スペックって何だ？
友人,おおまかな自己紹介ってとこかな
４℃,なるほど。これで後は相手方の回答を待つだけ、ってことか
友人,…まぁ真面目に取り合ってくれるのはあまりないけどな…。こういうのがいるんだよなぁ…
４℃,なんだこのやすかってのは？
友人,うわ食らいつきやがった
４℃,何故だ？俺の相談を受けてくれるんだろ？何かを要求してるみたいじゃないか
友人,…一種の余興だ。ちょっと先のレス番を指定して、そこに書かれてる行動を起こすんだよ
４℃,へぇ…面白そうだな、やすかってのも
友人,あんかな
４℃,なるほど。つまり、その人の言うとおりにしていればいいんだな？
友人,まぁそうだけど…
４℃,よしっ！そうと決まれば、早速…
友人,あ、バカ勝手に…
４℃,……何だこれ
友人,やっちまったな
４℃,こ、これ本当にやらなきゃいけないのか？
友人,まぁ明らかに悪ふざけだろうけど、安価は絶対という暗黙の了解があってな…
４℃,悪ふざけ！？ふ、ふざけるな！俺は真剣に悩んでいるのに！くそ、どけ！
友人,あ、ちょっ
４℃,ええと…はっ、ほっ…
友人,同年代で一本指打法やる奴って初めてみた…。あー俺が打ってやるから代われ。ちゃんとお前の台詞通りにやるから
４℃,…あれ？何か関係ない話で盛り上がってんだけど…？
友人,興が冷めたみたいだな女のスペック…オタ受けが広い奴だったよな…ばれると荒らされる可能性があるし…。これはスレ放置だな。だから言ったろ。初心者には薦められない、って
４℃,そんな…こっちは真剣なのに…こんなのって、ないよ…。うっ…うっ…＠ちゃんねる、怖いよぉ…
友人,ん？おい、このサイト見てみろよ
４℃,うぇ…？なになに…雷ネットＡＢグラチャン？
友人,お前、これやってなかったっけ？なんか雌猫も参加してるみたいだけど
４℃,！！それだ！！
友人,は？
４℃,フェイリスたんは熱狂的な雷ネッターだ。もちろんこの大会にも参加しているのは当然だ。…強さは折り紙つきだ。生半可なプレイヤーじゃ手も足も出ないだろう。現に、フェイリスたんは常勝不敗だ。だが…もし俺がここで彼女に勝てば…
友人,勝てば？。殺意？
４℃,何でだよ！尊敬に決まってんだろ！。ともかく…尊敬という感情を通して、俺たちは互いをよく理解しあえるように努力するだろう…。そして切磋琢磨していくなかで、培われていく感情は…そう！愛を置いて他にない！。つまり、だ！俺はフェイリスたんに勝つことで、俺の存在は認められることになる！。これで俺たちは…恋人だぁー！！
友人,
４℃,こうしちゃいられない！早速、雷ネットの特訓をしてくる！
友人,え？あ、おい！。行っちまいやがった…でも、ちゃんと会計は置いていってるところは律儀だな。ん？さっきのスレ落ちてら。まぁいいけど。暇になったから他の板覗いてみっか。ええと…どれどれ。ん？何だこのスレ…
【ＤＱＮ】絶対零度,
よんどしマジ消えろ,568
どうすれば４℃が追い出せるか本格的に検討するスレ,398
友人,……。取りあえずスレストかけておくか。ついでにこいつらのＩＤ赤くしてやろう。あぁ？俺が荒らしだと？知るかボケども。水遁されてーか。はぁ…やれやれ。……。あいつ、頑張ってんだけどなぁ…
４℃,いいかお前ら…ついに…俺らはここまで来た！。ここまで来るのはまさに茨の道ﾊｰﾄﾞ･ﾛｩﾄﾞ
最後の戦い,ﾗｽﾄ･ｼｮｳ
取り巻きＡ,４℃さんマジかっけぇッス！
取り巻きB,そこに痺れるぅ！
取り巻きC,憧れるぅ！
４℃,俺には、どうしてもこの勝負ｼｮｳ
友人,相変わらず、取り巻きたちの前だとキャラの変わり身早ぇなー。ええと、相手は…フェイリスと鳳凰院凶真ペア、か
取り巻きＡ,あ、副リーダーちぃーっすｗｗｗｗｗ！
取り巻きＢ,副リーダーは参加しないんスかｗｗｗｗｗｗ？
友人,あー俺はいいよ。別に興味ないし。それにしても、鳳凰院凶真…最近どっかで見た気がするのは気のせいか？
取り巻きＡ,そっすかｗｗｗｗｗ俺、今日はマジやっちゃうんでｗｗｗｗおねしゃすｗｗｗｗ
友人,ん？やっちゃうって何だよ？俺らは見学だろ？
取り巻きＡ,ちょｗｗｗｗお前マジ似すぎｗｗｗｗパネぇｗｗｗｗｗ。ちょｗｗｗｗｗお前まさかｗｗｗｗｗｗ
取り巻きＡＢ,だから俺たち、徹底的に雌猫ヤロウ共を妨害します
取り巻きＡ,うはｗｗｗｗお前、レーザーとか、せけぇｗｗｗｗｗｗｗ
取り巻きＢ,そういうお前も、エアガンとか、パネェｗｗｗｗｗｗ
友人,…やっべ面白くなってきた。スレ立てときゃ良かった
司会,さぁー！やってまいりました！雷ネットＡＢグランドチャンピョンシップの始まりです！。前回チャンピョンはもちろんこの２人！鳳凰院凶真とフェイリスペアだー！！
フェイリス,にゃんにゃんー☆みんな、応援よろしくニャー！
岡部,フゥーッハッハッハ！お前たち！この鳳凰院凶真の勇姿、とくと目に焼きつけよ！
ダル,フェイリスたーん！鳳凰院さーん！
司会,対する挑戦者はー！ヴァイラルアタッカーズだー！！
ダル,ＤＱＮは死ぬべきだお！すぐに！
４℃,うぅ…酷いバッシングだ…。特にあの太っている人の視線が痛い…
司会,それではぁ！雷ネットＡＢグランドチャンリョンシップ、決勝戦！開始です！
４℃,よし、始まった…。フェイリスたんは最初は必ず見。オーディエンスを沸かせるための演出だが、それでも常勝するのがフェイリスたんのすごいところだ…。しかし…それは逆に言えば、序盤は付け入る隙があるってことだ！。だから、序盤は攻めて攻めまくれる！ここが俺に残された唯一のアドバンテージだ！。…って、あれ？フェイリスたんの表情が曇ってるように見えるけど…何でだ？。くぅ！なんて姑息な手を…やったのは一体どこのどいつ―――。って！何やってんの取り巻きたちー！！
取り巻きＡ,ひゃっはー！雌猫は粛清だー！
取り巻きＢ,デュクシｗｗｗｗｗデュクシｗｗｗｗｗｗ
４℃,ちょっと君たち！何やってんの！？真剣勝負なんだから、邪魔しないでよ！
取り巻きＡ,ん？なんかリーダーがこっちに合図してるぞ？
取り巻きＢ,本当だ。遠くて見づらいけど、何か必死に訴えてるな？
取り巻きＡ,！！まさかリーダー…
取り巻きＢ,こともあろうに…
取り巻きＡＢ,俺たちの妨害が生ぬるいっていうんですね！すいません！死ぬ気でやります！！
友人,おー伸びてる伸びてる。ん？安価？うーん…どうしようかなー
４℃,わかってくれたかな…って！レーザーの発色パターンが増えて点滅までしてるー！？。だから駄目だってば！お願いだからやめて！。今度はＢＢ弾に連射機能が追加されてたぁー！？。頼むから煽らんといて！このタイミングで！
岡部,誰が貴様らなんぞに手も足も出ないって！？
４℃,！？
岡部,留未穂にこれ以上、手を出させないぞ！
フェイリス,きょ、凶真…ここで本名は…
岡部,手前勝手なことをしていて、こんなことで勝って嬉しいか！。貴様らは、そんなことして恥ずかしくないのか！。お前らに、雷ネッターを名乗る資格などないぞ！。さては勝てないと悟って、こんな姑息な手段に出るとはな！。が、しかし！お前らには俺たちは決して負けない！！。世界を制するのは、俺とフェイリスだ！
４℃,鳳凰院さん…カッコイイ！！
フェイリス,きょ、凶真…気持ちは嬉しいけど、何であんなことを…？
岡部,…相手の妨害工作を阻止するには、必要だったんだ…あとは、ダルが気づいてくれるのを待つだけだ…
フェイリス,ニャ？
ダル,ふぇー…相変わらず、鳳凰院さんはマジでパネェお…ＤＱＮ相手にあそこまで啖呵切れるなんて…。でも、妙だお…鳳凰院さん、ああいうコメントは試合前と後にしかしないはずなのに…。それに、フェイリスたんの本名、かお？あれを言ったのも気になるお…。んー…僕のハッキングセンスが、妙な勘を告げるお…。ん？待てお…。誰が貴様…留未穂に手を…手前勝手…貴様らは…。！！。そういうことかお、鳳凰院さん…！オーキードーキー！頑張らせてもらうお！
パートナー,ひっひっひ…大見得切った割には大したことねぇなぁー？鳳凰院さん
岡部,くっ……
フェイリス,にゃう…
４℃,ひぃぃぃ…鳳凰院さんがこっちを睨みつけてるぅ…俺が悪いんじゃないのに…
パートナー,ひっひっひ…こりゃ決まっちまったな…これだけの差が開いちゃぁ、為す術もあるまい…
４℃,あれ、何だろ？何もしてないのに負けた気がする
取り巻きＡ,そぉーいｗｗｗｗそぉーいｗｗｗｗｗ
取り巻きＢ,デュクシｗｗｗｗｗｗデュクシｗｗｗｗｗｗ
取り巻きＡ,へっへっへ…これだけの猛攻だ…とても勝負など出来まい…
取り巻きＢ,俺…リーダーに勝ってもらったら…舎弟にしてもらうんだ…
友人,おいばかやめろ。そういう露骨な―――
？？,…そういう露骨な死亡フラグは前振りですね、わかります
取り巻きＡ,ちょｗｗｗｗｗなんだしｗｗｗこのデブｗｗｗｗｗ
取り巻きＢ,死亡フラグとかｗｗｗｗｗｗねーよｗｗｗｗｗ
友人,フラグ回収、お疲れ様です、と…
？？,でも…人の恋路を邪魔する奴は…爆発しろとは言わないお…
ダル,僕がぶっとばすからだお！！
友人,あの後結局、不正がばれて不戦敗になったな。憐れすぎて…何も言えねぇ…
４℃,それにしても…あの人ごみで、なんでレーザーを使っている人を特定できたんだろ？結果的には良かったけど…
友人,んー…まぁ、あれは鳳凰院って奴が見事だったな
４℃,へ？何かしたっけ、あの人？
友人,あいつが勝負の最中、何て言ってたか覚えているか？
４℃,いや…すごく格好よかったところだけは覚えているけど
友人,あいつが言っていたことは、これだ
４℃,おぉ、何でこんなところにまでパソコン持ってきてんだ？
友人,まぁ色々だ。実況してたしな
４℃,やっぱ…カッコイイな…鳳凰院さん
友人,いや、そうじゃねぇよ。何か気づいたところはないか？
４℃,ん？カッコイイところ？
友人,阿呆。最初の１文字を繋げて読んでみな
４℃,だるてきおさがせ……あ！
友人,そういうこった。ダルってのは、おそらく止めにかかったデブの名前だろうな
４℃,で、でも…こういう回りくどい言い方しなくても…直接、頼めばいいんじゃないのか？。そ、そうか…なるほど…
友人,あの場で即興で、こういう台詞を言えたところは…なるほどな。大した奴だよ
４℃,……
友人,こりゃ、強力なライバル出現だな、兄弟
４℃,……
友人,ま、しょうがねぇさ。次の手を考えるべきだな。まだまだいくらでも、チャンスはあるだろ？
４℃,……
友人,おい、どうしたんだよ。まさか、ここで諦めちまうとか言うんじゃないだろうな？
４℃,…うん
友人,え…？
４℃,…あのさ、フェイリスたんが勝ったときに、鳳凰院さんに見せた表情、覚えてるか？
友人,…いや。俺はあの騒ぎで、一足先に会場を出ちまったしな
４℃,そうか…。何というか、違ったんだよ
友人,違う？。……
４℃,多分あれが、フェイリスたんの…いや、留未穂さんの見せる本当の笑顔なんだ。それを見せる資格が、彼にはあるんだ…。敵いっこ…ないよ…
友人,……お前は、それでいいのか
４℃,いいんだ…。彼女が幸せになるのは…彼の隣だけだから…そこに、俺はいないから…
友人,…いいのかよ、そんな惨めな面まで見せて
４℃,何言ってんだよ…敗者は、いつだって無様なもんさ。でも、俺は…４℃だから…だから…もう、泣かないって決めたから…。だから、ここはクールに…ｸｰﾙ･ｶﾞｲに去るｱｳｪｲ。え…？
友人,……
４℃,何、してんだよ…腕、放せよ…
友人,お前、そこまで無理してどうするんだよ？
４℃,無理なんか…してない
友人,してんだろ、馬鹿
４℃,してねぇって！
友人,フェイリスが留未穂って奴に戻れるならな…
４℃,？
友人,お前だって、鈴木功に戻っていいんだぞ？
４℃,！！
友人,だからせめて、俺の前だけはそう気張んなよ。そんなギリギリなお前、見たかねぇよ
４℃,……
友人,……
鈴木,う…
友人,気が済んだか？
４℃,あぁ……
友人,…初恋って、実らないもんなのかねぇ…
４℃,……
友人,まぁ、気にすんな。今度一杯奢ってやっからさ！
４℃,酒は嫌いだ
友人,はぁ…じゃあコーヒーでいいな？いつもの店の
４℃,ケーキセット…
友人,お前、意外と図々しいな…。オーライ、それでいいさ
４℃,…ありがとな
友人,…いいって。腐れ縁だしな
４℃,男を介抱するなんて、気持ち悪い真似をさせて悪かったな
友人,え？あ、そういう事か…。べ、別に気にすんなよ
４℃,…お前には、いつも感謝してる…
友人,…ん。なぁ、鈴木
４℃,ん？
友人,…フェイリスには、留未穂に戻れる相手が、鳳凰院ってことだろ？。だ、だったらさ…俺が、その…お前の…鈴木功になれる、相手ってのは…駄目か…？
４℃,？言ってる意味が――
友人,あぁもう！焦れったいな！だから、俺は――
取り巻きＡ,リーダー！副リーダー！探しましたよ、ちぃーっすｗｗｗｗｗ！！
友人,。どうもさっきから見えないと思ったら…理由しだいじゃ※してやる…
取り巻きＡ,リーダーｗｗｗｗｗやりましたッスｗｗｗｗｗ藻れを褒めてｗｗｗｗｗｗ
４℃,あ、あぁ…え？やったって、何を？
取り巻きＡ,だから俺たちで、あの雌猫の店を襲撃しておきました！！
４℃,
友人,
４℃,こ、これは…
友人,これは酷い…
取り巻きＢ,あ、リーダーに副リーダーｗｗｗｗｗウィッシュｗｗｗｗｗｗ
取り巻きＣ,安価達成ｗｗｗｗｗｗｗｗｗざまぁｗｗｗｗｗｗ
取り巻きＡ,今ガソリン撒いたったｗｗｗｗｗアボーンｗｗｗｗアボーンｗｗｗｗ
４℃,そんな…なんで、どうして…
フェイリス,にゃー！フェイリスの店がぁー！！
４℃,げ！？フェイリスたん！？うわ、かつて無いほどの眼光でめっちゃ睨んでる！？
友人,サイレンも聞こえてきたな。消防と警察もそろそろだ
４℃,えぇ！？い、嫌だよ！まだ犯罪者はごめんだよ！
友人,はぁ…こうなりゃ、やることは一つだな
４℃,え？
友人,逃げるんだよ！
４℃,え！？ちょ！
友人,ほら、黙って走れー！
４℃,ちょ、待てー！腕を引っ張るなー！
俺の名前は４℃。数字の４に温度の℃。通称黒の絶対零度、"４℃,ｼﾄﾞ
好きな台詞は,知ってるか？乾いた氷は、肌を火傷させるんだぜ
友人,はぁーただいまっと…やれやれ、なんとか撒けたのは幸いしたな。ふぅー…帰った後はＰＣつけて、と…。ん？何だコリャ。さっきのスレ、次スレ立ってら。ったく誰だよ…。ま、いつもならスレストだが、今日は楽しかったからいいか。！！。……。はぁ～…。マジかよ…
鈴木,ったく、あいつから誘ったくせに、集合時間になっても来ないってのはどういうわけだ？。…ま、あいつが奢ってくれるのから別にいいけどよ…。遅ぇ…もう１０分も遅刻じゃねぇか！ったく、会ったら絶対怒鳴って――
友人,おい。///。…よう
鈴木,
友人,さ、さっきはよくも言ってくれたな？
鈴木,
友人,誰が遅刻だ、ばぁか。３０分前から来てたっつーの。それで気づかないとか、てめぇ…ふざけてんのか？
鈴木,お、お前…その、格好…
友人,う、うっさいな！！///安価は絶対なんだよ！
鈴木,……お
友人,な、何だよ…どうせ、似合ってないとか言うんだろ？
鈴木,お前、女だったのかー！？
友人,。…やっぱそうか。そうだと思ったよ
鈴木,へ？だ、だって…お前、いつも男みたいな格好して、それで、口調も――
友人,まぁな。中学高校も私服で、お前とはいつも違うクラスだったからな。でも…まさか本当に気づいてなかったなんてな…
鈴木,……
友人,はいはい、これで終了な。安価は達成したし…。悪かったな、着替えてくるよ
鈴木,へ？
友人,だって…俺が、こんなかっこしてても…その、変だろ？
鈴木,い、いや！
友人,無理すんなって…。分かってるよ。今更すぎて、お前を混乱させるだけだよな…
鈴木,だから、違うんだって！
友人,……へ？
鈴木,た、確かにビックリしたけど…それは、あまりにもギャップが激しかったせいもあるけど…。で、でもそれ以上に…その、お前の格好が似合いすぎてて…
友人,ッッ///
鈴木,その、白いワンピースとか、ピンクのミュールとか…お前にすごくはまり過ぎてて…あの、。あれ……なんで俺、こんなにドキドキしてんだろ…？。お前が、すっげぇ可愛かったから！だから、すっげぇびっくりしたんだ！！
友人,～～～～～///
鈴木,いて！ちょ、その靴で蹴るのはやめろ！刺さる！刺さるから！
友人,うっせバカ！死ね！氏ねじゃなくて死ね！。はぁ…ほ、ほら！行くぞ！
鈴木,あ！だから腕を引っ張るなって！
友人,い、行きたいとこがあんだよ！まだ安価消化してねぇーしな！
鈴木,あたた！わ、分かった！分かったから放してくれ！いろんな意味で死ねるから！
