モバＰ,美玲ー、今日はキグルミのお仕事をとってきたぞ
美玲,なッ！！？きゅ、急にかわいいとかやめろよ！もぅ！。あーもーうるさいなー！わかったよ！だからそんなに不意打ちでかわいいかわいい言うなよッ！真剣なカオでかわいいって言われると困るだろッ！
Ｐ,その気になってくれたか！
美玲,でも、ちょっとだけだぞッ！だいたい、こんな暑い中、ウチがキグルミきたらどうなるかなんて、そんぐらいわかるだろ！
Ｐ,大丈夫だ。今回キグルミの仕事をするのは美玲だけじゃない。ひとりじゃ暑さにやられちまうからな。今回の仕事は、美玲ともうひとりの二人一組でやってもらうぞ
美玲,なんだとッ…
Ｐ,既に本人に話しはつけてある。そろそろ約束の時間だから、ここに来るはずだけど…
美玲,うぅ…
Ｐ,安心しろ。キグルミにぴったりのアイドルを呼んである
美玲,ウチは、今までずっとひとりでアイドルやってきたから誰かと仕事なんて…苦手なのに…。キグルミっていったら、さっきプロデューサーが言ってた上田鈴帆か市原仁奈か…うぅ…いったいどっちなんだよッ！
姫川友紀,おっはよー！プロデューサーっ！
美玲,
Ｐ,おはよう、友紀。待ってたぞ
友紀,おお、美玲ちゃん久しぶり―！始球式のとき以来だね！
美玲,よ…よう。よりにもよって…コイツとキグルミのお仕事かよッ…！
Ｐ,というわけで以前話した通り友紀には美玲とキグルミの仕事をしてもらうぞー
友紀,地方営業ってやつだねぇー。どうせキグルミならねこっぴーのキグルミがいいんだけどなぁー
Ｐ,あれは特別なスーツアクターさんがやってるからアイドルはやっちゃダメなの
友紀,やだなーそんなのわかってるよー。そう、ねこっぴーがキグルミだって知ったあの日から…
美玲,本気で始球式のときまでキグルミだって知らなかったのか…？
友紀,まぁでも、キグルミの仕事ってのも楽しそうだからいっか☆美玲ちゃん、よろしくぅ！
美玲,いいけど、ウチに迷惑とかかけんなよなッ…
友紀,被るだけだから大丈夫だってー。同じキャッツのファン同士、頑張ろーっ！
美玲,って、勝手に好きな球団を一緒のにするなーッ！
友紀,えーねこっぴーが好きなのにそれはないでしょーあはは
美玲,べ…べつにあのデカイのなんか好きじゃないし！そんでまた叩くのやめろーッ！
Ｐ,ようやく鎌倉に着いたぞー
美玲,あ…暑い…
友紀,うっはぁー暑い！絶交の野球日和って感じだね！
美玲,そうなのか
友紀,ええー！こんなにいいトコなのにー！スターの球団がある県なコトは除いてね
Ｐ,関係者さんには野球の話はここでは控えような
友紀,はーい。あ、そうだプロデューサー。今日はミヤザキの甲子園出場校の初戦だからできれば中継みたいんだけど…なーんて…
美玲,仕事のときも野球の話か…
Ｐ,ああ、そのことなら休憩室にテレビがあるらしいから、休憩時間中なら見てもいいぞ
友紀,ほんと！？やったー！一応録画はしてあるけど
美玲,録画してあるならいいじゃんか
友紀,美玲ちゃんそれは違うよー。野球中継は生でしょ、生。ホントは球場で見たいけどね
美玲,コイツ…ほんとに野球が好きなんだな…
Ｐ,よし、キグルミのセットを運んできてもらったぞ。今日はこの牛若ねこねこ丸のキグルミを被って、自由に鎌倉巡りをしてもらうぞー。このシートで覆ってあるのが、胴体と、頭部かな。よいしょ
友紀,おおー！なかなかかわいいじゃーん！
美玲,これか…思ったより…でっかいな…
友紀,しっかしアイドルが顔出しなしでキグルミでお仕事するってのも変な話だねー。テレビで見たけど、あじさいきれいだったねー！
美玲,しかし、これ、サイズとか大丈夫なのか？
Ｐ,キグルミの体格は女性用に設計してあるらしいから、なんとかなるっていう話だけど…不安があるとしたら身長差ぐらいかな
友紀,ダイジョブダイジョブ！こういうのって誰でも着れるようになってるもんだからへーきへーき！
美玲,コイツのえらい自信はいったいどっからくるんだ？
Ｐ,ただ、美玲は少し体が小さ目だから、ちょっとムレるかもしれないから気をつけてな
美玲,むむ…
姫川,要するに攻守交代の入れ替わりで２回裏までやるってことだね
Ｐ,ともかく、まちのＰＲの為の大切な仕事だ。同行のカメラさんに失礼のないように、それと
美玲,い、いよいよか…
友紀,美玲ちゃん、ここは先輩アイドルとして、先をゆずってあげるよ
美玲,別にそんなんしなくてもいいし、どーせそろそろ甲子園の試合でも始まるからそれ見ときたいんだろ
友紀,え、そうだけど？
美玲,正直すぎるわッ！
友紀,いいからいいからいってきなって、これ以上気温が上がらないうちにさ。それにあたしは暑いの慣れてるし
美玲,そ…そういうところで気を使わなくていーんだよ…。キグルミの気持ちを知るため…か
友紀,？
美玲,な、なんでもねーよ。ともかくッ！ウチから先にやるからな
友紀,じゃあ、アタマかぶせるの手伝ってあげるね！。おー。やっぱり動いてるの見ると違うなー、うんうん
美玲,なんだこれ…予想以上に重いし、動きづらい…
友紀,よーし、美玲ちゃんファイト―！、んじゃーあたしはこのクーラーのきいた休憩室で甲子園見てるからさ
美玲,いいけど…仕事はちゃんとやれよなッ
友紀,うん、頑張る頑張る☆あ～涼しい部屋は生き返る～
美玲,…フンッ。よーし、やってやるぞ…。さて…キグルミを着て外に出てきたはいいけど…。ものすごく動きづらいぞッ！。この鼻のすきまのところから…外を見るのか…目からじゃないんだ…。視界が狭いのは慣れてるけど…。すっごいムレる…いつものフードの衣装の比じゃないし！。うーん…眼帯の目のおくが…あついよ…。こんなんで、ほんとにキグルミの気持ちになれるのか…。ていうか…これ被って…どうすればいいんだ…動くと暑いし…。キグルミって…こんなタイヘンなのかッ…
女の子Ａ,あー！ねこねこ丸だー！
美玲,！！
男の子Ａ,ほんとだー！初めて見たー！
女の子Ｂ,かわいー！さわってもいいのかなー？
男の子Ｂ,それぐらいいいだろー
美玲,や…やめろッ！
男の子Ａ,中に誰か入ってんのかなー
男の子Ｂ,どうせオッサンとかがやってんだろ
美玲,こ…これは…まずい流れだぞ…
女の子Ａ,やめなよー大変なんだからさー
女の子Ｂ,えー？中に人なんていないでしょー！
男の子Ａ,ちょっとどついてみようぜー
女の子Ａ,やめなってー
男の子Ｂ,このくらい平気だって！それ！
美玲,！？。うぁ…や…やめろちびっこどもッ…！道あけろーッ！。キグルミの中だから…痛くはないけど…。アタマが…ものすごくぐらぐらするー！
男の子Ｂ,おりゃおりゃ
美玲,ぁゎッ！
女の子Ｂ,あれ？今ねこねこ丸喋らなかった？
美玲,やばっ…思わず声がッ！。このままじゃ…まずいｯ！いろいろとッ！でも暑くて、動けない…。だ…だれか…
友紀,うわー。やっぱり動いてるねこねこ丸を見るのはかわいいなー！
美玲,！？。なんでここにッ！
友紀,こらこら君たち、ねこねこ丸をいじめるな！
男の子Ａ,おねーさん誰？
友紀,あ…あたしのことはともかく、ねこねこ丸をいじめちゃダメだからね、痛がってるよ！
男の子Ｂ,だって、こいつが殴ってもいいって…
友紀,いいっていったからって殴っちゃいけないでしょー、こんなにかわいいマスコットを
女の子Ａ,ほらーだからダメっていったのにー
男の子Ｂ,うっさいなーもー
美玲,助けられた…のか？
友紀,ともかく、ねこねこ丸に謝りなよ
男の子Ｂ,ねこねこ丸、殴ってごめんなさーい…
男の子Ａ,ごめんなさい…
美玲,……
友紀,うんうん。わかればいいよわかれば
女の子Ｂ,でもほんとねこねこ丸、かわいいよねーー
友紀,かわいいよねー！いやーでもねこっぴーには叶わないけどね！
女の子Ａ,あっ、それ知ってるー！
女の子Ｂ,やきゅうのてれびにでてた！
友紀,おっ、君たち話わかるクチ？球団はどこが好きなのかな？
美玲,おいッ！野球の話はしないって言われたはずじゃ…！
男の子Ｂ,おれは横浜かなー！
友紀,え？スターの球団！？あはは、ない、ない！
男の子Ｂ,なんだ敵チームかよー
友紀,まぁ万年最下位ってことに絶望しないうちに応援するチームを変えた方がいいよ！かわいいかわいいねこっぴーがいる強豪キャッツにさ！
男の子Ａ,なんかこの姉ちゃんすっごい腹立つな…
美玲,しょ…小学生相手に本気で煽ってんじゃねーッ！
女の子Ｂ,わたしは野球のチームははよくわかんないなー
美玲,ちょっ…暴走しすぎだってのッ…！ど、どうしよう…
男の子Ｂ,アーっ！思い出した！ねーちゃんこの前キャッツの始球式で投げてた人だ！
友紀,あ、やばっ。バレた？
男の子Ａ,すげー！有名人じゃん！
友紀,あ…あはは…そう…だったかもね…
美玲,何やってんだオマエ！なんとかして止めないと！
友紀,ぐほぁっ
女の子Ａ,きゃーっ、お姉ちゃんがねこねこ丸にひっかかれたー！
美玲,しまったーッ！
女の子Ｂ,お、お姉ちゃんだいじょうぶ！？
美玲,あ…あわわ…このままじゃ…
Ｐ,ちょっと君たち、通してくれるかな…ああー！こんなところにいたのか！ねこねこ丸！探したぞ！それにねこねこ丸の飼い主も！。ごめんねー、ちょっとねこねこ丸の餌の時間だから、この一人と一匹連れてくから！ごめんねー皆、ウチの者が迷惑かけて！
美玲,プ、プロデューサー！
Ｐ,ほら、さっさと撤収するぞ！
美玲,お、おぅ
Ｐ,すいません、お騒がせしましたー！
友紀,き…危険球…退場…
男の子Ａ,あのねーちゃん、ねこねこ丸の飼い主だったんだ…
男の子Ｂ,じゃああのにーちゃんは誰なんだよ…
Ｐ,全く、俺が物陰から様子みてたからなんとかなったものを…関係者に知られてたら大目玉だぞ！
友紀,ごめんなさい…
美玲,わ、悪かったな…プロデューサー…
Ｐ,まったく、カメラさんも編集でなんとかするって言ってくれたものの…イメージダウンになるようなことは避けてくれよ
美玲,ううう…。ていうか、なんでオマエはウチのところまで来たんだよ！
友紀,だって動いてる美玲ちゃんを見たかったから…
美玲,なんだよその理由！危ないところだったんだぞッ！
友紀,にしても、美玲ちゃんも美玲ちゃんだよ！
美玲,なッ！
友紀,あんな攻撃してくださいと言わんばかりに棒立ちだったら、ちっちゃい子はどうしたのかなーと思って近づいてきて、いたずらし放題になっちゃうよ
美玲,う…
友紀,そう、美玲ちゃんのキグルミはね、なんというか、ファンサービスがたりなかったよ！。野球の試合で、マスコットがファンに手を振ったりパフォーマンスしてくれるとうれしいじゃん？あれだよ、あれ
美玲,あれって言われてもわかんねーよ…
友紀,なんてゆーかこう、もっとねこねこ丸の腕をガーッてやって足をバーッて動かして体をグワーッってやる感じだよ！
美玲,なんか昔見たキャッツの試合でこんな監督いた気がするな…
友紀,ともかく、キグルミが直立不動とか挙動不審とかでも許されるのはドラゴンの球団のマスコットだけだから！
美玲,なんだそれ…
Ｐ,まぁ百歩譲っても鎌倉の小学生相手にキャッツを語ったらいかんだろ…
友紀,う…それは…反省してます…
美玲,まったく…
友紀,はーい…
Ｐ,美玲も休憩中はしっかり休んで次に備えるんだぞ。ただでさえ暑くて体調崩しやすいんだから
美玲,う…うん…。アイツ…ちゃんとやってんのかな。プロデューサーは休んでろっていってたけど…。アイツのことだから…なんかまたヘマしてるんじゃ…。……。…別にアイツのことが心配で見にいくんじゃないからなッ。ほんとだからなッ。よし、アイツのキグルミが見えるとこまで来たぞ。Ｐと同じく、物陰から見てよう
男性Ａ,あー！ねこねこ丸みっけー！
女性Ａ,ウソ―！キャー！
美玲,うわッ！。ねこねこ丸…すごい人気だな…
ｶｯﾌﾟﾙ男,おー！手をふってくれたー！
ｶｯﾌﾟﾙ女,かわいー！キュートー！
美玲,フン…あいつちゃんとやってるじゃん。ねこねこ丸って…動かそうと思えばあんだけカラダ動くのか…。そっか、お客を楽しませるってのはあーゆうー…
ｶｯﾌﾟﾙ男,じゃあ、写真撮るねー！ハイチーズ
ねこねこ丸,友紀
ｶｯﾌﾟﾙ女,うわー！ギュッてしてくれたー！こんなこともしてくれるんだー
美玲,にしてもあれは、やりすぎじゃないか？
ｶｯﾌﾟﾙ男,ねこねこ丸、またねー！
ｶｯﾌﾟﾙ女,バイバーイ！
美玲,アイツ、ウチに言ったことはしっかりやってるんだな…やるじゃん…ん？
ねこねこ丸,友紀
美玲,うわッ！こっち来たッ！
ねこねこ丸,友紀
美玲,な…なんだよ…
ねこねこ丸,友紀
美玲,ふぁ！？は、離せ…苦し…
ねこねこ,友紀
美玲,や…やめろぉ…。あ…でも…なんか…もふもふしてる…柔らかい…。でも…これ…すっごい暑い…うう
Ｐ,おーい…そろそろ交代の時間だぞ…って、何やってるんだ二人とも…
ねこねこ丸,友紀
美玲,……きゅう。…オマエ。さっきはなんのマネだッ！暑くて倒れるところだったんだぞッ！
友紀,いやー、お客さんの喜んでいる顔見たらさー、なんか嬉しくなっちゃってさー、なんだかテンションあがっちゃってー！。ついつい美玲ちゃん抱きしめちゃった
美玲,ついで済むかッ！
友紀,あははは、ごめんごめん。でも、本当にうれしくなっちゃうんだよね。なんかさー、マウンドでダンスとかファンサービスしてくれるねこっぴーが、応援してるお客さんの喜んでるカオ見たときにおんなじ気持ちしてたのかなとか考えちゃったりして、。試合中はキャッツの選手ばっかり見てたけど、マスコットの気持ちになって見るのもありだね！
美玲,…また野球の話…。もっとこーいうのはキグルミを着こなしてるヤツがやるべきだとは思ってたけど…コイツはどんな状況でも楽しめるんだな…。Ｐがコイツを選んだのはこういうことなのかも…
友紀,あ、そろそろ時間だ。美玲ちゃん、最後のキグルミ後半戦、頑張ってきてね！フレーフレー
美玲,とにかく…ウチはウチなりに精一杯楽しんでやってみよう…。おぅ…さっきはひっかいて、悪かったな…オマエのおかげで、どうやってやればいいか、わかった気がするぞ
友紀,いっけー！そこだー！ミヤザキノベガク―！！え？美玲ちゃんなんだって？
美玲,…なんでもないッ。その後ウチとアイツで、キグルミの仕事をしっかり１回ずつこなし、程なくして時間がやってきた。キグルミの動きにも途中からだいぶ慣れてきて…なんとか最後までうまくやれたと思う。…のはずだったのだが。
Ｐ,いやーキグルミの仕事、なかなか評判だったな。最初はどうなるかと思ってヒヤヒヤしたけど、なんとかなってよかった
美玲,フン…これくらいはウチに余裕だぞッ！そ、それに…キグルミの中でも意外とちやほやされるのも…悪くないし
Ｐ,子ども相手にもしっかり飛び跳ねて手を振ってくれた美玲、なかなかかわいかったぞ
美玲,そ…そういうところは見てなくていいんだよッ！もうかわいいって言うな！いいからもう仕事終わったし、帰るぞッ！
Ｐ,実はさ、そのことなんだけど、予想以上に好評だったから、さっき関係者の方と連絡とって、あと１回ずつくらい延長できないかって話がきたんだけど…
美玲,ええー……これで終わりだと思ったのに。まぁ…実際楽しかったから、もう少しぐらいいっか。別に、ウチはまだまだできるよ。でも仕方なくなんだからなッ！
Ｐ,引き受けてくれるか！よかった、これも二人のおかげだよ！
美玲,まぁ、もとはといえば、この仕事をウチにもってきてくれたのはプロデューサーだし…。うん…わかった。おーい？いるかー？
友紀,あー！美玲ちゃんおかえりー！いやーお仕事おっつかれー！
美玲,お、おう…それなんだけどさ、キグルミが好評だったからあと一回分延長してくれないかって話がきたぞ
友紀,えー！もう一回入るの？あぁー…うん！大丈夫、よゆーよゆー☆
美玲,そ、そうか。コイツ、テンションおかしくないか？。応援してた甲子園のチームでも勝ったのかな
友紀,つーわけで行ってくるからあたしがさきに着替えてやっちゃうね！
美玲,う、うん
友紀,これでよしっ…と！代打姫川、延長戦行ってきまーす！
美玲,アイツ本当に大丈夫か？。…ん？なんだこの缶。ってこれ！缶ビールじゃないかッ！しかも結構な数ッ！。アイツ…仕事が終わったからって…飲んだなら断れよ！。ま…まずい、早くあいつを止めないとッッ。い…いた！
ねこねこ丸,友紀
男の子Ａ,もー昔のキャッツの選手は出されてもわかんないからもーいいよー
男の子Ｂ,ていうかねこねこ丸ってフツーに喋るんだな
女の子Ｂ,ねこねこ丸って野球に詳しいんだねー！
女の子Ａ,てゆーかこの声さっきどっかで聞いたような…それになんだかお酒くさい…
美玲,ちょっ…キグルミで野球選手のモノマネするなよ！
ねこねこ丸,友紀。友紀
男の子Ａ,おっ！なになに
男の子Ｂ,面白くなかったらゆるさねーぞー
ねこねこ丸,友紀。友紀
美玲,何やってんだ馬鹿ーッ！
ねこねこ丸,友紀
女の子Ａ,キャーッ！突如現れたお姉ちゃんにねこねこ丸がひっかかれて倒れたー！
女の子Ｂ,ねこねこ丸、大丈夫！？これ、アル中？きゅうきゅうしゃー！
美玲,し、しまったーッ！！
Ｐ,…
友紀,あは、あははは
Ｐ,俺が仕事の前に言ったこと思い出した？
姫川,…思い出しました
お気づきの方もいるかとは思いますが、作中の,牛若ねこねこ丸
