姫川友紀,いーまこ～そ戦え～♪
美玲,いや、そんなことないけど…
友紀,何だって良いじゃん！とりあえず、１人目の野球ファン獲得！ってことで。幸先良いねっ！
P,…なんかよく分かんないけど。怪我だけはしないようにな
友紀,はーい！。…じゃあ、早速、キャッチボールから始めよっか！
美玲,えぇっ、早くないかッ！？どんなチームがあって～、みたいな話じゃないのかフツー！？
友紀,堅い話は、体動かしながらでもできるから！
飛鳥,…ボールは、柔らかいヤツがいいな。当たっても痛くないぐらいの
美玲,ゴムボールじゃないかッ？！
飛鳥,フッ、イタいヤツはボク１人で充分さ
美玲,誰が上手いことを言えとッ？
友紀,あははっ、オッケー！じゃあ、まずはロッカーに探しに行くところからだね！行っくぞー、ダーッシュ！
飛鳥,ほら、美玲。置いていくよ
美玲,…な、なんか今日のアスカ、珍しくアクティブだなッ！？待ってくれー！おーい…
友紀,ところでプロデューサー、あんまり元気ない？どうしたの？
P,え？…あー、うん
美玲,何か仕事で問題でもあったのかッ？
P,いや、そういう訳じゃないけど…。諸星さん、このまま入団までしてくんないかなーって
友紀,…あっ
美玲,あー…
飛鳥,？
