姫川友紀,ラジオネーム2億4千万のひちょりさんからだよ
友紀,そう、そこなんだよ。守備につかずにリズムを作れる選手があまりいないんだ
アーニャ,リズム……ですか？
友紀,そう、リズム。よく言うでしょ？守備からリズムを作るとかさ
拓海,あー……なんか解説者が言ったりしてんな
友紀,普段守備につくのが当たり前の選手が、いきなりDHになったら結構戸惑うよ
拓海,普段は守備で身体動かしてる部分がなくなって、ベンチにいる時間が長くなるからな
アーニャ,カラダ、冷えちゃいますね
友紀,守備につかなくていいから楽って言うけど、結構難しいもんだよ
拓海,DHありで上積みできない戦力の部分で差がついてるってことか？
友紀,去年のセパの5勝の差はそんなとこだと思うよ。もう選手の質でそこまで差はついてないと思うね
拓海,まあ3年前に比べりゃマシになったよな
友紀,3年前は嫌な事件だったね…
アーニャ,セリーグ、財政破たんですね？
友紀,あの頃に比べりゃマシだよ…
拓海,次がラストか。アーニャ読んでくれ
アーニャ,ダー……ラジオネームオバンドー英二からですね
友紀,んー、また際どいところを
アーニャ,私は杉谷拳士選手のファンなのですが、彼は今シーズン生き延びられるでしょうか？
拓海,流石にクビはねえだろ？
友紀,まだ大丈夫だね。年俸そんなに高くないし
アーニャ,スギヤと言えば、メットライフドームのウグイス嬢、ですね？
拓海,いつも盛大にイジられてるな
友紀,でもこの間の試合はノータッチだったよね？
拓海,杉谷が急に昇格してきたせいじゃねえの？
友紀,ちゃんと準備が必要だもんね
アーニャ,ダー……スギヤが悪いです
友紀,サブロ～～～～～の人だね
アーニャ,クラスィーヴィ……美しくて、聞き入る声ですね
拓海,……1500試合？
友紀,鉄人だね！
アーニャ,とてもすごい、です
拓海,1500試合の間、1試合も休まず場内アナウンスするとか鉄人だな
友紀,今日のおたよりはここまでだね！
アーニャ,友紀が、DHについて熱弁してましたね？
友紀,そうだねー。もう何回目だろ？って話題だからね
拓海,セリーグにもDH入れろとか言われてるな
友紀,あたしは反対だね。やっぱりリーグの個性は大事にすべきだよ。プロ野球は興業なんだから！
拓海,ま、それもそうだな
友紀,それじゃCM挟んで次のコーナー行くよ！
アーニャ,次は……私のメモリアル、です
新田美波,……というわけで、広島風お好み焼きという独自の文化を育んだのよ
友紀,……はい
拓海,……はい
美波,じゃあ一通り説明終えたところだし、お好み焼きでも食べに行こっか？
友紀,もういいよ！さっきたらふく食べたよ！
美波,そう？さっきのは豚玉だったから、今度は海鮮メインで攻めてみようかなって
友紀,これ以上食べたらお腹パンクするよ！
美波,むぅ……仕方ないなぁ
拓海,……姫川・向井のヒットエンドラジオ
友紀,タイトルコール忘れてなかったね
拓海,……おう
友紀,あれからしばらくソースの匂いが怖くなりましたとさ
拓海,ちっともめでたくねえわ
アーニャ,ミナミ、オコですね？
友紀,静かに怒るタイプだったよ
アーニャ,私も何度か怒らせたことがあります
拓海,アーニャもあるのか？
アーニャ,ダー……二人と同じ案件で、です
友紀,あっ……
拓海,次はこのコーナー。メモリーズシンデレラだ！友紀、説明頼んだ
友紀,はいはーい。このコーナーはゲストさんが特に思い出に残っている1試合をセレクションしてもらいます
拓海,アーニャの思い出の1試合か…
友紀,スレッジの逆転サヨナラ満塁ホームランかな？
拓海,古すぎねえか？
アーニャ,スレッジ…？あまり覚えてないですね
拓海,ほらな
友紀,むむむ、難しいね
アーニャ,それじゃ、答えオープンしますね？
拓海,おう、いいぞ
アーニャ,私のメモリアルは、こちらです
友紀,あー、見せ大谷じゃなくて西川のサヨナラ弾かー！
アーニャ,第6戦もすごかったですけど、やっぱりハルキですね
拓海,この日全くダメだった西川がまさか打つとは思わねえよな
アーニャ,大きな声、でちゃいました
友紀,近所迷惑級の声が出ちゃうよね！
2016年10月27日,木
勝利投手バース,2勝0敗
敗戦投手中崎,1敗
本塁打西川1号,9回4点中崎
友紀,この試合の凄いところって、ファイターズの継投なんだよね
拓海,一歩間違えれば大惨事だったワケか
友紀,勇気の要る決断だよね
アーニャ,クリヤマ監督の采配は、神がかりでしたね
友紀,采配がビタリとハマってたからね
拓海,大谷ありきって言ってもよ、栗山監督の采配がなきゃどうにもならんかっただろ？
友紀,そうだね。抑えのマーティンも不在の状況でよく勝ったよね
アーニャ,クリヤマ監督、とっても凄いです。でも……
友紀,でも？
アーニャ,……ちょっと、発言が怖い人、ですね？
拓海,大分言葉を選んだな
友紀,気持ち悪い以外は完璧な男だね！
拓海,オマエはもう少し言葉を選べ！！！
友紀,はーい。以上、メモリーズシンデレラのコーナーでした！。エンディングの時間だよー！
アーニャ,あっという間、でしたね
拓海,今日はどうだったよ？
アーニャ,とても、楽しかったです
友紀,よかったよかった！
アーニャ,そろそろお腹が空いてきましたね
友紀,じゃあ寿司でも食べに行く？
拓海,スタッフ、寿司ねえの？
友紀,じゃあ後で回転寿司でも行こっか
拓海,アタシ、回らない寿司食いてえなあ
アーニャ,予算オーバーですね？
友紀,じゃあ締めよっか。姫川・向井のヒットエンドラジオ！ここまでのお相手は姫川友紀と！
拓海,向井拓海と！
アーニャ,アーニャでした
友紀,それじゃあまったねー！
拓海,マグロ食いてえ
友紀,あたしはサーモン！
アーニャ,サルディーナ、イワシ食べたいです
姫川友紀：星井美希,765プロ
向井拓海：西城樹里,283プロ
アナスタシア：桜庭薫,315プロ
