ありすが色々なキャラを論破,仮
周子,実家から送られた和菓子が余ってるんだよね～
かな子,や、やめて・・・またバラエティで体重増えた？っていじられちゃう・・・
ありす,・・・次に行きましょう
杏,あ～ダルい・・・
フレ志希,確保～！
杏,え？なにこれ
ありす,杏さん、論破の時間です
杏,なにその妙な企画・・・
ありす,杏さん、週休何日を希望しますか？
杏,八日を希望しま～す
ありす,でも最近プロデューサーさんと仕事をするのも仲間とアイドルするのも割と好きになってますよね？
杏,うっ・・・そりゃまあ否定はしないけどさ～
ありす,論破です。というわけで今回、杏さんに休みを与えたいと思います。フレデリカさん
フレ,は～い
ありす,４畳半の部屋に連れて行きなさい。うえきちゃんも一緒にお願いします
フレ,りょうか～い！
杏,え、ちょっとそれは・・・やーめー！
ありす,・・・次、論破しましょう
きらり,にょわっしょー☆
志希,確保だ～！
きらり,確保されちゃったにぃ☆
ありす,きらりさん・・・論破の時間です
きらり,にょわ？
ありす,昨年のセリーグ優勝はまぐれでしたね笑
きらり,
ありす,ふっ、論破です。志希さん、お願いします
志希,は～い、ヤクルトの流出した選手のデータから山田哲人がいつヤクルトを出ることになるかプレゼン発表しま～す
きらり,
ありす,さて、帰ってくるまで待ちましょう
美嘉,おっはよー★
周子フレ志希,確保～！
美嘉,え、ちょっとなにこれ？
ありす,LiPPSのメンバー、城ヶ崎美嘉さんですね？そのカリスマ性で世間に人気、違いありませんか？
美嘉,えっと状況がまだよくわかんないんだけど・・・？そう、なのかな？
ありす,論破の時間です。周子さん、例の物を
周子,ここに！
みりあ,みりあもやーるー！
美嘉,かっ・・・かわいい・・・
ありす,周子さん、みりあさんの耳をふさいでください
周子,御意～！
美嘉,ちょっうらやまっ・・・いいや違うちょっと待ってなにこれ！？
ありす,カリスマ笑
美嘉,げべふっ・・・
ありす,論破です。しかしLiPPSメンバー、ここは温情でこちら側に入れて差し上げましょう
美嘉,はい・・・
ありす,では仲間も増えたところで次の論破へ行きましょう
美波,おはようございます！
周子フレ志希美嘉,確保～！
美波,へ？えっと、これは？
ありす,美波さん、論破の時間です
美波,えっと、まだ状況が呑み込めないんだけど・・・
ありす,アニメで硬い棒を握って○クロスしてましたよね？
美波,ちょっとそれは風評被害っ・・・！
ありす,隣にアナスタシアさんを置いてがんばれ♡がんばれ♡ってしてましたよね？
美波,ぬはっ・・・
ありす,論破です。さて、仕置きは・・・そうですね、美嘉さん
美嘉,は、はい！
ありす,別室で美波さんと猥談してきてください。お願いします
美嘉,え、ちょっとそれって私のお仕置きも兼ねてないっ？ってちょっと！
美波,もうお嫁にいけない・・・
ありす,さて、次の論破に向かいましょう
アーニャ,あー、おはようございます
周子フレ,確保～！
アーニャ,ダー？
ありす,論破の時間です、アナスタシアさん
アーニャ,アリス・・・ロン、パ？シトー、わからない、です
ありす,昔はもう少し日本語が上手だったのに年を経る度に日本語が下手になってませんか？
アーニャ,Договорились・・・！
ありす,論破です。フレデリカさん
フレ,はーい！
ありす,ハーフとはなんたるか、教えてあげてください
フレ,御意でござる～！
アーニャ,ダー・・・
ありす,争いは・・・何も生みません・・・行きましょう
みく,おはようございま～す
李衣菜,おはようございま～す
周子,はい確保～
みく,え、ちょっとなんですか・・・？
李衣菜,ちょっとみくちゃん！テレビかもしれないから猫キャラ猫キャラ！
みく,キャラじゃないにゃ！李衣菜ちゃんこそギター忘れてるにゃ！
李衣菜,ギターなくてもロックだし！
ありす,論破の時間ですよ。痴話喧嘩は後にしてください。まず前川さん
みく,前川さんって・・・
ありす,猫キャラで行くのはいいとして、魚嫌いって大阪人の血が魚嫌いのアイドルキャラのほうが面白いって判断したんですか？
みく,違うにゃ！
ありす,それと李衣菜さん、にわかロックは卒業しましたか？ギターとベースの見分けはつくようになりましたか？
李衣菜,も、もちろん！・・・た、たぶん・・・
ありす,論破です。周子さん、例の方と例の物を
周子,つれてきたよ～ん
夏樹,よぉ、久々に練習すっか
涼,アタシはそこまでギターは得意じゃないけどな
ありす,李衣菜さんはお二方とギターの特訓をしてください
李衣菜,は、はい・・・がんばります・・・
みく,え、みくは？魚食べさせられちゃう？
ありす,そこにくさやがあるので焼いて食べてください
みく,いきなり難易度高すぎにゃ！
ありす,ふぅ・・・論破とはかくも悲しきものなのですね
奏,おはよう・・・
周子フレ志希美嘉,確保～！
奏,あら、捕まっちゃったわ
ありす,論破の時間です。奏さん！
奏,ふふ、かわいらしい論客ね
ありす,余裕なのもこれまでです！この間美嘉さんにからかわれた時、耳が真っ赤になった事は調べがついているんです！
奏,あら、えっと、その時後ろにいたのは周子だったかしら？
周子,さ、さー？
奏,口笛、吹けてないわよ？
ありす,つまり口では達者なことを言ってますが実はキスも未経験の処女なんです！論破です！
奏,ふふっ、論破されちゃったわね・・・でも
ありす,な、なんですか？
奏,その口を塞いだら・・・論破、できなくなるわね？
ありす,か、顔が近いです・・・！///
奏,ふふっ、綺麗な唇ね・・・唇は何のためにあるのかしら？
ありす,・・・///
奏,さて、ありすちゃんを唆して遊んでたのはどちら様かしら？
周子,
フレ,
志希,
美嘉,あ、アタシ違う！アタシ被害者！
奏,お仕置き、何にしましょうか？ふふっ
周子フレ志希美嘉,お助け～！
フレ,いやー普通ってすごいよねー！だって普通って普通なんだよ？あれ？普通ってなんだっけ？そもそもなんでこんな話してるんだっけー？
卯月,普通普通・・・
志希,さあどうだ～！加齢臭！
凛,こ、これはこれで・・・
周子,いやー、アイドルってなりたくてもなれない人がいるもんだからね～？
未央,はい・・・その通りです・・・
周子,おいしー？ほらもっとあるよ～はいあ～ん
かな子,はい、おいしいです・・・
うえきちゃん,
杏,
志希,とまぁ年俸の高騰が進んで最終的に出さざるを得なくなるのかな～？
きらり,哲人・・・
美嘉,わ、猥談ってどんな話をしたらいいのかわかんない・・・！
美波,カリスマギャルの美嘉ちゃん・・・いったいどんな話をするつもりなの・・・？
フレ,それにしてもハーフって失礼だよね！カロリーハーフのマヨネーズじゃないのに！ぷんぷんだよ！
アーニャ,Справка・・・！
李衣菜,こ、こう！
夏樹,練習サボってたのか？もう一回
涼,鬼コーチだな
みく,ヴォエ！くっせえにゃ！
