伊168,以下イムヤ
イムヤ,無駄よ…今の私なら、きっと何にでも耐えられるわ
提督,お、早いな。入っていいぞー
長門,失礼する。全戦艦、身支度が整った
提督,ああ…長門か。ん、了解した。あとは――
伊19,以下イク
呂500,以下ろーちゃん
長門,ん？なんだなんだ
提督,ああ、気にしないでくれ。報告ありがと、待機していてくれ
長門,あ、あぁ…失礼する
提督,…二人にはイムヤをドッグまで引き摺っていってほしいんだ
イク,えぇ…面倒くさいのね
ろーちゃん,なかなか難しそうですって
イク,提督、なにしたの？
提督,まぁ…お互いに意地を張っているだけだ
ろーちゃん,いつものことですね！
イク,…ご褒美は弾んで欲しいのね
提督,ああ、分かった
イク,さ、イムヤ！行くのね
イムヤ,………
ろーちゃん,行きますって～！
イムヤ,司令官が好きって言うまで、動かないわ
イク,……提督？
提督,………
イク,！
ろーちゃん,大丈夫ですって！行きますって！
イムヤ,動かないったら！
イク,…ふっふっふ…イクの使われなかった秘蔵玩具が火を吹くのね
イムヤ,。……分かったわ…行けばいいんでしょ？行けば！
イク,なんだ、結局使われなかったのね
ろーちゃん,こっちですって～
イムヤ,知ってるわよ！。………
提督,
イムヤ,…………馬鹿
提督,…こんな事を…そんな姿のお前に言えるかよ
飛鷹,失礼します。軽空母、準備終わりました
赤城,正規空母も終了しました
提督,ああ、ありがとう。お疲れだったね
飛鷹,隼鷹…酒飲んでなかったのよ
提督,…あの隼鷹が？
赤城,加賀さんと瑞鶴さんも協力し合ってました
提督,なん…だと…
瑞穂,失礼します――あら、お二人共いらっしゃったんですか
赤城,あら、どうも
飛鷹,
瑞穂,水上機母艦、並びに補給艦、揚陸艦、練習巡洋艦、工作艦、準備終わりました
提督,ん、お疲れ様
瑞穂,いえいえ
赤城,では
飛鷹,……ご健闘を
瑞穂,ぐっどらっく、です！
提督,ワハハ…
ゴーヤ,……イムヤはまだでち？
提督,やっとのこさ入渠させてる
ゴーヤ,イムヤ以外は準備できてるよ。待ってるでち
提督,ん、ありがと
ゴーヤ,………
提督,ん、どした
ゴーヤ,…ちょっと面倒くさい所もあるよね
提督,…うん、まぁ
ゴーヤ,でも？
提督,そこが可愛い
ゴーヤ,……しっかり守ってあげてね
提督,…ああ
イムヤ,――戻ったわ
提督,ん、お疲れ
イムヤ,さぁ、しれいｋ――
提督,――総員、鎮守府正面玄関前へ集合
イムヤ,えっ？
提督,イムヤも、荷物はまとめてあるだろ？
イムヤ,ま、まだよ！
提督,よしよし。えー、あー、ﾏｲｸﾁｪｯｸﾏｲｸﾁｪｯｸ。――終戦の二文字が発表されてから、一月が過ぎた。知ってのとおり、これから君達は、艦娘ではなく、ただの一人の人間として生きていく。今この時こそ、別れの時。……まぁ、二度と会えなくなる訳じゃない。むしろ、これからが楽しいはずだ。それぞれの道、それぞれの未来…いろいろある。そう、例えば、本当の結婚。……今日という日に、全員にケッコン指輪を渡した俺は、ずっとこうする事で、ケジメを付けるべきだと考えていた
イムヤ,ご、ごめんなさい！遅くなったわ――
提督,俺は…イムヤと共に生きてこうと思っている
イムヤ,………え？
提督,イムヤ、荷物置いて、こっち来て
イムヤ,え、ええ？え、ちょっと…なにこれ、え？
提督,いいから
イムヤ,
提督,……俺と、一緒に来てくれ。イムヤ
イムヤ,――――も、勿論よ
加賀,では…この指輪はもう必要ありませんね
赤城,そうですね…あ、でも売れば何かにかえれるかしら
古鷹,赤城さん、野暮ですよ
鈴谷,結構気に入ってたんだけどなぁ
朝潮,…もう、これがなくても繋がっているって、分かっていますからね
天津風,良い事言うじゃない。それじゃ――
ゴーヤ,結婚、おめでとう、イムヤ
雪風,それーっ！！！
ヲ級,ｦｯ!?
ほっぽ,ﾜ、ｷﾚｲ…
港湾,ﾎ､ﾎﾝﾄﾀﾞ…ﾊｲﾗﾅｲｹﾄﾞ…
ヲ級,ヲヲ…？
イムヤ,………ねぇ、しれいｋ――違うわね…あ、あなた
提督,ははは、天津風みたいだな
イムヤ,も、もう！こんな時まで他の子の話？
提督,ごめんって
イムヤ,昔からそうよね。本筋から逃げるようにして
提督,返す言葉もございません
イムヤ,でもね、最後には、きちっとやっちゃうとこ、すごいと思うわ…ねぇ、あなた
提督,なにかな
イムヤ,私は、あなたが好きよ
提督,――ああ
イムヤ,好きって言って？
提督,大好きだ
イムヤ,――も、もう一回！もう一回言って！
提督,……愛してるよ、イムヤ
イムヤ,――ｸｽｯ…ずるいわ、あなた――私も――愛してる
提督,ずっと一緒だ
イムヤ,ええ、これからずっと、一緒に居ましょ、ね
