前川みく,15
Ｐ,その通りっ！余り物という粗末な食べ物に加え俺が食うのを躊躇われるものを押し付けてやるっ。冷凍庫から鮮度の落ちた昨日作ったご飯を解凍し温め、加えて俺が苦手な味噌汁と野菜の炒め物だ。味をごまかして食べれないように野菜炒めは薄味！塩コショウと醤油少し。さあ食らえっ
みく,にゃ、にゃ……でもＰチャンの分は無いのかにゃ？
Ｐ,俺はお前を見つける前に食っておいた
みく,…………
Ｐ,……そ、それと俺にはこの小腹がすいたときのにぼしがある！
みく,えっと……ｐ、Ｐチャンも一緒にたｂ
Ｐ,ならぁぁん！それは俺がお前にお仕置きで用意したスペッシャルメニューなのだ！。大人しく食べねばこのにぼしを押し付けるぞぉぉ？
みく,に”ゃっ！い、いただきますにゃ！！
Ｐ,ふはは食べたくないという意思を押さえつけられて食うご飯は十分にお仕置きになるだろう！
みく,……ごちそうさまにゃ
Ｐ,うむ、腹が膨れて苦しかろう。どうだ参ったか
みく,何だかんだでとってもお世話してくれてるにゃ……なんかヘンな言い方されるけど…
Ｐ,お次はその膨れた腹に更にこれを追加だっ
みく,にゃ……ミルク？
Ｐ,一度温めた後にわざと冷やして少しぬるくなった飲み物だ。因みにこれも俺の苦手な物の一つだ。さあ飲めっ
みく,にゃ……あったかいにゃ、猫舌だから飲みやすいにゃ
Ｐ,冷たいと腹を壊してしまう上に、あっためると少々においがきつくなる。その両方を兼ね備えた恐怖の液体！！。ふはは！じっくりと味わうがいい！
みく,あったかいにゃ……ミルクも、Ｐチャンも……。ありがとうにゃん、Ｐチャン♪
Ｐ,ふむ……少々失敗したようだ、逆効果になってしまった。ならばここで挽回のお仕置きは……これだ！
みく,！！
Ｐ,ふはははは！どうやらこれは効果ありそうだなぁ、んん？
みく,ねこじゃらし……
Ｐ,ほぅれどうしたぁ？お前の目の前をチラチラして邪魔だろう？イライラするだろう？
みく,う”～……に”ゃっ！
Ｐ,おっと甘い！。ほれほれまだこいつは健在だぞ～？
みく,にゃっ！にゃぁぁっ！
Ｐ,まだまだまだぁっ！そしてもう一本追加ぁっ！！
みく,にゃぁぁぁぁっっ！！！！。づ……づかれたに”ゃ……
Ｐ,ふ、ふ、はは……どぉだ……ｾﾞﾊｧ……これには参っただろ……う…………ｾﾞｰﾊｰ
みく,Ｐチャン……疲れすぎだにゃ……
Ｐ,お仕置き……だからな……ﾌｰｯ……お前をお仕置きする為ならば全力も厭わん
みく,もうお腹一杯の上に疲れて一歩もうごけないにゃ……
Ｐ,お仕置きの甲斐あったなこれは、ふはは。動けるようになるまでそこで放置プレイだ
みく,にゃ～……いいもん疲れたからここで寝ちゃうにゃ……
Ｐ,おー寝ろ寝ろ。お仕置きの最後は普段自分が寝ている場所とは違う所で寝かされるだ。ここは俺の家であってお前の家ではないからな。安眠できないという事が最大のお仕置きだっ
みく,知らないにゃーん。みくを励ましてくれてご飯までご馳走してくれた人とそのお家が居心地悪いと思うかにゃ？
Ｐ,ぬっ。反抗的なやつめ、いいからそのまま熟睡できん眠りに落ちるがいい
みく,そうさせてもらうにゃん♪おやすみなさいにゃ……Ｚｚｚｚｚ
Ｐ,……テーブルに突っ伏して寝たか。しかぁし！お仕置きにはあともう一つ裏メニューがあるのだ！！。裏メニューは……普段俺が使っている汗臭い筈のベッドへ放り込むだ！！。このお仕置きは途中で起こしてしまったら失敗だからな、慎重に運んでやらねば……。よし、作戦は成功。あとは掛け布団もかけて圧迫してやる。………んじゃあな、おやすみさん。みく、今日のライブは悔しいかったろう。次は勝とうな。俺はっ…と……んま、とりあえず床でごろ寝でもすっか、もう疲れてだりぃし。んじゃ俺もおやすみっと……Ｚｚｚｚ
みく,んぅ……あれ、ここ……Ｐチャンのベッド？。いつのまにかベッドに運んでくれたのかにゃ……Ｐチャンにあったかく包まれる夢はこのせいだったかにゃ…。んぅ～～っ……ふぅ、Ｐチャンはどこかにゃー？。Ｐチャーン？どこにいるにゃー？
Ｐ,……ＺＺＺｚｚｚ……ｹﾞﾎｯ
みく,に”ゃっ！？床で寝てるにゃ！？。しかも咳き込んでるにゃ！。Ｐチャン！……熱もあるにゃ！
Ｐ,んぁ”～……お”はよう……ｺﾞﾎｯｺﾞﾎｯ!
みく,にゃんでこんな所で寝てるにゃ！Ｐチャン風邪ひいちゃってるにゃ！！
Ｐ,あ”～……昨日のお前へのお仕置きの後に俺も寝たからな……ｹﾞﾎｯ
みく,みくばっかりお布団で寝させて自分は床にゃんて……だから冷えて風邪ひいちゃうんだにゃ！。Ｐチャン自分の事をおろそかにしすぎにゃ！！もー怒ったんだから！。……今日はたっぷりＰチャンにつきっきりでお仕置きしてあげるんだから覚悟してにゃん♪。……Ｐチャンひとまず動けるかにゃ？まずはお布団にいくにゃ！。名づけて動けない体を無理やりおこして引きずるアタックにゃ！！
Ｐ,う”～……体がいてぇ
みく,ほらー！床でなんて寝てるからにゃ！！もうこのまま担いで連れてくにゃ。に”ゃ、ぁ、ぁ……お、重たいにゃ
Ｐ,あんま無理、すんな…ｹﾞﾎｯ……なんとか立てるから
みく,にゃぁ～……それなら少しでも支えるにゃ。にゃんとかお布団には入れれたにゃ……ふぅ
Ｐ,ｹﾞﾎｯ!……こりゃ完全にアウトだわ……今日はオフだったから良かったものの、ｹﾞﾎｯ!
みく,大丈夫かにゃ……？辛そうだにゃ……
Ｐ,あ”ー心配しすぎだ、風邪ぐらい寝てれば治る
みく,にゃっ！？お仕置きするつもりが逆にし返されたにゃ！。こうしてはいられないにゃ！次のお仕置きにゃ！。にゃにゃにゃーん！口に棒状の機械を無理やり押し込むアタック！！
Ｐ,あだっ……歯に当たったぞ
みく,あにゃ、ごめんにゃ……って！お仕置きだからそれぐらい我慢するにゃ！
Ｐ,へいへい……ｺﾞﾎｯ
みく,えーと……熱は38度！？ちょっとこれ高すぎじゃないかにゃ！？
Ｐ,……あー頭痛もひどいワケだ……脳天にお仕置きされっぱなしだぞ…ｹﾞﾎ
みく,それみくのせい！？ちょっとはみくのせいかもしれにゃいけど……。とりあえず！このおうちに風邪薬とかは無いのかにゃ？
Ｐ,えーっと……そこの棚、上から3段目の引き出しんとこ
みく,にゃ、あったにゃ。ではー続いて続いてお口ににっがーいお薬とお水を入れるアタック！！。お薬は苦いにゃ！これに耐えられるかにゃ～？。それだけじゃないにゃ！これはみくのスペシャル攻撃にゃ！
Ｐ,っておい…そっちが薬飲んでどうすんよ……ｹﾞﾎｯ
みく,にゅふふ～、ふぃーひゃんひょっひょひゃはんひへへひゃん
Ｐ,！？。口移しで流し込まれ……！。お、おま……何てことを……ｹﾞｯﾎ！ｹﾞﾎｯ！
みく,にゃっふふ～……Ｐチャンには昨日いーっぱいお仕置きされたからにゃん。こっちもその分のお返しにゃん♪
Ｐ,色々突っ込みどころがありすぎるわ……アイドルだってのにキスなんぞ……それに移ったらどーする…
みく,Ｐチャンとならちゅーしても問題ないにゃん、ここはＰチャンのおうちだし♪Ｐチャンの事だーいすきだしにゃん♪。それに風邪が移ったらＰチャン治るでしょ？それでよくなるならばっちこいにゃ！
Ｐ,自慢する事か……風邪ひいてなかったら頭にチョップだぞ……
みく,なら今は風邪ひいてるから何もしないにゃ？お仕置きし放題にゃー
Ｐ,……勝手にしろ、やり過ぎは許さん
みく,うー……治った後が怖そうにゃ……程ほどにお仕置きするにゃ
Ｐ,あ”～……ったく、熱が上がった気がするわ
みく,にゃにゃ！？さっきよりも顔赤いにゃ！……ははーん、照れてるにゃ？
Ｐ,このバカ猫……んなわけあるか……
みく,ひっどーい！こんな可愛い子からキスされて照れにゃいなんてー！。おまけにバカって言ったにゃぁぁぁ！！アホならまだしもーっ
Ｐ,……ｾﾞｰﾊｰｰ
みく,って……さっきより辛そうにゃ！？お薬効かなかったかにゃ！？
Ｐ,そりゃ騒がせるからだ……それに薬は飲んで暫くしてからだろ……
みく,うにゃ……じゃあ後はこのままゆっくりするしかないのかにゃ？
Ｐ,ああ……あとは静かにさせてくれ………。それと……タンスの上から2段目の引き出し、ちょっと着替えを取ってくれ……
みく,にゃっ。それならおやすい御用にゃーん。にゃっ？あわわわＰチャンのぱんつ……
Ｐ,広げんなっ！ゲホッ！！……う”～喉まできてるわ
みく,にゃっ、ごめんにゃ、お着替えはこれだけかにゃ？
Ｐ,いや……あとパジャマも換えがある筈だ、タオルも頼む
みく,はいにゃ！。お着替えとタオルって事はー……汗かいてるのかにゃ？
Ｐ,ああ……嫌な汗ずっとかいてて気持ち悪い……
みく,それなら背中ふいたげるにゃん。白い布で背中をゴシゴシさすりアタックにゃー
Ｐ,……自分でやる、あっち行っとけ
みく,駄目にゃ！！。みくのせいでＰチャン風邪ひいて、とっても苦しそうなのに何もできないのは嫌にゃ！！。Ｐチャン、寝る前に最後頭撫でてくれたにゃ？みくちょっと覚えてるにゃ。昨日励ましてくれて……元気づけてもらえたのに……そしたら今度はみくが原因で風邪までひかせちゃって……
Ｐ,…………
みく,だから、何も、できないにゃんて嫌にゃ……
Ｐ,わかった……頼む
みく,うん……。背中……広いにゃ……
Ｐ,そうか……ん…力加減も悪くない……
みく,ん……前も拭いてあげるにゃ
Ｐ,…おいっ…ｹﾞﾎｯ…なんで後ろから抱きつく
みく,こうしないと前を拭いてあげられないにゃん♪
Ｐ,今のさっきで態度を変えおって……
みく,聞こえないにゃーん。じっとしててにゃんー。うんっ。拭き拭き完了にゃ！
Ｐ,まぁ…ありがとな……ｹﾎｯ。さすがに着替えるのは一人でやるから、さ
みく,うー……お手伝いしたいけどこれはさすがに……
Ｐ,やったら怒るぞ？
みく,だよねー……向こういっとくにゃ。お着替え終わったかにゃーん？
Ｐ,ああ……さっぱりした事もあってか、少し楽になったわ
みく,おぉー！みくのお仕置き効果あったにゃ！
Ｐ,薬飲ませて背中拭いただけだけどな……。まぁ……ありがとな
みく,えへへ……どういたしましてにゃん♪
Ｐ,布団で寝れなかったのもあってまだ眠いわ……ｹﾎｯ……ちと寝る
みく,うんっ。おやすみなさいなのにゃ
Ｐ,明日っからまた……頑張るぞ…………ＺＺＺｚｚｚｚ
みく,はいにゃっ。もう一回くらい……いいよね？。みくの大好きなＰチャン……一緒に頑張ろうね？
Ｐ,う”～……
みく,に”ゃぁ～……
Ｐ,おかしい……なんで治らないどころか、二人とも風邪なんだ
みく,Ｐヂャ～ン……ｹﾎｯｹﾎｯ!……頭い”た”いにゃ……
Ｐ,駄目だ……今日は休むか……ｹﾞﾎｯ
みく,うん……ごめんにゃん…ｹﾎｯ
Ｐ,とりあえず……布団一つしかねぇから、入れ……
みく,に”ゃ
Ｐ,ボイトレの予定が……咳のハーモニーレッスンになるとは……ゲホッ
みく,う”－に”ゃー…う”－……ｹﾞﾎｯに”ゃぁぁ……
