モバＰ,おはようございまーす！
光,あ、噛んだ……大丈夫か？
麗奈,ぴ、Ｐ！ひょっと！にゃんとかひなはいよ！
Ｐ,どれどれ……あー思いっきり噛んでるなこれ
光,うっ……痛そう……
麗奈,ううう……ひゃやく！
Ｐ,はいはい、じゃあ薬塗るから舌出して目つぶってみ。いつもべーってやるみたいに
麗奈,いつもの……？べーっ
Ｐ,よーし塗るぞー
麗奈,！？、！？？？
Ｐ,ほら、これでよし
麗奈,あ、あ……ああああアンタ！今！///
Ｐ,痛いの治ったろ？
麗奈,きっキキキ……キッ！？。～～～～っ///。なんてことしてくれたのよーっ！
光,……Ｐ、今のは……塗らしたガーゼ？
Ｐ,オレンジジュース味な。ちゃんと薬も混ぜてあるんだぞ？
光,ああ……それならいいけど……。別の所を怪我しそうだぞ……
麗奈,ぴ、Ｐとキスしちゃ……わあああっ///。あ、でももう痛くない……。ちょ、ちょっと甘ずっぱかった……かな///
未央,……
ちひろ,……
楓,プロデューサーやり手ですね
ちひろ,何か光線みたいなの出してましたよ……
未央,机の下のキノコってやばい奴なんじゃ……
Ｐの机,……
ちひろ,つ、次行きましょ次！
未央,そ、そうだね！どんどん行こー！
楓,やり手の彼はやりてー放題……ふふっ
ちひろ,楓さん次行きますよ！
お仕事その３,アイドル育成もしっかり取り組む！
トレーナー,プロデューサーさん、いつもお手伝いしてもらってすみません
Ｐ,いやー良いんですよ、日ごろの運動不足解消にもなりますし、何より楽しいですからね！
仁奈,プロデューサーそこくすぐってーですよ！
薫,せんせぇもっとぎゅーんってしてー！
Ｐ,ほーら、ここのステップはギュギューンってリズムなんだぞー
まゆ,うふ……羨ましいですねぇ……Ｐさん、まゆにもご指導お願いできますかぁ……！
早苗,Ｐ君、はしゃぎすぎなんじゃないかなぁ……ちょっと自重しようか……それともシメる？
有香,押忍！プロデューサー！今日も胸おかりしますっ！
きらり,にょわー☆何だか楽しそうだにぃ☆きらりも混ざるー！
真奈美,まったく……実に面白い奴だよ君は！今日こそ一泡吹かせてみせるよ！
Ｐ,あはははっ！みんな動きよくなったなー偉いぞー！木場さんも動き見違えましたよ！
比奈,……仁奈ちゃんと薫ちゃんにセクハラまがいのレッスンをしながらまゆちゃんのリボンと早苗さんの手錠をかわし……
奈緒,有香の組み手をいなしながら楽しくなったきらりを受け止めて真奈美さんを圧倒している……
比奈,ホントに人間っスか……プロデューサー
奈緒,マジで石仮面でもかぶったのかもね……
比奈,スタンド使いの可能性もあるっスね
トレーナー,……これ私の出番ないんじゃ……
愛海,う……うう……
清良,あ、愛海ちゃん……！？どうしたの？
愛海,清良さん……うぇぇぇぇん
清良,な、何があったの一体！？
愛海,あたしね……色んな女の子の柔らかい所を触ってきて……それなりにわかってるつもりでいたの。大きさじゃないんだよって……そう言ってきたの……
清良,そうね……手段は別として、愛海ちゃんはいつだって女の子の味方だったわね
愛海,でもね、それでも悩んでる人はいっぱいいた……ホントは大きくなりたくって苦しんでる子がいっぱいいたの……。あたしは、それに何も出来ない……気休めしか言ってあげられない……！
清良,愛海ちゃん……
Ｐ,……それでいいんだよ、愛海
清良,ぷ、プロデューサーさん！
Ｐ,愛海がそうやって悩み、想っている事にこそ意味がある。……その気持ちで救える人はきっといるはずだ
愛海,……プロデューサー
Ｐ,お前はそれでいいんだ……自分に出来る事を見つけて、頑張れる、涙まで流して思いやれる。素晴らしい事じゃないか……
清良,……
愛海,……ありがと、プロデューサー。あたし、もう迷わない……みんなを幸せに出来るように！やれることからやってみる！
清良・愛海,！？
清良,これは……！？
Ｐ,一つ成長したな……愛海
愛海,力が……溢れてくる！
清良,っ！むっ胸が……あたたかい……？
愛海,わかる……これはあたしの、おっぱいの為の力……！
清良,ぅあ……！んっ……///
愛海,うへへ……えへへへ……
清良,何もない場所を揉んでいる……！？
Ｐ,成長……いや、覚醒したんです。愛海は一つ上の段階に進んだ……
愛海,これでも十分感触がわかるけど……やっぱり直に揉むのは別だよねっ！。うひひひ……いただきまーっす！
清良,わるい子はどこかしらー？
愛海,あっ……
Ｐ,では、今日は撮影ですので頑張ってくださいね！
美優,……はい、頑張ってみます
美波,ふふっ！プロデューサーさんに特別レッスンしてもらいましたし、大丈夫ですよ！
Ｐ,ごめんな、撮影も付きっ切りで見てやれたら良かったんだが
美波,いえいえ、プロデューサーさんのお仕事が忙しいのはわかってますから！
美優,ええ、任せてください……きっとやってみせます……！
スタッフＡ,ＣＧプロの三船さんと新田さん入りまーす！
美優,……ふぅっ、皆さん、今日はよろしくお願いします
美波,はぁっ……よろしくお願いしますっ……！
スタッフ達,っ！？
美波,美優さん、これ差し入れのお茶です
美優,ありがとう美波ちゃん……んっ……コク……コク……。っぷぁっ……はぁ……おいしぃ……
美波,ちゅ……ちゅぱっ……レロ……。っうん……このアイスも美味しいですよ♪美優さんもどうぞ！
美優,あら……じゃあ一口だけ……んっ……ちゅっ……ペロ……。本当……すごく美味しいわ……
スタッフＡ,お、俺ちょっとトイレに……
スタッフＢ,ま、まて俺が先に……！
Ｐ,女性の魅力を上げるレッスン……効果出てるかなー？
ちひろ,やけにあの番組のお二人色っぽかったと思ったら……
未央,ネットで話題になってた時の奴だね
千枝,ねーっ最後のやつどうして見ちゃ駄目なんですかー？
ちひろ,い、今のは子供にはまだ早いんですっ！
千枝,むぅ……ずるいなぁ……
志乃,ふふ、千枝ちゃんもすぐに大人になれるわよ
友紀,そうそう！あせらなくったって大丈夫ー！
楓,子供はどーも急ぎがち……ふふっ♪
未央,いつの間にか酒盛りが始まっている……
ちひろ,次行きますよ！次！
お仕事その４,同僚にも気を使う！
ちひろ,あっあっあっあっ……そんな……プロデューサーさんっ！
Ｐ,どうしたんですか？ちひろさん……根を上げるには早いですよ
ちひろ,でもっ……こんな沢山……一度になんてっ……ああっ！
Ｐ,おやおや……ちひろさんともあろう人が……だらしないなぁ
ちひろ,ひぅっ！……で、でも……昨日も一昨日も300k越えてたのに……！
Ｐ,ふふ……まだまだこれからですよ……！今日はいつもの倍は回しますからね！
ちひろ,あっあっあっあっ！ほ、補充が追いつかないなんて……！
Ｐ,そうですね……これに加えて、ドリンクそれぞれ100ダースずつ追加注文しましょうか
ちひろ,しょ、しょんなぁ……私、もっもう……！。頭真っ白になっちゃう～～！。～～～～っ！！！///
一同,……
ちひろ,～～～～～～～～っ！！！///
比奈,その……何と言うか
凛,ちひろさんもやる事はやってるんですね……
ちひろ,い、いや！今のはただのお仕事でっ！ていうかどんどん人増えてるっ！？
真奈美,ただのお仕事の割にはすごい顔をしていた様な……
千枝,私知ってます！ああいうのをトロ顔って言うんですよね！
ちひろ,ど、どこからそんな言葉覚えてきたの千枝ちゃん！？
早苗,最後プシャァァァって……
ちひろ,あれはっ！ドリンクを間違ってこぼしちゃっただけですっ！
一同,……
ちひろ,ぅうう～～～///。もうっ！私も飲みますからコップください！
奈緒,や、やけ酒だ……
幸子,ちひろさん、お仕事はどうするんですか！
ちひろ,仕事なんて全部Ｐさんがやっちゃうから私がする事なんてほとんどないんです！どうせ私はだらしなくて無能な事務員ですよーだ！
Ｐ,ただいまかえりましたーって、あれ？何で宴会してるんですかっ！？
志乃,まぁ……たまにはいいじゃない。楽しくみんなで飲みましょう？
まゆ,Ｐさぁん……お疲れ様ですぅ……ああ、素敵……Ｐさんが3人もいますよぉ……
Ｐ,まゆ！？どうした……って酒くさっ！！誰だまゆに飲ませたのは！？
友紀,あっはっはっはっ！あれー？あたしのビールどこー？
麗奈,アーッハッハッハッ！レイナサマにかかればこのくらい楽勝よ！
Ｐ,こら麗奈お前か！やめなさい！
千枝,これが大人の味……！
早苗,こらこら子供がお酒飲んじゃだめよーこっちのジュースにしなさい……ヒック
Ｐ,いやいやこれもチューハイですから！早苗さんもう酔って……ウォッカじゃないっすかこれ！？
凛,料理色々出前頼んだよ……って何これ！？
輝子,フヒ……新しいキノコ料理作ってきた……凛さんも食べる……？
奈緒,あはははは……世界がぐるぐるになってる～！
未央,おいしいねーこのキノコ料理！ほら！しぶりんも食べてぐるぐるしよーっ！
凛,むぐっ！？
輝子,フヒ……食べたら……トモダチいっぱい……トモダチ……ヒャッハー！！
凛,あ……あう……ああぁ……
美優,はぁ……はぁ……プロデューサーさん……なんだか暑いんです……
Ｐ,ええ！？美優さん大丈夫ですか！？飲みすぎたんじゃ……み、水を！
美優,水なら美味しいのがここにありますよ……んっ……コクッ……コクッ
Ｐ,それ水じゃないですって！強めのおさｋ……むぐっ！？
一同,！？
美優,……ぷはぁ……どうです？美味しいでしょう……？
Ｐ,ちょ、ええっ！？
千枝,あーっずるい！千枝もチューしたいですっ！
まゆ,うふ……7人のＰさんと……うふふふふふ……
凛,プロデューサーもぐるぐるしよ……？
Ｐ,お、落ち着けみんな！
菜々,ウッサミーン！ナナ！ただいま戻りましたーっ！キャハっ！。えっ！？何ですかこれっ！？
Ｐ,
菜々,ぷ、プロデューサーさん！何て姿に……！
麗奈,アーッハッハッ！くらいなさーい！
菜々,！？
友紀,あっはっはっはっ！菜々ちゃんピザストラーイク！
志乃,あら、Ｐさん……いい香りね貴方……食べちゃいたいくらい
菜々,……！。あんたたち……ちょっと頭、冷やそうか？
Ｐ,……
麗奈,……
友紀,……
ちひろ,……
早苗,……
志乃,うふふ……
楓,～～っ！！ふふっ～～！！
輝子,フヒヒ……
菜々,……で？何か言う事は？
一同,すみませんでしたっ！！！
Ｐ,二度と悪酔いなどさせませんのでどうか、どうか……！
菜々,……まぁ、プロデューサーさんはどちらかといえば被害者っぽいですし……
Ｐ,あ！じゃあ足崩しても……
菜々,駄目です！あと2時間！プロデューサーさんは6時間！
Ｐ,ひっ！？
麗奈,う、嘘でしょ……！
早苗,足の感覚が……！
楓,ぷふっ……！ふふ……ふっ！
友紀,ちょ！楓さん笑いこらえながら足つつくの止めてっ！
志乃,うふふ……みんな仲良しで楽しいわねぇ
輝子,フヒヒ……仲良し……みんなトモダチ……フヒ……
ちひろ,半分くらい苦にしてないし……どうなってるの……
美優,うう……
まゆ,うふふふふ……
凛,あはは……ぐーるぐーる
奈緒,あ～っなんか頭いたい……
菜々,ほら！死屍累々ですよ！どうするんですかっ！
Ｐ,私めがついておりながら誠に申し訳ない……
菜々,大体！Ｐさんにみんなキスしたって……そんなのうらやま……じゃないアイドルとしてどうかと思いますっ！
Ｐ,はいっ仰るとおりです！
菜々,Ｐさんは昔っから～～！
お仕事？その５,唯一頭が上がらないもの菜々さん
Ｐ,いやー昨日は酷い目にあった
凛,お疲れ様……私はよく覚えてないや
未央,私も……
Ｐ,まぁ、それが一番だ。大体なんであんな展開になったんだ？
未央,ああ、確かプロデューサーって人間離れしてるよねって話が出て、それから流れで……
Ｐ,何だそりゃ？俺なんてまだまだ半人前もいいところだよ？
凛,いや、絶対普通じゃないと思うけど……今だって徹夜で正座してたのにピンピンしてるし
Ｐ,買いかぶりすぎだって、先輩に比べたら俺なんか可愛いもんだ
未央,先輩？
Ｐ,うん、尊敬してるプロデューサーの先輩
凛,へぇ……ちょっと興味あるかも……どんな人なの？私たちの知ってる人？
Ｐ,どうだろうな……色々と忙しい人だから
未央,同じプロデューサーなのに？仕事先で会ったりしないの？
Ｐ,ああ……今、月にいるって言ってたよ
二人,えっ！？
765Ｐ,……もう逃がさないぞ……お前たち！
貴音,ふふふ……貴方様よくぞわたくしの故郷においで下さいました……
春香,残念ですけど、ただじゃあ捕まりませんよ！とりあえず……そこに跪いて！
雪歩,そのまま穴掘って埋めちゃいますぅ～！重力強化っ！
765Ｐ,ぐっ……！成長したな……！だが、まだ甘いっ！
貴音,うろたえる事はありません、ここはわたくしのほぉむぐらうんど……地の利はこちらにあります
律子,プロデューサー殿！大変です！真美が世界線を越えて第二並行軸へ！
765Ｐ,何っ！？くそっ！先に亜美を向かわせてくれっ！俺もすぐ行く！
亜美,おけおけ～☆
真,プロデューサー！もっとフリフリの衣装がいいって言ったじゃないですかーっもうっ！！
響,うぎゃーっ真！空間にヒビ入れちゃだめさーっ！
ハム蔵,ヂュイッ！
響,ハム蔵！空間のゆがみを止めてくれたのか！助かったぞ！
美希,あふぅ……
小鳥,ピヨへへへへ……
伊織,ちょっ！美希の夢世界と小鳥の妄想世界が交じり合って新世界が出来てるわよ！
あずさ,あらあら～ここはどこかしら～？
やよい,あずささん！次元を越えて行っちゃ駄目ですよ～！
千早,高槻さん……！一緒に歌と夢の世界を作りましょう……！
やよい,うっうー！千早さんも帰ってきて下さいーっ！
765Ｐ,状況は最悪ってね……面白い！。俺たちプロデューサーの戦いはこれからだ！！うおおおおおっ！！
Ｐ,な？俺なんてまだまだだろ？
未央,
凛,……プロデューサーって凄い仕事なんだね
渋谷凛,プロデューサーって凄い仕事なんだね
