関裕美,どうしたの？莉嘉ちゃん？そんなに慌てた様子で？
モバＰ,運転中は勘弁してほしいな。それじゃあ車出すけど、飲み物が欲しくなったらクーラーボックスに入れてあるから。朝ごはんはサービスエリアでしようか、気分が悪くなったりしたらすぐに言ってくれ
莉嘉,うんうん、こうやって車に乗って遠くまで行くのって遠足みたいでわくわくするよねっ☆
モバＰ,２人ともシートベルトしめたか？それじゃあ行くぞー
莉嘉,じゃあＰくん、この前のお仕事なんだけどね―――。くぅ……くぅ……
モバＰ,サービスエリア着いたけど……完全に寝てるなこりゃ
裕美,寝かしておいてあげようよ。莉嘉ちゃん今日の事凄く楽しみにしてるみたいだったから
モバＰ,そうか、俺も楽しみだよ。学生を卒業すると、夏休みなんて縁遠くなるからな。こうやって車で遠出してさ、サービスエリアで適当にご飯食べたり、お土産を眺めたりアイス食べたり……。自分が遠くへ来たって感じて好きだな
裕美,そうなんだ、こうやって遠出することなんてアイドルになってからだから……。私も楽しいかも
モバＰ,スペインが初の旅行だって言ってたよな。折角だから、今回も存分に楽しんでくれ
裕美,うん。それでね、Ｐさん。莉嘉ちゃんから聞いたんだけど……、キレイな川があるんだって？
モバＰ,ああ、莉嘉が凄い楽しみにしてたよ。莉嘉が言うにはＰくんも楽しみにしてていいよー☆ってさ
裕美,……ふふっ、楽しみにしててあげて、莉嘉ちゃん頑張って選んでたから。……私もだけど
モバＰ,裕美も水着買ったのか？そりゃ楽しみが増えたな。……ところで裕美アイスの味、どれにする？
裕美,私は……この、サービスエリア限定のアイスでいい？
モバＰ,限定とか書かれると欲しくなるよな。じゃあ俺もそれで、すいません、この限定アイスを２つ……。……はい、裕美。こぼさないようにな
裕美,ありがとう。Ｐさん。……ん、美味しい！
モバＰ,美味いな！莉嘉のも……って溶けるからダメか
裕美,次停まった時に買ってあげよっ
モバＰ,そうするか！それじゃあ車に戻るか。しまったＤＶＤ再生したままだった。消して消して……と
裕美,シートベルトしたよ。ここから後どれくらい？
モバＰ,ナビの案内だと２時間位だな。渋滞はないだろうけど、小まめにサービスエリアには停まるから、裕美も寝てていいぞ
裕美,大丈夫だよ、眠たくないし。それに、莉嘉ちゃんだけじゃなくて私も今日の事楽しみだったんだ
モバＰ,そうなのか？
裕美,うん。私、いままで夏って苦手な季節だったんだ。まぶしすぎて、ね。でも今は違うの。アイドルになった今の私なら夏のまぶしさにも向き合える気がするの。だから、莉嘉ちゃんと一緒に可愛い水着も用意しちゃった。楽しみに待っていてね。夏の日差しに負けないくらい、私も輝いて見せるから
モバＰ,楽しみにしているよ。裕美のプロデューサーとして、１人のファンとして
裕美,……ありがとう
モバＰ,礼を言いたいのはこっちだよ。可愛いアイドルになってくれてありがとう……って
裕美,それじゃあ、お互いにありがとうばかりになっちゃうね
モバＰ,それでいいんじゃないかな。お互い様ってことで
裕美,ふふっ、じゃあ私を可愛いアイドルにしてくれたＰさんに、私の晴れ姿を見せてあげるねっ
モバＰ,裕美の晴れ姿か！今から楽しみが止まらないな！
莉嘉,むにゅ……ねぇＰくん今どこー……？
モバＰ,おはよう、莉嘉。今サービスエリアでたとこだよ
莉嘉,寝ちゃってたんだ……って、あーっ！２人だけアイス食べててずーるーいー！
モバＰ,莉嘉寝てたし起こすのも悪いなーって思ってさ
莉嘉,美味しそー……ねぇＰくん。１口ちょーだい☆
モバＰ,だめ、裕美から貰いなさい
裕美,私は別にいいけど……
莉嘉,やーだ☆Ｐくんのアイスがほしいのー☆ねぇ、あーんしてーっ、あーんっ！
モバＰ,助手席で暴れるなーっ！危ないだろ！ってこぼれたし！
莉嘉,じゃあこぼれたのをＪＣのアタシが舐めとってあげよっか♪
モバＰ,舐めんでいいわ！こっちに身を乗り出すな！えぇい！次のサービスエリアで停まるからこっちにくるなーっ！
裕美,り、莉嘉ちゃん！私のあげるからー！
