和久井留美,おはようございます
ちひろ,……
留美,コレだわ
ちひろ,ひゃっ？！
瑞樹,あ、おさげか……確かにそうね。ちひろちゃんと言えば黄緑とか三つ編みとか、よね！
ちひろ,ええと……コレは……
留美,ちひろさん、ごめんなさい
ちひろ,ああっ！！
瑞樹,わおっ？！
留美,こっ…これはッ……
ちひろ,留美さん酷いです……これ、作るのに結構時間かかるんですよ～！
瑞樹,そうね……むしろ、私の方が、アイドルとしての自信を失いそうよ
留美,オッケー、準備完了ね。さあ、ちひろさん、街に出て存分にその魅力を振りまいてくるのよ
瑞樹,ノリノリね、留美さん
ちひろ,で、でも気分転換と言いましても、本当に何をすればいいのか……
留美,そうね……じゃあ、こういうのはどうかしら？せっかくイメチェンしたのだから、それを試すゲーム…とか
瑞樹,ゲーム？
ちひろ,は、はあ…。うう……
瑞樹,あーもう、じれったいわね。後のことは私たちに任せてってば！とにかく今は事務所から出ていけーっ！
ちひろ,きゃっ？！。……ど、どうしよう……。しっかり鍵かけられている……やっぱり行かなきゃいけないんだ……ううぅ
凛,あの……
ちひろ,きゃっ？！
凛,ご、ごめんなさい驚かせてしまって……うちのプロダクションに何か用ですか？
ちひろ,り、凛ちゃん？！
凛,えっ、どうして私の名前を
ちひろ,あっ…(しまった)…だ、だって最近人気急上昇中の渋谷凛ちゃんよ？！し、知らないわけが…ないわ！
凛,……
ちひろ,(すっごく見られている。怪しまれているのかなあ)。ご、ごめんなさい、私用事があるんです……それじゃっ！
凛,あっ……。綺麗だったな…。(人気って褒められちゃったけど…あんな人がいるんじゃ…私もまだまだ自分を磨かないと！)。あれ、なんで鍵が
ちひろ,…？(なんだか行く先々で視線を感じる)。(あわわわ、なんだかものすごく注目浴びてるんですけど！！)
？？？,あの、すみません……ちょっと良いですか？
ちひろ,！
スーツの男,いきなりで失礼しますが私、こういう者です
ちひろ,(スーツの人……名刺……ってこれ…7……5…765プロダクション？！)。えええええ！？
男,驚かれるのも無理もないでしょうが……たまにこうやってゲリラ的にスカウトもしているんです
ちひろ,あ、やっ……でも私はアイドルなんて……そもそも私は
男,そう謙遜なさらずっ！あなたのビジュアルなら十分明日からでもアイドルとしても……
？？？,プロデューサー？
男,！
ちひろ,？
スーツの女,あずささんを見つけてくれてるのかと思ったら……ま～たナンパですか
男,ゲェーッ、りりり律子ォ？！これにはわけが
マスクとサングラスの女,あらあら…
男,あ……あずささんも……いやあ……お互い合流出来て何よりで
スーツの女,そうですね。でも、プロデューサーの頭はまだ迷子のようですから
グラサン女,ふふふ……しっかりと道案内してあげなくてはいけません、ね
男,あっ二人とも自分で歩けるから、ちょっすいませんでもそっちに腕は曲がらな
ちひろ,(連行される宇宙人みたいな恰好で連れてかれちゃった)。(あんな情熱的に……うちのプロデューサーさんも、いつもあんな感じにスカウトしているのかな)。…これでお使い終了……と、言いたいところだけど。帰るまでがお使いなのよね
？？？,おっ……あれは……もしや、ちひろさんかな？
ちひろ,うーん、でもどうして留美さんたらこんな男物を
？？？,(後ろから……気づかれぬように)
ちひろ,……ハッ、もしかして留美さん
棟方愛海,ちーひーろーさーん！！
ちひろ,ひゃっ？！
愛海,おおお！！この服越しにも分かる柔らか～い感触、程よい大きさ……んーｽﾊﾞﾗｼｯ！やっぱりちひろさんだッ！
ちひろ,んっ……ちょっと……(あ、愛海ちゃん？！)……や、やめてくだ……
愛海,んっふっふ～抵抗しても無駄ですよ、こっちを向いてくださいよちひろさ――。あれ……ちひろ…さんじゃない……だと？
真奈美,なんだって……それは本当かい？
ちひろ,！
愛海,真奈美さん……いつの間に……いや、その…あたしは……。信じてください！ちひろさんと同じ感触だったんです！！！
真奈美,アイドル活動をまじめに続けている点は評価するが……それ以外は慎むべきじゃないかなあ、君は
愛海,あううう
真奈美,――というわけだ、本当にすまない。これでも彼女はアイドルなんでね。頼むから警察だけは――
ちひろ,そんな、私は
真奈美,ん……君は……！
ちひろ,えっ
真奈美,…。――いや、人違いかな？――それじゃ。こういうのもいるから、暗くならない内に帰ると良い
愛海,揉むのが罪だというのなら！！あたしが全て背負って――
真奈美,はいはい、それじゃ柳くんに診てもらいに行こうか、な？
ちひろ,(……もしかして、木場さんには分かったのかしら？)。とにかく、これ以上誰かと会って面倒にならないうちに、帰らないと……
P,ん、あれは……
梨沙,どうしたの？プロデューサー
P,梨沙、すまないがここでお別れだ。俺はこれからちょっと仕事が入ってな。そうだな……半分は俺が持っていくとして……もう半分は。もしもし、的場さん？
梨沙,えっ、パパ？！
P,ええ……梨沙の事、あとは任せます。なので、もう解除して出てきても良いですよ？
梨沙,何を解除するの？！出てくるって何？！
P,――と言うことだ、梨沙。さらば！！
梨沙,ちょっとプロデューサー待てと言っているでしょーにってキャーパパだあ―――！！！
ちひろ,？
P,待ってくださいそこのお嬢さーん！！！
ちひろ,ぷ、プロデューサーさん？！
P,俺……いや、私こういう者なんですが……
ちひろ,は、はあ(バレてないんですね……)
P,アイドル活動、興味ありませんか？
ちひろ,(ここまでは765プロのプロデューサーさんとあんまり変わりませんね)
P,あなたなら明日にでも――
ちひろ,(っていうか……普段と話し方違いませんか？いつもこんな感じにスカウトしてるのかしら)
P,――お美しい！
ちひろ,(なぜだろう……ちょっとイラっとする……)
P,あの……もしもし？
ちひろ,聞いてますよ？アイドルですかぁ……興味がわいてきたので……そこでお茶でもしながら聞かせてもらえます？
P,は……はい、よろこんで
ちひろ,(――それで、このモヤっとした感情のままでついプロデューサーの話を聞くことになったわけですが)
P,～で例えばうちの凛が～あとヘレンも～
ちひろ,(仕事の話や他のアイドルを紹介してくれてるプロデューサーさん)。(熱っぽく語り始めちゃって……すっかりいつもの口調になっちゃってますね)。(こんな専門的な話、スカウト相手の子にしたって分からないのになあ)
P,…！。あれ、俺の話……変でした？
ちひろ,あ、いえ……なんでもないです。それよりも
P,？
ちひろ,どうして私なんかを？私、自分の魅力なんて、よく分からなくて……
P,……似てるから、ですかね？
ちひろ,？。……！。諦めちゃうんですか？もしかしたら…話に乗ってくれるかもしれないのに
P,かも知れませんね。でも、最近は何となく分かったんです
ちひろ,？
P,プロデューサーの仕事は、アイドルのスカウトやプロデュースだけでもないのかな……なんて
ちひろ,！！それってどういうっ……？！
P,……秘密です
ちひろ,――もう、おかしな人。普通、女の子の前で他の子の話なんて……しませんよ？
P,そうでもありませんよ？……だって、俺が今話している相手は……その人と一緒なんですから
ちひろ,えっ！？？？！！。……プロデューサーさん……その……いつから……？。ぷ、プロデューサーさんったら……冗談よしてくださいよもう！
P,いや、本当ですよ？――でも、どうしてちひろさんが街に……って、その手に持ってるのは
ちひろ,あ、これ……紳士用のネクタイですが頼まれ……。(もしかして留美さん)……見つかっちゃいましたか。Pさんへの、プレゼントです
P,！！そうなんですかっ……嬉しいです……じゃあ、こっちもネタバレしないとフェアじゃないよなー
ちひろ,！これって。…Pさん
P,ちょっと照れくさいな……あ、誰かに留守任せてるんですよね？帰りましょう。俺も手伝いますから
ちひろ,Pさん、お願いがあるんです
P,？な、何でしょうか
ちひろ,外に出る前に三つ編みが解けちゃったんです。なので――。このリボンで私の髪を、まとめてくれませんか？
凛,酷いよ和久井さん、川島さん……風邪引くところだったんだからっ
留美,ごめんね凛ちゃん、かなり集中してたものだから
瑞樹,ほんとごめんっ。事務作業、なめてたわ……
凛,もう……それにしても、あの女の人がちひろさんだったなんて……
瑞樹,そうよねー彼女がアイドルにでもなったら、私なんてすっかりお払い箱に。きっとPくんあたりもイチコロだわ
留美,Pくんも言っているでしょう？アイドルは恋愛禁止って。そういう浮ついた話は止めて――
P・ちひろ,ただいま戻りましたー
凛,！！
瑞樹,まさかのそろってご登場ッ？！
ちひろ,もう、Pさんたら……私は生涯事務員宣言なんですからね……あ、でもPさん専属のアイドルなら
P,いやー、あははは……
凛・留美・瑞樹,……
