そのいち,龍驤とヌ級
ヌ級,……ス、凄イ！。ニンゲンノ飛行機、本当ニ凄イナァ……。私達ハ生体艦載機ヲ飛バスコトハデキテモ。私達自身ガ空ヲ飛ブコトハ、今マデデキナカッタ……
龍驤,ウチと一緒やね！
ヌ級,……イッショ？
龍驤,あ。な、なんもでない、アハハハ……
ヌ級,？。私達ノ深海デハ今、地上ノ文化ヤ発明ヲ取リ入レル動キガ盛ンデス
龍驤,ほぉーっ、そうなんや
ヌ級,特ニ人気ガアルノハ食文化デ。特ニ“ファミチキ”ヤ“スシ”ナンカノ地上食ハぽぴゅらーデス
龍驤,ファ、ファミチキ……？
ヌ級,ソノ他ニモ、“カメラ”ヤ“コタツ”モ人気。デモ、ダレモ飛行機ニハ乗リタガラナカッタンデス……
龍驤,へぇ……それはなんでなん？
ヌ級,私達ハ未知ノモノヲトテモ恐レマス。以前ノ戦争モ、“ニンゲン”トイウ未知ノ存在。ソノ未知ヘノ不安ヲ排除スルタメニ起コリマシタ
龍驤,…………
ヌ級,デスシ、陸ニ私達ガ上ガル事スラ。当初ハセンセーションガ巻キ起コッタノデスガ……。空ハ、ソレ以上ニ怖イ所デス。水モ地面モ無イ、未知ノ領域。誰モ行キタイトハ思ワナカッタ
龍驤,なるほどなぁ……。ん？。そしたらお客さんはなんで……
ヌ級,私ハ戦時中、軽空母トシテノ役割ヲ持ッテイマシタ。ハジメハ何モ感ジマセンデシタガ……。戦争ガ激化シテ仲間ガ次々ト逝キ。辛サヲ覚エ始メタ頃……。私ハ、自分自身ノ飛バシテイル艦載機ノコトヲ考エ始メマシタ。コノ海デ争ウ私タチノ姿。コノ子達ノ目ニハドウ映ルノダロウ……ト。戦争ハ終ワッテシマイ、ソレヲ知ル術ハモウアリマセンガ。私ノ空ヘノ興味ガ尽キルコトハ、アリマセンデシタ……。オカゲデ、私ハ深海デモ少シ変ワリ者ダト思ワレテイマスネ
龍驤,世知辛いんやなぁ……。やっぱり思ってることは私と一緒なんや……。でも、ウチには理解者がいた。……せやったら、今度は私の番やね！。……そしたら、お客さん見てみホラ！
ヌ級,……？。ワァ…………！
龍驤,どうやー？。あんたらの住んでるここ、空から見下ろしたことなんかあらへんやろーっ
ヌ級,ハ、ハイ！。トテモ……綺麗……
龍驤,えへへ……。……確かに、今まで誰もせんかったことって。絶対躊躇してまうよね……よう分かる。でも、ウチら“ニンゲン”はそれを克服する度にな。新しい感動とか価値観とか、そんなんを見つけられたんや。はじめは変わり者と思われても……。そんな人たちが頑張ったおかげで、今の陸の世界は成り立ってるんよ
ヌ級,カワリモノノ……オカゲ……
龍驤,そっ！ウチもな、そんなニンゲンになってみたいんや！
ヌ級,……私モ……。……ナンダカ、カッコイイデスネ
龍驤,そうやろ？。……とはいっても、ウチはまず……。男、見つけなアカンのやけど……
ヌ級,ハハハ……
龍驤,ははは……。友人の結婚報告が次々来るし。実は割とまじで焦ってんねんなぁ……。……ま、いっか！。ほなお客さん、飛ばすでーっ！
ヌ級,エッ？
龍驤,今からウチの得意の宙返り、披露したるからなー！
ヌ級,エ、チョッ、りゅうじょうサ……！。アアアーーーーーッ！！
そのに,初月とフルコース
提督,大陸側の我が国に対する領空侵犯ですが、再び増加の傾向にあります
長官,深海側への警戒に充てていたものを、徐々にこちらへ寄越しているのだ。今後は……
提督,はい、それにつきましては……。―――……
長官,―――……
初月,う、うぅ……。僕たちと深海棲艦との戦争は終わった。だが……提督は軍からの強い要望があって、海軍に残ったんだ。階級は大将となり、今は周辺国に対する防衛の一翼を担っている。では……艤装を脱いだ僕が、今どうしているかと言えば……。ケッコンを受け入れ、“提督夫人”として過ごしている。それはとてもとても、幸せな日々。……だが、“夫人”故の困難も、時折待ち受けているんだ。僕は今、提督と首都の一流ホテルにやってきている。秋月姉さん、照月姉さんもそうだが……。貧しい生まれの僕たちは、生まれてこの方。煌びやかなホテルなどという所に来たことなど、あるはずがなかった。そして、その訪問の理由だが……。提督と司令長官、その他の幹部との会食に。僕は“提督夫人”として出席することになったんだ……
提督,―――……
少将,―――……
初月,なんて重圧だ……僕なんかが来て、本当によかったのか。提督は……取り込み中かぁ。僕は今、慣れないドレス姿でテーブルに着いている。食事は、洋食のコース料理らしい……。こんなことになるなら、マナーの一つでも学んでおくべきだった……。……とりあえず、ナプキンを膝にかけておこう……。早速、料理が運ばれてきたぞ。なになに……。サーモンのカナッペに、蟹のゼリー寄せ、３種の茸のテリーヌ……。な、なんて……上品な見た目だっ。本当に僕なんかが食べていいのか？。しかも、フォークとナイフが４本も並んでいる。これには何の意味があるんだ……。ｲﾀﾀﾞｷﾏｽ……。…………。お、美味しい……っ！。これが最高級レストランの味かぁ……。僕は姉さん達に……合わす顔がないな……
給仕,あっ……
初月,？
給仕,……いえ、失礼致しました。お使いになった食器を、お預かりします……
初月,あ、ありがとう。使ったナイフとフォークは持って行ってしまうのか。勿体ないぞ……洗う分の水道代が増えるじゃないか……。それに……僕のナイフとフォークを見て、驚いていたな……。並んでいた内側から使ったが……もしかして駄目だったのか？。おぉ、これなら大丈夫だぞっ。このサラダ、何がかかっているんだ？。これも初めての味だな……うん、美味しいなぁ。……
提督,……。……
初月,て、手馴れた感じだな。ズルいぞ提督……！。奴はマナーを理解しているというのか……。たしか、これはポタージュというものだったな。ん…………熱っ……ｽﾞｽﾞｯ
中将,……ｺﾞﾎﾝ
提督,？
初月,……ｽﾞｽﾞｯ
提督,あ、あわわ……音立ててる……。お、教えてあげないｔ
長官,それでだが、先ほどの……
提督,は、はい、心得ておりますっ
初月,蒸しエビか、大きいなぁ……美味しそうだ。しかし、殻つきだぞ。こ、困った……これは食べるのが難しそうだ。鉄のボウルにレモンの入った水も一緒に出されたが……。これで指を洗えばいいのか？
提督,！。ま、まずい！初月がフィンガーボウルの水を飲もうとしている！。こんなことになるとは思わず、作法を教えてあげなかった僕のせいだ……！。これ以上、恥をかかせるわけには……！。でも、今から教えには行けない……！。な、ならっ！。
長官,
中将,
少将,
初月,
長官,あっはっはっ、君は一体何をしているんだ！
提督,……デ、デキゴコロデス
中将,あはははは……
給仕,焼き加減は如何いたしましょうか？
初月,“普通”で頼むよ
提督,
初月,提督、そう気を落とすな……。司令長官が大らかな方で良かったじゃないか
提督,そうなんだけどさぁ……
初月,……提督。……僕は、こういった食事もいいが……。やはり、お前や姉さん達と食べるご飯が一番だな
提督,……僕もそう思いました
初月,ははは……力がこもってないぞっ。帰ったら何か作るよ、何が良い？
提督,…………。……オムライス！
初月,……お前、大人だろ？
山城,―――♪
扶桑,フフフ、山城……うれしそう……
山城,ええ、もちろんです！。姉さまとこうやって“外”でお食事ができるなんて！。それに、宝くじが当たるなんて……。私、夢にも思いませんでした！
扶桑,ふふふ……。3000円の当たりで大喜びする山城、かわいいわぁ……
山城,ここ最近の私は、何かが変わってきている。具体的には……どうとは言えないけれど……。とにかくおかしいことばかりが起こります。先ほどの宝くじだってそうだし。今の所、無事に外に出られていることも……
扶桑,ごちそうさま……
山城,美味しいラーメンでした
店主,まいどあり！。姉ちゃんたち綺麗だから、おじさんサービスしとくよ！
扶桑,あら……お上手ですね……
山城,あ、あれ……？。姉さま、評判通りの美味しいラーメン屋でしたね！
扶桑,えぇ……店主の人もとてもいい人だわ……
山城,……！
扶桑,山城、どうしたの……？
山城,姉さま……あ、青です……
扶桑,青……？
山城,信号が……。わ、私達が来た途端に、青に！
扶桑,そういえば……そうね……
山城,無事に……家に着いた……。……。……夢じゃないわ……。お外に干した洗濯物の下着も無事だし。帰りに買ったお惣菜も寄らずに綺麗にトレーに入ってる。……どういうことなの？
雪風,扶桑さん、山城さん！。雪風、遊びにきました！
扶桑,あら……いらっしゃい。今からお茶淹れるから……。私か山城のお部屋でゆっくりしてね……？
雪風,はい！ありがとうございますっ！。山城さーん！。遊びにきま……
山城,梱包材って本当にプチプチなるのね……。楽しいわ……。もっと早く……こんな楽しみが知りたかった……
雪風,……
山城,……
雪風,雪風はなにもみてません！
山城,雪風……もういいのよ……。それより、来てくれてありがとうねっ
雪風,はい！。実は今日、鎮守府にいたときにかいていた……。ジャーン！。日記をもってきちゃいました！
山城,日記？
雪風,はい！。今の施設のお部屋をそうじしていたら、たまたま出てきたんです！
山城,へぇー……そうなの
雪風,山城さんたちのこともかいてありますので。よみあげてみますね！
山城,う……うん。なんて書かれてるのか……。結構気になるわ……。懐かしいわ……。後ろの人が投げたお賽銭が、頭にたくさん当たったのよね……。暗かったからなのかしら……。ぶつけられたのは何故か私なのよね。ごめんなさい……！ごめんなさい……！。準備していたとき、お雛様を手に取ったら頭が勝手にとれたの……！。あの日は発案者の提督の部屋にカチ込んだわ……。え……菖蒲なんて浮いてなかったわよ？
雪風,いえ、ありました！
山城,えっ……。その日は私が最後だったから……まさか。犯人はあなたたちだったのね……。窓が開きっ放しで、ベッドがずぶ濡れだったわ……。うぅ……。最近、不幸を感じなかったから忘れかけてたけど……。やっぱり私は……。不幸だわ……。初日なのに、結構いたわね……そういえば。あれは頂きものだったのね。分けてもらった夏蜜柑、私のだけ腐ってたけど……。お菓子はおいしかったなぁ。次に会う時は……か。…………。姉さま……。そりゃ本人が内緒でもらったんですって言っちゃったら……ねぇ？
雪風,えへへ！
山城,…………。…………
雪風,と、この一冊はこれでおわりです！。じゃあ、次ですが……。ひゃっ！
山城,雪風……
雪風,…………。…………実は……。今日はこれがしてほしくて……来ちゃいました……
山城,…………そっか
雪風,山城さん、あたたかいです
山城,私もよ、雪風……
雪風,…………
山城,いつでも言ってね……。私、あなたの本当のお姉ちゃんにはなれないけど。こうやって暖めあうことは、できるから
雪風,…………はい！。お茶とお菓子をごちそうになって。おまけにお見送りまでしてもらっちゃって……。本当に、ありがとうございます！
山城,ふふっ……。お茶を出してくれたのは、姉さまなのよ
雪風,―――♪
山城,……私には自慢の姉さまがいて。この子には肉親がいない……。これまで、私ばかりが不幸だと思い込んでいたけど。……きっと、そうじゃない。自分だけが幸せか不幸かは……どうでもいいことなのね。本当に幸せになれる人は、きっと……
雪風,山城さん！
山城,ん？
雪風,一緒に宝くじ買ってみませんか？
山城,……また宝くじ……
雪風,当たったら、そのお金で……。またみんなでご飯を食べたいです！
山城,……いいわね。じゃあ……どっちがいい賞を当てるか、競争してみましょうか！
雪風,はいっ！
そのよん,ル級とネッシー
ル級,……コマッタな
ヲ級,……困ったわね
ル級,私ハ今……陸の言葉の堪能ナ幼馴染のヲ級トともに、イギリスにやってきてイル。目的ハかつて、ニホンで友達になってレタた“コンゴウ”を探すためダ。イギリスのハイランド地方に住ムという彼女ヲ探し……。私達はインヴァネスとイウ街に上陸しタ。その先ノ情報は観光ガテラ、現地で収集すルことニシテいた。まァ……そこまではヨカった。ヲ級の提案デ“ひっちはいく”トいうモノを繰り替えし。情報にアタリを付けて、私達は湖のアル場所にヤッテキたのだガ……。今しがタ、私達の財布が何者カに盗まレテしまったノダ
ヲ級,だから言ったじゃないノ……。ニンゲンも良い人ばかりじゃないから、野外での寝泊まりはやめようって……
ル級,ウゥ……。ダッテ、ホテルは食べテもイナイ食事代をセイキュウしてキたリ。お金払わナイと真面目に働いテくれないから……いっそのことッテ……
ヲ級,前者はアレだけど……チップのことは教えておいてあげるべきだったわ。それにしても……。今向かっている先に、本当にその彼女はいるのカナ
ル級,分かラナイ……けど。イルンじゃないかナ
ヲ級,…………
ル級,そんな予感がスル
ヲ級,予感……か。まぁいいわ……あなたの予感、信じてみる。ただ……もし万が一見つからなかったら、私達……。このまま飢え死んでしまうわ……
ル級,…………。……ドウシヨウ……
ヲ級,え、えぇ……
ル級,ヴッ……！
ヲ級,ル級の顔になにか飛んできた……。これは……チラシ？
ル級,読めナイ、なんて書いてアルんだ？
ヲ級,えーっと……
ル級,ねっしー……
ヲ級,報酬……
ル級,！
ヲ級,！
ル級,フッフッフッ……
ヲ級,水の中は、私達のテリトリーなのよ……
ル級,ココに、お前のくれタきゃめらがある。こいつは深海でも使えるよう……。ニホンの“よどばし”で買っタ防水カバーを被せてあるッ。こいツでねっしーとやらを撮影すれば……！
ヲ級,私達……報酬で助かるわ！
ル級,そうト決まれバ！
ヲ級,さっそく！
通行人,た、大変だー！。人が湖に入っていったぞー！
ヲ級,ふぅっ！。なかなか見つからないわね……
ル級,あァ、そうだナ……
ヲ級,ん、なにしてるノ？
ル級,底に沈んデタごみ、陸にあげテル。こんなモノが“家”にあっタラ。中ニ住む奴、困ルだロ
ヲ級,…………
ル級,“だすとぼっくす”が一杯になっテ来たナ
ヲ級,えぇ、そうね……。…………。私達、何か大事なこと忘れてない？
ル級,………アッ、ソッカ。そうだナ、そろソロ探索に戻ろウ
ヲ級,……ん？
ル級,どうシた？
ヲ級,このゴミの形……。チラシのネッシーの写真に似てない……？
ル級,エッ
ヲ級,ほら……これが首で、これが体で……
ル級,…………
ヲ級,……あまり考えたくないけど……。ネッシーって今まで、はっきりした姿は誰にも見られてないのよね
ル級,…………
ヲ級,……ネッシーって。本当はいないんじゃ……
ル級,…………。……イ、いるサ！。ヲ級、ねっしーは絶対ニいるヨ！
ヲ級,ル級……
ル級,今からモウ一度行ってクル！
ヲ級,あ、ちょっと！もう暗くなりはじめて……！。あっ……。…………
ル級,ねっしーハ、イルサ！。イルッテ言ウニンゲンガイルダカラ！。デナキャ……。ニンゲンハ人ノモノヲ盗ルシ……。他ノ生キ物ノ住ム湖ニ自分タチノゴミモ捨テル……。……ソノ上、嘘モツク。……深海ノミンナニ、ソンナ生キ物ダト思ワレテシマウ……！。“コンゴウ”ノヨウナ人モ、陸ニハイルトイウ事ヲ……。皆ニ信ジテ貰エナクナル！。ソンナノ……。私、イヤダヨ……！。……！
ヲ級,……考えても仕方ないか。もう少し、ル級に付き合ってあげ……
ル級,ヲ級！ヲ級！！
ヲ級,キャッ！！。ナニナニッ！？
ル級,今カラ付イテキテッ！！。“ねっしー”ガ、イタンダ！！。…………
ヲ級,…………
ル級,……すまナイ、ヲ級……
ヲ級,えぇ……いいのよ……。私だって……あんな光景を見せつけられて……。それを写真に撮って広めるなんてできないわ……
ル級,あァ……。彼ラハ、静かに暮らシテいるんダ。そレニ……もう“戦争”ハごめんダ。ヲ級……短イ人生だッタが……。楽しかった……
ヲ級,ル級！
ル級,アァ……コンゴウにモ、モウ一度会いたカッタな……。！！。コ、コンゴウ！！
ヲ級,えっ！？
金剛,ルキューっ！？。なんでこんな所にいるんデース！？
ル級,コンゴウ！コンゴウッ！
金剛,オォーウ！なかなかのバァァニング“ハグ”ネ！
ル級,お前ニ……会いに来たンダ！！
金剛,！。……そうだったデスか……
ル級,モウ会えナイかト思っタ……！
金剛,ふふふ……コンゴウはここにいマース……
ヲ級,あ、あの……
金剛,Ｏｈ！アナタは……確か、ヲキューさんデスネ！
ヲ級,はい！……御存じなのですか？
金剛,アナタのこと、ルキューからよく聞いてマシタ！
ヲ級,ル級から……
金剛,あなたもルキューも、マイホームへいらっシャーイ！。フォートオーガスタスのグランパのホームで！。ジェリードイール(鰻ゼリー)とマーマイトを塗ったパンをたくさん食べて……。一緒に紅茶を飲むデース！
ル級,あぁ……私モ……。コウチャガノミタイ……デース
金剛,私の真似、ノーだからネ！
ヲ級,あははは……っ
さいごに,ヲ級と女性
女性,……あはははっ！
ヲ級,……信じてないでしょう
女性,いやいやスマナイ、そうではないんだ。ただ、ヲ級とその友達のやっていることが面白くてなっ。マーマイトが美味いなんて、初めて聞いたんだっ
ヲ級,ムム……ッ
女性,それに、その金剛はおそらく私の知り合いだ……。そんな話を聞いたら、私も久しぶりに外へ行ってみたくなったぞ
ヲ級,ソト？
女性,この国で言うところの、“外国”だな
ヲ級,……そういえば。ぐらーふは元々、この国の人じゃないんだったね
女性,あぁ。私も、祖国に友達がいるんだ
ヲ級,ヘェ……
女性,……今、子供達は？
ヲ級,外で仲良く遊んでるわ
女性,ふふ、そうか。なぁヲ級……。私達も、近々“外”へ遊びに行かないか？
ヲ級,え、でも……。あとみらるが……
女性,アトミラールとは、今でもよく出かけるんだ。たまには……子供を預けても大丈夫だろう。それに最近、パイロットになった友達から手紙も来た。深海棲艦が初めて空を飛んだそうだ
ヲ級,空を！？本当に！？
女性,あぁ……。あなたもどうだ……空の旅は？
ヲ級,エ、イヤ……私は……
女性,……怖いのか？
ヲ級,コ、コワクナンカナイシ！
女性,素に戻ってるぞ。大丈夫だ、私もついてる。何より……私が見てみたくなった。３人の秋月型とそのアトミラールが紡いでくれた。今の平和な外の世界をな……
ヲ級,……分カッタ。……私ダッテ……思ッタコトアルシ……。一度ダケデモ……。空ヲ飛ンデミタイナ。……ッテネ
