―黒木家,深夜
うっちー,普通においしい……歯ごたえのあるキャベツとやわらかい豚肉にコシのある太麺が絡み合って
もこっち,ずずずっずぞぞぞぞ〜、ぷはー☆
うっちー,(￣ー￣)vブイ！
もこっち,思わずメシの顔をさらけ出しちまった……だがまあ美味かったし。こいつ程度になら変顔見られても問題ないだろ。だってこいつ絵文字だし
うっちー,美味しかった。こいつこういうのが好きなんだな。ラーメンとか健康に悪くてきもい！……また行こう
もこっち,あ、じゃあ……また学校で
うっちー,あ、うん……またね。あいつの家、どっちのほうなんだっけ……
ゆり,あれって
真子,うっちーだ。あ、向こうに黒木さんもいるよ
もこっち,ふぅ～満腹満腹。さて、ちゃっちゃと帰るとするか
ゆう,もこっちー
もこっち,あ、ゆうちゃん！
ゆう,ごめんね、もこっち。メール返そうと思ってたんだけどちょうどバッテリーが切れちゃって。用事があって学校に残ってたから、来るの遅くなっちゃった
もこっち,あー、そうだったんだ……
ゆり,黒木さん
もこっち,！え……田村さん？
ゆう,あ、この前の。もこっちの高校の
真子,あ。えっと、こんにちは
ゆり,黒木さん、こんなところで何してたの？
もこっち,え、何？放課後、出合い頭にいきなり何してた？って聞くか普通？
ゆう,ああ、私たち……ここで待ち合わせしてたんだ
ゆり,待ち合わせ？何で？
ゆう,えっと、一緒にざーめん食べに行くんだよね。もこっち
ゆり,！？
真子,！？
もこっち,
智貴,ただいまー。って、今日は親いないんだったな。ん、靴がねえ。あいつまだ帰ってねぇのか。部活もやってねーのに、どこをほっつき歩いてるんだか。……飯、どうすっかな。何か適当に、焼きそばとか作るか。……。まあ、ついでってことで。２人分……作っておくか
