トレーナー,よし！今日はここまで！
P,にしても。凄い興奮してたな
りあむ,だってあのビジュアルスターだよ！？ぼくが子どものころからテレビに出てたんだよ？？。ずっと追ってたもん！髪切ったときとか、プロデューサーと大騒ぎになった時もリアルタイム世代だし！。その二人がぼくの目の前にさぁー！！正気を保つほうが無理だし。めっちゃやむよね。ね？
P,やむってそういう使い方もするのか……。で、なれそうか？
りあむ,え
P,りあむは、あの星井美希みたいになれそうか？
りあむ,何言ってんのPサマ。そんなの無理に決まってんじゃん
P,……
りあむ,比べてみなよ。ザコメンタルで、いいとこなしで、独り反省会してる。そんなぼくだよ？。ぼくは美希ちゃんみたいに尊いアイドルにはなれないよ
P,そうかい
りあむ,でもさ
P,うん？
りあむ,ぼくには無理でも、Pサマがいるでしょ？
P,……トップアイドルってのは、自分でなるもんだ
りあむ,ぼくは新人だぞ。優しい言葉くれないとやむぞー？
P,残念ながら今日の分はSOLDOUTだ
りあむ,……やっぱり扱い雑だな？
P,そうそう。今回のこと、あんまり大っぴらに口外しないようにな
りあむ,はーい。
P,おーいりあむ、生きてるかー
りあむ,床が冷たい……気持ちいい……
P,今日もお疲れさん。随分気合入ってたじゃないか
りあむ,ぼくやればできる子だし……
P,そうかそうか。そんなりあむに話がふたつある
りあむ,ふぇ……
P,ひとつはオーディションの話だ。りあむの名前が会議で上がった
りあむ,うそ！？
P,まだ確定じゃないけどな。ただ眼は掛けられてることは確かだ
りあむ,そっか……。ぼくが……うへへ……
P,で、本題は次なんだが……これはなんだ？
りあむ,え、いきなり何……。
P,俺さ、この前の件口外するなって言ったよな？
りあむ,な、なんでPサマがこの垢知って……
P,腐っても芸能事務所だぞウチは
りあむ,……見た？
P,隅から隅まで全部な
りあむ,ぷ、プライバシーの侵害だぞお！！
P,それよりもコンプライアンスに引っかかるだろうが！。既に先方から連絡も来てる状況なんだぞ！派手に燃える前に消せ！
りあむ,うわーん！！やっぱアイドルってやさしくない！！めっちゃやむー！！
