順番待ち僕,……
ひびき,・・・ふぅ。ぜえええええええい！！！！！
僕,な、なんて美しいんだ・・・・
ひびき,ディスクは？
僕,510で
モブマッチョ,うおおおお！！僕さーーーん！！
朱美,やめて僕さん！そんなの失敗したら死んでしまうわ！！
僕,朱美さん・・・
朱美,僕さん・・・
僕,朱美さん・・・・・・
朱美,僕さん・・・・・・
僕,これが挙がったら、結婚してください
朱美,はい
僕,ふぅ。つあーーーーーーーーーーーー！！！！！！。ぐあああああ！！！！
朱美,僕さん！！！！！
モブマッチョ,だ、だめだ！バーベルが心臓を押しつぶしている！！やめるんだ！！！
僕,はぁ・・・はぁ・・・。彩也香、ジーナ、朱美・・・俺が、俺たちが・・・・
ひびき,ふうん。美しいじゃん
朱美,あなた、スポーツ新聞は体に障りますよ
僕,うむ、すまん
朱美,ひびきなら心配しなくても・・あ、痛い・・・
僕,どうした朱美！！
朱美,陣痛が始まって・・・・
僕,うおおお！！救急車を呼んでくれえ～！！！
