モバＰ,以降Ｐ表記、雑なフリありがとう
蘭子召喚の供物を記しグリモワールよ、ここに！,材料はこちらに書いてある通りになります
蘭子翼持つ同胞よ感謝する,飛鳥ちゃんカンペありがとー
蘭子さぁ、我が闇の力開放せん！,それじゃあ早速作りますね！
蘭子奪え！シルフの息吹を！錬成せよ！贄よ、今こそ江戸時代に流通した金貨の姿に！,空気を抜きながら小判型に形を整えていきまーす
蘭子その身を焼き焦がし生まれ出でよ！我が供物、禁断の果実よ！,こんがり焼きたてハンバーグ～♪まだかなまだかな～？
Ｐ,…
あきら,…
Ｐ,可愛い
あきら,可愛い。取り合えず保留で
Ｐ,可愛い
あきら,蘭子さんと料理動画ってどういう組み合わせデスか。ハンバーグ食べたくなったけど
Ｐ,後でびっくりド〇キーでも行くか？
あきら,♯いし〇まや希望
Ｐ,おまっ、あそこ結構高い…まぁいいけどさ
あきら,やった
Ｐ,ん、次の動画がラストだな
あきら,思ったより少ないんデスね
Ｐ,あきらに見てもらう以前に完全アウトなものがほとんどだったからな。今見てもらってるのは比較的マシだったのとか出来立てホヤホヤの新作とかなんよ
あきら,むしろ完全アウトの方を見てみたいんですけど
Ｐ,よし、それじゃあラスト１本、心火を燃やしていってみよう
あきら,ああ、こういうのも鉄板ですよね。世界一辛いもの食べてみたとか、世界一酸っぱいもの飲んでみたとか
Ｐ,あのだね、俺はお前の兄ぃじゃないんだから膝に乗るのはだね
あきら,あ、ポップコーン取って
Ｐ,♯新人にナメられまくってる件。…
あきら,…
Ｐ,どう？
あきら,アウト
Ｐ,え、なんで？
あきら,ただ芳乃さんとＰさんがイチャついてるだけじゃないですか。何のプレイ見せられてるんだって感じデス
Ｐ,可愛くない？
あきら,可愛いけれども
Ｐ,アウトなのかぁ…折角撮ったのに
あきら,撮影者がＰさんじゃなければ何の問題もなかったんですけど
Ｐ,解せぬ
あきら,解せてくださいよ
Ｐ,…結局まともに使えそうな動画ほとんど無かったな
あきら,ボツにしたのも一回見せて貰えません？正直めちゃ気になるんで
Ｐ,いやぁ、どれも酷かったぞ？菜々さんと佐藤の漫才とか奏の映画実況とか志希の寝起きドッキリとか延々と満面の笑顔を浮かべ続けるのあさんとか
あきら,余計気になってきたんで見せてくださいよ
Ｐ,うーん、しかし本当にどうしよう。いっそ今見たやつ全部試しにアップしてみようか
あきら,コメント欄がりあむるの確実だと思いますけど
Ｐ,最近の若い子たちって炎上する事をりあむるって言うん？
あきら,はい。ども
Ｐ,おはよう。丁度良かった。昨日あきらに見て貰った動画＋αを試験的に事務所内だけで見てもらってアンケート取ってみたんだけどさ
あきら,うわぁ、あの混沌の坩堝を身内間とは言え晒しちゃったんデスか
Ｐ,また大袈裟な。んで、これがそのアンケート結果なんだけどさ
あきら,どれどれ。あ、もうちょい寄ってください見えない
Ｐ,ふぐぅ追いやられる
あきら,えーっと？ああ、やっぱり１番人気は蘭子さんのアレですか
Ｐ,可愛かったもんな
あきら,で、２位は芳乃さんですね。一般の方々には見せられないでしょうけど
Ｐ,解せぬ
あきら,ん？この３番人気の動画は何デスか？
Ｐ,ああ、これはだね。昨日あきらに一緒に観てもらった後すぐ送られてきたんだけどさ
あきら,。
Ｐ,匿名で送られてきたんだけどさ、隠し撮りだしどうしようかとも思ったんだけど…ってどうした？突然マスク外して。あきらの新たな魅力を開拓する良い機会かもしれないとも思ったしまずは事務所内だけで…ってどうした？口をそんなにかっ開いて。ってぎゃあああ噛まれた何でっ！？
アッキー,終わりだ
優,あれ？ひょっとしてアッキーが喋ってる姿上げるだけでバズりそうじゃない？
Ｐ,痛い…
あきら,♯自業自得♯インガオホー
Ｐ,割と盛大に出血しとるんだが
あきら,って言うか誰。この動画送ってきたの
Ｐ,さぁ…？フリーメールからだったし匿名だったからなあ。どうしても特定したいって言うなら泉かマキノにでも頼んでみるけど
あきら,そこまでしなくてもいいデスけど。あー、でも気になるかも
Ｐ,そう言われると俺も気になってきたなぁ。差出人欄には謎のＭｒりんごろうとしか書いて無かったし
あきら,解せぬ
