最上静香,以下、静香
小鳥,プロデューサーさんが自分で抱き枕にしたいって言ってたんだから、迷惑に思う筈ないでしょ！。だから、気にせずに甘えてきちゃいなさい！
未来,小鳥さん……！分かりました！。プロデューサーさん、待っててくださいね～！
小鳥,……私も潜り込んでみようかしら
未来,し、失礼しま～す……。ほ、ホントにプロデューサーさん寝てる……。お、お邪魔しまーす……
P,ん、んん……。……すー
未来,び、ビックリしたぁ……。プロデューサーさんの背中……意外とおっきいんだ。今度おんぶしてもらおうかな……？。でへへ……♪おやすみなさい、ぷろでゅーさーさ……
星井美希,以下、美希
美希,でも、こうやってベッドがあればミキもカイテキってカンジ！。……あれ？。ハニーが寝てるの！これは……今日のミキ、なんだかついてるのかも！。それじゃ、早速ハニーの隣に……。…………
未来,……ふみゅ♪
美希,……は、ハニーが浮気してるの！。うう……は、ハニーのバカー！
P,……ん、なんだ？なんだか背中が温かい。なんだこれ、新しい電気湯たんぽとか？。……えっ？
秋月律子,以下、律子
P,お、俺は何もしてな
律子,状況証拠があれだけあるのに、言い訳なんて出来る訳ないでしょうが！
P,ぐぅう……
小鳥,ま、まぁまぁ律子さん……その辺にしておいてあげてくださいよ
律子,小鳥さんもノリノリだったって静香から聞きましたけど？
小鳥,ひっ！
静香,未来も何考えてるの？プロデューサーが変な気を起こしたらどうする気だったのよ！
未来,で、でも……
静香,……もしかして、プロデューサー？もう未来に何かしたんじゃ
P,何もしてないって！信じてくれ！
静香,でも、朝も言ってたじゃないですか！抱き枕にしたいとか！。それが担当アイドルに対して言うセリフですか！
P,お、仰る通りで
静香,ほら、未来からも何か言ってあげて！
未来,…………
静香,……未来？
未来,プロデューサーさん、あったかかったなぁ……。結局、あの後普通に帰っちゃったけど……。プロデューサーさん、また一緒に寝てくれないかな……。あっ！
トレーナー,春日さん、集中！
未来,は、はい！
トレーナー,……んー、今日はずっとこんな感じね。よし、今日のレッスンはここまでにしておきましょうか
未来,えっ、でも……
トレーナー,身体を休めるのも、大切な仕事なのよ？。気が入ってないときにレッスンをして、怪我でもしたら大変だからね！
未来,あぅ……ごめんなさい
トレーナー,ま、今日は早めに帰って休む事！いい？
未来,はい！明日は、宜しくお願いします！
トレーナー,ええ、期待してるから！
未来,今日の私、ダメダメだったなぁ……。ただいまー……。あれ？誰もいないの？。プロデューサーさん……椅子に座ったまま寝てる。こんなんじゃ風邪ひいちゃいますよー……。そういえば、どこかに……あった！。はい、毛布じゃなくてジャケットですけど……
P,……むぅ
未来,あ、あれ？起こしちゃいましたか？
P,おー……？。ああ、未来か……居眠りしちゃってたか、油断するとホントダメだな
未来,まだお仕事やってたんですか？
P,いや。折角だし、未来が帰ってくるのを待ってたんだ。今日のレッスンの話、折角だから聞いておきたくてさ
未来,そ、そうなんですか……
P,どうした？今日はダンスレッスンだったろ？
未来,そ、それが……今日、ちょっと失敗しちゃって。ダンスに集中できてないって言われちゃったんです……
P,そうか……よし、今度は俺も行くからさ。次は頑張ろう、な？
未来,……はい！
P,さて、そろそろ帰るか……。あれ？これ……ひょっとして、未来がかけてくれたのか？
未来,そ、そうですけど
P,そうか……ありがとな
未来,ほ、褒められるような事なんてしてないですよ～
P,そういう気遣いが心に染みるんだって……ふわぁあ
未来,あれ、まだ眠いんですか？
P,ああ、さっきまで寝てたってのになぁ……ふぅ
未来,……そ、それなら！もう一度、仮眠室で寝てみませんか？
P,ああ、それもいいかも……って、寝てみませんかっておかしくないか？
未来,お、おかしくなんかないです！私も一緒のベッドで寝るんですから！
P,ええっ！？だ、ダメだろそれは！
未来,私が良いって言ってるんですから良いんです！。それに、私が一緒に寝たら時間気にしなくて済みますよね？
P,そ、それは……まぁ、その通りだけど
未来,それなら良いじゃないですか！善は急げですよ、プロデューサーさん！
P,うおっ！引っ張るなって！。と、とりあえず一緒にベッドに入ったけど……
未来,わぁ、プ、プロデューサーさんの顔がこんなに近くに……！
P,…………
未来,…………
P,そ、それじゃ寝るか……おやすみ
未来,お、おやすみなさい……
P,…………
未来,って！そんな簡単に寝ちゃって良いんですか！？。この前は、ギュってしてワシャワシャしたいとか言ってたじゃないですか！
P,げっ、そこまで聞いてたのか……。で、でもな……いざこうやって一緒のベッドに入ると、なんというかやりづらいというか
未来,むぅー言い訳ばっかり……
P,未来？近いって
未来,こ、これだけ寄れば撫でられますよね？
P,し、しかしだな
未来,…………
P,……はぁ、分かったよ
未来,ぎゅ、ぎゅってするの忘れてますよ
P,分かってる分かってる
未来,で、でへへ……♪
P,悪徳さん、頼むから今日はカメラ持ってこないでくださいね……。……でも。可愛いから何でも良いかぁ
未来,～～♪
P,はぁ……こうしてると、なんだか妹がいるみたいだな
未来,妹、ですか？
P,うん。まぁ、俺には妹いないんだけどさ。こうしてると、可愛い妹が欲しかったなぁって思うよ
未来,……お兄ちゃん？
P,……！
未来,あーっ、お兄ちゃん今ドキっとしたでしょー？
P,……うん、ドキっとした
未来,……で、でへへ？
P,妹キャラもアリかなぁ……うん、とっても様になってたぞ
未来,そうですか？
P,おう！未来みたいな妹が欲しいなぁって、心から思った！
未来,えへへ～……？。あれ？でも、妹って事は……
P,未来？どうかしたのか？
未来,……や、やっぱり妹キャラはなしです！やめやめ！
P,えーっ！？なんでだよ、可愛いのに！
未来,だ、ダメって言ったらダメなんです！
P,似合うのに……。……ホントに、ダメか？
未来,ダメです！
P,そういう事なら、仕方ないか……勿体ないなぁ
未来,そうですよ、仕方ないんですか、ら……
P,未来？眠いのか？
未来,い、いえ！大丈夫ですよ、まだまだ眠くなんて……
P,無理するなって、元から寝るためにベッドに潜ってるんだからさ
未来,で、でも……もっとプロデューサーさんとお話してたいのに
P,そんなの、いつだってしてやるからさ
未来,や、約束ですよ……約束
P,おう、約束だ！
未来,……それじゃ、おやすみなさい……
P,……うん、おやすみ未来
未来,…………♪
P,そういう事されると……辛いんだよなぁ。結局、あの後遅くまで眠ってしまった……疲れてるのか、俺？
未来,ご、ごめんなさいプロデューサーさん！家まで送ってもらっちゃって……
P,いいよいいよ、どうせこの後仕事が残ってるわけでもないしな
未来,そ、そうですか？
P,それに、遅くなったのは主に俺のせいだしな
未来,わ、私だって寝てたんだからおあいこですよ！
P,そうもいかないって。俺の都合に付き合わせちゃったわけだしな
未来,そんな事ないのに……
P,そうしておいておいた方が、世の中上手くいくんだって。……よし、着いたぞ
未来,あっ……
P,どうかしたか？
未来,……な、なんでもないです
P,ん？。……明日事務所に来たらいっぱい話は出来るだろ？
未来,そ、そうですか？
P,ああ。だから、今日はよく休め。それで、明日また一緒に頑張ろう！な？
未来,……はい！。それじゃあプロデューサーさん！また一緒に寝ましょうね！
P,ば、バカ！声が大きいって！
未来,えへへっ、それじゃおやすみなさーい！
P,おう、お休み！
未来,おっはよーございまーっす！
小鳥,未来ちゃん、おはよう！
未来,小鳥さん！おはようございまーす！。プロデューサーさんは……？
小鳥,……ああ、あそこにいるわよ？
静香,……プロデューサー？
P,はい、なんでしょうか静香さん
静香,未来と一緒にまた寝たって本当ですか？
P,……それはどうかな
静香,未来から、昨日は気持ち良かったって感想のメールが来ましたけど？
P,……へへっ
静香,なにやってるんですか貴方は！
P,や、やましい事はしてないから！ただの添い寝だから！
静香,ぎゅってしてワシャワシャしたのに、ですか？
P,…………
静香,…………プロデューサー！
P,ひぃっ！
未来,静香ちゃんスッゴイ怒ってる……私のせいなのかな
小鳥,うーん、アレはちょっと違うんじゃないかしら？
未来,？
小鳥,ジェラシーって奴よ、ジェラシー
未来,じぇらしーって、新作のアイスか何かですか……？
P,お、未来！来たか！おはよ！
未来,プロデューサーさん、おはようございます！
P,丁度いい所に来たな！さ、早くダンスレッスン行こう！
静香,プロデューサー！逃げないでください！
P,ヤダよ、なんかいつもより怖いじゃん！。さ、善は急げだ！行くぞ、未来！
未来,ぷ、プロデューサーさん！待ってくださいよ～！
小鳥,いってらっしゃーい
静香,…………
小鳥,静香ちゃん？
静香,小鳥さん、一つ聞いても良いですか？
小鳥,な、なにかしら。私に答えられる事なら答えるわよ？
静香,大丈夫です、小鳥さんに頼むのが一番だと思うので
小鳥,？
静香,抱き枕になる方法、教えてください
