多田李衣菜,みくちゃんみくちゃんみくちゃーん！！！
李衣菜,でもさ、始めたはいいんだけど、こういうのって最初が肝心でしょ？何を投稿すればいいのかわからなくって……
みく,ってことは、まだ何も投稿してないの？
李衣菜,うん……
みく,よくその状態でインスタ映え狙うなんて言えるにゃあ……
李衣菜,それでさ、いろいろ調べたんだけど、最初だし、成りすましって思われないような投稿が大事って書いてあったんだよね
みく,まあ、それは同意にゃ。いきなり食べ物の写真なんて上げても李衣菜チャンだってわかんないもんね
李衣菜,自撮りとかも考えたんだけど、どっかから拾ってきた画像だって思われたらアレだし……
みく,もー、そんなん言ってたらいつまでも投稿できないよ？
李衣菜,あ、そ、それで……えっと……
みく,？
李衣菜,誰か、他の人と一緒に撮った写真ならいい感じに初投稿に向いてるかなって……！
みく,……ふーん？
李衣菜,だからお願いみくちゃん！私とツーショット撮って！！
みく,……李衣菜チャンさ、他にもたくさんアイドルはいるよね？
李衣菜,？
みく,その中で、まずみくのとこに来たの？
李衣菜,だってこういうの頼めるのみくちゃんしかいなくて……みくちゃん人気者だし、ユニットも組んでるし、こういうの詳しそうだし……
みく,ふーん？ふーーーん？
李衣菜,？？？
みく,まったく！李衣菜チャンはしょうがないにゃあ！本当は！イヤだけど！しょうがないにゃあ！！！
李衣菜,あ、ごめん、イヤならなつきちにお願いするね……
みく,まてまてまてにゃあああああ！！！！！！。空気を！！読むにゃ！！！
李衣菜,読んだんだけど……
みく,このみくが快く手伝ってやるって言ってるにゃ！！！
李衣菜,快く……？
みく,はいはい！スマホ貸して！
李衣菜,あ！ちょっと！
みく,自撮りするから肩を組むにゃ！
李衣菜,うわぁ！？
みく,はいチーズっ！
李衣菜,わわわ！？
みく,むふー！自撮りなんてこんなもんにゃ！今後参考にしてもいいんだよ？
李衣菜,……
みく,お？嬉しさで声も出ないかにゃ？
李衣菜,……ない
みく,？
李衣菜,つまんない！！！
みく,にゃにゃにゃ！？！？！？。つ、つまんない！？この満面の笑みのみくとコミカルに慌ててる李衣菜チャンの写真が！？
李衣菜,だってこんなの普通じゃん！全然インスタ映えしないよ！！！
みく,そもそも初投稿からそういうのを狙うのが間違ってるって言ってるにゃ！！！
李衣菜,初投稿だからこそインパクトが大切なんじゃん！！！
みく,じゃあ李衣菜チャンの考えるインパクトってなんなのさ！！！
李衣菜,そ、それは……
みく,ほら！答えられないんじゃん！
李衣菜,ち、違うよ！あ、アレ！虹色の食べ物とか！
みく,そういうのはみくは勘弁にゃ……！！美味しくなさそうだし……
李衣菜,じゃあ全身虹色のみくちゃんとか！
みく,そこまで体を張る義理はないにゃあ！！！
李衣菜,あ！トリック写真みたいなのはどう！
みく,トリック写真……？
李衣菜,そ！たとえば、1人がかめはめ波のポーズをとって、もう1人がジャンプして吹っ飛ばされたポーズをするの！その瞬間を撮るんだよ！
みく,あー、なんか見たことあるにゃ
李衣菜,ね？どう？
みく,まあ、試すだけならいいけど……
李衣菜,やった！じゃ、みくちゃん、かめはめ波のポーズやって！
みく,はいはい
李衣菜,そんで私がカメラを構えるから、みくちゃんは吹っ飛ばされる人もやって！
みく,はいは……これみく2人必要じゃない！？
李衣菜,そこはこう……増えたり！
みく,無理にゃ！！ってか増えられるならそれだけ撮ればいいじゃん！きっと世界中から取材が殺到にゃあ！！みくに対してね！！！！
李衣菜,元気だなあ
みく,李衣菜チャンのヘッドホンを叩き割る動画を投稿してもいいんだよ
李衣菜,ご、ごめんって。2人でそういう系は難しいか……
みく,検討段階で気付くべきだにゃ……
李衣菜,あ！じゃあ、さっきの美嘉ちゃんを参考にしようよ！
みく,参考に？
李衣菜,うん！他のアイドルをパ……えっとパ……パクるの！
みく,パロディ
李衣菜,それ！！！
みく,学習能力ゼロかにゃ？
李衣菜,他のアイドルの恰好を真似した写真を上げれば注目されるんじゃないかな！
みく,まあ、そういう公式でできないことが個人のインスタの良さではあるけど……
李衣菜,でしょ？衣装を借りるくらいなら怒られないと思うし！
みく,それはいいけど、誰をパロディするの？
李衣菜,うーん……あ、じゃあ、テレビをつけて最初に映ったアイドルの真似をするとか！
みく,あー、ランダム性を持たせるのも面白いかも……？
李衣菜,じゃ、早速！。他には何かいい方法あるかなあ？
みく,李衣菜チャンのそういうとこ、みくは好きだにゃ
李衣菜,食べ物も服装もダメとなると……
みく,ダメというか……
李衣菜,あ！
みく,？
李衣菜,じゃあ、場所で攻めようよ！
みく,場所……確かに、インスタ映えする観光地って売り文句、最近はよく聞くけど……
李衣菜,そういうのじゃなくて、私たちにしか撮れないようなさ！
みく,例えば？
李衣菜,例えば……乃々ちゃんとかがよくいる机の下とか！
みく,あ、そういえば輝子ちゃんもよく事務所の机の下が落ち着くって言ってて、ファンの人たちは知りたがってた気が……
李衣菜,あとは、晶葉ちゃんのラボとか！
みく,なるほどにゃ！それなら、志希チャンが色々やってる作業場とかも面白いかも？
李衣菜,いいね！それから麗奈ちゃんの秘密基地とか！
みく,おお！ファン垂涎の写真になりそうにゃ！
李衣菜,じゃ、早速行ってみよっか！
みく,ち、ちょっと楽しくなってきちゃったのは事実にゃ……！
李衣菜,れっつごー！！！。……
みく,……
李衣菜,全部断られちゃったね……
みく,……うん
李衣菜,まさか乃々ちゃんと輝子ちゃんがあんなにインスタに拒否反応を示すとはね……
みく,うん……そっ、そんなキラキラした世界にもりくぼのさんくちゅありは渡せないんですけど……い、いんすた……！？り、リア充御用達の……あの……！？って……ヒャッハーしそうだったから逃げてきちゃったにゃあ……
李衣菜,晶葉ちゃんもあー、協力したいのはやまやまだが、機密情報が写ると困るからな……って
みく,志希チャンの作業場にいたっては変な薬品をぶちまけちゃったからって半径20メートルが立ち入り禁止になってたにゃあ……
李衣菜,麗奈ちゃんも……アンタたち、”秘密”って言葉の意味知ってる？そんなんで全世界に公開されたらたまったもんじゃないわよ！って言ってたし……
みく,ぐうの音も出ない正論にゃあ……
李衣菜,論破されちゃったね……
みく,1時間前のテンションが恥ずかしい……
李衣菜,やっぱみくちゃんが虹色になるしかないんじゃない？
みく,明日から死ぬまで口きかないけど、それでいいなら
李衣菜,リスク大きいなあ……
みく,じゃあさ？美嘉チャンの最初の投稿を参考にすれば？
李衣菜,そ、それだ！！！
みく,でしょ？美嘉チャンだって最初はそういうのに悩んだかもだし、見て損はないと思うにゃ
李衣菜,それで虹色の莉嘉ちゃんが写ってたらみくちゃんも虹色になってくれる？
みく,上等にゃ。全身を虹色にした後に城ヶ崎家を爆破してやるにゃ
李衣菜,リスク大きいなあ……。美嘉ちゃんの最初の投稿は……あった！
みく,何色？
李衣菜,ごめんってば
みく,冗談にゃ
李衣菜,あ……
みく,へ……？あ
李衣菜,莉嘉ちゃんとの2ショット……！普通……だね
みく,……ね？
李衣菜,やっぱ、そうだよね
みく,カリスマだって、最初からカリスマだったわけじゃないのにゃ
李衣菜,……さっき撮ってくれた2ショット、投稿してもいい？
みく,もちろんにゃ！
李衣菜,ありがとみくちゃん！
みく,！
李衣菜,？
みく,べ、別に……次はちゃんと笑顔の写真を撮ってあげようかにゃあ……
李衣菜,ええと……インスタ始めました！最初はみくちゃんとの2ショット！って書いて……
みく,うんうん！
李衣菜,#多田李衣菜#アスタリスク#ネコっと！
みく,みく要素雑じゃない！？。その”近所でネコ見つけた～”みたいなタグやめてくれない！？
李衣菜,流石にその時はアスタリスクのタグはつけないよ
みく,そういう問題じゃないにゃ！！！
李衣菜,しょうがないな～#前川
みく,何にもわかってないにゃあ！！！
李衣菜,いいね、たくさんくるかなあ！
みく,だから初投稿でしょ
李衣菜,ま、そうだよねー
みく,”継続は力なり”ってよく言うでしょ？ま、みくでいいならいつでも写ってあげるから……
李衣菜,って！み、みくちゃん！！！
みく,え？どうしたのにゃ？
李衣菜,これ見てよ！5万いいね……6万……8万……10万……！！！
みく,ええ！初めての投稿なのに！？そ、そんなにみくたち人気者なのかにゃ！？
李衣菜,わ、わかんない！！！
みく,こ、これはいくらなんでも……にゃ！？
李衣菜,へ？
みく,こ、ここここここ、ここ！！！
李衣菜,ここって……私たちの……後ろ？
みく,ま、窓のところにゃ！！！
李衣菜,ん～？……うわ！？お、女の人の……か、顔！？
みく,し、心霊写真にゃ！！！お祓いにゃあ！！！
李衣菜,初めての投稿が心霊写真……
みく,そうにゃ！みくが何をしたっていうにゃあ！！！
李衣菜,……ロックだ！！！
みく,にゃにゃにゃ！？
李衣菜,こういうのだよみくちゃん！！！
みく,うるさいにゃあ！！！
李衣菜,いやー、やっぱりみくちゃんに相談してよかったよ！
みく,みくはこんなの狙ってないけど！！！
李衣菜,”みくでいいならいつでも写ってあげるから”だよね？
みく,ぜ、前言撤回にゃあ！！
李衣菜,虹色みくちゃんか心霊写真かどっちがいいの！？
みく,どっちも絶対イヤにゃ！！！あと虹色みくちゃんってそんな虹色ミラクルみたいな語感はやめるにゃ！！！
李衣菜,いや、別にそこまでは考えてなかったけど……
みく,と、とにかく！みくはもう帰るからね！！！
李衣菜,あ！待ってみくちゃん！
みく,もう！なに！？
李衣菜,付き合ってくれたお礼にこれあげる！手に入れるの苦労したんだ～
みく,え……みくのために……？
李衣菜,はい！レインボードーナツ！
みく,虹色はもういい加減にしろにゃ！！！！！
