モバＰ,以降Ｐ表記、ひょうきんに…ンフッ
Ｐ,フタをするとさ、どうしても水蒸気がフタの裏に溜まってせっかくコンガリ焼いてるハンバーグの表面に水滴がつくんだよ。だからこうして…アルミ箔で包んでから再度フライパンに入れて、そしてからフタします。細かい事だけど、こういう事をやるかやらないかってだけで出来上がりが別物になるんだよ、料理ってのは
ありす,凄く奥深いんですね…プロデューサー業辞めても職には困らなそうですね
Ｐ,何て不吉なことを。さて、これで１０分ぐらい加熱すれば出来上がりだ。なのでその間に付け合わせとソースを作ります
ありす,付け合わせがあるとやっぱり料理ができる人
Ｐ,まぁ簡単なものでいいんだけどね。ここは無難にニンジンとブロッコリーにしとくか。橘さんはニンジン平気か？
ありす,食べられます。そこまで子供ではありませんっ
Ｐ,なら良かった。じゃあまずは鍋にお湯を沸かせて、その間にニンジンをオリーブ剥きにしよう
ありす,オリーブ剥き？えっと……ああ、レストランなどで見るニンジンのあの形ですね
Ｐ,分厚く輪切りにしたニンジンを４等分して、角を削るように剥いていくとああいう形になるんだ。ほら、こんな風に
ありす,わわっ、手の動きが全然見えないんですけど
Ｐ,流石にこれは橘さんには難易度高いし、とりあえず普通に輪切りでいいよ。あ、包丁使う時はちゃんと猫の手にするんだぞ？
ありす,わかってますにゃ
Ｐ,んで、お湯が沸いたら塩一摘みに適当に千切ったプロッコリーを入れる。目安としてはブロッコリーが入って一旦温度が下がったお湯がまた沸騰するぐらい。まぁ１分半ぐらいかな。茹で過ぎると食感が悪くなるからな。あと茹でた後水にさらすのもＮＧだ
ありす,むむ…ただ茹でるだけでも色々注意する事があるんですね
Ｐ,よし、茹で上がったプロッコリーをザルに上げて、この鍋は軽く水洗いしたらこのままニンジンの調理に使うぞ。鍋にニンジンと、ニンジンがちょっとかぶるぐらいの水を入れて火にかけます。グツグツし始めてきたらバターとシュガーハー…もとい砂糖を入れます
ありす,あっ知ってます。グラッセって言うんですよね？
Ｐ,お、よく知ってるな橘さん
ありす,ありすです。撫でられて誤魔化されたりしません、ありすです。えへへ
Ｐ,お湯が煮詰まってニンジンに良い感じに照りが出てくるぐらいになったら出来上がりだ。塩を振ってもいいけどハンバーグの付け合わせなら甘い味付けの方がお勧めだな。よし、ハンバーグの方もそろそろ良いだろ。それじゃあソース作りだ
ありす,いよいよソースですね…一体どんな材料を使うんですか？
Ｐ,ケチャップと中濃ソースを７:３ぐらいの割合で混ぜます
ありす,ふむふむ
Ｐ,出来上がりです
ありす,早っ！
Ｐ,それじゃ焼きあがったハンバーグを皿に乗せて、ニンジンのグラッセとブロリー…もといブロッコリーを添えて、ソースをかけて。さぁ完成だ
ありす,わぁ、美味しそうですね
Ｐ,上にとろけるチーズ乗せるか？
ありす,是非っ！
Ｐ,じゃあ先にテーブル拭いといてくれるか
ありす,お任せください
Ｐ,橘さんは積極的にお手伝いしてくれる良い子だなぁ
ありす,ありすです。将来の妻は有能ですよ、ありすです
Ｐ,何かどんどんキャッチフレーズみたいになってきてる気がする。よーし、それじゃ食べるぞー
ありす,はいっ
Ｐ,では、食材に感謝の気持ちを込めて。いただきます
ありす,いただきます。わっ！お箸で割ったら肉汁が流れ出してきましたよ！？
Ｐ,やっぱハンバーグの醍醐味はこの肉汁だよな。熱っ！
ありす,猫舌ですか。あひゅいれふ！
Ｐ,はふ、ほふ…熱くて噛めねぇ…
ありす,はふふ…、んぐっ、凄くジューシーです！表面はこんがりしているのに中はふっくらしていて口の中でほろほろと解れていきます！
Ｐ,橘さんは食レポも出来そうだなぁ
ありす,おいしいですっ！ちゃんとしたお店で食べるハンバーグみたいです！
Ｐ,ちゃんとしたお店って、んな大袈裟な
ありす,サイゼにも負けませんよ、これなら
Ｐ,お、おう？意外と比較対象が庶民的だったな
ありす,このソースも凄く美味しいです。中濃ソースとケチャップを混ぜるだけとは思えません
Ｐ,ハンバーグ焼いた後の油が残ってるフライパンでソース作ってもいいんだけど、今日はとりあえず橘さんの練習の為だから手軽にしてみた
ありす,むぅ…、イチゴソースなら完璧に作れますよ？
Ｐ,ハンバーグには合わないと思うなぁ
ありす,んっ…あ、ニンジン美味しい。甘めのバター味ってまるでお菓子みたいですね
Ｐ,ブロッコリーもちゃんと食べるんだぞ？彩り以外にも口直しや胃もたれしないようにって意味もあるんだから
ありす,もう、そんな子供じゃありませんってば。私だって、いつまでもプロデューサーさんが思っているほど子供では無いんですからね？
Ｐ,例えば？
ありす,水の中で目を開けられるようになりました！
Ｐ,皿に残ったソースと肉汁はこうしてだね、パンで拭い取るにしてだね…
ありす,聞いてください！。ごちそうさまでした
Ｐ,お粗末様。さてと、それじゃ忘れないうちに復習しておくか。もう１人で出来るだろ？
ありす,えっ？……………えーっ、と…。…まだ、ちょっと自信が無いのでもう少し個人レッスンお願いできませんか？
Ｐ,うん、何だかもう１人で平気だって言うとこれでお終いになっちゃいそうだからまだ不安ってことにしておこう
ありす,ニュータイプですかエスパーですか！？
Ｐ,ただのプロデューサーだよ
裕子,エスパーの話！？
Ｐ,してません
ありす,あの…今そこの空間から突然黒い穴が…
Ｐ,よーし、それじゃ早速やるかー
ありす,どうしましょう…さっき教えてもらったからもう１人でも完璧に作れてしまいそうです…。ここはワザとヘタなフリを続けてこのまま２人きりのマンツーマンレッスンを続行するか、スーパークールにパーフェクトなハンバーグを作り上げてプロデューサーさんからの評価を上げるか…むむむむ…悩みます
Ｐ,何かめっちゃ悩んでるな…挽き肉こねながら。…アイドルが直に手でこねたハンバーグ、って銘打ったら大ヒットするんじゃなかろうか
ありす,そうだっ！プロデューサーさん、プロデューサーさんは料理が出来る女性と出来ない女性、どちらが好みですか？
Ｐ,えっ？そりゃあ、出来るほうだろ
ありす,決まりですね。では見ていて下さい。橘流・至高のハンバーグを！
Ｐ,そりゃ料理下手な娘たまんねぇぜぇ！
ありす,うんしょ、よいしょ…良妻になる為に、４年後の為に…Ｐさんの為に…
Ｐ,何か妙な念まで込めてない？あとさり気無く本名で呼ばないで
ありす,出来ましたっ！
Ｐ,おー
ありす,どうですか、見てください。この見事な。暗黒物質を…
Ｐ,…うん、まぁ１回教えただけで上手く出来るほうが難しいよ
ありす,…こんな筈では。な、何が間違っていたのでしょう？火加減？混ぜ方？
Ｐ,黙って見てたけどぶっちゃけ全部です
ありす,…うぅ、こんな、こんな筈では…
Ｐ,泣くな泣くな。失敗っていうのは大事だぞ？次に改善するべき点があるって証拠なんだから
ありす,ぐすっ、プロデューサーさん…
Ｐ,はいはい泣かない泣かない。ついでにクンクンしない。どこまで計算なのか分かんなくなるだろ。ほら、こんなこともあろうかと材料多めに買ってきたんだし、練習続けよう？
ありす,グスっ…ありがとうございます…
Ｐ,大事な担当アイドルの為だ、いくらでも付き合うよ
ありす,お付き合いしてくださるのですか！？
Ｐ,意味違うわい。ついでに一応限度はあるからな？
ありす,ああっ！また崩れました！？
Ｐ,しゃーない、片栗粉入れてそぼろ餡にしちまおう
ありす,途中で割れてしまいましたっ！ああ…せっかくの肉汁が…
Ｐ,ほぐして香辛料とヨーグルト入れてキーマカレーにしてしまおう
ありす,ま、真っ黒焦げになっちゃいました…
Ｐ,火傷してないか？
ありす,出来たと思ったら生姜焼きになってしまいました！
Ｐ,逆に凄ぇ
ありす,よっ…と。…っ！で、出来ました！
Ｐ,おー、綺麗に出来たな
ありす,ありがとうございますっ。これもプロデューサーさんのご指導のお陰です！
Ｐ,横からチョコチョコと口を出してただけだよ
ありす,懇切丁寧に手取り足取り２人だけの秘密の個人レッスンのお陰です！
Ｐ,だから横から口を出してただけだよ！？
ありす,あむっ……うん、我ながらまずまずの出来です
Ｐ,そいつは良かったな。これで調理実習も大丈夫そうかな？
ありす,はい。これでイチゴが解禁されれば完璧なのですけど…
Ｐ,柚の悲劇は二度と引き起こしてはならないからなぁ…
ありす,それはそうと
Ｐ,事務所の仲間のトラウマをそれ
ありす,ええと…先程からテーブルに次々と並べられているお皿の数々は一体…？
Ｐ,ん？ああ、橘さんが練習してる間手持無沙汰だったからさ、ちょっと、色々作ってみた
ありす,ありすです。横で何かやってるなぁ、とは思っていましたが…テーブルの上ハンバーグで埋め尽くされちゃいましたよ！？
Ｐ,ハハッ、蘭子やみくだったら大喜びしそうだな
ありす,私だって喜びますよ！ハンバーグのワンダーランドですね
Ｐ,そろそろご飯時だし、このまま夕飯にしちゃうか
ありす,プロデューサーさんと２人の夕食…お家で手作りご飯で一緒に夕食…。これはもうプロポーズと見ていいですよね？
Ｐ,いただきまーす
ありす,スルーは酷くないですかっ！？
Ｐ,ほら冷めないうちに。あーん
ありす,んあっ。はふっ、はふはふっ！
Ｐ,将来本当にお嫁に貰わないといけないかなと思わせてしまうチョロさですな。熱っつ！
ありす,お肉の味が凄く濃厚ですっ！これ何ですか？
Ｐ,何ってハンバーグだよ。…ああ、それは玉ねぎもパン粉も卵も入れてない肉１００％ハンバーグだな。岩塩でどうぞ
ありす,焼けた表面の中にミッチリ詰まったお肉が凄い食感ですっ！ああ、噛む度に肉汁が口の中に…はふふっ！
Ｐ,めっちゃ美味しそうに食べてくれるなぁ橘さんは
ありす,ありすです！私は別に名前を呼んではいけないお方。谷村新司、堀内孝雄、矢沢透で結成されるフォークグループは？
Ｐ,アリス
ありす,私の名前は？
Ｐ,橘さん
ありす,くっ…！
Ｐ,あ、それ中にチーズ入れてあるヤツだから。食べる時気を付けないと中から熱いチーズ出るからな？
ありす,はふふふっ！
Ｐ,手遅れだったか…
ありす,これさっきのチーズと違いますよ！？何ですかこれっ、チーズの味が凄く濃厚でお肉に負けていませんっ！
Ｐ,カマンベールチーズの白い部分を切り取って中に埋め込んだのさね。コストかかるけど一度食べたら忘れられない組み合わせだな
ありす,反則すぎます…こんなの、太っちゃうのに止められなくなるじゃないですかぁ…
Ｐ,橘さんはよく食べてくれるなぁ。また食事会やろうなー
ありす,ありすです。婿入り希望なのでしょうか？ありすです。君を見失う……
Ｐ,Ａｌｉｃｅ……
ありす,私の名前は？
Ｐ,橘さん
ありす,くっ……！。はぁ…流石にお腹いっぱいです
Ｐ,橘さんもちもちぽんぽんになっちゃったな
ありす,ありすです。呼んではならない誓約でもかけられているんですか？ありすです。このＳガンダムに搭載されている自立制御システムは？
Ｐ,ＡＬＩＣＥ
ありす,私の名前は？
Ｐ,ﾀﾞﾂﾞｨｳﾞｧﾅｻﾞﾝ!
ありす,ﾀﾞﾃﾞｨﾊﾞｶﾞﾅｺﾞﾄｲｯﾃﾞﾝﾀﾞｧ!
Ｐ,しかしおろしハンバーグもつくねバーグも煮込みシチューハンバーグも全部食べるとは思わなかったなぁ。しばらくレッスン量増やさないとな
ありす,ご心配なく…けふっ、全部、胸と背丈にいきますから…
Ｐ,目指せ及川ボディだな
ありす,目標がっ、果てしなさすぎる!
Ｐ,育ち盛りだしまだまだすくすく成長するよ、きっと
ありす,成長して見せます、プロデューサーさん好みのムチムチボディに、なってみせます。晴さんだって近頃けしからん成長しているんです、私だってきっと…
Ｐ,橘さんはセクシー路線希望なの？
ありす,クール系知的アイドルが貴方の前でだけ秘かに見せるセクシーな一面を目指しています
Ｐ,余所で絶対言うなよ？特に早苗さんや千川の前では
ありす,ご心配なく。私はチョロさには定評がありますがしっかり者とも自負しています
Ｐ,出会ったばかりの頃はあんなにキリッとした娘だったのに、何がどうしてこうなったってばよ…
ありす,きっと良い出会いがあったんですよ
Ｐ,よっぽどロクでもない奴に影響受けちゃったんだな…。女子寮着いたぞー
ありす,結局送られてしまいました
Ｐ,年頃の娘さんを軽々しく男の家に泊めません
ありす,晴さんはちょくちょく泊まっているそうですが？
Ｐ,だってアイツ寝たら起きないし人の袖離さねぇし
ありす,…なるほど。では次から私も同じ手を…
Ｐ,やめなさい。社会的にしんでしまいます
ありす,…ちっ。では、今日はご指導ありがとうございました。これで調理実習も完璧にこなせそうです
Ｐ,今の舌打ちは聞こえなかったことにしておくわ。ま、力になれたようで何よりだ
ありす,ふふ…これでもう橘さんってテレビではキリッとしてるけどプライベートは割とへちょいね
Ｐ,クラスメイトにポンコツってバレてるのかよ
ありす,ポンコツじゃありません、愛嬌と言ってください
Ｐ,はいはい。それじゃあまた明日事務所でな。ちゃんと歯磨いてお風呂上りは暖かくして窓もちゃんと閉めて寝るんだぞ？
ありす,父親ですか
Ｐ,せめて兄と言って欲しいんだけど
ありす,プロデューサーさんがお兄さん…。……アリですね
Ｐ,はいはい、今の顔ファンに見られる前にお部屋に戻りなさい。おやすみ橘さん
ありす,はい、おやすみなさい。ありすです。ではっ
Ｐ,ちょい待ち俺の枕いつの間に持ってきてたの！？。ふぅ、ようやく終わった
ちひろ,はい、お疲れさまでした。今日は珍しく早く終わりましたね。どうします？久しぶりにまた飲みにいきますか？
Ｐ,いえ、今日はこれからちょっと用事がありまして
ちひろ,あら珍しい。友達もいないのに
Ｐ,失礼なっ！ゲームの中ならフレンドいっぱいいますよ！
ちひろ,ごめんなさい、私が全面的に悪かったです。まぁ、そんなことはどうでもいいですけど。用事ですか、録画の消化とかゲームとかじゃなくて？
Ｐ,アンタ俺の事やっぱり嫌いだろ
ちひろ,あははっ
Ｐ,ちょいと料理を教えてほしいって頼まれてましてね。何でも今度学校の調理実習があるからって
ちひろ,あれ？ありすちゃんには昨日教えたんじゃありませんでしたか？。あら失礼。メールが。
Ｐ,ええ、橘さんには昨日バッチリ教えたんですけどね？。あら失礼。メールが。橘さんは実習で見事なハンバーグが作れたってさっき報告してくれましたよ。律儀に俺の分だって、イチゴソースかけたヤツ差し入れてくれましたし
ちひろ,…あ、だからお昼過ぎ芳乃ちゃんに修理してもらってたんですね
Ｐ,ええ。でもその話を聞いたようで、今度は晴が明日オレの学校でも調理実習があるから
ちひろ,ほぅほぅ、なるほど。…うん？晴ちゃんってそういう事を気にする娘でしたっけ？
Ｐ,と言うわけでこれから晴を迎えに行って特訓しなきゃなんですわ
ちひろ,そうですか、それは残念ですね。では飲みに行くのは明日にしましょうか？
Ｐ,あっ、すいません明日は千枝と約束してまして
ちひろ,えっ、じゃあ明後日は
Ｐ,明後日は雪美ですね
ちひろ,じゃ、じゃあ明々後日は？
Ｐ,薫と
ちひろ,…その次の日は？
Ｐ,由愛と約束してますな
ちひろ,次の日！
Ｐ,ヒョウ君の飼い主との約束が
ちひろ,次ぃ！
Ｐ,くるみとアポが入ってます
ちひろ,次々ィ！！
Ｐ,桃華に教える約束が。おっと失礼またメール……あ、ほたると巴と文香と常務からもたった今頼まれましたわ
ちひろ,もういいです。菜々さん誘いますから
Ｐ,あっ、はい。程々に
葵,誰も頼ってくれん…
アッキー,オチだ
