千川ちひろ,プロデューサーさん、明日はお休みでしたよね
智香,あ、手……いいんですかっ？
Ｐ,あ、ああ。少しは怖くなくなるだろ。お、おいおい智香。いくら怖いからって、強く握りすぎだぞ
智香,あの……プロデューサーさん
Ｐ,ん？なんだ？まだ怖いか？
智香,アタシ、まだ手を握ってませんよ？
Ｐ,………………え？
まゆ,どうしたんですかぁ？
小梅,手……握られたって……て、照れてる……
卯月,手を握られたって、智香ちゃんのプロデューサーさんに？
美嘉,誰が？
小梅,に、握られたのは……あの子……
まゆ,？
卯月,？
美嘉,？
Ｐ,今、確かに女の子の手を握ったような気が……
智香,あ、い、今！画面に白い影がっ！
Ｐ,……智香
智香,あ……手……
Ｐ,どうだ？ちょっとは、怖くなくなったか？
智香,あ、はいっ。とっても心強くて……勇気が出てきましたっ☆
Ｐ,智香……手、細いな
智香,そ、そうですか？鍛えてるんですけど////
Ｐ,いや、細くて……その、可愛い手だよ
智香,////////
小梅,み、見てられないぐらい……熱々だ……って
まゆ,やりますねぇ、智香ちゃん
卯月,心配いらなかったどころか、このまま上手くいきそうだよね
美嘉,なんだかアタシ、人の心配してる場合じゃ無い気がしてきた……
小梅,この映画……最高……
Ｐ,いい映画だったな
智香,怖かったですけど、プロデューサーさんがいてくれて心強かったですっ☆
Ｐ,あ、ああ。智香もその……やっぱり女の子だな、怖がってるとこ可愛かったよ
智香,え？あ、はいっ////
Ｐ,同時上映の映画も良かったな。ミステリー仕立てとは意外だった
智香,あのタヌキが犯人だったんですねっ！アタシてっきりあの顔の無い猫があやしいとおもってたんですけど
Ｐ,あの猫途中から出なくなったな
まゆ,共通の話題で、お話してますねぇ
卯月,ぐっと親密になって感じだよね
美嘉,アタシも次のオフに、この映画に連れてってもらおう！
小梅,ま、満足……ふう……
Ｐ,この後どうする？とりあえず少し遅いけどランチにするか？
智香,そうですねっ！少しお腹すいちゃいました。えへへっ☆
Ｐ,よし、なにがいい？今日はごちそうするぞ
智香,そんな、悪いですよっ！
Ｐ,いやいや、こんな楽しい思いさせてもらったし、恋人みたいに振る舞ってもらえてなんだか嬉しかったよ
智香,それを言ったらアタシだって……
Ｐ,ん？
智香,嬉しかったですよっ☆
Ｐ,ああ、そうだな。それは俺も
智香,えへへっ☆
Ｐ,ともかく今日はおごるよ
智香,そうですか？
Ｐ,ああ、俺はプロデューサーだからな
智香,……そうですね
まゆ,すごくいい雰囲気ですけど、あと一歩が踏み出せない感じですねぇ
卯月,智香ちゃんはこれまでになく積極的なんだけど……
美嘉,参考にしなきゃ
小梅,ランチ……キノコパスタ食べたい……
Ｐ,さてと、なににする智香？
智香,そうですね……このよくばりランチって美味しそうですよっ☆
Ｐ,どれどれ？当店のシェフ自慢の品々を少しずつとりわけたランチか
智香,アタシこれにします。プロデューサーさんは？
Ｐ,俺は何かをしっかり食べたい方だからな、わがままシェフの気まぐれランチにするかな
智香,なんだかすっごく、不安になる名前ですけどっ！
まゆ,智香ちゃん、そこは智香もプロデューサーさんと同じがいいですっ☆とか言うんですよぉ！
卯月,うんうん
美嘉,……
小梅,キノコパスタ……おいしい……
智香,あ、このタンシチューすごく美味しいですよっ☆
Ｐ,そ、そうなのか？
智香,はいっ！お肉がすごくやわらかくなって……あれっ？
Ｐ,……
智香,もしかしてプロデューサーさん、食べたいんですかっ？
Ｐ,いやその……美味しそうだな、と思って……
智香,良かったら、一口どうですかっ？
Ｐ,え？でもそれ一品あたり少ないから、俺がもらったらなくなっちゃうぞ？
智香,いいんですよ。同じものをプロデューサーさんと美味しいって思い合えたら、一人でたべちゃうよりずっとずっと嬉しいですっ☆
Ｐ,そ、そうか？
智香,はい。あーん！
Ｐ,え？ええ？
智香,今日は恋人なんですよっ////
Ｐ,そうだったな、じゃあ……あーん。美味しいな
智香,ねっ☆
Ｐ,智香に食べさせてもらえたから、特にな
智香,////
Ｐ,ありがとう、智香
智香,な、なんか今頃になって恥ずかしくなってきました……
Ｐ,じ、実は……
智香,？
Ｐ,俺も……
智香,！えへへへへっ☆
まゆ,……やりますねえ、智香ちゃん。最初から同じものを頼むよりも、欲しそうにしているのを分けてあげて、しかもアーンまでぇ……
卯月,智香ちゃん……おそろしい娘
美嘉,これはアタシもうかうかしていられないね！
小梅,そ、そのパスタ……一口わけて……？
Ｐ,智香、今日は本当にありがとうな。楽しかったよ
智香,アタシも、すっごく楽しかったですっ☆
Ｐ,まるで本当に恋人とデートしてる気分だった
智香,あ、はいっ……////
Ｐ,つまり……その……な
智香,？なんですか？
まゆ,こ、このシチュエーションはもしかしてぇ！
卯月,まさかの！？
美嘉,？
小梅,夕暮れで、あの子の仲間があこちに……楽しい
Ｐ,……
智香,……
Ｐ,…………
智香,？
Ｐ,………………
智香,あのっ……
Ｐ,智香！
智香,え？はいっ！
Ｐ,今すぐ俺を、応援してくれ！
智香,え？
Ｐ,頼む！
智香,は、はいっ！でも、なにを応援するんですかっ？
Ｐ,い、今から俺は、ありったけの勇気を出さないといけないんだ！だからとにかく応援してくれ！！！
智香,わかりましたっ☆アタシの精一杯を込めて、応援しちゃいますよっ！フレー！フレー！プロデューサーさんっ！！！。がんばってくださいっ☆アタシのプロデューサーさんっ！！！
Ｐ,ありがとう、智香
智香,勇気、出ましたか？
Ｐ,ああ、だから言うぞ
智香,？はい
Ｐ,智香が好きだ！俺は智香が大好きだ！！また今日みたいに……いや、毎日を今日みたいなひにしたいんだ！！！
智香,えっ////
Ｐ,俺とつきあつてくれ！
智香,プロデューサーさん……アタシ……嬉しいですっ☆すごくすっごく嬉しいですよっ！！！
Ｐ,智香……
まゆ,……み、見守るどころかぁ……
卯月,は、遙か先にいかれちゃった気が……
美嘉,……
小梅,あ、鼻から血が……気絶まで……////
まゆ,あ、抱き合っちゃいましたよぉ！
卯月,幸せそう……なんだろうこの私、全然勉強してないとか言ってた娘がけっこうテストでいい点とってた時みたいな気持ち……
美嘉,……こんなことしてる場合じゃないよ！
小梅,あ、起きちゃった……残念
まゆ,そうですよぉ！まゆもこれからまゆのＰさんにアタックしますからねぇ！
卯月,今夜はプロデューサーさんに電話しよう
美嘉,アタシもアタックしてみる
小梅,？み、みんな燃えてる……
Ｐ,智香、これからもよろしくな
智香,はいっ！大事にしてくださいねっ！！大好きなプロデューサーさんっ☆
