藤居朋,おはよ～……忙しいのは嬉しいけど、こうやって朝早いのが増えるのも悩みどころね……
朋,はーい。ほたるちゃん、お疲れ様！
ほたる,……
朋,よろしくお願いしまーす！
智絵里,ほたるちゃんはわたしと待機だねっ
ほたる,……
智絵里,……
ほたる,……
智絵里,……えいっ
ほたる,……！？
智絵里,えいっえいっ
ほたる,？？？
智絵里,えーいっ
ほたる,……
朋,なんでいちゃついてるのかしら……可愛いけど
カメラマン,あ、その表情いいですね！
朋,っていうか、声が出ないのをいいことにほたるちゃんに危害を加えたりしないかしら……！？
カメラマン,お、憂いの表情もいいですねー
朋,で、でも、智絵里ちゃんもそれくらいの分別はあるわよね……！信じてあげなきゃ……！
カメラマン,その表情もいただき！
朋,またチョップなんてしたら怒ってやるんだから！
カメラマン,燃えてますねー！
ほたる・智絵里,かわいい……
朋,ま、握手会よりは……
智絵里,わたしたち、黙っていれば美少女ユニットですねっ
朋,智絵里ちゃんが言う？
卯月,説明しましょうっ！ラジオとは、無線通信により音声を送受信する技術ならびに、無線を利用した放送無線電話および、それを受信する受信機のことです！
未央,そういう説明は求められてなくない！？
朋,え、どうするの！？ラジオは無理でしょ！？
ほたる,……
朋,やっぱり、体調不良でお休みってことにした方が……
智絵里,いいえっ、わたしにいい案がありますっ！
朋,ごめん、全然期待できないけど
智絵里,ここに、ほたるちゃんの音声データを保存したほたるちゃんスイッチがあります！
朋,ほ、ほたるちゃんスイッチ？
智絵里,朋さん、1番を押してみてください
朋,えっと……はい。おお！
ほたる,……！
朋,すごいじゃない！じゃあ2番は？。限りなく使いにくい！！！。2番でこのニッチさ！？絶望的じゃない！？
智絵里,一通り押してみてくださいっ
朋,ええ……。ジェリアって何……？
智絵里,あるないと組み合わせることで、アルジェリアナイジェリアと喋れますっ！
朋,いらない……！！！
智絵里,あっ、もう収録の時間ですっ！
朋,ええ！？本当にこれでやるの！？
智絵里,大丈夫ですっ、わたしが操作しますからっ
朋,も、もうやるしかないわね……！
スタッフ,本番2秒前でーす！！！
朋,あなたよくクビにならないわね！？。こ、こんにちは！藤居朋です！
智絵里,緒方智絵里ですっ。今日もこの3人、LackLuckでお送りします！
朋,ま、まずはリスナーさんからのお悩み相談のコーナー！
智絵里,今日も抽選箱から1枚取り出して……東京都にお住いの会社員の方からですね。どうぞ
朋,はいはーい。なになに……私事ではありますが、この度、結婚いたしました！だって！おめでとー！
智絵里,おめでとうございますっ
朋,いやほたるちゃん冷たくない！？
智絵里,どんなお悩みですか？
朋,あ、えっと、そこで、ハネムーンの行先に迷っています。アメリカに行きたいな、という話はしたのですが、どこがいいでしょうか？との……お便り……
智絵里,……
朋,……
智絵里,……。なるほど！
朋,不自然極まりないでしょ！！！。何も前置きなしに州の名前だけ言う！？
智絵里,じゃあ、アメリカ以外におすすめの国はあるかな？。え？どこ？。なるほど！アルジェリア！
朋,絶対苦情来るわねこれ
智絵里,逆に、行かない方がいい国は？。ないんだー
朋,ナイジェリアじゃないんかい！！！
智絵里,では、次のお便りです！どうぞ
朋,ええっと……愛知県の方からね……私はほたるちゃんの大ファンです！そこで質問なのですが、ほたるちゃんには座右の銘や、好きな言葉はありますか？よければ教えてください！って……ヤバいの引いちゃったわね……これはボタンじゃ誤魔化せないし……
智絵里,いいえ、奥の手がありますっ
朋,え？
ほたる,？
智絵里,……
朋,……
智絵里,……
朋,……
智絵里,……なるほど！！！
朋,ちょっと収録止めて！！！！！
智絵里,ちなみにほたるちゃんの座右の銘は死ぬこと以外はかすり傷です
朋,しれっと適当なこと言うのもやめて
智絵里,なんとかなりましたね……！
朋,だからなんとかなってなかったって！！！
ほたる,……
朋,またお腹空いたの！？
智絵里,いいえ、今のは普通に謝罪しているみたいです
朋,逆に智絵里ちゃんはなんでわかるの？？？。今までのを誤魔化せてたのは、まあいいわ……よくないけど。でもライブは流石に無理でしょ？
智絵里,ううん……わたしも、ちょっと無理かなって……
ほたる,……
朋,まあ、今日はほたるちゃんのとこは収録の音源で誤魔化すしかないわね……
智絵里,口パク上手なアイドルだって世の中にはたくさんいますもんねっ
朋,智絵里ちゃん
ほたる,……
朋,え？
智絵里,ほたるちゃん……？
ほたる,……
朋,……歌いたいの？
ほたる,……
智絵里,歌えるの？
ほたる,……
朋,……
智絵里,……
ほたる,……
朋,……わかった、信じるわ
智絵里,しょうがないなあっ
ほたる,……
朋,じゃあ、1曲目をほたるちゃんのソロにしてもらいましょう。曲は……前奏が長いEVERMOREで。それでも歌うのが無理そうなら、あたしたちがヘルプに入って歌う。その場合はそれ以降のほたるちゃんの出番は音源差し替え。いいわね？
ほたる,……
智絵里,歌い始めから沈黙が30秒続いたらわたしが舞台袖から手裏剣を投げるから、それが刺さったらもう諦めてねっ
朋,1曲目歌う人にいきなり手裏剣刺さったらライブ自体を諦めるべきだと思うけど
ほたる,……
朋,ほたるちゃん……
ほたる,……
朋,そろそろ入りだけど……
智絵里,……
ほたる,……！
智絵里,やっぱり……
朋,……もうちょっと待ってあげて
智絵里,え……？
朋,もうちょっとだけ……信じてあげたいの
智絵里,……
ほたる,……。やっぱり……声が出ない……。どうしちゃったんだろう……。お客さんも不思議そうに見てる……。どうしよう……。おふたりにもガッカリさせちゃう……どうしよう……。……そろそろ30秒……やっぱり……私には……
朋,……
智絵里,……
ほたる,！。待っててくれてる……？。ううん、信じてくれてるんだ……。私は……。信頼に……期待に……応えたい！！！。……ｽｩｯ。ずっと憶えてるはじめての日のステージ♪
智絵里,やった！
スタッフ,やった！
音響,やった！
衣装,やった！
メイク,やった！
ダンサー,やった！
警備員,やった！
朋,それ言いたい人多すぎない！？
常務,やった！
朋,なんでいるの！？
ほたる,本当に、ご迷惑をおかけしました……！
智絵里,終わりよければすべてよし！ですよね？
朋,……
ほたる,……朋さん？
智絵里,あの……どうかしましたか
朋,ほたるちゃん～～～！！！
ほたる,！？
智絵里,！？。さっきまで真面目にツッコミを入れてたのに……！？
朋,だって……なんか冷静になったら……安心しちゃって……
ほたる,なるほど……？
朋,それに、なんかよくわからないんだけどね？ほたるちゃんが歌って、ほたるちゃんが喋って、これって、なんだか凄く……その……凄いことなんじゃないかって思ったの！本当はもの凄い、奇跡みたいな巡りあわせなんじゃないかなって……！
ほたる,朋さん……
朋,だから、お姉さんが抱きしめてあげる！ね？
ほたる,……はいっ！
智絵里,ライブ終わりに抱きしめ合うメンバー！ここにわたしも混ざれば、もっとエモくなるかも！。でも、あんまり邪魔するのもアレな気がするかも……
朋,ほたるちゃん……
ほたる,朋さん……
智絵里,……。……。……あるじぇりあー！！！
朋,わ！どうしたの智絵里ちゃん
ほたる,寂しかったんですよね？
智絵里,そ、そんなことないよっ！！！
朋,それにしても、何だったのかしらね……？
ほたる,明日はオフなので、念のためにお医者さんに見てもらいますね
朋,うん、再発するのも怖いし、それがいいわね！。あれ？ほたるちゃんからメッセージだ。そうなんだ、ひとまずは安心ね。ほたるちゃん！！！！！。ほたるちゃん！？！？！？
