ベテトレ,よーし。今日のレッスンはここまで！おつかれ！
奏,え？
文香,むぎゅーっ
奏,！！？
文香,奏さん、いい匂いがします……
奏,ちょ、やめなさいっ。か、顔が胸に
文香,いつもお世話になっているお礼に……今日は私が、年上のお姉さんとして抱擁を
奏,あ、あう。す、すごい弾力……この子、バスト逆サバ読んでるんじゃ
美波,文香ちゃん、なにしてるの！
奏,そうよ、美波。はやく助けて
美波,私だってお姉さんなんだから、独り占めするのはずるいわ！
奏,なっ！？
美波,バストサイズは劣るけれど、そのぶん包容力でカバーしちゃうんだからっ
文香,負けません……
奏,ちょっと、本当にやめ……。お、押し潰される……両サイドからのバストサンドに、頭がっ。柔らかい……ああ、アルコールの匂いがきつい。私の頭もなんだか意識がもうろうと。だ、誰か助け――
フレデリカ,いやー、遅れちゃった。めんごめんごー
周子,カメラマンさんが頑固者でさ。なかなかOKもらえなく、て……
美波,えへへー、ぎゅー
文香,むぎゅー
周子,………
フレデリカ,………
奏,ふ、二人とも、助けて
周子,失礼しました
フレデリカ,ごゆっくりー
奏,ま、待ちなさい！真顔で立ち去ろうとしないで……！
美波,ふわぁ……星がきれいだねー
文香,そうですねー……
美波,ズウェズダだねー
文香,ズウェズダですねー……
奏,ほら、二人とももっとしゃきっと歩きなさい。私にもたれかからないの
美波,えへへ～
文香,奏さんの腕、柔らかいです……
奏,まったく……ほら、ちゃんと立って！
美波・文香,はーい
周子,モテモテだね
フレデリカ,とんだ女たらしだねー、ダンナ
奏,茶々入れる暇があるなら、あなた達も手伝いなさいよ
周子,いやあ、なんか二人ともそっちがいいみたいだし
フレデリカ,カナデお姉ちゃんって感じ？
奏,誰がお姉ちゃんよ、誰が
周子,まあまあ。それだけ頼られてるってことでいーんじゃない？
美波,うふふ♪
文香,ふふ………
奏,………。美波や文香のこんな緩みきった顔、普段は見られるものじゃないわね。しょうがないな、まったく
周子,あたしらも便乗する？
フレデリカ,甘えちゃう～？
奏,これ以上は定員オーバーよ
周子,ちぇー
アーニャ,ミナミ……カナデとフミカと抱き合ったといううわさが流れています……
蘭子,や、やっぱり男の子より女の子が……
美波,違いますーっ！ああもう、自業自得とはいえうわさがさらにひどいものにっ
ありす,………
文香,………
ありす,………
文香,………
ありす,っ！？
文香,………
ありす,………
文香,視線が気になる……
奏,あなた達ねえ……
周子,いやいや。あたし達も、別に言いふらすつもりはなかったんだけどさ
フレデリカ,ちょーっと口が滑って話しちゃったら、あっという間に広まってびっくりだー♪
奏,びっくりだー♪じゃないわよ……。まったく……しばらく残るわよ、このうわさ
周子,まあまあ。これで男の子からのナンパが減るって考えればいーじゃんいーじゃん
フレデリカ,すげーじゃん♪
奏,そのポジティブな姿勢には頭が下がるわ
周子,ほら、それよりもうすぐレッスンだよ
フレデリカ,一緒にいこう？
奏,………。しょうがないわね
フレデリカ,そうやってすぐ許してくれるからカナデちゃんすきー☆
奏,調子に乗らないの
フレデリカ,あぅっ
