TV,関東地方に大雨洪水警報が…
イヴ,は～い。うふふ～やっぱりお風呂は気持ちいいですねぇ♪
拓海,しかし、大人２人で入るとさすがに狭いな…
イヴ,拓海さんはおっぱいが大きいですからね～
拓海,か、関係ねぇだろ！ジロジロ見んじゃねぇ!！//
イヴ,あ、そうだ～拓海さん背中流しますよ～
拓海,お、そうかへへっ、悪ぃな
イヴ,いえ～拓海さんには服を頂いた恩があるので～
拓海,だから、あれは貸しただけで！…はぁ、いいや、やっぱりやるよ…
イヴ,ありがとうございます～♪やっぱり拓海さんは優しいんですね～
拓海,しかし、あんたもアイドルなんだから服を買う金くらいあるだろ
イヴ,いえ～私お給料はほとんどサンタ協会に寄付していますから～
拓海,サンタ協会…そんなのあるのか…
イヴ,はい～私は子供たちの笑顔を見るのが生きがいですから～
拓海,…
イヴ,それに、拓海さんがくれた服があるから大丈夫です♪
拓海,……あんた、事務所に寝泊りしてたり、全裸だったり変なやつだと思ってたけど、本当はいいやつなんだな
イヴ,それほどでもないですよ～
拓海,よし！今度いっしょに買い物でも行こう！アタシが全部おごってやる！
イヴ,そんなぁ、悪いですよぉ
拓海,遠慮すんなって、アタシがそうしたいんだから！な？
イヴ,そうですか～？それじゃあ楽しみにしておきます～♪
拓海,おう！。あははっ！
イヴ,うふふ～
あい,おや？お風呂でずいぶん仲良くなったようだね
拓海,ん？まぁ、ちょっとな
美優,それじゃあ最後、私たちも行きましょうか…
乃々,は、はい…。…
美優,…
乃々・美優,気まずい…
美優,あ、あの…乃々ちゃん？
乃々,はい…なんですか…？
美優,その…なんでもないわ…
乃々,は、はぁ…
美優,…
乃々,…
雷,ごろごろぴしゃーん！！！
美優,ひぃ！！
乃々,わわ…//
美優,あ、ごめんなさいね…
乃々,いえ、いいんですけど…。裸で抱きつかれると恥ずかしいんですけど…//
雷,どしゃーん！！！
美優,きゃああ！！
乃々,恥ずかしいし苦しいし消えたいんですけど…///
P,杏やーい！迷子の迷子の杏やーい！！
杏,すぴーすぴー…
きらり,はぴはぴ…
あい,みんなお風呂から出たようだね
紗南,これからどうしよっか？
ほたる,あの、私もう眠いです…
紗南,えー！？お泊りの夜は徹夜でゲームじゃないのー！？
ほたる,はぅぅ…ごめんなさいぃ…
茄子,まぁまぁ紗南ちゃん、もう10時だし小さい子は眠くても仕方ないですよ
紗南,ちぇー
あい,他にもう眠い子はいるかい？無理をするんじゃないぞ
くるみ,くるみももう眠いですぅ…
麗奈,私も寝るわ、お風呂に入ってから頭が痛くてしょーがないわ
茜,私ももう寝る時間です！！
紗枝,そうやなぁ、夜ふかしはあんまよくないもんなぁ
乃々,森久保ももう寝ます…
あい,よし、それじゃあ上の階事務所は三階建て構成くらいということにしてください。おや？桃華君はまだ寝なくていいのかい？
桃華,え、えぇ…//。あいさんにドキドキして眠れないなんて…言えませんわ…//
くるみ,あ、あの…
あい,ん、なんだい？
くるみ,くるみ、怖くて一人じゃ寝られないかもぉ…
美優,それじゃあ私が一緒に寝てあげるわ…
くるみ,いいんでしゅか…？
美優,えぇ
くるみ,ありがとうございましゅ！
乃々,三船さんも雷怖がってたんですけど…
あい,じゃあ子供たちのことは任せしていいかい？美優さん
美優,えぇ、じゃあみんな、上へ行きましょうか
子供達,はーい
美波,残ったのはあいさん、茄子さん、イヴちゃん、拓海ちゃん、紗南ちゃん、桃華ちゃん、そして私の７人ですね
拓海,七人かぁ中途半端な人数だな
紗南,あ、じゃああれやろうよ！
茄子,あれ？
紗南,罰ゲームジェンガ！
拓海,罰ゲームジェンガ？なんだそりゃ
紗南,普通のジェンガは知ってるよね？
拓海,あぁ、組み立てた積み木みたいなのを崩さないように抜いてくゲームだろ？
紗南,そうそう、その積み木一つ一つに罰ゲームが書いてあって。抜いた積み木に書いてあった罰ゲームを引いた人がやるっていうジェンガだよ！
イヴ,うふふ～おもしろそうですね～
紗南,この前早苗さんとか礼さんがお酒飲みながらやってたんだけどすごい楽しそうだったよ！
あい,早苗さんに礼さん…お酒…大丈夫かな？
拓海,それにしてもどれを引いても罰ゲームなのか…
紗南,まぁ遊び用のやつだしキツいのは書いてないでしょ、私もってくるね。それじゃあさっそく始めよう！
拓海,まずは私からだな、よっと。変なお題だな、正面といえば…紗南だな
紗南,うん、にらめっこなら負けないよ！
拓海,よし、いくぞ！
紗南,ちょっ！拓海さん怖いよ！
拓海,あ、わりぃわりぃ、こ、これならどうだ！
紗南,そ、それは別の意味で怖い…
拓海,ど、どういう意味だ！！
紗南,ひぃぃ！！
茄子,拓海ちゃん、笑顔笑顔
拓海,ぐっ、笑顔笑顔
紗南,ぷーっ！！
拓海,おまっ!笑うんじゃねぇぇえ！！
イヴ,はい～30秒たちました～
茄子,次は私ですねー♪よいしょ。いきますよ～それっ！
紗南,ぷっ！あはは、茄子さん可愛いー！！
あい,あぁ、可愛いね
桃華,むっ…
茄子,笑ってもらえてよかった…//
イヴ,次は私です～それっ
紗南,イヴさんそれ脱いだらまた全裸になっちゃうね
拓海,私たちはレッスン後のために替えの下着と服持ってきててよかったな
イヴ,罰ゲームだから仕方ないですね～
美波,次は私ですね!美波、いきますっ！。
紗南,こ、こんな罰ゲームもあるんだ…。まぁ、私は一緒にお風呂入ったから知ってるけどね
あい,美波君、無理しなくても…
美波,ろです…
あい,えっ？
美波,黒です！黒のレースつきです！！///
紗南,oh…
あい,み、美波君、落ち着いて！
美波,はっ！す、すみません…//
桃華,黒のレースつき…//
紗南,つ、次は私だねっ。右隣…美波さんかぁー、勝てっこないよぅ…
あい,寝てる子達もいるからなるべく静かにね
紗南,よーし！行くぞー美波さん！
美波,ふふっ、かかってらっしゃい！。さすがに中学生の紗南ちゃんには負けないよね…
紗南,んんん…動かないぃぃぃ…
美波,ラクロスで鍛えてますからね♪
紗南,ぐぎぎ……あっ！！
美波,
拓海,あ
あい,おや
桃華,///
イヴ,うふふ～
茄子,あらあら♪
紗南,いてて、ごめん美波さん…あれ？ズボンとパンツがずり落ちて…
美波,
紗南,ほんっとごめんなさい美波さん！！！
美波,うん…大丈夫ですよ…
紗南,ほ、ほら！お風呂入った時みんな裸だったわけだし！！
あい,そ、そうだよ、そんなに気にすることじゃないさ
拓海,ｱ､ｱﾀｼﾊﾅﾆﾓﾐﾃﾅｲｾﾞ!
美波,うん…うん…
桃華,本当に黒のレースだった…//
あい,さ、さぁゲームを再開しよう！次は私だね！？
桃華,！
あい,これは小っ恥ずかしいものを引いてしまったね。左隣は…桃華君か
桃華,は、はいぃ！
あい,ちょっと失礼するよ。桃華、愛してる…
桃華,////////
あい,桃華君っ！？
拓海,あーあ、あいさんがイケメンすぎるから桃華がぶっ倒れちまった
あい,イケメンって、私は女だぞ…。仕方ない、私は桃華君を上へ連れてくから私抜きで続けてくれ
拓海,はいよっ、じゃあ桃華も抜けちまったから、一周回ってアタシだな。ななな、なんじゃこりゃあああああ！！！//
茄子,拓海ちゃん、赤ちゃん言葉ですよ？
拓海,こんなのなんで…あるん…でちゅか…//
紗南,ぶふっ！あっはっは！
拓海,紗南てめぇ！！！
茄子,あ・か・ちゃ・ん
拓海,くそー！あとで覚えて…おいてくだちゃいよ…//
茄子,ふふっ、次は私ですね。あ、あらー//
紗南,なんかこんのばっか…//
拓海,罰ゲームは絶対！！…でちゅよ！
茄子,わかってますよぉｺﾎﾝ…それでは…。は、はぁぁぁぁあん///
紗南,うわ、エロ…//
拓海,お、おう…//
茄子,///
イヴ,うふふ～茄子さんすごいですねぇ～それっ
拓海,な、なんでちゅかこのお題…
イヴ,HAPPY
紗南,ぶふっ、めっちゃ発音いいｗｗｗ
イヴ,HAPPY?
紗南,なんで疑問形?ｗｗｗｗｗ
イヴ,oh-HAPPY
紗南,やｗｗｗめｗｗｗてｗｗｗ。はぁはぁ、笑い死ぬかと思った…。次は美波さん、あ、元気になった？
美波,はい、ご迷惑かけてすみません…。次こそはまともなのを…。こ、こえならなんとか…あれ右隣の人って
イヴ,あ、私ですね～
美波,
紗南,いい加減美波さんがかわいそうになってきたよ…
イヴ,うふふ～美波さんの服ピッタリです～
美波(パンツ一丁),それは…よかったです…
あい,ただいま、くるみ君も眠ったようだし美優さんも連れてきたよ
美優,あら美波ちゃん、どうしたの…?//
拓海,聞かないでやって…くだちゃい…//
あい,拓海君…？？
紗南,聞かないであげてください
あい,ま、まぁとにかく私たちも参加するよ
紗南,じゃあいったんジェンガもリセットして席替えしようか。よし、じゃあいきまーす！。右隣…美優さんか、なんか恥ずかしいな//
美優,そ、そうね…//
紗南,失礼します！。あ、なんか落ち着く…
イヴ,うふふ～微笑ましいです～
美優,次は私ね…。な…//
紗南,初体験///
あい,これは、さすがにやめよう
拓海,いや、命令は絶対でちゅ！！
あい,拓海君…そもそも美優さんはその、なんだ…経験済みなのかい…?
美優,それは…その…ｺｸﾘ///
あい,oh…
拓海,まじかよ…美優さんって意外とスケベなんだな
美優,そんな!//私だって、アイドルになる前は、普通の女の子で…ｺﾞﾆｮｺﾞﾆｮ///。それで当時の彼が…私のセーラー服を脱がして…あうぅ//
あい,ものすごい事細かに語ってらっしゃる…
紗南,私だっこしながらそんな話しないでよぅ…//
美優,それで、おしまいです…///
拓海,お、おう…//
紗南,空気がやばいよー//
美波,///
茄子,///
イヴ,うふふ～
あい,じ、時間も遅いし次で最後にしようか！
拓海,そ、そうだな!よし！最後に一発いくか！！。頼む!なんか盛り上がりそうな面白いやつこい！！。よし、正面は紗南のはず！！これで紗南がギャーギャー喚けばいい感じに終われる…
美波,正面って…私ですか？
拓海,はず…
美波,///
拓海,席替えだとォォォォおおお！！！？？
紗南,ひぃ！
あい,どうしたんだ拓海君！？
拓海,いや！なんでも…。どうする…！？中途半端にやっても余計変な空気になるだけだ！
美波,あの…拓海ちゃん…?
拓海,こうなりゃヤケだ！。うおおおおおお！美波ぃぃぃいいい！！！
美波,あっ、ちょっ、拓海ちゃん！？あんっ///
拓海,オラオラオラオラ！！！
美波,ああ！やん//らめぇ！あっあっあっ///
拓海,まだまだああああああああ！！！
美波,んあああああああああ///////
あい,おい！もうやめるんだ、拓海君!!!
拓海,はっ!アタシはいったい…
美波,ん、ぅぅん…///
拓海,
紗南,
あい,寝ようか…
イヴ,うふふふ～
P,あんず…
