島村卯月,さぁ皆さん！到着です！
みく,どっからどうみてもみちるちゃんにゃ
？？？,フゴフゴ……はっ！
みちる,いやー、美味しそうなコロッケパンを見つけたら罠に引っかかっちゃいましたよ
みく,みちるチャンのパン好きにも困ったものにゃ……
凛,でもこれで振り出しだね……
未央,うん……エムジェーの手がかりは掴めずじまいかぁ～
みちる,フゴフゴ……あ、エムジェーに詳しい人たちを知ってますよ
村長F,皆さん、遠い所からご苦労さまです……なにもない所ですが、ゆっくりしていってくださいね……
みく,文香チャンが村長！？てっきり奏チャンが来ると思ってたにゃ
村長F,みなさんは仕事が入ってしまって、手が空いていたので村長役を頼まれたのですが……コホン、エムジェーについて知りたいんですね？
卯月,はい！この村にはエムジェーを知っている人がいると聞いて来たんです！
村長F,エムジェー……幻のアイドルと呼ばれています……私達はだいたい1年ほど前からエムジェーを祀っているのです……。その姿は気高く、踊る姿は美しく、歌声は聞く人すべてを魅了すると伝われています……
みく,え、あの人そんなにすごかったの……
村長F,エムジェーを撮った映像がありますので見てみますか？。あ、あれ……
凛,どうしたの文香？
村長F,いえ……ビデオデッキが見当たらないので……
みく,今時ビデオ保存なの！？
未央,結局ここも手がかりなしかー
凛,困ったね、まだ壁画しか見つけてないよ
みく,いや、あの壁画もただの絵だったでしょ
卯月,隊員のみんなも手がかりか見つからなくて困っていますね……。ここはもう7階……エムジェーがいるという8階まであと少し……。手がかりは少ないけど……行くしかありません！。8階……エムジェーの巣に突入しましょう！。ここまで来たらもう後に引くことはできません、みなさん力を貸してください！。必ず、エムジェーを捕獲しましょう！
凛,卯月…
未央,しまむー隊長…
みく,卯月チャン…
村長F,そうですか……では儀式を受けてください……。それでは、この料理を食べきってください……
みく,どうみてもイチゴパスタにゃ
未央,うっ……これを食べきるのかー
村長F,村のシェフが心を込めて作りました……残さず……食べてくださいね？
卯月,何とか食べきれました～
凛,強敵だったね……
みく,今日の中ではこれが一番辛かったにゃ……
村長F,本当に食べきってしまうとは……私は一口で駄目でしたが……
卯月,それじゃあ……！
村長F,はい、皆さんには祝福が与えられました……これを……。エムジェーの巣に入るための鍵です……これを使ってください……
みく,なんで文香ちゃんがそんなものを持っているのにゃ……
卯月,何も……いない！？。何かエムジェーの手がかりになるものを探しましょう！
凛,卯月！これを見て！
卯月,すごいです凛ちゃん、これはエムジェーの靴に違いありません！
みく,えっ、これホンモノ？
凛,うん、この強気な女性が発する匂いを私が間違えるはずがないよ
未央,やったね！早速分析しよう！
みく,色々ツッコミたいところがあるけど……にしても高そうな靴だにゃ
卯月,全部持っていくのは危険ですから右だけ持っていきましょう
みく,左だけ残しても困るだけでしょ……
卯月,後はエムジェーを捕獲するだけです！。後はエムジェーが戻ってくるのを待ちましょう！
未央,こないね……
凛,うん……
卯月,ここがエムジェーの巣なのは間違いありません……。待つしか……無いんです……
探検隊の食糧,おやつ
みく,いつまで待ち続けるのにゃぁ……
未央,今日の晩御飯は何かな～……すき焼きだといいなぁ……
卯月,隊長として決断を下す時が来たようですね……
凛,卯月……
卯月,食糧も尽きかけています、このままではみんなも辛いはずです。みんなの事を思うのなら……撤退は恥ずべきことではありません。みなさん……撤退しましょう……
美城常務,会議が長引いてしまったな……書類をまとめて早く帰るとしよう。むっ……出勤用の靴が片方見当たらんな。まぁいいだろう、社内用の靴で帰宅するか。今日は社内で撮影があったな……レポートにも目を通さねばな
今西部長,遅くまでご苦労様……何をしているんだい？網なんか被って
美城常務,誰だ……。私の部屋を荒らした奴は誰だ！
今西部長,撮影の事はまだ黙っておこう……
