川島巴,２６
喪黒,心は男性なのに、身体は女性……。自分の心と身体の性別が一致しないというのは、さぞかし苦しいでしょう
巴,もちろん、苦しいに決まってますよ。ですが……。性の不一致の苦しみというのは、本人でなければ分かりませんから……
喪黒,女性から男性に性転換したいと思ったこと、ありますよねぇ！？
巴,昔から今に至るまで、何度もそう思ってきましたよ。とはいえ……。今の俺は、おいそれと性転換するわけにはいきませんから
喪黒,そりゃあ、そうですよ。なぜなら、川島さんは女子バレーの日本代表選手であり、国民的なスターですから……
巴,その通りですよ。俺は男性の心と、女性の身体の持ち主ですが……
喪黒,バレーボールをやっている時は、自分の性の不一致を忘れることができるからでしょうなぁ
巴,たぶん、そうかもしれませんね……。とはいえ、バレーボールをやっていない日常の生活では……
喪黒,辛いでしょう、川島さん……
巴,はい。でも、今の俺にはどうすることもできない……
喪黒,よろしかったら、私が何とかしましょうか！？
巴,えっ！？
喪黒,ある道具を使えば、あなたは一時的に男性に変身できますよ
巴,そんな道具、どこにあるんですか！？
喪黒,ここにあります
巴,これは……
喪黒,特殊なペンダントですよ。名前は性転換ペンダントです
巴,何を言うかと思えば……。バカバカしい……
喪黒,いいえ、効果は本物です。何なら、川島さん……。試しに私の前で実演してみてください
巴,わ、分かりましたよ……。メタモルフォーーーゼ！！。本当にこんなことで、女から男に……。お、俺の声が低くなっている！！。！！！
喪黒,どうです。ペンダントの効き目は本物でしょう？
巴,し、信じられない……
喪黒,とはいえ、あなたには女子バレー日本代表としての立場もありますよねぇ
巴,分かりました、やってみます。スゥーーー……。ノーマルモーーード！！。これで俺は……。おっ、今度は声が高くなったな……。元に戻った……
喪黒,このペンダントを使って、あなたはこれからの生活を送るのです
巴,確かに……
喪黒,性転換ペンダントは私からあなたへのプレゼントであり、もちろん無料です
巴,約束！？
喪黒,性転換ペンダントを使用するのは1日に6時間が限度です。いいですね、約束ですよ！？
巴,わ、分かりました。喪黒さん
女性たち,うわぁ～。この人誰？なかなかのイケメンじゃん
テロップ,V・プレミアリーグFEC―久川製薬
喪黒,…………
BAR,魔の巣
巴,性転換ペンダントを使用するようになってから、俺の人生は変わりました
喪黒,間違いなく、川島さんのストレス解消のために役に立っているでしょうねぇ
巴,はい。男性として夜の歓楽街を歩き、店で酒を飲みながら女性と話をする……
喪黒,川島さんが男性として時間を楽しんでくださるなら、まさに結構……。ですがね……
巴,もちろん、承知していますよ。俺は、コートの上では女子バレーの選手を演じていますから……
喪黒,女子バレーの選手を演じる！？いや、あなたはバレーボールの選手こそが本業でしょう
巴,そ、そうでしたね……。何しろ……。普段の俺は心が男性で身体が女性だから、つい……
喪黒,あと、例の約束はしっかり守ってくださいよ
巴,わ、分かっていますよ……。そりゃあ……
テロップ,V・プレミアリーグ茨城製作所―FEC
ヤクザ,おい、アゲハ！！いいところへ連れて行ってやるからよぉ
アゲハ,嫌ぁ、放してぇ！！
巴,やめろよ……
ヤクザ,何だてめぇ、やるのか！！どこの組のもんだ！！コラァ！！
巴,お前ヤクザか！？女性や一般人に手を出すような奴は、人間のクズだ！！
ヤクザ,言ったな、てめぇ！！。弱いくせにいい気になってんじゃねぇよ！！
巴,いてて……
アゲハ,大丈夫ですか……
巴,俺に……、構うんじゃねぇよ……
アゲハ,ま、待ってください！！あなたは私を助けてくれたから……。だから、何かお礼をしないと私の気がすみません！！。あなたの身体が欲しい……。今夜は私を抱いて……
巴,分かったよ……
アゲハ,さっきは、とっても気持ちよかった……。本当にありがとう……
巴,アゲハ……。やれやれ……。かなり時間を潰してしまった……。早く女に戻らなくちゃな……
喪黒,川島巴さん……。あなた約束を破りましたね
巴,も、喪黒さん……！！
喪黒,私はあなたに言ったはずです。性転換ペンダントを使用するのは1日に6時間が限度だ……と
巴,ま、待ってください！！それには、いろいろわけがあって……
喪黒,弁解は無用です。限度を超えて性転換ペンダントを使用したというのは、要するにです……
巴,そ、そんなことは決して……
喪黒,もう少し、自分の心に正直になりなさい……。よろしかったら、今からあなたの身体を永遠に男性にしてあげますよ。ドーーーーーーーーーーーン！！！
巴,ギャアアアアアアアアア！！！。ここなら誰もいない。さあ、俺は女に戻るぞ……。スゥーーー……。ノーマルモーーード！！。ぐっ……。何が起きたんだ……。ああっ、ペンダントが壊れてしまった……。それじゃあ、まさか……。俺の身体は男のまま……。それに、ペンダントは砕け散ったまま……。ウ……。ウウウ……。ウワアアアアアアアアアアア！！！
喪黒,男性が男性として振る舞い、女性が女性として振る舞うというのは、ごく当たり前の生物現象のように見えます
