モバＰ(以降Ｐ表記でも堪忍してや),おお、あの新進気鋭の新ゲームから
Ｐ,ほのぼのとした笑顔でかじりついてるのがまた未知の恐怖を感じさせますね
ちひろ,仮にですけど、もしプロデューサーさんでしたらこの娘はどんな風にプロデュースします？
Ｐ,うーん…見た感じ大人しい印象ですが芯はしっかりとしたものを持っていそうですしユニットのリーダーを任せてみるのも良さそうですね
ちひろ,鳩をかじりますけどね
Ｐ,鳩は犠牲になったのだ。犠牲の犠牲にな
ちひろ,では次の娘を見て見ましょうか。えーっと、では同じユニットの、この蒼そうな娘を…
Ｐ,この業界に流行ってんの？蒼
ちひろ,お次はこの娘です
Ｐ,どれどれ…えっと、風野…かおり？
ちひろ,ブッブー、灯織(ひおり)って読むそうです。風野灯織ちゃん。１５歳。東京都出身。魚座のＡ型。趣味は占い
Ｐ,初期の凛に数滴朋を垂らして掻き混ぜたような娘ですね
ちひろ,それほぼ凛ちゃんじゃないですか。クールでストイック、常に努力を欠かさない性格。だそうです
Ｐ,ああ、めんどくさい枠ですね
ちひろ,言い方
Ｐ,その努力ときつい口調や周囲に作る壁は内心の自己評価の低さと自信の無さの裏返しで自身が満足できる環境や信頼できる相手に巡り合えたらあっさり殻が破れそうな娘ですな
ちひろ,よくもまぁ写真見ただけでテキトーな事をつらつらと
Ｐ,んでもって一旦懐くと若干依存気味になりそうなタイプですな。趣味の占いも恐らく少しでも不安要素を取り除こうとする意味合いがあるんでしょう。この娘に懐かれたプロデューサーはきっと色々大変でしょうねぇ
ちひろ,つまりどういう事だってばよ
Ｐ,要するに、蒼い
ちひろ,蒼い、ですか
Ｐ,ユニットメンバーの中で一見常識人、ストッパー、ツッコミと見せかけて事態に拍車を掛けるポジションですね
ちひろ,うーん、そんなユニットをどこかで見たことあるような……ニュー、ニュー…じぇね？
Ｐ,さてこの娘がイルミネの最後の１人、本田枠ですね
ちひろ,そこはせめて黄色枠って言ってあげましょうよ。八宮めぐるちゃん。１６歳。マサチューセッツ州出身のハーフだそうです
Ｐ,マサチューせっちゅ…
ちひろ,Ｂ９０Ｗ５９Ｈ８９の爆裂けしからんボディ！なんですかこれ！ユニット３人中２人がどたぷんバインバインってどうなんですか！
Ｐ,非常にけしからんと思います
ちひろ,心無しか写真の中の灯織ちゃんがくっ…！
Ｐ,性格は明るく天真爛漫。友達も多く周囲からの人気も信頼も厚い……うん、未央ですねこれ
ちひろ,八宮めぐるちゃんですってば
Ｐ,７６５さん家の美希ちゃんとウチのミツボシをぐるぐる掻き混ぜてベストマッチさせたらこの娘になりそうです
ちひろ,いやなりそうだけど！ちょっと同感って思っちゃったけど！
Ｐ,アイドル活動も心から楽しんでおり意欲的。なるほど、良い娘ですな
ちひろ,プロデューサーさんだったらどうプロデュースします？
Ｐ,勝ち目の無いオーディション受けさせて敗北の味を教えますかね
ちひろ,うっわ
Ｐ,ただ楽しいだけでアイドルは出来ませんからね。でも多分この娘なら悔しさも辛さもバネにして、それでも明るく笑顔で頑張ろうとするんじゃないでしょうか
ちひろ,写真と資料しかありませんからほとんど妄想ですけどね
Ｐ,あと個人的にこの娘はボディタッチとか激しそう。自覚無しにこのデッカい胸とか押し付けてきそう
ちひろ,あー…ちょっとわかる気がします。あくまでイメージですけど
Ｐ,こんな娘に懐かれたプロデューサーは大変でしょうねぇ。色んな意味で
ちひろ,下半身的な意味でですか
Ｐ,折角俺が濁したと言うのに貴様
ちひろ,以上がイルミネーションスターズの３人ですね。どうです？
Ｐ,傍から見てる分には楽しそう
ちひろ,それ、ウチも余所から言われてますからね？
Ｐ,えっ、なんで？
ちひろ,さてさてお次は５人組ユニット、L'Anticaアンティーカ
Ｐ,お、ゴシック系ですか。蘭子が食いつきそうな衣装ですね
ちひろ,ではまずはセンターを務める月岡恋鐘ちゃんから行きましょうか
Ｐ,恋鐘でこがね
ちひろ,長崎県出身の１９歳。スリーサイズはなんとＢ９３Ｗ６０Ｈ９１！バストは２８３プロ文句無しのトップ！。趣味は料理と豪語する方言ガール！実家は佐世保で定食屋さんをやっているそうです
Ｐ,長崎出身で趣味は料理…ちゃんぽんとか作りそうですね
ちひろ,いやいや、それは流石に安直では？
Ｐ,参加ユニットは見た感じクール系ながらセンターを務める彼女本人にはクール要素が無い…なるほど、李衣菜枠ですね？
ちひろ,それはどちらに対しても失礼なのでは…
Ｐ,ポジティブ思考が強くて時に自信過剰に思われてしまう場合もありそうですがそれも度胸の現れなんでしょうね
ちひろ,幸子ちゃんのボクカワ理論みたいなものですかね
Ｐ,幸子の場合は半分以上虚勢が入っていますけどね。この娘は本当に心から自分自身を信じているんでしょう。ただ、その分万一挫けてしまった場合が大変そうなのでほんの少しでも不安がっていたらしっかりとフォローしてあげる事が大事だと思います
ちひろ,まぁ、これもこのオッサンの妄想なんですけどね
Ｐ,きっと気を許したプロデューサーに耳掃除してあげるけん
ちひろ,妄想ですからねー？あくまでこのオッサンの妄想でーす。はい、では次の娘行ってみましょう
Ｐ,えーっと…田中摩美々々？
ちひろ,々が多いよ。田中摩美々ちゃん。１８歳神奈川県出身。双子座のＢ型
Ｐ,ちょっと個性的なヘアスタイルですね…坂道パッツンと名付けよう
ちひろ,多分それ本人が聞いたら怒りますよ
Ｐ,なになに…興味を持った事しかしたがらない猫のような性格。レッスンをサボろうとする。面倒くさがり。しかしアイドルとしてのポテンシャルは高い。…。杏と志希のベストマッチですか？
ちひろ,どこの事務所にも１人はいるもんですね、本人のやる気と能力が釣り合わない娘って
Ｐ,趣味、放浪……志希じゃねーか
ちひろ,ファッションセンスは美玲ちゃん寄りに見えますけどね
Ｐ,自称悪い子。イタズラばかりを繰り返すがその目的は構われたいという気持ちの現れ…こういうところも志希っぽい。あとレイナサマもちょびっと入ってる？
ちひろ,プロデューサーさんだったらイタズラされたらどうします？
Ｐ,程度によりますけど度が過ぎてたら簀巻きにして天井から吊るします
ちひろ,２８３プロで良かったですね摩美々ちゃん
Ｐ,コミュニケーションに飢えているんでしょうかね。スキンシップの手段としては多少歪んでる気がしますが基本的に寂しがり屋なんでしょう。一見掴みどころが無いように見えますが本人なりに何を求めているかアピールはしている筈なので上手くそこを見つけて信頼関係を築ければこちらの気持ちには真剣に応えてくれるタイプだと思います
ちひろ,猫の飼い方みたいですねぇ
Ｐ,でもこういう娘は懐いてくれた頃にワザと素っ気なくして寂しがらせたいという気もします
ちひろ,プロデューサーという人種がみんなあなたみたいなサディストじゃないんですよ？
Ｐ,あと自分で悪い子
ちひろ,さぁて次の娘行ってみましょうか！。ではL'Antica３人目、白瀬咲耶ちゃんを見て見ましょう。高知県出身の１８歳。１７５ｃｍの長身と王子様キャラが特徴だそうです
Ｐ,王子様キャラと言えば７６５プロさんにもいますけどこっちの娘はスタイルの方も凄いですね。恰好良さと色気を両立させてる感じですな。って言うか普通に考えたらこの娘がユニットのセンターじゃないですか？
ちひろ,そこはまあ、あちらにも事情があるんでしょう。さてプロデューサーさん、この娘だったらどうプロデュースします？
Ｐ,うーん、この娘の格好よくあろう
ちひろ,本意では無いと？
Ｐ,そこまでは言いませんが少なからずそういった点も無くはないと思いますね。幼い頃からかわいい。パッと見て目につくのはやはり格好良さでしょうが、きっと彼女の本当の魅力は内に秘めた可愛らしさなのでは無いでしょうか。おそらく向こうの事務所もそれを分かっているからこそゴシックイメージのこのユニットに参加させているのでは無いでしょうか。ただ格好良さを前面に出したいのならもっと分かりやすい売り出し方が出来ますからね
ちひろ,なるほどなるほど…まるでプロデューサーみたいですね
Ｐ,俺を何だと思ってたんですか
ちひろ,ガンプラビルダー
Ｐ,否定はしません。これは私的な印象ですがかわいい
ちひろ,まだ会ったこともない娘によくもまぁそこまで言えますね
Ｐ,あと、これはも勝手な想像なんですが
ちひろ,さっきから勝手な妄想してますね、どうぞ
Ｐ,押しに弱そう
ちひろ,それは私も思いました
Ｐ,ダメ男に引っ掛かりそうで心配ですね…お願いだから！
ちひろ,ＰｉｘｉｖのＲ１８率が高そうなタイプですね
Ｐ,流石にそこまでは言ってねーよ
ちひろ,では次、幽谷霧子ちゃんいってみましょう！
Ｐ,また個性的な娘ですね。包帯まみれなのは一体…
ちひろ,本人曰く怪我をしている訳じゃないけど、理由は秘密
Ｐ,なにそれこわい
ちひろ,青森県出身の１７歳。儚げな風貌に心配性が相まってネガティブな印象を受けますが個性の強いメンバーの中でも全く物怖じしない謎の胆力があるそうです
Ｐ,名前の響きといい見た目と言い何となくダンガンロンパっぽさを感じます。３回目くらいの学級裁判でオシオキされそう
ちひろ,ハイライト薄いのもちょっと気になりますね。プロデューサーさんよりかはマシですけど
Ｐ,何となくゴスロリ衣装着せて闇に飲まれよ！
ちひろ,それ単に銀髪ツインテってだけで言ってるでしょ。さて鬼畜もとい社畜さん、この娘をどう見ます？
Ｐ,どっちに転んでも酷ぇ言い間違いだなオイ。包帯で両手縛って虐めてみたい
ちひろ,プロデュース方面で！どう！見ます！？
Ｐ,うーん…、一見大人しくて臆病な娘なようにも見えます内面は割とタフだったりしてそうですね
ちひろ,あら意外。そうですか？
Ｐ,何と言えばいいんでしょう…気が付いたら真っ白な部屋の中、ベッドの上にいて何故か手足が動かなくなっていて。そんな状況で、彼女はとても甲斐甲斐しく世話をしてくれるんです。それはもう献身的に、盲目的に……。けれども介護の甲斐も無く、どんどんその体は自由を失っていき彼女無しでは生きられないようになっていき…そこでようやく気付くんです。一体誰が、自分をこの部屋に運んできたのかを…
ちひろ,ヒィッ
Ｐ,なんてドラマとかやらせたらハマりそうですね。って、どうしたんですかちひろさん。まゆが豆鉄砲食らったような顔して
ちひろ,つ、次の娘にいきましょうか！L'Anticaのラスト、三峰結華ちゃんです！
Ｐ,え、光実？
ちひろ,ミツザネェじゃないですミツミネです。三峰結華ちゃん。福島出身の１９歳。掴みどころのないフリーダムな現役大学生だそうです
Ｐ,この娘も個性的ですね。趣味がアニメ、カメラ、ゲームに読書…この読書って絶対漫画でしょ。それにアイドルライブ鑑賞…？
ちひろ,その趣味は他のメンバーには秘密にしているそうです
Ｐ,サブカル系女子って感じですね。それに大学生…現代視覚文化研究会に入ってそうですな
ちひろ,コミュニケーション能力も高く周囲に独自のニックネームをつけているそうです
Ｐ,本田感
ちひろ,ちなみに一人称は三峰
Ｐ,森久保感
ちひろ,眼鏡はステージの上でも外さないそうです
Ｐ,上条感
ちひろ,個性的と言うか独特な娘ですねえ
Ｐ,何となくですがこの娘はフレデリカみたく周りの空気をしっかり読んでいて敢えてフリーダムしてる印象ですね。自分のキャラクターをよく分かっていると言いますか、俯瞰が出来ると言いますか…。実は自由人に見せてユニットの中の影のリーダー的存在…みたいな感じですかね
ちひろ,なるほどなるほど。ではプロデューサーさんとしてはこの娘をどうプロデュースしてみたいですか？
Ｐ,今期のイチオシについて語り合いたい
ちひろ,プロデュースしろや
Ｐ,モンハンは実用性よりロマン重視の装備使っていそうですね
ちひろ,それアンタだろ。これでL'Anticaは全員ですね。では次はこのＡＬＳＴＲＯＥＭＥＲＩＡアルストロメリア
Ｐ,劇場版ナデシコに登場した人型機動兵器ですか？
ちひろ,古い。ではまず１人目、大崎甜花ちゃんから見ていきましょうか。富山県出身の１７歳。あ、この娘は双子姉妹で妹と一緒にユニットを組んでいるみたいですね
Ｐ,人見知り、グータラ、身の回りの世話は妹任せ…趣味は昼寝、ネットサーフィン、アニメ、ゲーム…。土間うまるちゃんですか
ちひろ,大崎甜花ですってば
Ｐ,ほんのり森久保にも似たような雰囲気がありますね
ちひろ,こちらはきちんと目を合わせてくれますけど
Ｐ,妹にご飯を食べさせてもらって歯磨きしてもらってる…ってこれじゃあお世話と言うより介…
ちひろ,それ以前にプロフィールに書いちゃ駄目でしょ、これ。事務所に入った後もアイドルなんてできないと妹さんに助けを求めたりしちゃってるみたいですね。最初の頃の乃々ちゃんみたいですね
Ｐ,うーん…それならこの娘も多分大丈夫なんじゃないですか？多分ですけど
ちひろ,どうしてそう思うんです？
Ｐ,無理と嫌は別、ってことです
ちひろ,？
Ｐ,勝手なイメージですけど、この娘現状はどうあれ自立心はあるような気がするんですよねぇ…まぁ勝手なイメージですけど
ちひろ,さっきからずっと勝手なイメージで喋ってますもんね
Ｐ,あとネトゲ廃人ぽい
ちひろ,おい
Ｐ,連邦よりジオン派ぽい
ちひろ,それお前だろ。まぁいいです。ではこの流れで次は妹の大崎甘奈ちゃんにいってみましょう
Ｐ,土間タイヘイ君ですか
ちひろ,兄じゃねえよ妹だってばよ。大崎甘奈ちゃん１７歳。富山県出身
Ｐ,さっきの甜花ちゃんと同じですね
ちひろ,双子ですってば。あ、流石双子。身長も一緒ですね。体重のほうは…やはり甜花ちゃんは生活スタイルのせいでしょうか
Ｐ,いや、スリーサイズ見る限りこれは姉のほうが発育が良いって感じがしません？体重も１キロしか差が無いですし。妹のほうがしっかり者というのが何だか良いですね。買い物カートに嬉々として実姉乗せる胆力も凄いと言うか何というか
ちひろ,２８３さんは宣伝写真これでいいんですかね…
Ｐ,性格は天真爛漫。何事も全力で楽しみたいと豪語するギャル少女…城ケ崎姉妹といいこういう仲良し姉妹ってやっぱり良いですね。ほっこりします
ちひろ,若干姉に対して過保護な傾向があるそうですね。そりゃあ買い物カートに乗せるくらいですから、多少は…ねぇ？
Ｐ,うーむ…妹離れ出来ないのか、姉離れ出来ないのか…
ちひろ,多分両方じゃないですか？
Ｐ,そのうち中身が入れ替わったネタとかありそうですね
ちひろ,うちの事務所じゃないんですから
Ｐ,そのうち布団ぐるぐる巻きの姉を自転車で運ぶ妹の図とか
ちひろ,電波女と青春男かよ。ちなみにどっちが姉でどっちが妹か分からなくなった時のために甜甘
Ｐ,中国のお菓子みたいなネーミングですね
ちひろ,甜花ちゃんに甘いから甘花、と覚えやすいそうです
Ｐ,その過保護もう公式なんですか？
ちひろ,ちなみに甘奈ちゃんの特技は早起き、倹約だそうです
Ｐ,完全に保護者のそれですよね
ちひろ,ではＡＬＳＴＲＯＥＭＥＲＩＡの最後の１人、桑山千雪さんを見てみましょう。桑山千雪さん。山口県出身の２３歳。２８３プロ所属アイドル最年長だそうです
Ｐ,確かに大人っぽい人ですね。２３歳というとウチでは清良さんやあいさんあたりですね。もっと年上なのにこの桑山さんより遥かに子供っぽい人もいますよね。別に楓さん早苗さんとは言いませんけど
ちひろ,ぼかす事すらしない。スカウト前は雑貨店勤務。趣味も小物作りだそうです
Ｐ,ビルダーですか
ちひろ,ガンプラは作ってないと思いますよ。ユニットを組む大崎姉妹との仲もとても良好でまるで家族のようだと言われているそうです。ほっこりしますね
Ｐ,ほっこりしますね。でも３姉妹というより桑山さんが若干オカンのようにも…
ちひろ,やめて差し上げてください。どうですかプロデューサーさん桑山千雪さんの印象は
Ｐ,めっちゃ甘やかされて駄目人間にされてみたくなりますね
ちひろ,うわぁ
Ｐ,それと同時にそういう娘を逆にだだ甘やかしてズルッズルに堕落させてしまいたいという気もします
ちひろ,うっわぁ
Ｐ,この娘と妹に囲まれたら甜花ちゃん益々自堕落になりそうですねぇ
ちひろ,３人中２人が保護者ってどうなんでしょうね
Ｐ,さてと、これであと１グループですね
ちひろ,ええ、残すはこちら、放課後クライマックスガールズです
Ｐ,電車とか時計とかに会いそうなユニットですね
ちひろ,クライマックスフォームじゃねえよ。では早速。まずはセンターの小宮果穂ちゃんから行ってみましょう。東京都出身の１２歳。２８３プロの最年少アイドルですね
Ｐ,ああ、所謂ロリ枠………じゃ、ないですねこれ。身長もスリーサイズも凄ぇポテンシャル
ちひろ,身長は悠貴ちゃんとほぼ同じくらいですね。スリーサイズの方も公式の
Ｐ,まぁ、あのカリスマ処女ギャルのサイズは大分逆サバしてますけどね
ちひろ,好奇心旺盛、純真無垢な小学生。趣味は日曜朝の子供向け番組を観ることだそうです
Ｐ,ニチアサキッズですね。ちょっとスカウトしてきます
ちひろ,やめてくださいこれ以上増やす気ですか！。ユニットメンバーを素直に尊敬していて本人も周りからとても可愛がられているそうです。ヒーローごっこにも律義に付き合ってくれるそうですよ
Ｐ,果穂ちゃんがヒーローごっこをしないのは勝手だ。けどそうなった場合、誰が代わりにやると思う？
ちひろ,は？
Ｐ,南条だ
ちひろ,言いたいだけでしょ
Ｐ,冗談はともかく光と組ませてみたい娘ですね。趣味も同じだし年も近いし
ちひろ,そうなったらヒーローごっこに付き合わないといけませんね
Ｐ,怪人役はお願いしますね銭ゲバコンドル
ちひろ,社畜スマッシュがいるでしょうが
Ｐ,いや俺はグッズの電子音声役なんで。あー、あー…。ﾒﾛﾝｴﾅｼﾞｰ!
ちひろ,凄い！なんて無駄なクオリティ！
Ｐ,以前光に１０分間耐久ウィザードライバー音声やってくれとせがまれた時は喉がヤバかったです
ちひろ,変態社畜はさておき、では次の娘にいきましょうか
Ｐ,えーっと次は……マメ丸？変わった名前ですね
ちひろ,違う違う。園田智代子ちゃん１７歳。ウサミ…千葉県出身
Ｐ,菜々さんバンザイ
ちひろ,身長１４９ｃｍ、２８３プロでは一番小柄な娘ですね
Ｐ,小柄な分スタイルが際立ちますね。…いつツッコもうかと思ってましたがこの事務所の娘たちけしからん率高すぎません？
ちひろ,資料によるとチョコ好きキャラで推しているそうなので食べた分胸にいくタイプなんじゃないですか？
Ｐ,キャラ作りでチョコ食べてるんですかい
ちひろ,智代子だからチョコ、と覚えて欲しいそうですよ
Ｐ,ふむふむ…自分の個性に思い悩んだ末のキャラ作りなんですね。結構珍しいパターンですね。千葉県、キャラ作り……うっ、頭が！
ちひろ,休日にも甘い物巡りをしてチョコキャラとしての追求や研究を怠らないそうです。勉強熱心な娘ですね
Ｐ,素直に応援したくなりますね、こういう娘は
ちひろ,他の娘も素直に応援してあげてくださいよ
Ｐ,自分の個性に思い悩む…でも芸能事務所に入れた訳ですから本人が気づいていないだけで立派な武器があると思いますけどね
ちひろ,ああ、童顔小柄巨乳ですか？
Ｐ,そこに目ぇつけて事務所に入れたならとんだムッツリプロデューサーだよ。何て言うんでしょうかね…マイナスポイントが無いのでスッと自然と好きになれるタイプ、って言えばいいんでしょうか…上手く説明できませんが
ちひろ,ただちょっと心配なのはチョコアイドルとして売り出すのなら体系維持には気を付けてもらいたいです
Ｐ,その辺もしっかり努力してるみたいですから偉いですよ。今度チョコ差し入れに持っていってあげましょうかね
ちひろ,まだ無駄に全長７メートルのブリッツェンチョコとか作らないでくださいよ？
Ｐ,ハハッ、かな子に８割食われましたっけ
ちひろ,さてさて次に行きましょうか。あと３人ですね
Ｐ,その前にお茶菓子追加しましょうか。何だかチョコ食べたくなっちゃって
ちひろ,あ、戸棚の奥にエンゼルパイありますよ
Ｐ,俺が隠してるオヤツだよ
ちひろ,西城樹里ちゃん。１７歳神奈川出身。射手座Ｏ型
Ｐ,蟹座のＢ型じゃないんですね
ちひろ,それは設定年齢１９歳の美形です
Ｐ,晴と拓海を晶葉の発明品で合成したらこんな感じの娘になるんでしょうかね
ちひろ,やめてさしあげなさい。口は少し悪いけど最年少の果穂ちゃんの宿題を手伝ってあげたりと面倒見が良く素直になれないだけでとっても優しい娘らしいです
Ｐ,ツンデレ？
ちひろ,一言で済ますのやめてさしあげてください
Ｐ,金髪ショートのボーイッシュ系、いいですね。一人称がオレだったりしたらもう言う事無しですわ
ちひろ,アンタの性癖はどうでもいいです
Ｐ,資料を見る限りメンバーとの仲も良好なようですしアイドル活動も最初は軽い反発のようなものはあったようですが比較的早く馴染んでいるようですね
ちひろ,資料からも良い子オーラがひしひしと伝わって来ますね。小さい子に凄く懐かれそう
Ｐ,まだまだ要領の悪い新米プロデューサーのためにこっそりおにぎり作ってデスクに置いといてあげたりしてそう
ちひろ,何となく分かりますけどあんまり余所の事務所の娘で好き勝手な妄想しないでくださいね
Ｐ,ちなみにこのおにぎりは晴が朝こっそり俺のデスクに置いてったものです
ちひろ,あら微笑ましい。いよっスケコマシ！
Ｐ,何といいますか、普段素直になってくれない娘が時折不意打ちのように素直に気持ちを表してくれるのって、正直卑怯ですよね
ちひろ,わかりますわかります。時子ちゃんもたまには素直になってみればいいのにって思うんですけどねえ
Ｐ,え？
ちひろ,え？
Ｐ,あ、次の娘見てみましょうか
ちひろ,あ、あのプロデューサーさん？今の反応は一体どういう。コホン…では次はこの有栖川夏葉ちゃんですね。愛知県出身の２０歳。あらまたこの娘のプロフィールは個性的ですね
Ｐ,どれどれ……本人曰く目指すは世界一。……ヘーイ？
ちひろ,世界レベルじゃなくて世界一ですってば
Ｐ,社長令嬢なんですね。そのせいか自己向上に余念が無くプライドだけでなくアイドルとしての意識も相当高いようですね
ちひろ,カフェで君主論を読みながらダンベルで筋トレしている姿が目撃されているそうです。…中々の逸材ですね
Ｐ,カフェでダンベルというだけでもかなりのパワーワードなのに君主論まで加わったらコンボ成立ですね。凄いなこの娘。何となくウチのチーズカツカレーと気が合いそうですね
ちひろ,つかさちゃんってちゃんと呼んであげなさい
Ｐ,プライドと意識高い社長令嬢ですが独善的な訳では無くちゃんと周りの事も気に掛けることができる視野の広さもある。スペック高いですねえ
ちひろ,ただ、その性格上相性の良し悪しは当然あるようですね。さっきの樹里ちゃんとはよく口論しているそうですよ
Ｐ,まぁそのくらいはご愛敬でしょ。相性とは言ってもじゃれあいの延長線上くらいのものだと思いますよ？
ちひろ,ふふ、私たちみたいにですか？
Ｐ,ちっょと何言ってるのかわかんないんですけど
ちひろ,おい
Ｐ,事実上この娘が放課後最初からクライマックスガールズのリーダーのようですね
ちひろ,ユニット名長くなってません？
Ｐ,ただ、先ほどの樹里という娘にも思ったことですがこの娘は間違いなく…
ちひろ,間違いなく？
Ｐ,ツッコミでしょうね
ちひろ,はい次の娘でラストでーす
Ｐ,いや待てよ？カフェでダンベル振り回している時点で本人なりの高次元なネタ振りという可能性も…
ちひろ,次行きますよ社畜。放課後クライマックスガールズのラスト、杜野凛世ちゃんです。鳥取出身の１６歳。特技は折り紙と百人一首のザ・大和撫子！
Ｐ,着物姿、浮世離れした言動…歌舞伎揚げは好きでしょうかね
ちひろ,確かに芳乃ちゃんとスタイルは似てますけど。あ、でも凛世ちゃんの方が４ｃｍ高いんですね
Ｐ,あ、でも趣味が少女漫画なんですね。ちょっと意外
ちひろ,本人曰く、俗世の勉強だそうです
Ｐ,芸能界なんてキングオブ俗世じゃないですか
ちひろ,事務所に入ったその日にプロデューサーに一生ついていきます
Ｐ,慎み深いのやら押しが強いのやら。んー、今のところこの娘にとってのアイドル活動はプロデューサーのため
ちひろ,まぁウチにもそんな似たような娘はいる気がしますけど
Ｐ,でもこの娘が今後プロデューサーではなく自分を応援してくれるファンのために、という意識を持ち始めたらきっと大化けしますよ
ちひろ,これぐらいの歳の子は何かの切っ掛けで大きく変わったりしますもんね
Ｐ,そうですね。俺らくらいになると後はただ老いて衰えていくだけですけどねえ
ちひろ,えっ、私をプロデューサーさんと一緒にしないでくださいよ
Ｐ,ハハッ今月課金してやらねぇ。個人的にはこういうタイプの娘はスポッチャとか秋葉原とか連れていってめっちゃオロオロさせてみたいですね
ちひろ,会った事も無い子なのに戸惑い慌てふためく光景がありありと浮かびますからやめてあげてください。…とまあ総勢１６名。これが２８３プロさんの所属アイドルだそうです
Ｐ,あとは社長さんとプロデューサー１名ですか…えっ？１人で１６人担当してんのバケモンかよ
ちひろ,あんただけはその言葉を言う資格無いと思いますよ。あ、でも向こうにも私みたいな美人で有能なアシスタントさんがいるそうですよ？ほらっ
Ｐ,どれどれ？……えっ、ちひろさんとの共通点なんて制服の色と肺呼吸くらいじゃないですか
ちひろ,シャオラァ！
Ｐ,そういうとこだぞ！？
２８３Ｐ,以降こっちもＰ表記
はづき,おかえりなさい。どうでした？
Ｐ,相手は有名な３４６プロさんですよ？そりゃあ緊張したったらありゃしませんよ…幸か不幸か向こうのプロデューサーさんとはお会いできませんでしたけど
めぐる,おかえりプロデューサー！
霧子,おかえりなさい。今お茶を用意しますね
真乃,お疲れ様です。鳩モフモフします？
Ｐ,ありがとう。でも取り合えずに持つぐらい置かせて？んでもってめぐるは離れて理性が持たない
恋鐘,随分疲れとるねプロデューサー。膝枕すると？
智代子,疲労回復にはチョコですよチョコ！
千雪,後で耳掃除しましょうか？
Ｐ,気持ちは嬉しいけど荷物置きたい
摩美々,ちぇー、お土産無いんですかー
甜花,無いんですか…
Ｐ,荷物ゥ！
はづき,はいはい皆さんオモチャじゃなかったプロデューサーさんが帰ってきたからってはしゃがないでくださーい
Ｐ,今ハッキリ言いきりましたね！？
はづき,プロデューサーさんはこの業界に入ったばっかりですし、余所の事務所に行くのは良い勉強になるかと思ったんですがそうですか…あちらのプロデューサーさんにお会いできなかったのは残念ですね
Ｐ,あちらの都合もありますから仕方ないですよ。あ、うちのアイドルたちの宣伝写真と資料はしっかり渡してきましたから
はづき,ありがとうございます。まぁ目的の８割は売り込みですからそれを忘れて戻ってこられたら困りものでした
Ｐ,え、俺の勉強になるっていう話では…
はづき,口実です♪
Ｐ,チクショウ向こうのアシスタントさんは優しそうな人だったのに！。そう言えばはづきさん。３４６プロってどんな事務所なんです？知名度あるんで聞いたことはもちろんありますけど正直そこまでまだ詳しくなくて…
はづき,そうですねえ。敵を知ろうとするのは良いことです。ちょっと待ってください確か資料データが…
Ｐ,敵って
はづき,…あ、ありましたありました。って何食べてるんです？
Ｐ,いえ、デスクの上におにぎりが置いてあったので
はづき,後でちゃんと樹里ちゃんにお礼言ってあげてくださいね
Ｐ,なんで樹里に？
はづき,あんまり鈍感だといつか頭上からダンベルと君主論が降ってきますよ
Ｐ,身に覚えのない間に命の危機なんですか！？
はづき,では新米ペーペーレベル１なプロデューサーさんに簡単にご説明しますね
Ｐ,確かに新米だけどさぁ！
はづき,大手芸能事務所３４６プロ。現在主に活躍しているのはシンデレラガールズ
Ｐ,流石にそれくらいまでは知ってます
