橘ありす,おはようございます
光,あの……、フレデリカさん……
フレデリカ,どうしたのー？
光,その……
ありす,？言いたいこと言っちゃっていいんですよ？
光,う、うん！……か、肩車、してほしいんだ……！
ありす,え？
フレデリカ,ほほう！
光,だ、ダメかな……？
フレデリカ,だいじょーぶ！へい！かもん！
光,あ、ありがとう！
フレデリカ,じゃあ立つよ！
光,おおーーー！
ありす,……ついていけない
光,高いな！さすがフレデリカさん！
フレデリカ,フフーン！でっしょー？
ありす,わ！走ったら危ないですよ！
フレデリカ,あ！どこまで行く？
光,レッスン室Aまでお願い！
フレデリカ,はーい！
ありす,加速してません！？
小関麗奈,……声がするから来てみれば、……あんたらなにしてんのよ
フレデリカ,あ！レイナちゃん！乗ってく？
ありす,それ全員に言わなきゃいけないんですか
光,アタシの上に乗るのか？３段重ねだな！
麗奈,無理に決まってるでしょ！！
ありす,麗奈さんもレッスンですか？
麗奈,そうよ。光と小春とね
光,あとヒョウさん！
麗奈,なんでイグアナを敬う必要があんの
フレデリカ,ヒョウさんによろしく言っといてね！
麗奈,あいつのポジションはどこなのよ！
古賀小春,こんにちは～
ありす,噂をすれば……ですね。こんにちは
光,小春ちゃん！高いとこからごめんね！
小春,２度目はないですよ～
ありす,小春さん！！
フレデリカ,フランス人はセーフだよね！
麗奈,何よその謎ルール
フレデリカ,今日はダンスレッスン？ボイストレーニング？
小春,表現力です～
ありす,へえ、表現レッスンは難しいですよね。どんなことするんですか？
光,ヒョウさんの言ってることを、自分なりに表現するんだ！
ありす,はあ！？そんなレッスンがあるわけないじゃないですか！
麗奈,……
ありす,麗奈さん！？
麗奈,そもそもイグアナの言うことなんてわかるわけないじゃない……。なんでこいつらは違和感なくできんのよ……
フレデリカ,レイナちゃん……
麗奈,その目やめなさいよ！！！
フレデリカ,あれ？そのヒョウく……さんは？
ありす,言い直す必要はないのでは
小春,あ、先にレッスン場に行ってます～
光,さすが！
ありす,ありえなくないですか
小春,私がお茶を摘みに行ってる間に、先に行ったみたいです～
麗奈,“お花を摘みに”でしょ！？どこの世界に茶摘みしてからレッスンに向かうアイドルがいんのよ！！！
ありす,麗奈さん！
麗奈,うわっ！？
ありす,今度いっしょに食事でも！
麗奈,急に！？
フレデリカ,そうこうしてる間にとうちゃーく！
光,おお！ありがとう！
麗奈,そもそもなんで肩車だったのよ……
小春,何とかと煙は高いところが
ありす,小春さん！！！！
フレデリカ,この辺には誰かいないかな～
ありす,せめてまともな人がいてほしいです……
神谷奈緒,お、ありすとフレデリカ
ありす,奈緒さぁぁぁん！！！！
奈緒,え！？前もこんなことなかったか！？
フレデリカ,……
奈緒,睨むなよ！！！
ありす,完全に、おかしな人たちがやってくるフラグを立ててしまったと思ったんですが……
奈緒,同僚アイドルの大多数を“おかしな”でまとめるなよ
フレデリカ,みんな面白いよねー！
ありす,フレデリカさんはおかしいサイドの筆頭ですからね
フレデリカ,行動が！？性格が！？
ありす,どっちもです！！！
フレデリカ,奈緒ちゃん！乗ってく？
奈緒,何に！？
ありす,その反応を待ってました！！！
奈緒,ありすは大丈夫なのか！？
フレデリカ,40秒待ってやるー！
奈緒,混ざっちゃってるよ！。残念だけど、あたしは１つ上の階に行くだけだから、助けはいらないかな
フレデリカ,今ならこの常務のブロマイドがついてくるのに！？
奈緒,それで誰が釣れるんだ！？
フレデリカ,誰も釣れないよ
ありす,口調！
奈緒,じゃ、あたしは行くから。ありす、頑張れよ
ありす,はい……
フレデリカ,だいじょうぶ！フレちゃんがついてる！
ありす,だから頑張る必要があるんですよ
奈緒,じ、じゃあな
ありす,奈緒さんのことは忘れません……
奈緒,あたしは死ぬのか？
フレデリカ,……
ありす,さて、そろそろいい時間ですし、戻りましょうか
フレデリカ,……
ありす,フレデリカさん？
フレデリカ,ありすちゃん
ありす,はい？
フレデリカ,レイナちゃんに抱きついてたよね？
ありす,は、はい
フレデリカ,奈緒ちゃんに抱きついてたよね？
ありす,……はい
フレデリカ,フレちゃんには！！！？？？
ありす,ええ……！？
フレデリカ,こんなにも長い付き合いなのに！ありすちゃんから抱きついてくれたこと、一度もないよ！？
ありす,いえ……、そもそも私は頻繁に抱きつくキャラでもないですし……
フレデリカ,お姫様抱っこもしたのに！
ありす,それ関係なくないですか！？
フレデリカ,というわけで、フレちゃんはハグを要求します！！！
ありす,はい！？
フレデリカ,ハグしてくれないと、十歩も動かないからね！
ありす,割と融通が利く
フレデリカ,……
ありす,はぁ……
フレデリカ,……
ありす,変なとこで意地を張らずに、勝手に抱きついてくればいいのに……。いや、“抱きつかれた”という事実が重要なんですかね……、まったく……。フレデリカさん
フレデリカ,！なにかな！
ありす,まあ、いつも、楽しい……と、思わないわけでもないですよ
フレデリカ,！！！。うんっ！！！
ありす,ちょ、痛いですって……もう……
フレデリカ,ってかあんまりタクシーじゃなかったね！
ありす,本人が言うんですか！？
