事件２,真犯人を探せ
P,い、痛い…何もひっぱたく事はないじゃないか…
美希,げんこつだって酷いの…
律子,人を雷様だのなんだと言った罰です！まったくこいつらは仕事もせずに…
P,た、たまたま息抜きをしてただけじゃないか…
律子,ここ一ヶ月まともな依頼も取ってこずに、もう抜く息なんて残ってないでしょうが！
P,いやしかしだなぁ…
律子,しかしもカカシもありません！美希も先生の金魚の糞ばっかりやってないで、たまには掃除でもしたらどうなの？
美希,やなの！美希とハニーは一心同体なの！
律子,はぁ…
P,なぁ律子嬢、昔の人だって言ってるじゃないか…果報は寝て待てって、急いでとってきた仕事なんて良いもんじゃないぞ？
律子,これ以上寝てたら、食べるものも買えなくなってそのまま餓死しちゃいますけどね？
P,うっ…
美希,え!?そ、それは困るの！
律子,だったらちゃんと仕事するのね、働かざる者食うべからずなのよ
美希,ちょ、ちょっと玄関先を掃いてくるの！
P,まったく…食べ物の事が絡むとすぐに動くんだな美希は
律子,何のんきなこと言ってんですか、先生もすぐに仕事取ってきてくださいよ…
P,おいおい…そんな簡単に仕事が転がってるわけ無いだろ？
律子,あら？この前の一件みたいに警察に行ってもらってくればいいじゃないですか
P,えぇ…
律子,仕事が来ないなら取りに行く、基本中の基本ですよ！出来ないって言うんなら珈琲は当分禁止ですよ？
P,はぁ…わかったよ…行けばいいんだろ行けば…
律子,最初からそうすればいいんですよ先生
P,あぁ…せいぜい面倒な事件に当たらないことを祈るy…
美希,ハーニー!!!!
律子,あの子ったら何大きな声出して…こら美希！外で女の子がそんな大きな声出すんじゃないの！はしたないでしょ！
P,いや、律子嬢も充分大きな声なんだがな
美希,今はそんな事気にしないの！
律子,あの子は…もうっ！
P,まぁまぁ…それでー？何かあったのか美希ー！
美希,依頼人を拾ったの！
P,ひ、拾った？
律子,えっと…どういう事なんでしょうか
P,まぁなんにせよ依頼人が来ることに変わりはなさそうだ！律子嬢、ほらっ珈琲の準備を！
律子,は、はい！
P,でかしたぞ美希！すぐに依頼人の方を連れてこい！
美希,はーいなのー！
律子,でもこんなに急に依頼人が来るなんて…
P,いやぁ律子嬢…果報は寝て待て！素晴らしいじゃないか！
律子,うっ…悔しいけど、そのようですね…
P,警察に行く手間も省けたし！。これで当分珈琲の心配はなくなったな！。…
美希,ねぇねぇハニー！美希掃除しながら依頼人も見つけてきたんだよ！
P,あ…あぁ…
美希,ほらほら！もっと褒めてもいいんだよ！ハニー！
P,うん…
律子,しかしまた…これは随分と可愛らしい依頼人ですね？
やよい,…
律子,寝て待った甲斐がありましたね？
P,皮肉なら勘弁していただきたい…
律子,あら、皮肉なんて…そんなつもりはないんですよ？
P,くぅ…
律子,それで？お嬢ちゃん、お名前は何て言うのかしら？
やよい,高槻…高槻やよいです！
律子,そう、やよいちゃんか…せっかく作ったけど珈琲は飲めそうにないわね…
やよい,すいません、苦いのはあんまり飲めなくて…
律子,それならお茶をいれるわね？
P,な、なら俺が代わりに飲むぞ！
律子,仕方ないので私が飲んでおきますね、先生はやよいちゃんのお話聞いてあげてください
P,あぁ…
やよい,…
美希,むぅ…ハニー！珈琲なら依頼を解決した後にたっくさん飲めるの！今はとにかく、やよいの話を聞いてあげて！
P,あ、あぁ…そうだな！高槻やよいちゃんだったかな？依頼があるって事だけど、どんな内容か聞かせてくれるかい？
やよい,はい！あのっ…あのっ…。お願いします！お父さんを！。お父さんを！お父さんを！
P,お、落ち着いて…お父さんを？
やよい,お願いします！お父さんを助けてください！
美希,えっと…
P,どういうことかな？。少し落ち着いたかな？
やよい,すいません…私、興奮しちゃって…
P,いや、気にしなくて良いよ
やよい,は、はい…
P,それで？お話を詳しく聞かせてもらえないかな？
美希,どうぞなの！
やよい,はい…私のお父さん庭師をやってるんですけど…
美希,ハニー、庭師ってな～に？
P,お庭の手入れをしてくれる職人さんのことだよ
美希,ふ～ん…そんなお仕事があるんだね！
P,まぁウチみたいな小さな庭じゃ手入れの必要もないんだがな…
美希,あはっ！確かにそうなの！
P,おっと、話がそれたね…それで、そのお父さんがどうかしたのかい？
やよい,今から一週間前の事なんですけど…私のお父さんが警察に捕まっちゃったんです
美希,警察に？
P,警察…
やよい,はい…お父さんがいつもお庭のお手入れをしていたお金持ちのお家から、すっごく高い刀を盗んだからって…
P,…
やよい,うちにはそんな刀なんてなかったんです！それなのに…
P,…という事は今もお父さんは
やよい,はい…警察にいます…
P,お母さんはどうしているんだい？
やよい,まだ小さな子もいて、面倒を見なくちゃいけないので代わりに私が…
P,そうか…
やよい,確かにうちは貧しいです…でもっ、だからといってお父さんは人のものを盗んだりするような人じゃないんです！
P,そうか…つまりやよいちゃんは俺たちにお父さんの無実を証明して欲しいと、そういう事でいいのかな？
やよい,はい！お父さんを助けたいんですっ…
P,そうか…
やよい,お願いします！
P,う～ん…
美希,どうしたのハニー？やよいのお父さん助けてあげようよ！
P,ん…あぁ…やよいちゃん、少し席を外してもいいかな？
やよい,は、はい！
美希,は、ハニー！
P,ふぅ…
律子,あら？もうやよいちゃんの話を聞き終わったんですか？
P,いや、まだなんだが…それよりもこの件はお断りしたほうがしれないな…
律子,えっ？依頼金関係の問題なら分割にしてあげれば…
P,そういう問題じゃないんだよなぁ…
律子,え？それじゃあ…
P,警察が介入して逮捕してる事件なんだぞ？これをひっくり返すのはなかなか難しい…
律子,この前だって警察が捨てた事件をひっくり返して解決させたじゃないですか、今回だってなんとかなりますよ
P,簡単に言ってくれるなよ律子嬢…
律子,小さな女の子が一人でこんなところに来たんですよ？力になってあげるべきです
P,う～ん…力にはなりたいんだが…大きな声では言えないけど、彼女の父親が本当に犯人の可能性もあるわけでな？変な期待を持たせるわけにも…
律子,もう…どうして先生はいつもそういう考えしかできないんですか！
P,しかしそうなるとだなぁ…
律子,お堅い勤めの人間はどうしてこう頭が固いんでしょうかね？
P,おいおい…俺はもうお国とは関係のない人間だぞ？
律子,頭の中身は堅いままじゃないですか！
P,いや…堅さに関しては律子嬢に勝てるとは思わないんだが…
律子,何かおっしゃいましたかね？
P,…い、いえ
律子,まぁこれ以上、渋ったって無駄ですよ？依頼は依頼…頼まれたからには最後までしっかりと仕事をするのが私たちの仕事なんですから！
P,しかしそれは…依頼を引き受けてから成り立つことで…
律子,あら？依頼ならさっき引き受けてましたよ？
P,待て待て！俺は引き受けるだなんて！
律子,私も言ってませんよ？でもほら…
美希,大丈夫なの！ハニーなら絶対にやよいの力になってくれるから！
やよい,はい！お願いしますっ！
美希,絶対にパパを助けてくれるの！任せておくのっ！
P,
律子,あれってもう立派に引き受けてますよね？
P,そ…そうだな…しかし…
律子,しかし…なんですか？
P,冤罪を晴らせって、俺は弁護士でもなんでもないんですがね？
律子,でも依頼ですからね？もう受けちゃいましたし
P,えぇ…
律子,引き受けたら最後まで…ですよね？
P,あ～わかりましたよ！やりゃあ良いんでしょ、やりゃあ！
美希,ハニー！いつまで律子と話してるの！早く戻ってきてやよいの話を聞いてあげて！
律子,ほらっ美希がお呼びですよ？
P,はいはい…ただいま行きますよっ。まったく…お前はこんな難題を安請け合いして…
美希,難しくなんてないの！ハニーなら大丈夫！
P,何という他力本願…
美希,それに難しい話だっとたしても、あんなに必死なやよいの顔を見たら…
P,まぁ、元気づけたくなってしまったと
美希,美希わかるよ！きっとあの子は、笑ったらもっと可愛くなれる子なの！だから早くパパの無実をはらしてあげたいの！
P,安心しろ、引き受けたからには必ず真相を明かしてみせるさ
美希,うん！ハニーならそう言ってくれるって信じてたよっ！
P,だがな、真相を解き明かした結果…あの子のお父さんが犯人である可能性だってあるんだ
美希,え…？
P,あくまでも可能性だがな…まったく怪しくない人間が捕まることなんてそうはないだろう
美希,それじゃあ…やっぱりあの子のパパが犯人なの？
P,もう少し考えないと何とも言えないが…
美希,そんなのってないの…
P,とにかく、俺たちは俺たちのすべき事をしよう
美希,うん…
P,でもまぁ…骨が折れる一件になるのは明らかなんだがな…
美希,警察に行ってもやよいはパパと会えなかったんだよね？
P,あぁ、そうみたいだな…
美希,どうして会えないの？捕まってても家族なら会えるんじゃないの？
P,場合にもよるよ、少なくともこの場合そうじゃないって事だ…やっぱり難しいなぁ
美希,…
P,どうしたんだ美希、いきなり難しい顔して…
美希,…これだからお役所仕事は嫌なの！
P,おっ…おい！お前そんな言葉どこで覚えたんだよ…
美希,さっき律子から聞いたの！ハニーがこれ以上うだうだ言ったらこう言いなさいって！
P,律子嬢め…
美希,ところでハニー、お役所仕事ってどういう意味？
P,お前は知らんでいい…
美希,むぅ～…
P,膨れない膨れない、それじゃあとりあえず警察にでも行くか…やよいちゃんのお父さんの話も聞きたいし
美希,え？やよいでもパパには会えなかったって
P,お役所仕事が嫌いなやつだっているんだよ、さぁ…行くぞ
美希,はいなの！
警官,一ヶ月ぶりに現れて何事かと思えば…
P,いやぁ…すまんなぁ
警官,取り調べ中のもんと話をさせろだなんて…先生、あんた何を言ってるのかわかってるのかね…
P,まぁそう言いながら聞いてくれるから、警官殿は良いお方なんだよ
警官,調子のいい…
美希,うわっ…相変わらず嫌な雰囲気なの…
P,警察の内部に来て、良い雰囲気の奴なんてほとんどいないさ
警官,さぁ、この部屋だ…
P,おう…
警官,先生…一応人払いはしておいたが、そんなに時間はとれんぞ？
P,大事なことさえ聞ければ良いからな、大丈夫だよ
警官,この件は上も一枚噛んでる難しい一件なんだ…くれぐれも変なことはしないでくれよ？
P,はいはい…わかっておりますよ。…
警官,じゃあ先生、私は部屋の外にいるから
P,あぁ、ありがとう
美希,…
P,どうも…高槻弥吉さんですね？
弥吉,へ、へぇ…どうも…えぇっと、あんたは？
P,あぁ、申し遅れました…私765探偵社で探偵をやってる者でして
弥吉,探偵さん…ですかい？そちらのお嬢さんは…
美希,美希は美希だよ！ハニーの助手で未来の奥さんなの！
P,こらっ、自己紹介ぐらいまともな事を言えんのか
弥吉,ず、随分とハイカラな娘さんで…
P,どうもすいません…
弥吉,ところで、その探偵さんがあっしに何の御用で？
P,実は、貴方の娘さんから貴方の無実を証明して欲しいという依頼を受けたんですよ
弥吉,や、弥生が！あいつら…家族は元気にしてますかねっ!?
P,えぇ、今のところは元気にやってるみたいです
弥吉,そうですかい…良かった…
P,ただかなり動揺してはいます、お父さんが逮捕されたのだから当然なんですが
弥吉,あっしは…あいつらにとんでもねぇ迷惑をかけちまってるんですね…
P,…
美希,…
弥吉,ただねぇ探偵さん！あっしは本当に刀を盗んだりなんてしてないんです！
P,という事は、無実だと？
弥吉,へぃ！大事なお客のもんを盗んだりなんて…確かにうちは貧乏だが、あっしにも庭師としての誇りってもんがありますから
美希,…
P,ふむ…じゃあ心当たりは無いんですね？
弥吉,１週間前の朝、いきなり警察がきたと思ったらこの有様で…実際うちにゃあ刀なんてなかったわけですし！
P,では、刀自体を見たことは？
弥吉,そりゃあお屋敷で、何度もありやすが…
P,警察から、証拠を突きつけられたりは？
弥吉,いえ…ろくにお調べも受けておりやせん…
P,事情聴取もほとんど受けてないんですか…あぁそれと、刀を盗まれた家ですが…弥吉さんは何か仕事以外に接点を持たれていましたか？
弥吉,いえ…ただ先代の旦那からのご贔屓でしたので、古い付き合いになりやすね
P,なるほど…どういった方なんですかね？そのおうちは…
弥吉,あっしも詳しいことまではわかりやせんが、昔のお武家さんだとか…あぁ、今は色々と商売をなさってるみたいですが
P,武家ね…
警官,先生、そろそろ…
P,あぁわかったよ…それじゃあ高槻さん、ありがとうございました
弥吉,た、探偵さん！一つ頼みてぇ事があるんですが！
P,はい…なんでしょうか
弥吉,家族に、父ちゃんは大丈夫だって…そう伝えてくれねぇでしょうか！
美希,…
P,承りました…必ず伝えます
弥吉,ありがとうごぜぇやす…
警官,それで…どうなんだ先生？
P,ん？どうなんだって？
警官,あいつが黒かどうかってことだよ…
P,気になるのか？
警官,いや…まぁな…
P,美希、匂いはどうだった？
美希,う～ん……早口過ぎてわからなかったの…
P,わからないか…
美希,ごめんなさいなの…
P,いや、良くやってくれたよ…ありがとう
警官,また例の匂いってやつかい？私はまだいかんせん信じられないんだがなぁ…
P,まぁ科学的な根拠はないけどさ…っと、ところで一つ聞きたいことがあるんだが
警官,ん？なんだ？
P,弥吉さんの話を聞く前に、あんた…この話には上も一枚噛んでるって言ってたよな？
警官,え…いや…そんなこと言ってたかね？
P,言ってたよな美希？
美希,うん！美希もちゃーんと聞いてたよ！
警官,うっ…
P,どうなんだい、警官殿…
警官,いや…その…
P,弥吉さんの逮捕に、上からの圧力がかかった…そうなんじゃないか？
警官,そ、そんな事は断じて…
P,美希…
美希,匂ったの！
警官,うっ…
P,そうか、という事はこの事件にはやっぱり裏がありそうだな…
警官,いや…裏なんて！そんなものは…
美希,お願いっ！嘘なんてつかずに、ちゃんと本当のことを教えて！
警官,嘘なんて…
P,美希の、人の嘘を見破る力には確かに科学的な根拠はない…けどな
美希,…
P,俺は、この力を信じてるよ…
警官,…
P,なぁ、あんたも出世して難しい立場になったは知ってる…でもなぁ…
美希,やよいのパパは犯人じゃないかもしれないんだよ!?
P,刀すら見つかってないのに状況証拠だけで逮捕しようだなんて、いくらなんでもだよ
警官,…
P,それに…圧力だかなんだか知らないが、幸せな家庭を壊していい理由にはなりゃしない…そうだろう？
警官,…
P,頼むよ警官殿…
美希,お願いしますなのっ…
警官,…
美希,…
警官,わかった…わかったよ
美希,お、教えてくれるの！？
警官,こんなに可愛い子にここまで頼み込まれたらな…まぁしょうがない
P,ありがとう、迷惑はかけないようにするからさ
警官,迷惑ならもう充分かかってるさ…
P,ははっ…違いない
警官,それで？どこまで話せばいいんだ？
P,そうだな、被害者の家に関する情報と圧力をかけた相手に関しての情報を…
警官,また一番言いにくいことを…
P,被害者の家に関しては弥吉さんから、旧士族で今は商売をしてるってとこまで聞いたんだが
美希,ハニー、士族ってなぁに？
P,昔で言うところのお侍さんだった人達の事だよ
警官,あぁ…被害者の一族はそこそこ身分のいい方だったらしい…
P,商売に関しては？
警官,先代が一代で大きくした会社があるな、それと現在の当主が始めた会社がいくつか…ちなみに今回盗まれた刀は先祖代々大切に扱っていた物らしい
P,弥吉さんは先代の頃から庭に出入りしていたらしいな？
美希,ご贔屓って言ってたの
警官,なかなか先代からからは信頼されていたようだよ、場合によっては留守番も頼まれることだってあったみたいだし
P,もしかして今回弥吉さんが逮捕されたのは…
警官,あぁ…犯行時刻と思われる時間に屋敷内にいたのは弥吉さんだけだったんだ、その時間…家の人間は留守だったみたいで
P,そうか…
警官,こっちだっていくら何でも、なんの疑いも持ってない人間を捕まえたりしないさ…
P,しかし、それでも弥吉さん以外の誰かが屋敷に侵入した可能性だってあるんじゃ？
美希,そうなの！いくら何でも無理やりすぎるの！
警官,まぁその線もないとは言えないし…本来ならもっと時間をかけて逮捕すべきなんだが…
P,そこで上からの圧力か…
警官,そんなところさ…
P,そうか…それでその圧力をかけてきたってのはいったい何者なんだ？
警官,ここの元署長だよ…と言っても今は東京15区のうち１つの区の区長様だけどな
P,そんな偉いさんがまたどうして？
警官,今の署長はその人の後輩でな？昔良くしてもらったのかその人に頭が上がらないらしくて…
P,区長と被害者一族の関係性は？
警官,区長もまた旧士族なんだよ、家同士が元々かなり深い仲らしい
美希,ふ～ん…仲良しなんだね？
P,なるほどなぁ…
警官,まぁ要するにだ…今回の高槻弥吉逮捕は、被害者側から奴が怪しいと聞かされた区長が現署長に早期逮捕を働きかけたから行われたわけだ
美希,ひどすぎるの！
警官,あ、あぁ…確かにそれだけで逮捕とは酷い話だとは思うんだが…
P,それになぁ、実際に盗まれたと言われてる刀がまだ見つかってないだろ？
警官,被害者側の言い分としては弥吉がどこかに隠してるっていう事なんだがな…いくら調べても出てこやしない
P,それでも、このままだと弥吉さんは犯人として裁かれてしまうんだろうな
警官,真犯人でも出てこない限りな…捜査としては逮捕した時点で完了してしまっているし
P,まぁそんなもんだろうな…
美希,それなら真犯人を探せばいいの！ねっ、ハニー！
P,やっぱり、それしかないんだよなぁ
警官,悪いが先生…俺を含めて警察関係者はこの件でこれ以上力になれそうにない
P,充分だよ、これだけ聞ければ…とりあえず被害者の家にでも行くか
警官,しかし、警察に顔が効く旧士族で…ましてや実業家一族ともなれば周辺を嗅ぎ回るのは難しいんじゃないか？
P,う～ん…それが問題なんだよな…
警官,捜査するなら被害者からの話も必要だろうしなぁ
P,…仕方ない、あんまり頼りたくは無かったんだが
美希,何か手があるの？
P,ちょっと電話を借りていいかい？連絡を取りたいところがあるんだ
警官,それは構わんが…
P,ありがとう…それと美希、お前は社に戻っててくれ
美希,え？どうして？
P,これから行くところはちょっと難しい家なんだよ、とにかく戻って…
美希,やなの！美希も一緒に行くの！
P,帰りに菓子でも買ってくるから…あっ、シベリアケーキ買ってきてやろう！
美希,お菓子なんかにつられないの！ハニーと一緒に行くの！
P,ダメだ、ほらっ…さっさと帰らんとケーキも買って帰らんからな？
美希,ねぇハニー…どうしても連れて行ってくれないの？
P,連れてかない
美希,どうしても？
P,どうしても
美希,む～…
P,膨れてもダメ
美希,うっ…
P,泣いてもダメ
美希,…ハニーのいじわるっ！もう知らないのっ！
P,…
警官,美希ちゃん、なかなかの走りっぷりだな
P,…
警官,ありゃご機嫌戻すのに時間がかかるぞ？先生
P,そうだろうな…っと、そうだ！電話電話！
警官,あぁ、しかし先生…一体どこに連絡を取ろうって言うんだい？
P,いや、ちょっと偉い人に頼ろうと思ってね…あんまり気乗りはしないんだけど…。確かにこれは大きなお屋敷だな…。おっと、あっけにとられてる場合じゃないぞ…すいません！どなたかいらっしゃいませんか！
婦人,はい…どちら様でしょうか？
P,私、765探偵社の者です…この度は四条家のご令嬢からお話を受けて参りました
婦人,あぁ、四条様からの御紹介の方ですね？中に主人がおりますので、どうぞ…
P,はい、お邪魔いたします…
婦人,ではこちらに…
P,はい…しかし、ご立派なお屋敷ですね
婦人,ありがとうございます…
P,…
婦人,こちらでございます…私はお茶を入れてまいりますので
P,はい、失礼します…
主人,やぁ、これはこれは！わざわざご足労頂きありがとうございます
P,いえいえ、急にお邪魔を致しまして申し訳ありません
主人,四条家のご息女からのお電話には驚きましたがね、どうして当家の刀が盗まれてしまった事をご存知なのか…
P,あの方はまぁ…不思議な方ですから、私も依頼を受けた時は半信半疑でしたが
主人,お父上も不思議な方でしたからな？まぁなんにせよ、力になっていただけるのならばありがたい、よろしくお願いしますよ
P,はい、それで…少しばかりお話を伺いたいんですが？
主人,あぁ、何ですかな？知っている限りはお話いたしますよ
P,四条のお嬢様から聞いた話によると、その刀を盗んだ犯人はもう捕まっているとの事ですが
主人,はい、弥吉という男でね？父の代から目をかけてやっていた庭師だったんですが…恩を仇で返されましたよ
P,その刀なんですが、一体どのような代物なんでしょうか
主人,当家の当主が代々引き継いできた歴史のある刀です、江戸の初めに徳川家から直々に頂いた…まさに私達にとっては宝なのですよ
P,しかし、弥吉とか言う庭師が逮捕された今もその刀は戻ってきていないんですよね？
主人,えぇ…警察もまだ見つけていないようです、きっとどこかにまだ隠されているか…それとも売られているのか
P,…
主人,弥吉は、決して裕福では無かったですからね？だからといって人の物を盗むとは…
P,まったくです、しかしなぜその男が犯人だと？
主人,刀が紛失した時間、この屋敷にいたのは弥吉だけでしたから
P,庭師一人だけですか？
主人,まぁ信頼していましたからな、長い付き合いでしたし
P,その信用を悪用されてしまった形になったわけですね？
主人,えぇ…やはり世の中、信じるだけではいかんのですな
P,…
主人,まぁ私が知ってる話はこの程度ですよ、他にも詳しい話が聞きたければ直接警察に行ったほうがいいかもしれない
P,そうですか、あっ…最後にお屋敷の中を少しばかり見せてもらってもよろしいでしょうか？
主人,それは構いませんが…またどうして？
P,普段刀を飾っていたところを見せていただきたいのと…。このような立派な屋敷に来れることもないですから、少しばかり好奇心が
主人,わかりました、ご案内しましょう…ではこちらへ。ここに刀が飾ってあったんですがな…
P,ほう…普段この部屋に人が出入りするようなことは？
主人,元は父の部屋だったんですが…今ではここに入るのは私たち夫婦と客人、それと弥吉だけですな
P,なるほど…
主人,…
P,…ここからお庭が見えるんですね
主人,えぇ…父は特にここから見えるあの大きな松を気に入っていてね
P,そういえば、お父上は立派な方だったと伺いました
主人,息子の私から見ても、本当にすごい人だったと思いますよ…亡くなる直前まで社主として腕を振るっていました
P,…
主人,…
P,立派な松の木ですね
主人,えぇ…
P,…さぞかし職人の手入れも行き届いているんでしょうね
主人,…
P,あぁ…失礼、そのようなつもりで言ったのではないんですが
主人,いえ、こんなことにはなりましたが、弥吉は確かに腕のいい庭師でしたよ
P,そうですか…
婦人,失礼いたします…
P,…
婦人,…もうそろそろ、骨董商の方がお見えになりますが…
主人,あぁ…わかった
P,あぁ、ご予定があったんですか…無理を言って申し訳ありませんでした
主人,いえいえお気になさらずに…他にもまだ見たいところはありますかな？
P,私はこれで失礼させていただきます、また何かわかったらご連絡させていただきますので
主人,ありがたいですよ、それじゃあ玄関先まで送らせていただきましょう
P,いえ、大丈夫です…それでは私はこれで失礼させていただきます。お～い雪歩！珈琲を一つ！
雪歩,あっ…先生、こんな時間に珍しいですね
P,ちょっと仕事があってね
雪歩,そうだったんですか…あれ？美希ちゃんは一緒じゃないんですか？
P,あぁ今日は俺ひとりでの用事だったんだが…どうしてだ？
雪歩,いえ…先生と美希ちゃんが一緒にいないなんて珍しいなぁって思いまして
P,そうかい？
雪歩,少なくとも、私の中では…
P,まぁ律子嬢に言わせれば金魚の糞らしいしなっ？周りからしたらそんな風に見えていたのか…そうだ雪歩、萩原堂も電話入れたんだよな？
雪歩,はい、少し前に設置してもらいましたけど…
P,なら少し貸してもらっていいかな？ちょっとかけたいところがあってさ…
雪歩,大丈夫だと思いますけど、一応お父さんに聞いてきても良いですか？
P,あぁ頼むよ、珈琲はその後でいいからさ！
雪歩,わかりました、ちょっとだけ待っててくださいね…
P,おうっ…。…。おーい！帰ったぞ～
律子,あっ…先生！どこほっつき歩いてたんですか！
P,どこって、やよいちゃんのお父さんの調査だけど…
律子,美希を置いてですか？
P,あ、あぁ…
律子,まったく…あの子ったら先生に捨てられたって騒いで大変だったんですからね？
P,す、捨てただなんて人聞きの悪い…
律子,私も事情がわからなかったんで、とりあえず宥めはしましたけど…
P,すまんな律子嬢…
律子,本当ですよ、終いには泣きながら起こる始末だったんですから…
P,…
律子,それで？どうしてまた珍しく美希に帰れなんて言ったんですか？
P,さっき雪歩にも言われたんだが、俺が美希と行動していないのってのはそんなに珍しいのかね…
律子,少なくともあの子が来てからはなかったことですからね、何か事情があったんですか？
P,あぁ…被害者の事を調べたら旧士族って言うからさ、それでさ
律子,士族だったからなんだって言うんですか？
P,あぁいうところは変に堅いところがあるからな、美希が行ったとして良い顔をされないこともあるだろ
律子,美希が…あの子が混血児だからですか？
P,うん…まぁそういうことだ
律子,そんな…いくら何でも考えすぎですって
P,考えすぎに越したことはないだろう、あいつの今までの環境を考えればね
律子,そりゃそうですけど…
P,美希にはもうあんな扱いを受けて欲しくないしな、まぁ今日の人だったら変に差別的な目では見られなかっただろうが
律子,…
P,それで、美希は？
律子,向こうの部屋で寝てますよ、泣き疲れちゃったみたいで…
P,そうか…俺ちょっと見てくるよ
律子,はい…
P,…
美希,すぅーっ…すぅーっ…
P,鼻まで真っ赤にして…こりゃあ随分と泣かせちゃったみたいだな…
美希,…
P,もう少し菓子でも買ってくるべきだったか…
美希,…
P,…
美希,はにぃ…
P,ん？
美希,はにぃぃ…
P,寝言か…って夢の中までハニーなんて呼んでのかこいつは…
美希,…
P,…
美希,いかなぃで…
P,…
美希,おいてかないで…
P,…
美希,うぅ…
P,置いてくわけないだろうが、このバカモンが…
美希,はにぃ…
P,おいっ、起きろ美希！おーきーろっ！
美希,…ふぇっ、あれ…ハニー？
P,ねぼすけ、ほれ…シベリアケーキ買ってきてやったぞ！
美希,い、いらないの…
P,ん？お前これ好きだったろ？
美希,好きだけど！…でも今はいらないの…
P,…
美希,…
P,俺がお前に帰れって言ったこと、怒ってるのか？
美希,怒ってるの！嘘つきハニーなんて大嫌いなの！
P,いやしかし、あれは仕方なくだなぁ…って嘘つき？
美希,ハニーは前に言ったの…もう美希を一人にしないって！
P,べ、別に今日だって一人にしたつもりは…ここに律子嬢がいると思ってお前を帰したわけであって…
美希,ハニーが一緒にいなきゃ一人ぼっちと一緒なの！
P,でもなぁ…
美希,…
P,…
美希,だから…だからハニーは嘘つきなの…
P,うっ…
美希,嘘つきは嫌いなの…
P,…わかった、これは俺が悪かったよ
美希,…
P,今度からはしっかり調査に連れてくよ、だから機嫌を直してくれ…
美希,…本当にちゃんと一緒に連れてってくれる？
P,あぁ…約束するよ
美希,本当に？
P,本当に
美希,本当の本当に？
P,本当の本当だ
美希,そっか…じゃあ今日は特別にシベリアケーキで許してあげるの！
P,それはとても助かるよ…これ以上泣かれて、真っ赤な鼻のままでいられちゃ困るしな？
美希,えっ…ちょっと待って欲しいの！顔洗ってくるから！
P,おう、しっかり洗ってこいよ
律子,えぇ！もう事件の真相がわかったんですか？
P,あぁ、今回は相手が悪かっただけで…調べればすぐにわかる事件だったよ、その代わりだいぶ高くつきそうだが…
美希,それじゃあ！やよいのパパは！
P,まぁ多分どうにかなるだろうな
美希,やったの！さすがハニー！
律子,でも随分と早く解決できるんですね…冤罪事件なんて言うからもっと大変なものかと
P,警察の動きが縛られていただけだからな、というか縛りのせいで難しい事件に見えていただけだよ
美希,それじゃあ今すぐ真犯人を捕まえに行くの！
P,いやそれは明日でいいだろう
美希,な、なんで！逃げられちゃうかもしれないの！
P,逃げられないから安心しとけ
美希,えっ？
P,それに連絡もしとかないと面倒だろうしな
律子,も…もしかして犯人にわざわざ連絡しようなんてつもりじゃないでしょうね？
P,そうだが、それがどうかしたのか？
律子,どうかしてますよ！何考えてるんですか！
P,大丈夫だって、そうだ明日はやよいちゃんも呼ぶとするか
律子,大丈夫って…
P,時間はそうだな…昼過ぎぐらいなら問題ないだろう。失礼します…
主人,やぁ、ようこそ…今日は何かわかったとの事だが、もしかして刀の在り処がわかったんですかな？
