①かぐや,そうです！アニメ化です！アニメ化！
かぐや,そうですか……。お、おかしい。普通好きな女子に頼みごとをされたら、男子は断れないはず……。ま、まさか会長！？。私の事なんか別に好きとかではなく……
白銀,……
かぐや,……
白銀,四宮の様子がおかしい。こちらをチラチラ見てくる……。……。ま、まさか！？。告白か！？。そうかそうか。四宮もついに俺に告白する気になったか。それにしても長かったな俺達の戦い……。……。しかし、どうして急に告白する気になったんだ？。……。なるほど、俺の事が好きすぎて我慢できなくなったんだな。ふっ、罪な男だな俺も
かぐや,……
白銀,……
かぐや,会長がニヤニヤしている。……。ま、まさか！。私が手を触りたいのに気づいて、手を触れる事が出来なくてショックを受けている私を見て楽しんでいるの！？。くっ、なんてお人。そんな鬼畜な所まであるなんて……。……。ま、まぁ、悪い気はしませんが//。いや、これは会長の新たな面が見れて嬉しいだけで、そういう性癖とかじゃないから！
白銀,……
かぐや,会長がチラチラ見てくる。うぅ……なぜなのかしら？これが凄く気持ちいい//
白銀,……
かぐや,……//
白銀,四宮が赤くなってハァハァ言っている。ふふふふ、そうかそうか。告白をしたいが恥ずかしくてできないのか。……。…………。………………。って、バカか俺はーーー！！！。四宮！
かぐや,え？か、会長？。会長が凄く真剣な表情で！？え？ま、まさか、手を触れなかった私を言葉攻めするつもりじゃ！
白銀,すまん、すこし失礼するぞ
かぐや,え？。って、会長が私のおでこを触って！！？！？！？
白銀,やはり、凄い熱だ！すぐに救急車を！いや、こういう場合はハーサカに連絡してくれとハーサカから言われているんだった
かぐや,え？え？
白銀,ちくしょう！四宮が熱を出していた時に俺は何を考えていたんだ！いや今は後悔より、ハーサカに連絡を！。ハーサカか？ああ、四宮が熱を出して……。え？ああ、そうだ。俺が頭を触って熱を確認して。え？そうなのか？わかった！いますぐそうする
かぐや,だ、だめ。早坂が来たら会長が私を好きか確認できない。なんとかして手を触らないと
白銀,いや、今は後悔している時じゃない！今やるべきことはハーサカから指示されたことだ！。四宮、こっちに来い！ひざまくらしてやるから！
かぐや,ふぇっ//。かかかかかかかかかかかかかいちょうが、ひざまくらををををををををををををををををを
白銀,大丈夫か？落ち着いたか？
かぐや,離して！もう大丈夫ですから！
白銀,まだ熱が下がってないからダメだ。ハーサカからきつく言われているからな
かぐや,はやさかあああああああああああああああああああああああ。きゃっ
白銀,す、すまん。焦って頭をなでるのを忘れていた。なぜかは知らんが、こうすると熱が上がりにくくなるらしいな
かぐや,いやあああああああああああ！逆効果です会長ーーーーー！
白銀,大丈夫か？もう少ししたらハーサカが来てくれるはずだから……
かぐや,か、かいちょう？え？あれ？なんで会長が涙目に？
白銀,すまなかった。四宮の体調にすぐ気付くべきだったのにな……
かぐや,……会長。ごめんなさい。会長。私、今の状況ちょっと嬉しかったんですよ。……でも、会長が傷つくのは私嬉しくありません。会長。もう大丈夫です。落ち着いてきました
白銀,え？あっ、確かに熱が下がってきたな
かぐや,ええ、ありがとうございます。本当はもうちょっと会長の膝枕を堪能……。でも会長が悲しむ姿は……。それに目的は達成できました。ここまで悲しんでくれるんです。きっと会長は私の事を恋愛として好きですよね
白銀,なぁ、四宮、ちょっといいか？
かぐや,はい？
白銀,その、四宮が真面目なのはわかるんだが、体がきつい時はもっと俺達を頼ってくれていいんだぞ？。いや、今まで四宮が頼りになるからって頼りにしていた俺も悪いんだが
かぐや,……。真面目で頼りになる……。まさか会長にとって私は……恋愛対象ではなかった？
白銀,四宮、どうかしたのか？顔が真っ青だぞ？
かぐや,真面目なんて……ただの融通がきかないだけ……
白銀,そんな事はない！
かぐや,え？
白銀,お前はクソ真面目だ。やると言ったら絶対にやる。自分に嘘をつかない。お前が誓うと言えば絶対だ。今だってそうだ。俺は立派に生徒会長を務められている
かぐや,そ、それは会長が凄いだけで私がいなくても会長なら立派に
白銀,違う。頼りになるお前がそばにいて真面目にサポートしてくれていたからだ。だから……そういう事を言わないでくれ
かぐや,……会長
白銀,そして－－－－。これからもずっと俺を助けてくれ。俺にはクソ真面目なお前が必要なんだ
かぐや,なっ//
早坂,こんにちは。迎えに来ました
白銀,ハーサカ
かぐや,……
早坂,確かに真っ赤です。かぐや様？大丈夫ですか？
かぐや,大丈夫です。でも、今日は帰りましょう。会長。ちょっと急な用事ができたので失礼します。お疲れさまでした
白銀,ああ、おつかれ……
早坂,なるほど。なるほどなるほど。それでルーティーンでも顔が真っ赤っ赤だったのですね。なるほど
かぐや,……。にゃーーーーーーーーーーーーーーーーーーー//。あーーー！もうっ！これなんてプロポーズなの！？
早坂,かぐや様？顔がだらしないですよ
かぐや,う、うるさいわね
早坂,よかったですね。プロポーズされて
かぐや,なっ//
早坂,よかったですね。膝枕されて。どうですか？気持ちよかったですか？
かぐや,うるさいわよ！
早坂,おかしいですね。声は怒ってるのに顔はニヤけてますよ？病気ですかね？恋の病とかいう
かぐや,あーーーーっ！もうっーーーー！！
