山内元気,４６
喪黒,ですが山内さん。あなたは、番組の共演者の女の子たちとは親と子のような年齢差があります
山内,わ、分かってるよ……。それくらい……
喪黒,あと、忠告しておきます。女の子たちは、あなたを頼れる大人の人間として見ているのですよ
山内,嫌だなぁ喪黒さん、俺がそんなことするわけないだろ
喪黒,だといいのですがねぇ。約束です。共演者の女の子には、ぜ・っ・た・い・に、手を出してはいけません
国営放送局,JBC
山内,保倉亜子……。この子は天使か妖精のようにかわいくてきれいだな……。構うもんか……。どうせ、あの喪黒とか言うおっさんには分かりはしないさ
プロデューサー,えーっ！？保倉亜子を自分のマンションに呼びたい！？
山内,ああ。俺は本気だ
プロデューサー,何のために！？
山内,決まってるだろ！実はな……
プロデューサー,い、いくらなんでもそれは……
山内,俺の言うことが聞けねぇのか！！てめぇ、俺を誰だと思ってるんだ！！
プロデューサー,わ、分かりました……。やるだけやってみますから……
山内,おう、入れよ。まあ一杯やれよ
亜子,これ、お酒じゃないですか？
山内,気にすんなよ。俺は煙草も酒も10代の時にやったよ
亜子,山内さんって不良だったんですね
山内,ごちゃごちゃ言わずに飲めよ
亜子,でも、子供がお酒を飲むのは身体に……
山内,飲め！！
亜子,あ……。や、や、まうち……さ…ん。がらだ……が……し……び……れ
山内,どうだ、効いてきただろう。新型の危険ドラッグを混ぜておいたからな
亜子,ああああ……
山内は、亜子を組み倒し無理やりキスをする。亜子は涙目で,や……め……
山内,この顔つきがたまらねぇ！！一発やらせろ！！
亜子,く……くるし……い……。ぐ……る……じ……い……
山内,オーバーな演技すんなよぉ
亜子,ウッ……。ウウゥ……。オオオオ……
山内,おいっ！！どうしたっ！！しっかりしろ！！
声,山内元気さん、あなたは約束を破りましたね
山内,も、喪黒さん！？あんた、どうしてここに！？
喪黒,ちょっと様子を見ようとあなたのもとを訪ねたら、たまたま玄関のドアのカギが開いていたのですよ
山内,ううっ……
喪黒,にも関わらず、あなたは番組の共演者の女の子に手を出してしまった。そうですか……。あなたは自分がしたことの重大さが分かっていないようですねぇ……
山内,なっ……
喪主,ドーーーーーーーーーーーン！！！
山内,ギャアアアアアアアアア！！！
二人の男性,山内元気さんですね
山内,そ、そんな…………
スポーツ紙の見出し,東京ボーイズ山内元気容疑者46
駅のホームを行く高校生たち,大変！！東京ボーイズの山内元気が逮捕されたよ！！
喪黒,青春は一度きりであり、必ず失われるものであるからこそ重要なのです
