兵頭蟻彦,４５
兵頭,母は認知症で、現在、老人ホームの中にいるのですよ……
喪黒,そうなのですか……。ところで兵頭さん、あなたにも奥様やお子様がいるはずでは……
兵頭,ええ、まあ……。でも、妻や娘との関係は最悪なんですよ。特に、反抗期を迎えた娘が何かと私に嫌味を言って……
喪黒,そこで……。家族に家を追い出されたあなたは、秋葉原の大正カフェで休みを取っていたのですね
兵頭,まあ、あそこは落ち着きますから……。あのレトロで独特な感じが何とも心地よくて……
喪黒,現代の日本人が失ってしまった古き良き情緒を感じるのでしょうねぇ
兵頭,たぶん、そうだと思いますよ。大学時代の私は、明治や大正の文豪の小説を読むのが好きでしたし……
喪黒,兵頭さんがレトロ趣味の持ち主になったのは、大学時代、文学青年だった影響もあるでしょうなぁ
兵頭,そうかもしれませんね
喪黒,そんな兵頭さんに、ぴったりのものを紹介しますよ
兵頭,何ですか、それは！？
喪黒,私に着いて来てください。この穴を抜けた先に、いいところがあるんですよ。着きました。ここは桃源村です
兵頭,21世紀の日本に、こんな光景があったなんて……
喪黒,兵頭さん、携帯電話と腕時計を見てください
兵頭,あ、あれ！？スマホの電源が切れてる……。それに腕時計も止まっている……
喪黒,ご安心ください。あなたのスマホも腕時計も正常ですよ
兵頭,し、信じられない……
喪黒,さあ、兵頭さん。桃源郷の村で、ゆっくり休みませんか
兵頭,ほ、本当に大丈夫なんですか？
喪黒,大丈夫です。桃源村の住民は皆、牧歌的で親切な人ばかりです
喪黒と兵頭に対し、子供たちは,こんにちはー！！
兵頭,ま、まるで……。明治時代か、大正時代にタイムスリップでもしたかのようだ……
喪黒,ここは明治時代でも大正時代でもありませんよ。現実世界を超越した楽園なのですから
テロップ,この家に住む老婆・ミツ
ミツ,お久しぶりです、喪黒さん
喪黒,これはこれは、おミツさん。兵頭さん。私たちはこれから2泊3日、この家に泊まりますよ
兵頭,はい
テロップ,夫・倫太郎、妻・千代、老人・源右衛門ミツの夫
兵頭,おいしい……。大自然の味とはこういう味なのか……。こんなに早い時間のうちに睡眠をとったのは、子供のころ以来だ……
喪黒,この穴を抜ければ、兵頭さんが今まで暮らしていた文明社会に帰れますよ。兵頭さん、スマホと腕時計を見てください
兵頭,スマホの電源が入っている……。腕時計も動いている……。スマホに表示されている日にちは……
喪黒,兵頭さん、いかがでしたか？桃源村での生活は、いいリフレッシュになったでしょう？
兵頭,え、ええ……。私にとってはこれ以上ない命の洗濯になりましたよ……
喪黒,よかったですなぁ、兵頭さん……。ですがねぇ、あなたは私とある約束をしていただきたいのですよ
兵頭,約束！？
喪黒,そうです。あなたが桃源村に訪れるのは、今回の1度きりにしておいてください
兵頭,わ、分かりました……。喪黒さん。このたびは貴重な経験、本当に感謝します！
妻,あなたって本当にうだつの上がらない人ねぇ。だから、私たちは生活が苦しいのよ
真理,私、大きくなったら、会社の社長になろうと思ってる。お父さんみたいなコンビニの店長になりたくないから
兵頭,あの静かな桃源村で過ごして以来……、俺はJ-POPを聴くのが嫌でたまらなくなってしまった……
控室の中で、毒島はニヤニヤしながら、兵頭に嫌味を言う。毒島,お前は本当にダメな奴だなぁ
夜中。レジに立つ兵頭。兵頭,桃源村で過ごして以来……、俺は徹夜が苦痛になっている……
兵頭,まずい……！！何だ、この味は……！！俺はこんなものを今まで食っていたのか……
数日後、昼。疲れ切った顔でレジに立つ兵頭。兵頭,こんな生活は……、もう嫌だ……
ズオン,お疲れ様デス、兵頭サン
兵頭,ああ……
喪黒,お待ちなさい、兵頭さん！！
兵頭,も、喪黒さん……！！
喪黒,兵頭蟻彦さん……。あなた約束を破りましたね
兵頭,ま、待ってください！！そ、それには深いわけが……
喪黒,私は言ったはずです。あなたが桃源村に訪れるのは1度だけにしておけ……と
兵頭,だ、だって喪黒さん！！今の私の生活は、何もかもが辛いことばかりなんですよ！！
喪黒,お気持ちはよーく分かります。ですが……、私はあなたに忠告しました。現実の生活をしっかり生きろ……とね
兵頭,そ、それにですよ……！！あの桃源村でのゆったりした生活に、私の身体がなじんでしまったんです！！
喪黒,そうですか……。どうしても、あの崖の穴の中に入りたいのですね！！
兵頭,ええ、そうです！！あの洞穴の中に入れてください！！私は何が何でも桃源村に行きたいんです！！
喪黒,仕方ありません……。そこまで言うのなら、どうぞお入りください！！ですが、どんなことになっても私は知りませんよ！！。ドーーーーーーーーーーーン！！！
兵頭,ギャアアアアアアアアア！！！。俺は桃源村に行くんだ……！！そして、この村の永遠の住人になるんだ……
テロップ,2か月後――
昼。例の崖の前で、建設会社が工事をしている。周囲には,立ち入り禁止
作業員A,マンション建設のためとはいえ、この一帯の崖を切り崩すのか……。盛大な作業だなぁ……
作業員B,お、何だ！？これは……。おおおっ！！人間の骨が埋まっているぞ！！
喪黒,21世紀を生きる現代の人間たちは、いつも様々なストレスを抱えながら文明社会で生活をしています
