市原仁奈,そ、そうでごぜーます！
惠,ひ、光ちゃんが燃えている！
飛鳥,空回りしている時のPにそっくりだ！
惠,でもPさん、なんでも妖怪のせいにするのはいいけど、どうして急にそんなことを？
P,仁奈から聞いた！
仁奈,テレビで言ってやがりました！
飛鳥,て、テレビ！！
P,ああ、昨今のテレビは適当なことを言うとすぐ苦情が殺到するからな……奴らも迂闊なことは言えまい！つまりこの情報、信用できる！！
惠,……一理あるわ
留美,私がおかしいのかしら……一理の欠片も感じなかった……
光,そういえば！
P,どうした光！
光,ほたるが不幸体質って言ってた……
P,そ、そうだった！あいつ……独りでとんでもないものと戦っていたのか！！留美さん、ほたるのスケジュールは！？
留美,今日はレッスンだけね。明日のオーディションに向けて心を落ち着かせたいから直帰するって連絡があったわ
P,今から行ってほたるの心を乱すわけにはいかないか……ならば！！
白菊ほたる,今日はオーディション……今日だけは、せめて今日だけは電車が止まりませんように……
？？？,ほたるぅぅぅぅぅ！！！
ほたる,！？
P,何も心配するな！！今日のお前は……いや、今日からのお前は絶好調だ！！
光,なぜならアタシたちがついているから！ほたるさんは独りじゃないんだ！！
惠,私たちはあなたを応援しているわ……いつもね
ほたる,みなさん……。ちょ、ちょっと待ってください！なんですか妖怪って！？オーディションの話じゃなかったんですか！？
惠,行ってしまったわね……
P,ああ、でも大丈夫だ。あれだけ応援したら今日一日は妖怪が寄り付くこともないだろう
光,じゃあ今日のオーディションは！
P,ほたるが勝つ！！
飛鳥,……で、朝六時頃から駅で叫んで来たのかい？
光,ああ！
P,お前も朝に弱くなければ呼んだんだけどな
仁奈,仁奈はその頃ぐっすりでやがりました！
P,それもよし！寝る子は育つだ！！
飛鳥,それよりボクは惠さんがそれに参加していたことに驚きを感じて仕方がないんだけど
惠,飛鳥ちゃん、Pさんといると私……。どうもあの勢いに流されてしまうの！
飛鳥,ボクもよく流されるからその気持ちはよく分かるよ
ほたる,おはようございます……
P,おはようほたる！調子はどうだった？
ほたる,電車に乗ってる途中、雨が降って……しかもかばんの中に折り畳み傘が入ってなくて……
光,そんな……
ほたる,でも駅で降りるときにはもう雨は止んでいました！
仁奈,おお！
ほたる,他にも色々危なかったんですけど、全部そんな感じでなんとかなって……
飛鳥,なんとかなって……？
ほたる,絶好調でした！
惠,あの応援、本当に効果があったのね……
P,当たり前だ……俺たちが応援したことによってあの時の、そして今のほたるは絶好調！そんじょそこらの妖怪など、近付いただけでドカーンだ！！
光,ど、ドカーン！！
P,そうだ、ドカーンだ！！
ほたる,あの、朝からずっと気になってたんですけど妖怪って……？
P,説明！
ほたる,説明されました！
留美,ねえ、今ので本当に伝わったの？無理しなくてもいいのよほたるちゃん？
ほたる,……つまり私の不幸体質も妖怪のせいだったんですね？
P,その通りだ！
留美,……なんであれで伝わるのかしら
飛鳥,まあ、ほら、Pの勢いはなんかこう、色々無視してるから
P,みんな、この封筒を見てくれ！！
ほたる,そ、その封筒は！？
仁奈,もしやほたるおねーさんのオーディションの結果でごぜーますか！？
P,そうだ！そしてこの封筒に入っている紙には合格の二文字が書かれている！！
光,確認したのか！？
P,いやまだだ！だがきっと書かれている！。……開けるぞ！
飛鳥,合格していたら、ボクたちが妖怪に打ち克ったという証明になるワケだ
P,……
ほたる,でも、もし不合格だったら……
P,…………
惠,……Pさん？
P,……開ける寸前になってそういう不安になるようなことを言うから、怖くなって開けられなくなってしまったじゃあないか！！
光,頑張れP、あと少しだ！
P,うおおおおお……！。だ、駄目だ！これ以上指が動かん！！
留美,開けなさいP君！自分のプロデュースしたアイドルを信じているのなら！！
P,信じていても怖いものは怖いんですよ！柵があっても高いところって怖いでしょう！？頼む留美さん、俺の代わりに開けてくれぇ！！
留美,……私じゃなくて本人に開けさせた方がいいんじゃないかしら
P,そ、そうか！……ほたる、開けてくれるか？
ほたる,……はい。私、封筒を開けます！
P,頼む！俺にはできなかった！！
飛鳥,……これ、ただ封筒を開けるだけなんだよね？
惠,そうよ。でもそのただ封筒を開けるだけというそれだけのことが……今の事務所の全てと言っても過言ではないの！
飛鳥,また勢いに流されている！
ほたる,白菊ほたる……
P,……
光,……
仁奈,……
飛鳥,……
惠,……
留美,……
ほたる,ご、合格！
P,……や。やったな！合格だぞほたる！！
ほたる,は、はい！やりました！
P,よし、今日はパーティーだ！！
