モバＰ(以下Ｐ),2人ともおつかれ。握手会でここまで押すとは思わなんだ
茜,残さず食べるのは立派です！
P,これはたまーに無性に食べたくなるタイプの味だったなぁ……
飛鳥,それなら東京にも出店していた記憶があるよ
P,お、そうなのか。後で探してみよう
飛鳥,そうしてみるといい……ん、あぁこれはやってしまったね……
P,どうした？
飛鳥,プロデューサー、キミのシャツにソースが飛んでるよ
P,……うわ、マジだ
飛鳥,どうやらカレーソースの方らしいね。これは落とすのに骨が折れそうだ
茜,本当ですか！？すみません、私がすすめたばっかりにプロデューサーのシャツにシミが！！
P,いや、俺の食べ方が悪かっただけだから茜が謝ることないぞ
茜,いいえ、私が注文したものですから、私が責任をもって綺麗にします！！さぁ脱いでください！！
P,え、いま？
茜,もちろんです！今ならまだ傷は浅いですよ！さぁさぁ！！！
P,ちょ、まて茜わかったから脱がせようとするなここではやめろ！！
飛鳥,やれやれ、本当に賑やかだね……
茜,ということがあったんですよ！いやーあのときは慌ててしまいましたね！
文香,ふふ……そして、件のシャツをお返しするためにプロデューサーさんを待っている、と
茜,そういうことです！あ、シャツは事務所に戻ってから帰るときに受け取りましたよ！
文香,その日のプロデューサーさんはシャツなしで帰られたのですか……？
飛鳥,そのことなら、彼は突然の泊りを想定して替えのシャツを事務所に用意してあるそうだよ
文香,そうだったのですか……
P,戻りましたー
文香,おつかれ様です、プロデューサーさん
茜,あ、待ってましたよ！ここで会ったが百年目です！！これをどうぞ！！
P,お、あの時のシャツか。シミが綺麗さっぱりなくなってるな、ありがとう
文香,クリーニングに出されたのですか？
茜,いえ、自分で洗いましたけど
飛鳥,へぇ、手洗いでここまで落ちるのかい
茜,泥汚れのユニフォームを洗濯するのには慣れてますからね！なんてったってラグビー部マネージャーですから！
P,襟の黄ばみまで綺麗になっている……
文香,茜さん、凄いです……
飛鳥,あのカレー染みがここまで落ちるとは、意外な才能を垣間見た気がするよ。ボクも認識を改めなければいけないかな
茜,うーそんなに褒められたら照れちゃいますよー！
P,自分でこれだけ綺麗にできるなら、カレーうどんもカレーパスタも気兼ねなく食べられるな
文香,カレーうどんですか……今日のような寒さの厳しい日は、食べたくなりますね
茜,いいですね！では食べにいきましょう！
飛鳥,いまからかい？
茜,ちょうどお昼ご飯の時間ですし、飛鳥ちゃんとプロデューサーもご一緒にどうですか？
P,そうだな。よし、みんなで行くか！
文香,ふふ、楽しみですね
飛鳥,プロデューサー、今回は飛ばさないように気を付けることだね
茜,大丈夫ですよ！もし飛んでしまっても、私が綺麗にしてみせますから！！
