難波笑美,……は？ボケとツッコミのツッコミ？なんで？
まゆ,わあ、回転寿司も久しぶりです。……えっ、回転寿司？みくちゃんって…………はっ！。みくちゃんはお魚食べられないじゃないですかぁ！
みく,にゃははー、グッジョブ。ちゃんとノリツッコミ出来てるにゃ
まゆ,顔合わせていきなりとは思ってませんでしたが。なんとかノリツッコミ出来て良かったです
みく,笑いに厳しい大阪人としては、もっと流れるように。ノリツッコミしてほしいなーっと思わなくもないけど。ちゃんとボケに気づいたから大目に見てあげるにゃ。あっ、お昼一緒に食べようっていうのは本気だからね？
まゆ,ええ、もちろん。でもちょっと気になったんですけど……
みく,なに～？
まゆ,玉子やかっぱ巻きだけでポイント貯めたんですか？
みく,そこはボケの一部だにゃあ！
若葉,いつもは子供扱いされて否定している私ですが……あえて！。あえて子供ネタでボケようと思います！。もちろん子供扱いされるのは嫌ですが、それを平気でネタにすることにより。逆に大人の懐の深さを示せるでしょう！。まゆちゃん発見！カフェでくつろいでますね……よーし！。まゆちゃん、ご一緒していいですか？
まゆ,ええ、どうぞ
若葉,クリームソーダください。普段は子供扱いされないようにコーヒーとかですが……。これもあえて！雰囲気作りです！。実はちょっと相談があって……
まゆ,相談、ですか。私に答えられることなら良いんですけど
若葉,クラスの男子が私にイジワルするんです。スカートめくりとか……給食で牛乳飲んでたら笑わせてきたりとか
まゆ,あら……それは大変ですね。でもそれって典型的な、好きな子にイジワルしたくなる、っていうことじゃないですか？
若葉,で、でも、えっと、その……。女子なら誰にでもするんですよ？好きだから、ではないと思います
まゆ,だったら、それはもう担任の先生に相談したほうが……。って若葉ちゃん小学生じゃないでしょっ！
若葉,あっ、そうだったぁ☆。……ナイスノリツッコミです！。あぁ～良かった。なかなかツッコんでくれないから。もしかして本気で私を小学生と思ってるのかと疑っちゃいました
まゆ,そ、そんなわけないじゃないですか、ちょっと長くなっただけですよぉ。ツッコむ直前に思い出したとは言わないでおこう……
若葉,あーん。んー、おいし～！
まゆ,でもクリームソーダ食べてると、やっぱり小学生に見えますねぇ……
瑛梨華,ハーイ、まゆちゃん！バッキュン☆
まゆ,うっ！や、やられた……。……～～っ
瑛梨華,あー……倒れるときは周りをよく確かめないと
まゆ,そ、そうですね……タンコブ出来てないですかぁ？
瑛梨華,うーん……見た感じは大したことないね。ツッコミは成立してないけど、頭打ってもだえたところがKA･WA･I･I!!
まゆ,可愛いって言われたのに嬉しさより恥ずかしさのほうが……。他の人に言わないでくださいねぇ？。幸子ちゃん、事務所でお勉強ですか？
幸子,ああまゆさん。最近仕事で学校を休むことが多かったので、宿題がたまって……
まゆ,分からないところあったら教えましょうか？
幸子,気持ちは嬉しいですけど、その必要はありませんよ。なんたって……。ボクは勉強しか取り柄が無いですから
まゆ,……そうですか。じゃあ邪魔しないようにしてますね。なんだかいつもより控え目みたい……落ち込むことでもあったのかしら
幸子,あ、あれっ？今ボケたのに……
まゆ,そうそう、幸子ちゃんは歌もダンスもルックスもダメダメで……。って何言ってるんですか。なにもかも完璧で、もちろん世界一カワイイですよぉ！
幸子,……的なノリツッコミが返ってくると思ったのに！。うーん、分かりづらかったですかね？。そうですよね、笑美さんなら逃さずツッコんでくるでしょうが、まゆさんなら……。もう少し分かりやすくボケてあげましょう。とはいえ、必ずノリツッコミが返ってくると思ってたから、次どうボケれば……。そうだ、勉強中ということをいかして……。あれー、おかしいなぁ……
まゆ,やっぱり分からない所ありました？
幸子,いえ、問題の答えは分かるんですけど。この芯が出てない。どうですか、これならボケと分かるでしょう！？
まゆ,じゃあ私の使います？はい
幸子,あっ、はい。どうも……。普通に親切にされてしまいました……。ふぎぎ、なぜノリツッコミしてくれないんでしょう……？。…………いや、芯が出てないのは、パッと見では気づかないかもしれない。そうですね、いっそキャップ付けたままで書けないくらい。分かりやすくボケないといけなかったんですね！。今のはボクの詰めが甘かったです。反省……。今度こそ、しっかりノリツッコミしてもらいますよ！。多分冷蔵庫にあれがあるはず……よし！
まゆ,あら？幸子ちゃんがどこかに……。あっ、戻ってきた。飲み物を取りに行ったんですね。あの色はアイスティーかしら
幸子,ごくり……んっ？。まゆさん、ちょっとこれ飲んでもらえます？。なんだか味が変なんです
まゆ,味が変？じゃあ……。別に変なところないですよ？ちゃんと鰹だしと醤油と……。ってこれそばつゆ！飲むものじゃないですから！
幸子,……という感じになるはず！。アドリブでこんな素晴らしいボケを思いつくなんて、ボクはなんて賢くてカワイイんでしょう！。さあ、コップにそばつゆを注いできましたよ。今からボケますからね、ばっちり頼みますよ、まゆさん！
まゆ,幸子ちゃん、それそばつゆじゃないですか？
幸子,ヴェッ！？そ、そばつゆ……ですか？。まさかの先制攻撃！？
まゆ,ええ、なんとなくそんな香りが……
幸子,ど、どうしよう……強引に飲ませるべき？。でも不意打ちのボケにはならないはず……。くぅぅ、仕方ない。ここは潔く撤退です……！。あっ、ほんとだー。麗奈さんが中身を入れ替えてたんですかねー、全く棒読み
まゆ,飲む前に気づいてよかったですね
幸子,次……次こそはー！。……結局、ことごとく失敗しました
笑美,まゆはんの間の取り方とか聞きたかったのに。まさかボケに気付かれなかったって報告されるとは思わんかったわ
幸子,お役に立てず申し訳ありません……
笑美,あー……まぁー、まゆはんには難しかったんちゃうかな。そんなに気にせんでええよ、ウン。変なこと頼んで悪かったなぁ。本人の願望はともかく、やっぱりまゆはんはボケやなぁ……。ツッコミを覚えたい、それ自体が壮大なボケに思えてくるわ
P,まゆ、ちょっと来て
まゆ,はい、なんですかぁ
P,この書類にサインしてもらえる？
まゆ,お仕事の書類ですか？えっと……
P,さて、まゆはどんなノリツッコミをしてくれるかな？
まゆ,もう、プロデューサーさんったら。自分の名前書いてないですよぉ。それに印鑑も押してないし。これじゃ提出できないじゃないですかぁ
P,あっ、そうか。ごめんごめん。……よし、できたよ
まゆ,ありがとうございます。印鑑取ってきますねぇ
P,……という感じで。ツッコむ気がないと気付いたときには遅かった。まあ、今幸せだから後悔はしてないけどね
まゆ,笑美さんのおかげでプロデューサーさんと結ばれました
笑美,ウチのおかげかなぁ……。プロデューサーはんが自爆しただけちゃうんかなぁ……？。自爆って言うたらイメージ悪いけど
まゆ,それで、良かったらなんですけど、今度はボケを教えてもらえないでしょうか
笑美,……？なんで心変わりしたん？
まゆ,だって……まゆは、プロデューサーさんにツッコまれる側ですから♪
笑美,性的な意味で、ってか。やかましいわ！
