読んでいない人用の設定紹介,これだけ読んどけば問題ないです
未央,これで完全に形勢逆転されちゃったね。でも、まだまだこれから！。最後のポケモンが倒れるまで、私は勝利を信じて戦い続ける！。それがデュエ、じゃなくてトレーナーのあるべき姿だから！
飛鳥,いつまで遊戯王引っ張るんだろう
茜,きあいのタスキは、HPが満タンから一気にゼロになる攻撃を受けた時、一度だけギリギリで耐えることができるようになるアイテムです！。本当なら倒れてしまうような一撃をこらえて立ち上がる！！まさに気合い！！。耐久のないポケモンと相性がいいです！ボンバー！！
未央,さあ行け！私の最後の切り札！
凛,見るからに氷タイプっぽいポケモンが出てきた
卯月,フィールドにあられが降りはじめました！きれいですねー
蘭子,氷雪の大将……なかなかの魔力を感じるわユキノオー、やる気満々な顔してる。メガシンカ？それともきあいのタスキ？……どっちにしても、マニューラはけたぐりかな。うまくいけばそのまま勝てるし、最悪倒れちゃってもまだブラッキーが残ってる
ユキノオーはきあいのタスキでもちこたえた！,ユキノオーのHP：1
未央,らんらんのラストはブラッキーかあ
飛鳥,こちらのユキノオーは満身創痍。あと1ターンで勝負がつく
未央,うーむ。こうなると、こっちはなんにも考えることがなくなっちゃうよね
凛,蘭子が勝ちそうだね
蘭子,………
卯月,え、違うんですか？
蘭子,勝敗は、運命の女神のさじ加減ひとつ……。……っ！
凛,わ、ユキノオーがものすごい量の冷気を！
卯月,あんなのが当たったら……！
蘭子,ほっ……
茄子,ポケモンの技には、どんな状況でも相手を一撃で倒してしまうというものがいくつか存在します♪。未央ちゃんが使ったぜったいれいどもそのひとつです。他にも、つのドリル、じわれ、ハサミギロチンといった技がありますね～。命中率は一律30パーセント。3回に1回くらいしか当たりませんけど、逆に言えばどんな不利な状況でも3割で逆転を起こせるんです。私は個人的な事情であまり使いませんけどね♪
未央,やー、負けちゃったか
飛鳥,ユキノオーに先制技のこおりのつぶてがあれば、わからなかったかもしれないね
蘭子,ククク、魂の昂ぶる宴だったわありがとうございました、いいバトルでした
凛,悪タイプのポケモンだけでも勝てるんだね
卯月,蘭子ちゃん、すごいです！
蘭子,フフフ……ハーッハッハ！
未央,やっぱり、実際に対戦してみるといろいろわかるね。プレイングとか構築とか、いろいろ見直さなきゃいけないところがいっぱいありそうだよ
飛鳥,それもまた、ポケモンの醍醐味のひとつさ
凛,ちなみに未央は、パーティーのコンセプトとかあったの？蘭子のタイプ統一みたいに
未央,いや？バランス考えながら好きなポケモンで組んだだけかな。スターミーがミツボシで、ヌメルゴンのりゅうせいぐんでりゅーせー！って感じでやろうと思ったんだけど……。スターミーは出番なし、ヌメルゴンはだいもんじとかみなりしか撃たなかったね
卯月,私も始めてみようかな
凛,私も……あ、そうだ。蘭子、未央に罰ゲーム出せるんでしょ
蘭子,おお、忘れていた
未央,じゃあいくよ
蘭子,せーの
蘭子・未央,闇に飲まれよ！
未央,うん！ポーズつけるとなんかかっこいいね！
蘭子,魂の共鳴を感じるぞ！
凛,本人が楽しんでたら罰ゲームにならないと思うんだけど……
飛鳥,罰を課した本人が満足しているのなら、それでいいんだろう
卯月,ですねっ
つづく,仮
