モバP,ごめんって。現場で偉いさんとの話や手続きが長引いてさ……
七海,えっ？なんだって？れす～？
P,……なんでもないよ
乃々,……あれ？
芽衣子,どうしたの乃々ちゃん？
雪美,くらげ……きらきら……
乃々,れ
芽衣子,れ？
乃々,レーダーが……Ｐさん追跡レーダーがないんですけど！
芽衣子,えっ！？
雪美,くらげ……うにょうにょ……
乃々・芽衣子,お、落としたっ！？
雪美,……そして……Ｐ……いつの間にか……いない……
乃々・芽衣子,嘘ぉっ！？
むつみ,あれ？何か落ちてる……。……これ、何だろう？時計……地図？。何か真ん中で光って点滅して……。た、宝物を探すレーダーとか？。昔の漫画で見たかも！確か願い事を叶えてくれる金色の玉が……！。……ぼ、冒険の……摩訶不思議な冒険の香り……！
七海,かたーい。おおきーい。ぐにぐにー
P,サメと触れ合いコーナーなんてあるのか…そしてでっかいプール……っていうか生け簀？の中のサメに迷わず手を伸ばすその度胸よ……！
七海,ざらざらー。サメは本当に鮫肌なんれすね～
P,マジでか……。ちょっと気になる。分かってるよ……
七海,よし……ステイステイ
P,うん？
七海,うん？何かありましたか～？
P,今何か……
七海,うーん？
P,……気のせいか？
七海,気のせい気のせい♪
P,手を洗って……っと。エイは尻尾を触らないようにしなきゃならんのか……
七海,…………。…………。…………
監視員,えっ？えっ！？
子ども達,わー。すっごい……！
P,なんで俺だけっ！？俺なんかしたっ！？
七海,…………。そんな超常的なこと、七海にはできないれすよー(迫真)。ピュイッ！
P,また合図したっ！。サメ止まったっ！？。わざとらしっ！何っ？そこまで俺のこと憎いっ！？
七海,愛してるのれすよ？
P,重いっ！
監視員,…………
子ども達,…………
P,茄子さんや芳乃やサンタクロースがいる世界だしなー
七海,ともあれ！Ｐがつゆだくで大変なのれす。すぐに着替えないと！
P,つゆだくゆーなや。食う気か
七海,メインの展示はあらかた見ましたし、帰りましょう～？
P,えーっ…、これで電車のるの？たぶん宿まで３０分くらい掛かるんだけど……
七海,七海に名案があるのれす！
P,あ。そっか、お土産屋さんに行ったら何か適当な……
七海,そんなことより！七海に任せるのれす！
P,いや、そんなことって……
七海,はい。タオルを頭から被って！七海に任せてついてくるのれす～。顔はそのまま隠しておくのれす～
P,俺が隠しても仕方ないだろう！
七海,受付のお姉さんは20超えで、Ｐさんの守備範囲外っぽかったれすよ～？
P,違うからっ！スカウトでもないし、ロリコンでもないからっ！
監視員,…………
子ども達,…………
監視員,…………
子ども達,…………
おばちゃん(店主),嬢ちゃんテレビで見たことあるね。芸能人かい？
芽衣子,えっ？分かるぅー？変装してるのに困っちゃうな～。今度柑奈ちゃんのラジオに出ないかって誘われてるから、その時にでも宣伝しておくよ！
おばちゃん,ありがとね！追加のトッピングは何がいい？
芽衣子,シラス！シラスある？山盛りのシラスで！
おばちゃん,ほう。嬢ちゃん……通だね！あるよ！
乃々,なんで私たちお好み焼き屋さんにいるんですかっ！？
芽衣子,今さらっ！？
雪美,……乃々……ツッコミ遅い……
乃々,いえ、芽衣子さんが暴走した時は心を無にして従うことにしているので……気付くのが遅れました……
芽衣子,おばちゃん！ウドンある？ウドン！
おばちゃん,……あるよ(低音)
乃々,違うんですけど！？別にウドンが食べたくて騒いでるわけじゃないんですけどっ！？
雪美,……焼けてきた……自分の分は……自分で……
乃々,雪美ちゃんの手捌きが尋常じゃないんですけど！？
雪美,……ほっ
乃々,軽やかに裏返したっ！？
雪美,……ソースぺたぺた……マヨ編み編み……
乃々,玄人のワザなんですけど！？
雪美,ピザ切りは……邪道やでー……
乃々,面倒なこだわりと、取って付けたような関西弁！
芽衣子,なんか周りがお好み焼き屋さんとたこ焼き屋さんばかりだと、つい入りたくなるよねー
雪美,……ねー……
乃々,……えーっ
おばちゃん,へい。ウドンおまちっ！
乃々,早っ！しかもおつゆが透明な本場の関西風なんですけどっ！？
七海,先にシャワー浴びてこいよ、なのれす
P,…………
七海,Ｐ？どうしたのれすか？風邪引いちゃうのれすよ？
P,……ここ……どこよ？
七海,ご休憩っていう珍しい料金システムもあるのれ、とっても便利！。宿泊の方でいいれすかね？
P,活用すらしない！？いや、よくないよ！
七海,宿泊ならモーニングが無料でついてくるのれすよ～。お得！
P,得るもの以上に失うものが多いんだよなぁ！。コスプレメニュー確認すんなっ！
七海,ナースと巫女服、学生服とチャイナ服だと、どれがいいれすか？
P,巫女服で！…いや、そうじゃないそうじゃない。流されるな、俺！
七海,えーっと、裁縫用具裁縫用具……マチ針は……と
P,何に穴を空ける気だ七海ィ！
七海,あ。浴槽にお湯貯めてきますね～？七海はできる女なのれ！できる女なのれ！
P,なんで２回言った！？。ちょ待
七海,わ～。意外と広いし、きれいなのれす～。こんにちはっ♪ふんふんふーん♪わったしがママよっ♪
P,何か不穏な歌が聞こえてくるんだけどぉ！？
七海,もう少しかかりそうれすが、貯めながら入りますか～？
P,いや、あのなぁ……。！？。はい？。…………。…………。…………。…………。……はい。手が…手が滑った……。そ、それよりも急にどうしたんだ？そ、そっちは大丈夫か？俺が居ない間に何か問題でもあったか？。お、おう。それは良かっ。仕掛けてあるって何！？GPSって何っ！？。故障っ！。…………。…………
七海,ちなみにおもちゃは七海の愛用のお魚さんじゃなくて、レンタルで貸し出してたアダルティ。ーナなヤツなのれす～♪
P,…………。…………。電源も切っとこ……。……はぁ。……お家……帰りたくないなぁ
七海,まさかの逃避行れすか？急にノリノリなのれす！
P,…………
七海,な、涙！？Ｐの頬に一筋の涙が！
P,……シャワー……浴びてくりゅ……
七海,うーん。今日はもうゴム要らないれすかね～
P,聞こえない！何も聞こえないっ！
七海,……髪留めの話れすよ？
おばちゃん,これ、生中。あっちのお客さんから奢りだってさ
芽衣子,えっ、ほんとー？ありがと、おじさまー♪
おじさま,おーう！
乃々,ああ……ああ……！
雪美,……あるこーる……入りまーす……
乃々,お、男前なんですけどっ！
雪美,……ぶい
P,……なぁ、シャワー浴びて出てきたら……俺の服が一式無くなってるんだけど……
七海,乾燥中れす～。乾くまでベッドの上に置いてあるガウンを着てるといいのれすよ～。七海は今動けないのれ～
P,なんでやねん……。うわっ。部屋の電気、ほとんど消えてんじゃん……
七海,…………。うりゃっ！
P,うおっ！？布団の中から飛び出してっ！？
七海,捕まえたのれすっ！。逃さないのれす！ここまで来たら後には引けないのれすよ～？。良いではないか良いではないか～
P,良くねぇ！く、くそっ。こらっ！七海っ！
七海,！？。！。…………
P,…………
七海,…………
P,…………
七海,…………
P,……七海？
七海,このままじゃ……勝てないかられすよ
P,えっ？か、勝てない？
七海,七海はＰを見ているのれ……ずっと見ているのれ、今、その気持ちがどこにあるのか……誰にあるのかも……知っているのれす
P,！！。そ、それは……
七海,Ｐがちゃんと考えなきゃと言ったのも、きっと、どうするかを考えるのれはなく、どうやってちゃんと断るかを考えるつもりなんらって……七海は気づいているのれす……
P,なっ……！。ここにきてオヤジギャグ！？
七海,幸いＰもちゃんとセイコウしろって言ってくれましたし！
P,言ってねぇ！お、落ち着け！気持ちは分かったから落ち着けっ！
七海,大丈夫れすよ。こう見えても知識には自信があるのれす！
P,だいじょぶくねー！掴むな！タオルを掴むなって！
七海,だいしょうぶだいしょうぶ。基本的には誰にも言わないのれすよ～
P,応用発展的には誰に言うんですかねぇ……！
七海,Ｐに気のありそうな娘……れすかねぇ？
P,致命的っ！
七海,とりあえず！ご開帳れす～！
P,やーめーれー！
乃々,……まさか雪美さんのご両親が車でお迎えに来るとは思わなかったんですけど……
雪美,……京都……道路混んでなければ……意外と近い……
芽衣子,えーっ。そんなこと言うなよぉ～
乃々,ひぃっ！？い、言いませんから、抱きつかないで、抱きしめないでぇ……
雪美,……仲……いい。お部屋……一緒でいい？
芽衣子,もちろん！なんならお布団も一緒でいいよ～
乃々,本気で身の危険を感じるんですけどっ！？
雪美,……私も……いっしょに……３人で……寝る？
芽衣子,いいねー！
乃々,良くないんですけどっ！？
雪美,……皮の字で……
芽衣子,えへへぇ～
雪美,……わくわく
乃々,むぅーりぃー……
七海,とりあえず！ご開帳れす～！
P,やーめーれー！
七海,レビューにあったオートロックがたまに仕事を放棄するっていうのはこれのことれすか～
芽衣子,ここにしよ。ここ！次の仕事はここで！
P,それもう、ただのお忍び旅行じゃねーか！危険過ぎるわ！
芽衣子,七海ちゃんばっかり、ずーるーいー！
P,こどもかっ！
芽衣子,大人ですー！
P,大人だったら余計マズいだろう！
芽衣子,なるほどっ！
千川ちひろ,……楽しそうですねぇ
芽衣子,午前中はＰ独占できますからねっ♪
七海,おっはよーございまーす！お昼れすが！
ちひろ,はい。おはようございます
P,おはよう
芽衣子,ちっ。来たか……
七海,あーっ！芽衣子おねーさんが何か酷いこと言ったのれす～！
芽衣子,言ってないよー
七海,Ｐには見えない角度で、もの凄い悪い顔をして言ってたのれす～
芽衣子,それは本当にないよっ！？
P,悪い芽衣子か……
芽衣子,ちょっと！？
七海,この前も芽衣子さん、七海を女子トイレに呼び出して…
芽衣子,性格の悪い女の子にありそうな捏造エピソードやめてっ！？
七海,…台本の漢字が読めないって七海に聞いてきたんれすよ～
芽衣子,頭の悪い子だ！アホの子だ私っ！
ちひろ,……楽しそうですねぇ
七海,ここに来たら優しくてキレイなお姉さんが遊んでくれるのれ～
芽衣子,お、怒りにくいっ……！どちらかと言うと遊ばれてるような気もするよ！
乃々,お、おはようございます……
雪美,……おはよう……ございます……
ちひろ,はい。おは……あら？
P,どうかし……おっ？
乃々,そ、そこで会ったんですけど……
雪美,……連れてきた……後輩……
芽衣子,えっ？
むつみ,う、氏家むつみです！おはようございます！
芽衣子,あっ！
P,おっ。来たかー。まぁ、気楽に見ていってくれ
ちひろ,ああ、そういえば見学、今日でしたね。ようこそー♪
芽衣子,見学？そうなのっ！？。へ、へー。ソウナンダー
P,？学校への謝罪やら親父さんの説得やらで骨は折れたが……、まぁどうにかなー
芽衣子,……ナ、ナルホドー
P,人見知りで大人しい娘だから色々気にしてやってく
むつみ,お姉様っ！
P,！？
むつみ,芽衣子お姉様っ！会いたかったですっ！
芽衣子,ふぁっ！？
七海・ちひろ,！？
乃々・雪美,……あー
芽衣子,ちょっ！しー、しーっ！
むつみ,？お姉様？
芽衣子,お姉様呼びもやめて！普通に芽衣子で！
むつみ,芽衣子さん！
芽衣子,よし！。冒険アイドルって何っ！？
七海,イロモノれすね～
芽衣子,その筆頭にだけは言われたくないと思うんだけどっ！？。私は何も知りませんっ！
P,いやでも、さっきお姉様って……
芽衣子,アイ、ドントノウッ！
むつみ,私、芽衣子さんに熱心に口説かれて、ここに来る事を決めたんです！
Ｐ・ちひろ,口説かれたっ？
芽衣子,言い方っ！もうちょっと言い方ない！？
Ｐ・ちひろ,…………
芽衣子,Ｐとちひろさんからの疑惑の視線が痛いっ！
むつみ,それはもう、熱烈に！軽く脅迫入るくらいに！
芽衣子,少し黙ろうかむつみちゃん！
ちひろ,…………
P,…………
ちひろ,……そういえば……話は変わりますが、芽衣子ちゃん？
芽衣子,は、はい？
P,お出掛け？
芽衣子,そ、その件はお気になさらずに。ほぼプライベートの旅だったので、自腹で大丈夫ですよー
乃々,…………
雪美,……お城……
ちひろ,えっ？
雪美,……お城みたいな……(私の)家で……お泊り……
P,お、お城みたいな建物っ！？
芽衣子,端折り方おかしくない！？
雪美,……そこで……乃々と３人で……同じ布団で……寝た
ちひろ,……乃々ちゃんと雪美ちゃんを……お、お城みたいな建物に連れ込んで……寝た！？
芽衣子,おかしいおかしい！
乃々,お酒を飲んだ芽衣子さんは……恥ずかしがるもりくぼを……無理やり……
P,芽衣子……やっぱりお前……
芽衣子,やっぱりって何っ！？
P,……これがNTRってやつか……
芽衣子,違うよ！
雪美,……無理矢理……ちゅーしてた……
芽衣子,そこ拾うのっ！？ソフトクリームで間接のねっ！
P,……今度のラジオの仕事は南極で公開録音な
芽衣子,私怨だっ！誰に公開するのそれっ！ペンギン！？
七海,賑やかれすね～
むつみ,ですね～
七海,…………
むつみ,…………
七海,…………。玉？急に下ネタれすか？
むつみ,違うよっ！？
七海,出社初日に下ネタとは、また濃ゆい新人が入ってきたのれすね～
むつみ,だから違いますって！
七海,駄洒落の楓。下ネタのむつみ
むつみ,やめて下さい！もう！
七海,ふふ。冗談れすよ～
むつみ,ぷーっ！
七海,ふふふ…
むつみ,…………
七海,…………
むつみ,ほんと、賑やかな事務所だなー……
七海,…………
むつみ,…………
七海,そういえば……マンボウが
むつみ,えっ？
七海,初めて会った時、むつみちゃん、マンボウが何も考えてなさそうで、羨ましいって言っていたのれす……。……そうれすね。水族館のマンボウを見てるとそうとしか見えないかもしれません
むつみ,？
七海,けど、マンボウは3億個もの卵を産み、その大半が育つことなく死にたえる……そんな生き物なのれす……
むつみ,へぇー
七海,そして育ったマンボウも、人間が手で触れただけで型が付き跡が残るほど、柔らかく、脆く……
むつみ,…………
七海,つまりはどんなに気楽に見えても……楽しそうに見えても、本当は常に死と隣り合わせの過酷な人生を生きているのれす……
むつみ,…………
七海,そしてそれは……アイドル同じれす
むつみ,！
七海,どんなに華やかで楽しそうに見えても、その実は、過酷で……残酷で……消えゆく運命と隣り合わせの職業なのれす……
むつみ,……！。もちろんです！。えへへ…。これからよろしくお願いしますね。先輩！
七海,……七海って呼んでくれていいのれすよ～
むつみ,よろしくねっ七海ちゃん！
七海,はい～。むつみちゃん！。……で、あっちは相変わらず修羅場ってますね～
むつみ,ね～
七海,ふむ
むつみ,？
七海,Ｐっ！
P,ん？おお、なんだ七海？
七海,約束してた海鮮丼のお店、結局行けてないのれす！
P,あー。そういえばそんな話もしてたなー
七海,だからまた一緒に行きましょうね。今度は約束破っちゃらめれすよ～！
乃々・雪美・むつみ・芽衣子,！？
七海,別にそこまでムキになって隠さなくても～。ただ二人で近場のラ
P,おーねーがいー！しーずかにしてーっ！
七海,くふふ
P,……くっそ。これはヤバイ娘にヤバイ弱みを握られたかもな……
ちひろ,……そんなに気にしなくても、今さらだと思いますよ？
P,えっ？
ちひろ,そもそもそこでまゆちゃんと電話のやりとりをしたんでしょう？
P,あっ。……えっ？なんで知って…
ちひろ,それなのに、まゆちゃんや私が元々泊まる予定だったビジネスホテルに何の確認もとらないと思いますか？
P,いや……あの。……えっ？
七海,……ホウレンソウは大事れすねー
むつみ,ホウ？。えーっと。映画に出てくるやつかな？
七海,そうれすね～。映画ジョーズのモデルにもなった、小型だけど獰猛で攻撃力の高い……侮れないサメなのれす～
むつみ,はぁ……？
七海,先程はアイドルをマンボウなどに例えましたが、この事務所にはちっちゃなホオジロザメもいるのれすよ～
むつみ,え、えーっと……
