日本各地でシロクロのタヌキ,CV：前野
鹿島,ち、千代ちゃん……なんで私が希望の戦士って……
佐倉,お願い！みこりんを捕まえるのはやめて！
鹿島,私だってこんなことしたくないよ……けど堀先輩が……
佐倉,もしかして……堀先輩を解放したければみこりんを捕まえろって……前野さんに言われたの？
鹿島,な、なんで分かったの！？
瀬尾,すげーな千代
佐倉,大丈夫だよ！これから私達が野崎くんも堀先輩も助ける所なの！だから……みこりんを襲うのは……
鹿島,……分かった
御子柴,や、やっと機械から解放された……サンキュー佐倉
鹿島,でも千代ちゃん……塔に入ってどうやって助けるの？
佐倉,そ、それは……
御子柴,……前野さんを説得するしかねーよ
佐倉,みこりん……？
御子柴,前野さんは野崎達が捕まってる牢屋の鍵……それとタヌキの動きを止めるスイッチを持ってる
瀬尾,説得しなくても奪えばいいだろ
御子柴,無理矢理奪おうとした野崎と若松はそれで捕まっちまった……前野さんを守るでけータヌキがいるんだよ
瀬尾,マジ？
御子柴,俺と堀先輩はなんとか逃げれてな……けど先輩もまた捕まっちまったってわけだ
佐倉,……とりあえず話は塔の中に入ってからでいいんじゃないかな？
鹿島,そうだね……そこにタヌキはこないし。……御子柴、さっきはごめん。先輩の為と言えども友達を酷い目に合わせようとして……
御子柴,別に気にしてねえよ……それにそんな寂しい顔すんなよ？俺はお前の太陽のような笑顔を見たいんだからよ☆
鹿島,ありがとう、私が太陽なら君は向日葵だよ。これからは向日葵のように美しい君を照らし続けるからね……私だけのバンビーノ
御子柴,///
佐倉,は、早く行こう！
御子柴,お、おう……///。ひゃい！？///
瀬尾,すっげー！この機械、腕がいっぱいある！！
佐倉,ちょっと結月！みこりんを開発しないで！！。ふう……なんとか塔の前まで来たね
鹿島,それにしても先生の歌声でタヌキが止まるなんて……
瀬尾,なんでだろーなー
御子柴,まさか……
野崎,前野さん……俺達を解放してください！！
前野,いやです！
堀,このでかいタヌキさえいなければ……何か弱点があれば……
前野,あー、弱点ならありますよ！
野崎,何！？
前野,そこにいる君のリアルな弱点がタヌキの弱点！！
若松,！！俺……ですか！？
前野,うん！さっき君に変な機械つけたでしょ！？あれは君の弱点を全てのタヌキにも反映させた機械なんだ！！
野崎,何故自らそのようなことを……？
前野,だってさ！めちゃくちゃ強そうで実は弱点があるってさ……ギャップ萌えじゃないですか！？
野崎,違うと思いますが……
堀,若松……お前の弱点ってなんだ？
若松,うーん……しいたけと瀬尾先輩ですかね？
野崎,堀先輩！今すぐ俺と一緒にしいたけを買ってばら撒きましょう！！
堀,牢屋の中でどうやって買えっていうんだよ
御子柴,まさか若松の性格が反映されてるわけねーよな。そんじゃ、塔に入るか
佐倉,……待って！！
瀬尾,どうしたんだよ千代
佐倉,あそこの建物から人の声が聞こえる！！
鹿島,……本当だ。……入ってみる？
佐倉,うん！何か情報を掴めるかもしれないしね！。こ、こんにちはー……
宮前,……！
佐倉,剣さん！？
瀬尾,すっげー、人がいっぱいいる
佐倉,どうしてここに！？
宮前,タヌキに追われた人達はみんなここで隠れていて……俺はここにいるレジスタンスってグループのリーダーで……
佐倉,そうだったんですか……
宮前,前野の野郎……どうすればあのタヌキを……
佐倉,じ、実は……タヌキはここにいる私の友達の歌声が弱点なんです！！
宮前,！？
佐倉,だからタヌキに怯える心配はもうないんです！。そこで……ここにいるみなさんにお願いがあります
宮前,お願い……？
佐倉,私達の友達を一緒に救ってほしいんです！だから……みんなであの塔に……一緒に行きませんか！？
鹿島,上手くいけばタヌキの暴走を止められるかもしれないんです！お願いします！私の先輩も捕まってるんです！
瀬尾,若も危ないんでおなしゃーす
御子柴,ちゃんと言えよ……
宮前,……分かりました
大人達,うおーーーーー！やるぞーーーー！！
佐倉,あ、ありがとうございます！！
前野,そろそろ希望の戦士が帰ってくる頃かなー
堀,御子柴……
若松,だ、大丈夫ですよ！なんとかなりますって！！
野崎,佐倉……無事でいてくれ。塔の中は安全だ……だが最上階には来るな！俺達の用に前野さんに捕まってしまう！
前野,それにしてもこのジャイアントモノタヌキ……僕みたいにかっこいいなー。……ん？。うわあっ！？ジャイアントモノタヌキが倒れた！！？
野崎,今の歌声……まさか！！？
宮前,前野ぉ！！
前野,宮前くん！？
佐倉,野崎くん！！助けに来たよ！！
野崎,佐倉！！
若松,zzz……
瀬尾,なんだよ若、寝てんのかよ……ボコボコにされてるかと思ったのに
鹿島,堀先輩！
堀,鹿島！無事だったんだな！！
御子柴,あれ……俺の心配は？
佐倉,前野さん！もうやめてください！！
前野,嫌に決まってるじゃないか！！タヌキと僕の魅力を全国に広めるためにやったのに……それを邪魔されたんだからね！！
宮前,前野ぉ……
佐倉,な、なんとか説得させないと……
御子柴,……俺に任せてくれ
佐倉,……みこりん？
御子柴,……大人しくやめな？ワガママなやつは……俺がオシオキしちゃうぜ？
前野,あっれー？もしかして君、僕がイケメンだから嫉妬してる？
御子柴,ぐはっ！
佐倉,みこりん！？
鹿島,こうなったら私が……
佐倉,鹿島くん……
鹿島,もう怒らないから……私の側においで……あなたの全てを包み込んであげるよ
前野,もしかして君も僕に嫉妬してるのかな？
鹿島,ぐはっ！？
佐倉,鹿島くん！？
堀,おい鹿島ぁ！！もっと本気を出せ！！そんなんじゃ女も堕とせねえぞ！！
野崎,指導してる場合じゃないと思うんですけど……
瀬尾,おっさん、スイッチ押して暴走止めて
前野,やだ！！
瀬尾,じゃあボール投げる
前野,！
若松,うーん……あれ、俺はなんで寝てたんだ……？。ぐはっ！？
佐倉,若松くん！？
若松,うーん……
瀬尾,あれ、若のやつ、まだ寝てんだ
野崎,お前が眠らせたんだ
宮前,なんで夢野さんの周りはこうも変なやつばっかなんだよ
前野,全く……邪魔されちゃあ困るなぁ
佐倉,どうしよう……みこりんでも鹿島くんでも……結月でもダメだなんて……
御子柴,佐倉……お前からもなんか言ってやってくれよぉ……
佐倉,わ、私が……？でも私なんかが……。……！そうだ！！。せ、説得してみるね！！
御子柴,……？なんか閃いたのか？。……おう、頼むぜ
佐倉,……前野さん！今なら間に合います！！やめてください！！
前野,やだ！！
佐倉,このままだと……タヌキも前野さんも……イメージが悪くなる一方ですよ！
前野,！！
佐倉,タヌキは暴力的な生き物で……前野さんも最低な人……そんなことが世間のイメージになっていいんですか！！？
前野,た、確かに……それはまずいね
野崎,揺らいだだと！？
前野,僕が悪かった……暴走はやめよう。これでタヌキの暴走は止まったよ
野崎,もう解決しただと！！？
佐倉,良かった……ありがとうございます
御子柴,すげーな佐倉……
前野,それじゃあ牢屋の鍵を開けてっと……
堀,やっと解放されたか……
鹿島,堀先輩！！
堀,ちょっ……いきなり抱きつくな！！
若松,……あれ、俺はなんで寝てたんだ……？
瀬尾,よー若！！やっと目が覚めたか！！
若松,げえっ！？瀬尾先輩！？
野崎,佐倉……
佐倉,野崎くん……怪我はない？
野崎,ああ、大丈夫だ……本当にありがとう……そしてすまなかった
佐倉,気にしてないよ！それに野崎くんが無事で本当に良かった！
大人達,うおーーーーー！
佐倉,！！？
大人達,千代ちゃん万歳！千代ちゃん万歳！！。ありがとう千代ちゃん！！
佐倉,う、うわああああ！？
鹿島,千代ちゃんが大人達に胴上げされてる！？
佐倉,……。どうせなら野崎くんに胴上げされたいなぁ……
大人達,おい！千代ちゃんが不満そうな顔をしているぞ！！。もっと高く上げてくれってことだな！？任せろ千代ちゃん！！
佐倉,わわわっ！？
瀬尾,すっげーな千代、天井ギリギリまで飛んでる
御子柴,軽いからな、あいつ
佐倉,は、恥ずかしいよ……。もしかして……野崎くん、私を見て笑って……
野崎,……
佐倉,スケッチ！！？
野崎,甲子園で優勝して胴上げされる鈴木……いいのが描けそうだ
前野,そういえばさ宮前くん、君ってここに来る時に先陣を切ってたよね？なんで？
宮前,まあ……俺があのグループのリーダーだったからな……お前を止められなかったのは同級生の俺に責任があったし……
前野,またまたー……僕には分かるんだよ？
宮前,……は？
前野,タヌキのメカを作れる僕の絶望的センスに嫉妬して……タヌキのメカを君のメカにしてもらおうとしたんでしょ？
宮前,……は？？
前野,とぼけても無駄だよ！……しょうがないなー、じゃあ特別にタヌキ達を君用に改造してあげよう！！！
宮前,……は？？？。前野おおおおおおおおおお！！！
野崎,幸せだ……///。まさか全員が希望ヶ峰学園に呼ばれるとはな
瀬尾,つーか野崎、お前って漫画家だったんだな。知らなかったわ
御子柴,それよりも俺は佐倉が超高校級のパラスってことに驚いたけどな……
佐倉,パラスじゃねーし！……そういうみこりんは何で呼ばれたの？
御子柴,言わせんじゃねえよ……超高校級のイケメンに決まってんだろ？
野崎,ヒロインだろ
佐倉,ヒロインだね
御子柴,な、なんで分かったんだよ！？
鹿島,私は堀先輩は超高校級のバイオレンスかと思ったのに……
堀,そんなわけねーだろ……
若松,野崎先輩……俺、なんで超高校級の幸運なんでしょう……いっつも瀬尾先輩に酷い目に合うのに……不幸の間違いじゃないですか？
野崎,いや……ローレライの正体を知っていないのはある意味幸運だぞ
若松,それにしても瀬尾先輩が超高校級の助っ人だなんて……
野崎,そして未だに知らないのは本当に幸運だと思う
