モバＰ(以降Ｐ表フゴフゴ！）,…
乃々,みんなして、汗だくだくになって…ヒィヒィ言いながら食べました…おいしかったです
Ｐ,スパイスの効果なんだろうけど汗めっちゃかいて食べ終わった後凄くスッキリするんだよな
あやめ,うぅ…聞いているだけでお腹に来ますな
芳乃,そにゃたーそにゃふぁー、おふぁふぁふぃー
Ｐ,その体のどこに入っていくんだよ
ちひろ,みんなそれぞれの家の独自のレシピがあって面白いですよね
Ｐ,そうだ！いっそ３４６プロアイドル達の秘伝カレー特集とかやったら…
ちひろ,焼きまんじゅうカレーとかドーナツカレーをお茶の間に晒す気ですか
Ｐ,うーん、良いアイディアだと思ったんだけどなぁ
あやめ,あ、でも他の皆さんの家ではどんなカレーだったのか気にはなりますね！
乃々,確かに…興味なくもなくないような…
芳乃,ヒッキーおかわりですー
Ｐ,ラッシーな。ここ奉仕部違うから。実際面白いだろうし何人かに聞いてみようか。お茶の間に流せそうなものだけチョイスして番組に使えばいいんだし
肇,一度だけの恋なら～君の中で遊ぼう～♪。ひゃっ。…あれ、Ｐさんからメール？。
Ｐ,返信がこねぇ
乃々,どうせロクでもないメール送りつけたんじゃあ
Ｐ,じゃあ今度は橘さんあたりに…。うん？。
あやめ,い、如何なさいましたＰ殿！？突然白目を剥くのは怖いのですが！
あまくち！,甘美なる混沌の海よ！
Ｐ,突然悪かったな。あと副音声逆じゃね？。ざっとリサーチしただけでもこの個性ですわ
ちひろ,そもそもこの事務所の所属アイドルが個性の権化ばかりですからね
乃々,どんな個性も受け止める…カレーみたいな事務所です
あやめ,それではわたくし達はさしずめ具か隠し味でしょうか？
ちひろ,随分パンチの効きすぎた隠し味が多すぎる気がしますけど
Ｐ,まぁカレーって大体のものと合いますしね。割りと上手い例えだと思いますよ
芳乃,そにゃふぁー？
Ｐ,食いすぎ。異世界食堂の黒ウェイトレスかお前さんは
芳乃,美味しいのでー
乃々,こやつ、直接脳内に…ってこっちもりくぼですけど！？
Ｐ,おぉう、しこたま作ったのにもう寸胴空なんだけど
あやめ,美味しかったのでつい沢山食べてしまいました…うぅ、体が重い…
乃々,お腹ぽんぽんです…もう、このままお部屋に戻って眠りについてしまいたい気分なんですけど…
Ｐ,おーい寮に帰れぇ。そこ俺のデスクー
芳乃,みなさまー、沢山食べたのでしてー
ちひろ,ダントツで芳乃ちゃんが食べてましたけどね
芳乃,ほー？
Ｐ,よし、洗うの面倒だしこのまま水を入れてこびりついたカレーを溶かしてカレーうどんのスープにしちまおう
あやめ,さ、流石にもうお腹に入りませんっ
Ｐ,誰が今食べる分って言ったよ食いしん坊忍ドル
ちひろ,こうしてみんなでワイワイ賑やかに食べるカレーっていいですね
あやめ,はいっ。なんだか林間学校のキャンプみたいで楽しいですっ
乃々,ほんとに眠くなってきました……すみません、ではもりくぼはこの辺で安息の地に戻らせていただきますね…
Ｐ,だからそこは俺のデスクですけど
芳乃,ではわたくしもー
あやめ,よ、芳乃殿！？天井裏はあやめの場所なのですが！
ちひろ,勝手に天井裏を居場所にしないでくださいね？
乃々,むにゃ…それでは、おやすみなさい…
Ｐ,そこは俺の懐なんですけど
アッキー,終わりだ
優,アッキーもっと食べる？
アッキー,おかわりだ
