杏,ねー屋根裏ゴミどうするのよー
番長,そうか。直斗は俺が浮気者というのは大分前から知っていたらしい。でも男の甲斐性ということで許してくれた。次はあい、っていうんだが、サバサバしている性格だから許してくれた。次は結実…母子家庭で父親にコンプレックスがあったんだが。絶対に捨てないって言って説得した。次は綾音…気が弱いくて都合がいいから愛人でもいいと言ってくれたから。一夫多妻でむしろ喜んでいた。次はマリー、嫉妬深い性格だけど、自分との時間を大切にする約束で許してくれた。次はマーガレット、絆を深めるのはむしろ歓迎するとこなんとかで、受け入れてくれた。最後は菜々子。俺の従姉妹でな
屋根裏,従姉妹…
番長,ああ…小さい頃から目をつけていたんだ
屋根裏,…
番長,もちろん大切にすると言ったら二つ返事で許してくれた。幼い頃から教育していて良かった
屋根裏,。そ、それで、今番長さんは、どのような生活をしているんですか？
番長,俺は自分の家を出て、妻達の家をローテーションで回っている。それが一番揉めないと思っていな。年に数回は家族で集まるけど…まあ仲良くはならないな
屋根裏,そうですか？
番長,ああ……
屋根裏,生活費とかは？
番長,俺は学習塾を立ち上げているんだ。東大合格率80%の進学塾で収入には困らない。嫁達全員が産休に入っても平気だ
屋根裏,なるほど…。ありがとうございます。参考になりました
番長,ああ…。よかったらまた会おう
屋根裏,はい、ありがとうございます。…。参考になった。ハーレムはしんどそうだが俺ならできる気がする。よし、やろう！。まさか、二人共ラヴェンツァの姉の婿とは
番長,世間は狭いな
キタロー,どうでもいい
屋根裏,しかも、二人共ペルソナ使いでベルベットルームの客人でしょ
番長,世間は狭いな
キタロー,どうでもいい
番長,屋根裏は年上好きと思っていたが、ラヴェンツァの婚約者とは思ってなかったぞ
キタロー,見損なったぞ
屋根裏,二人に言われたくないですよ。二人だって、年下の子に目をつけてたんでしょ？
番長,まあな
キタロー,舞子はそろそろ…
番長,それで、屋根裏はどういうふうになったんだ？
キタロー,言え
屋根裏,みんなと同居していますよ。みんなが毎晩、俺の部屋にローテーションするって流れです。その代わり俺がみんなの生活費稼いでいますよ
番長,嫁達は納得したのか
屋根裏,まあ一応…平等にしないと怒りますが
番長,お前の性欲なら大丈夫だよ
キタロー,どうでもいい
