ショタ提督,以下提督
天津風,今の、か、可愛かった…
提督,…
天津風,…
提督,…んー
天津風,…
提督,…ああこっち
天津風,…。今の姿、これがこの人の小さいころの姿なのね。大人のあなたと違って、可愛くて、生意気で、だけどあどけなさがあって…。全然違うけど、違わない。…私と、同じくらいの歳になるのかな。…。…今なら
提督,天津風？
天津風,え！？あ、な、何！？
提督,なに驚いてんだ…なあ先週の消費資材まとめたのってどれだっけ？
天津風,あ、えっと…これね
提督,お、ありがと。ん～、こんだけか…
天津風,…。…もう、何をバカなこと…もう考えるのはやめよう。あなた、お茶でも淹れましょうか？
提督,ああ、いやまて、集中したいから珈琲を頼む
天津風,わかったわ、今淹れるわね
提督,おお頼んだ
天津風,はい珈琲、ブラックね
提督,おおありがとう。さて…。ぶふぉお！！
天津風,！！？あ、あなたどうしたの！！？
提督,に、にっがい…なんだこれいつもより濃すぎないか？
天津風,いつもと同じだけど…そんなに苦かったかしら…
提督,いや、ほらお前も飲んでみろって
天津風,う、うん。…苦い、けど別にいつもと変わらないと思うけど
提督,え、嘘！？。…もしかして舌も子供に戻ってるのか
天津風,ああ、子供のころは苦味に敏感っていうわね
提督,確かに子供のころはブラック飲めなかったしなあ…
天津風,そうだったんだ
提督,あの頃は大人ぶって無理して飲んでたなあ…結局砂糖とミルクのお世話になるんだが
天津風,まさに子供の発想ね
提督,全くだ…んで砂糖とミルク持ってきてくれ
天津風,はいはい、ちょっと待っててね。はい、持ってきたわ
提督,これで飲めるようになる。よし、んじゃ仕事の続きやるか。…っ！。…
天津風,砂糖とミルク淹れてはみたけどまだ苦かったのね
提督,…
天津風,ちょっとずつ飲んでる…。…ふふ
提督,…ん？なんで笑ってるんだ？
天津風,だって、今のあなたすごく可愛くて…ふふ
提督,はぁ？
天津風,こんなあなたを見ることが出来るなんて、なんだか嬉しい。明石さんと夕張さんに感謝かしら
提督,可愛いって言われても別に嬉しくないよ
天津風,可愛いんだもの、仕方ないわ。同じ目線で見るあなたは、可愛い
提督,…んだよ、さっきの仕返しか？
天津風,さあ？私は自分の気持ちを正直に言葉にしただけ
提督,…あーもういい、仕事ももう少ないしお前は休んで来い
天津風,でも私の分がまだ終わってないわ
提督,いいから、子供は風呂入ってさっさと寝ろ
天津風,…はいはいわかりました、お言葉に甘えて子供はさっさと休みます
提督,おう、おやすみ
天津風,おやすみなさい、あなた
提督,…あーなんだこれ。こういうところも子供に戻ってんのな…俺
天津風,…ふう。子供か…。確かにまだ子供…よね。浦風と浜風はなんであんな…くっ
時津風,おー天津風、今からお風呂ー？
天津風,時津風、あなた入渠してたでしょ。またお風呂入ってたの？
時津風,入渠とお風呂は違うよー
天津風,そうかしら…まあいいか
時津風,ていうかさー、鏡とにらめっこしてなにしてんのー？
天津風,べ、別になにもしてないわよ
時津風,ふーん。まあ、身体は貧相っていうか、子供体型だよねー天津風
天津風,あんたに言われたくないわよ
時津風,でもさ、今なら釣り合うよね？
天津風,…は？なにいって
時津風,しれーと、だよ
天津風,…あんたまさか
時津風,明日には戻っちゃうんだよね、だったらもううかうかしてられないよねー。今のうちにさ、しれーと上手いこといけばさ、元に戻った後でも…。…
天津風,それは、駄目
時津風,…。…やらないよー別にしれーとそういう風になりたいわけでもないから、私には関係ないしー。でも、天津風には関係あるじゃーん？
天津風,…それは
時津風,行動するなら、早めにしたほうが良いと思う、天津風がどう考えてるかは知らないけどさー
天津風,…
時津風,はぁ、どうすればいいのかわからないって顔してるけど、そんなわけないじゃん
天津風,そんなわけないって…
時津風,どっちが好きか、それだけじゃん
天津風,どっちが？
時津風,どうせ決まってるくせに、変に難しく考える天津風の悪い癖ー治した方が良いよ？。んじゃ私は上がるから、おやすみー頑張ってねー
天津風,あ、おやすみ…。…どっちが、か。やっぱりまだ明かりついてる、まったく、なにがあと少しよ。失礼します
提督,…
天津風,って、あーもう寝てるじゃない。こういうところも子供ね。風邪ひいちゃう、もう起きてあなた
提督,…ん～
天津風,…。やっぱり、可愛いな。子供のころのあなた。…でも。…ねえ、子供のあなた。今日一日、あなたと過ごして、思ったことがあるの。子供のあなたに、昔のあなたに、出会えていたら…。私とあなたは、釣り合っていたんじゃないかって。私は、どうあがいても子供で。あなたは、どうあがいても大人で。子供と大人じゃ、どうあがいても、釣り合わないと思うから。だから、今のあなたとなら釣り合うんじゃないかって、思ったの。でも、やっぱり違う。今のあなたを、私はとても可愛いと思う。だけど、私は、やっぱり。大人のあなたが、好きなんだって。だからね、子供のあなた。私は、好きになる…。未来のあなたを、好きになる。未来のあなたの傍にいる私は、まだ子供の私だけど…。でも、きっと、綺麗で、素敵な、そんな大人に、なるから。厚かましいお願いだとは、思うけど。待っていてほしい…
提督,…
天津風,…ふう。…さようなら、子供のあなた
明石,提督が元に戻るウィルスを鎮守府内にばら撒いてしまいました！！
提督,なんでばら撒く必要あった！？使えばいいじゃんそのまま！？
夕張,元に戻ったんだしよかったじゃないですか
提督,お前らの言動と手に持っているもの全てが俺の精神をかき乱すよ！！。ったく、まあこれで元に戻ったし、お前らの給料3か月の間4割減額で許してやる
明石/夕張,え？
提督,じゃあ、俺は仕事にもどるから、お前らも仕事に戻れよ
明石/夕張,え？。…。え？
提督,天津風
天津風,あらあなた、元に戻っちゃったのね
提督,なんだその言い方、戻ってほしくなかったか？
天津風,可愛かったし
提督,止めてくれそれ
天津風,仕方ない、止めてあげましょう
提督,ったく…
督,あと、天津風？
天津風,なに？
提督,これ、お前に渡そうと思ってな
天津風,渡すってなに…それって、あ。ゆ、指輪？
提督,おう
天津風,…へ？。わ、私に？
提督,お前以外に誰がいる？
天津風,…
提督,あー嫌、だったか？
天津風,嫌、じゃないわ…でも、だけど…
提督,？
天津風,私、まだ子供よ？身体も、心も、大人じゃないのよ？。そんな私でいいの？
督,…本当はな、昨日渡そうと思ってたんだ、指輪
天津風,え？
提督,あの騒動で渡すタイミング逃したんだけどな。でもさ、昨日の事があったおかげで、わかったこともあった
天津風,わかったこと？
提督,ああ。子供のころにお前と出会ってたら、好きになってたんだってな
天津風,！？
提督,まあ、確かに今のお前は子供だし、俺が指輪を贈るのも、正直今までのお前への感謝の気持ちっていう意味合いが大きかった
天津風,…
提督,だけど、昨日の俺は確実にお前の事、好きなんだ。だから、この指輪を贈る気持ちは、もう感謝とか、そういうのじゃない。今のお前も、未来のお前も、好きだよ。この指輪、受け取ってくれないか
天津風,…絶対
提督,ん？
天津風,絶対、綺麗で、素敵な、そんな大人に、なるから。だから、その…。今の私を、好きでいて。未来の私も、好きになって
提督,ああ、好きでいるよ。好きになるよ
天津風,ありがとう…。ずっとずっと、大好き。大好きよ、あなた…！
