向井拓海,お便り読むぞォォォ！！！
友紀,前にやってたね
拓海,友紀がイーグルスで、蘭子がホークスで、きらりがマリーンズだったな
友紀,で、正直なところはどうなの？
きらり,ん～、きらりはねぇ…パリーグはみんなびょーどーに見てるからにぃ…
拓海,どっちでもねえってか？
きらり,んっとね、お菓子は大好きだにぃ☆
拓海,ソコを落としどころにしたか
きらり,パイの実が大好きだゆ☆
友紀,サクサクでおいしいね
拓海,今日のお便りはこんな所だな
友紀,まだ来てたんだけどね、時間足りないからカットで
きらり,むぇ～、残念だにぃ
友紀,まあ次の機会にでもね
きらり,はーい！
拓海,次は……今日からの新コーナーだな
友紀,じゃあ一旦CMでー！
城ヶ崎美嘉,オーイ★
城ヶ崎莉嘉,オーイ☆
拓海,オォイ！！！
友紀,音割れた！今絶対音割れたって！
美嘉,え、タイトルコール？
莉嘉,はーい！姫川・向井のヒットエンドラジオー☆
友紀,……はい、凄く音が割れたジングルでした
拓海,何でコレ採用したんだよ
友紀,何テイクか録ったんだけど、莉嘉ちゃんがふざけたから他のヤツ全部ボツなんだって
きらり,むぇー、おみみがキーンってなったにぃ…
友紀,次回からはね、もう少し自重しないとダメだね
拓海,反省材料だな
友紀,さて、お次は新コーナーメモリーズシンデレラ！
拓海,雌茂李威頭メモリーズ
きらり,バイクをぶんぶんしてそうな名前だにぃ
友紀,説明文読むね。このコーナーはゲストさんが特に思い出に残っている1試合をセレクションしてもらうだよ
拓海,あー、なるほどな
友紀,懐かしの名場面・迷場面を振り返ろうってヤツだね
拓海,きらりが選ぶ思い出のゲームか…
友紀,誰でも思い浮かぶ場面かな？
きらり,ん～、どうだろ……意外と思い浮かばないかもだにぃ
拓海,結構マイナーな試合か？
きらり,んーん！と～ってもメモリアルな試合だゆ！だけどあんまり挙げる人はいないかも？
友紀,じゃあ紹介ボードをオープンしてもらいましょう、オープン！
きらり,はーい！
友紀,なるほどなー！
拓海,妥当っちゃ妥当なんだけど、意外と挙がらねえかもな
きらり,10点差を逆転したあの試合とかがあったからにぃ
友紀,アレはアレでやばかった
拓海,ありゃ別のベクトルだな
スワローズ2Xｰ1タイガース,延長11回
勝：ロマン,5勝5敗
負：能見,11勝13敗
友紀,あれ、負け投手ノウミサンなの？
拓海,みてえだな
友紀,そんなこともあったような…？
拓海,その辺は記憶がアイマイだな
友紀,3年も前だと曖昧だよー
きらり,最後は雄平ちゃんが決めたんだゆ…
拓海,一塁線をスコーンと抜いてったのは覚えてるわ
友紀,雄平も投手から野手転向して、なかなか苦労してるよねー
拓海,バッティングは昔からよかったんだよな
友紀,そうだねー。左投げじゃなかったらもっと早く野手転向できてたかもねー
拓海,その辺は難しい話だな
きらり,きらりもこの日はテレビで観てたにぃ☆
拓海,ヤクルトの祝杯はあげたのか？
きらり,夜遅かったのに、ヤクルトにミルミルも飲んじゃったにぃ☆
友紀,太る太る
拓海,太るとかよぉ……キャッツが勝つたびに祝杯でビールあけてる奴には言われたくねえ
きらり,友紀ちゃん……ビールっぱら？
友紀,ビール腹じゃないもん！ちゃんと見せられるウエストだし！
拓海,ホントかぁ？
友紀,ホントだもん！ほら！
きらり,普通にひっこんでるにぃ
拓海,ん～……ぎりぎりセーフ……かぁ？
友紀,そんなに言うなら拓海ちゃんもお腹を見せたまえ！
拓海,ハイ、アイドルの腹筋
友紀,えっ、かった……
きらり,しゅごーい……かっちかちだにぃ
拓海,鍛え方が違ぇんだよ。以上、シンデレラメモリーズのコーナーだ！
友紀,……あたしも腹筋鍛えよ
きらり,……きらりもだにぃ
友紀,はい、エンディングの時間だにぃー☆
きらり,むぇー、あっと言う間ー
拓海,きらり、今日は楽しかったか？
きらり,うん！とーっても、はぴはぴだったにぃ☆
友紀,実は今日はね、きらりちゃんからヤクルトの差し入れをもらってたんですね
拓海,机の上に飲んだ後のヤクルトが……ひいふうみい……
友紀,たくさん！だね
きらり,二人ともたくさん飲むから足りないかと思ったにぃ
拓海,久しぶりに飲むとうめえんだよな
友紀,最後に一つお便り読むよー。ラジオネームあんきら共謀曲！？さんから
拓海,共謀すんな
友紀,きらりちゃんと言えば杏ちゃんとよく一緒にいますが、杏ちゃんも野球観るんですか？だって
拓海,杏は観ねえんじゃねえのか？
きらり,杏ちゃんは野球観ないよー。だけどねー…
友紀,だけど？
きらり,ポイントのボーナスがつく日は、イーグルスの勝ち負けだけ気にしてるにぃ☆
友紀,杏ちゃんらしい！
拓海,んじゃシメるぞー。姫川・向井のヒットエンドラジオ！お相手は向井拓海と！
友紀,姫川友紀と！
きらり,諸星きらりでしたー！
拓海,また次回なー！
友紀,ばいばーい！
きらり,ばいにー☆。……拓海ちゃん、もう一回おなか触ってもいい？
拓海,ちょっ、くすぐったっ、んあっ！
友紀,はい、終了ったら終了ー。見せもんじゃないよー
姫川友紀：菅野智之,2018シーズンモデル
向井拓海：栗山巧,ライオンズクラシック2018モデル
諸星きらり：石川雅規,2018シーズンモデル
