上条春菜,プロデューサーさん、見てくださいあの子！
ミリP,もちろん油断しちゃ駄目だ。普段とステージでは別人だなんて、よくあることだからな
紗代子,普段とステージが別人……。……大丈夫です。油断なんてできません
ミリP,よし、その意気だ！
モバP,もう一回確認するぞ。今日のライブバトルはデュオ。お前と高山が同時にステージに立ち、2曲連続でパフォーマンスする
春菜,はい。1曲目がSnowWings。そして2曲目が、765プロのbraveHARMONYですよね
モバP,そうだ。いいか春菜、油断はするな。客の印象に残りやすい2曲目は相手の持ち歌だ
春菜,油断なんてしません。ステージに立つときはいつも真剣です。そうでないとファンの皆さんと眼鏡に失礼ですから
モバP,それならいい。場数ではお前が勝っているが相手は765だ。新人かどうかは関係ないからな
春菜,はい。……でもプロデューサーさん。私、楽しみなんです
モバP,楽しみ、か
春菜,い、いえ！もちろん気を抜いているわけではなくって……
モバP,わかってる。眼鏡アイドル2人でどんなステージになるのか、それが楽しみなんだろ？
春菜,はい。それも、あの偉大な先輩眼鏡アイドルがいる765プロですから！さすがはプロデューサーさん、お見通しですね！
モバP,お前がわかりやすいだけだ
春菜,そうですか？
モバP,……おっと、そうだ春菜。アドバイスをしておこう
春菜,アドバイスですか？ぜひお願いします！
モバP,相手を見るな
春菜,え？
モバP,高山紗代子を見るな。視界に入れるな。意識を割くな
春菜,ど、どういうことですか？
モバP,そして、ステージが終わったらまっすぐ控え室に戻れ。わかったな？
春菜,そんな、いきなり言われても……
モバP,……まあ、お前にできるとは思っていない。だけど心の準備はしておけ。期待通りにはならないからな。高山さんは、逸材ですね
ミリP,あ、346さん。ありがとうございます
モバP,まず歌に惹かれますが、ダンスも疎かにしていない。新人の子はどっちつかずになりそうなものですが、堂々としていますね
ミリP,はい。妥協はしたくないんですって聞かなくて。かなり熱心にレッスンに取り組んでいました
モバP,それでも普通は間に合わないでしょうに。よほど自信があったんですね
ミリP,いいえ。逆です
モバP,……逆、ですか
ミリP,紗代子は本当に、何事にも全力で取り組みます。努力も決して怠りません。だけど、それは自信がないからです。これだけやったから大丈夫と、そう思えるラインまで紗代子は止まりません
モバP,なるほど
ミリP,いえ、違いますね。紗代子はきっと永遠に止まりません。どれだけ努力しようが、どれだけ力をつけようが、もっとできるはずだもっと頑張れるはずだという考えが頭から離れないでしょう
モバP,……それでは、すぐに潰れてしまいますよ
ミリP,だからブレーキが必要なんです。紗代子の頑張りを認める存在が
モバP,それが、あなたですか
ミリP,ええ。俺や、劇場のみんながそうです
モバP,……ひとつ、いいですか？
ミリP,はい？
モバP,高山さんは、どうして──
春菜,紗代子ちゃん！
紗代子,春菜さん。今日は、ありがとうございました
春菜,…………
紗代子,その……お客さんの判断はともかく、春菜さんのパフォーマンスは、とても──
春菜,どうして、どうして眼鏡を外したんですか？
紗代子,…………
春菜,お願いします、答えてください
紗代子,……眼鏡をかけた弱い私が、ファンの皆さんの前に立つわけにはいかないからです
春菜,眼鏡姿を見られるのが、恥ずかしいということですか
紗代子,……恥ずかしいとは、少し違います
春菜,それなら、どうして──
モバP,春菜、やめろ
紗代子,！
春菜,プ、プロデューサーさん……
モバP,高山さん、悪いね。疲れてるだろうから、早く控え室に戻った方がいい
紗代子,は、はい……
モバP,それと、今日のステージはとても良かったよ。俺に言われても嬉しくはないだろうけど
紗代子,い、いえ！あの……本当に、ありがとうございました。失礼します
モバP,さて、春菜
春菜,…………
モバP,帰ろうか
春菜,……はい
モバP,春菜。言っておくが悪くはなかったぞ。歌詞も振り付けも完璧だった
春菜,…………
モバP,ただまあ、上の空というか、集中できてなかった気はする
春菜,…………
モバP,それでも紙一重の勝負だったと思う。自分のパフォーマンスに集中していれば勝ってただろうな。それが今回の反省だ
春菜,…………
モバP,なあ春菜。別に慰めるつもりじゃなくて、俺は本気でそう思って──
春菜,プロデューサーさんは
モバP,ん？
春菜,プロデューサーさんは、知ってたんですね。紗代子ちゃんのこと
モバP,そりゃそうだ。あの765プロの新プロジェクト、そのオーディションを勝ち抜いた1人だ。注目しない理由がない
春菜,紗代子ちゃんは、ステージで眼鏡を外していました
モバP,そうだ。高山紗代子はステージで眼鏡をかけない。理由は……。理由は、聞いたけど教えてもらえなかった
春菜,……ごめんなさい
モバP,どうした、急に
春菜,ステージに上がって、紗代子ちゃんが眼鏡をかけていなくて……そこで、プロデューサーさんのアドバイスの意味がわかりました
モバP,そうか
春菜,言われた通りにやろうと、思いました
モバP,でも、できなかった
春菜,はい……だって、紗代子ちゃんは本当に眼鏡が似合っていて、可愛くて、それなのに……
モバP,悔しそうだな、春菜
春菜,……そうです！私は悔しいんです！紗代子ちゃんに胸を張ってほしいんです！紗代子ちゃんに、眼鏡をかけた自分を好きになってもらいたいのに！
モバP,…………
春菜,プロデューサーさん、私にチャンスをください！
モバP,チャンス？
春菜,2……いえ、1ヶ月後に、紗代子ちゃんにライブバトルを挑ませてください！
モバP,それで、どうするつもりだ
春菜,私のパフォーマンスで、紗代子ちゃんを変えてみせます！だから、お願いします！
モバP,…………
春菜,…………
モバP,お前が眼鏡に救われたように、眼鏡のせいで辛い経験をした人がいるかもしれない。それが高山紗代子かもしれない。それでもお前は、彼女に眼鏡をかけさせようとするのか
春菜,……はい！そんな人にこそ、私は私の想いを届けたいんです！
モバP,そうか……
春菜,…………
モバP,春奈、お前はひどいやつだよ
春菜,……はい
モバP,そして……最高だ！
春菜,！
モバP,やってやろうじゃないか！1ヶ月後、お前の本気を見せてやれ！！
春菜,……はいっ！！この、眼鏡に誓って！
ミリP,紗代子、ライブバトルの挑戦が来た
紗代子,わ、私にですか？
ミリP,そうだ。期日は1ヶ月後。形式はデュオで、会場はこの前と同じ場所だ
紗代子,それで、相手は……？
ミリP,346プロ、上条春菜
紗代子,…………
ミリP,あまり驚かないんだな
紗代子,はい。もう一度ぶつかるような、そんな気はしてましたから
ミリP,どうする？スケジュールは空いてるけど
紗代子,……やります。やらせてください！
ミリP,わかった。先方にもそう言っておくよ
紗代子,曲は、まだ決まっていませんよね？
ミリP,いや。1曲目は346プロのNationBlueだ
紗代子,！
ミリP,2曲目はこちらが選ぶけど、俺は星屑のシンフォニアを推そうと思っている
紗代子,あの曲を、一人で……
ミリP,一度敗けた相手に、1ヶ月後に勝負を挑む。どんな覚悟かは想像もつかないけど、今のままで勝てるとは思わない方がいい
紗代子,…………
ミリP,この歌をものにすれば勝てる。そして、紗代子ならそれができると思う。だから選んだんだ
紗代子,プロデューサー……！
ミリP,できるか？
紗代子,はい！全力で行きます！
高山紗代子は眼鏡そのものを嫌悪しているわけではないだろう。しかし春菜にとっては同じことだ。眼鏡を,弱さ
モバP,彼女はやっぱり逸材ですね。346の曲をこうも歌いこなすなんて。それともプロデューサーの腕ですか？
ミリP,まさか。日頃のレッスンの賜物ですよ。頑張ったのは俺じゃなくて紗代子です。今回も勝ちはもらいますよ。紗代子は、たった一度の勝利にあぐらをかくアイドルじゃないですから
モバP,……春菜は、眼鏡をかけてようやくアイドルでいることができます。眼鏡をかけて、ようやくステージに立っています。自信がないのは高山さんと同じです
ミリP,そう、だったんですか……
モバP,その春菜が自分から言ったんです。もう一度やらせてほしい1ヶ月で仕上げてみせると。それがどんな意味なのか、わかりますか？
ミリP,それは……
モバP,765さん。春菜は勝ちますよ
ミリP,…………
