七尾百合子,以下、百合子
小鳥,へえ、それってもしかして……
百合子,うぅ……
小鳥,青春ねぇ……気持ちはわかるわ
美咲,でも、そのままじゃ困っちゃうよね……。音無先輩、なにかいい案はありませんか？
小鳥,そうねぇ……気になる男の人に話しかける方法、か
百合子,…………
小鳥,……百合子ちゃん、いっその事発想を逆転させましょう
百合子,発想を逆転？
小鳥,そうよ、話しかけるんじゃなくて話しかけてもらえばいいの。つまり……プロデューサーさんに、構ってもらえればいいのよ！
美咲,……音無先輩、それじゃ解決しないんじゃ？
小鳥,そうでもないわよ？これも理にかなってるんだから
美咲,そうなんですか？
小鳥,勿論よ！いい？今、プロデューサーさんは百合子ちゃんを気にしてる状態なの
百合子,……つ、つまり
小鳥,そう、男の人のハートを独占出来ているって事なのよ……！
美咲,言われてみれば……そうなのかな？
小鳥,このチャンスを逃すなんて勿体ないわ！
百合子,ど、独占……？私が……
美咲,でも音無先輩、独占って言ってもどうすれば良いんですか？
小鳥,やっぱり……ここは、百合子ちゃんの得意分野で攻めるしかないんじゃないかしら
百合子,得意分野……？。ほ、本の話が出来たら苦労しません！
小鳥,誰も本とは言ってないわよ？。相手の顔を見ないで一緒に出来る事……ほらね、一つあるでしょ？
百合子,……ああっ！ゲームですか！？
小鳥,そう！最初に一緒にやりたいって事だけ伝えておけば……
美咲,後は一緒に出来る、って事ですね！
百合子,……で、でも最初に声をかけなきゃいけないんじゃ
小鳥,ほんの少しの勇気で良いのよ、百合子ちゃん！。それに……一緒にやってたら、話しやすい空気になるかもしれないでしょ？
百合子,話しやすい、空気……
美咲,百合子ちゃん、ゲーム機って……
百合子,えっと……確か、給湯室に置いてた筈です。早速取りに行ってきますね！
小鳥,あっ、おかえり百合子ちゃ――
P,ただいま戻りましたー
美咲,ぷ、プロデューサーさん！？
P,ん、何か問題でも……？
小鳥,打ち合わせ終わるの早くないですか！？
P,早いですかね……とりあえず、スムーズに進行はしましたけど。当面の予定がなかったし、メモに書いてた企画まとめちゃおうと思いまして
美咲,そ、そうだったんですか……
小鳥,まさか、百合子ちゃんより早く帰ってくるなんて……
P,それで、青羽さんどうでした？百合子から何か聞けましたか？
美咲,へぁっ！そ、そのですね……。ど、どうしましょう音無先輩！
小鳥,だ、ダメよ！今、百合子ちゃんの様子が気になってるのが大事なの！。話したら独占できなくなっちゃうかもしれないわ！
美咲,そ、そんな……
P,……二人とも、なんでそんなにアイコンタクトしてるんですか？
小鳥,な、なななんでもないですよ！ね、美咲ちゃん！
美咲,え、あ、はい！
P,……？
望月杏奈,以下、杏奈
P,杏奈か。おはよう、今日のレッスンはどうだった？
杏奈,ん……今日はね、ステップ上手くいったから……。杏奈……先生に、褒められた……よ♪
P,やったな、一歩前進だ！偉いぞ、杏奈！
杏奈,えへへ……♪
美咲,……良いなぁ
P,でも……あれ？この後は、特に予定なかったよな？。わざわざ事務所寄らなくても良かったんじゃないのか？
杏奈,んと……これ、一緒にやろうと思って
P,ゲームか？
小鳥,……あっ
杏奈,うん……この前の、続き……したくて
P,ああ……なるほど、だから事務所に来たのか
杏奈,……お仕事中だから、ダメ？
P,いや、そんな事ないぞ。メモは後でまとめればいいからな
杏奈,本当？……やった……♪
P,よっし、二人で頑張るか！
美咲,……ど、どうしましょう音無先輩
小鳥,どうもこうもないわ……
百合子,色々あって遅れちゃった……早く行かないと。でも、どうやってプロデューサーさんに切り出せば……。……ううん、迷ってなんていられないよね！。小鳥さん達も協力してくれるし……。私が頑張らないと！。それじゃ、早速――。――え？杏奈ちゃん？
P,さ、ソファーに座ってっと……
杏奈,…………
P,杏奈、座らないのか？
杏奈,んと……その……
P,？
杏奈,えと……プロデューサーさん……。……膝の上……座っても、良い？
P,杏奈が嫌じゃないなら、構わないけど……
杏奈,やった……♪
P,なんか、こうしてるとくすぐったいな……
杏奈,……杏奈……降りた方が、良い？
P,平気……ただ、ちょっと操作しづらくなるかもしれないが
杏奈,大丈夫、だよ……杏奈が、頑張るから……！
P,そうか？それじゃ、始めるか！
杏奈,……うん！
小鳥,デレデレしちゃってぇ……！
美咲,むぅ……
百合子,あ、杏奈ちゃん膝の上座ってる……。……良いなぁ。私……どうしよう。な、何か出来ないかな……
杏奈,…………
P,……ぐっ、やられちゃったか
杏奈,……杏奈、退いた方が……いい？
P,うーん……その方が、勝てそうだけども
杏奈,ゴメン、ね……足、引っ張っちゃって
P,杏奈は操作上手いじゃないか、悪いのは俺だよ。でも、このまま続けても難しいな……
杏奈,こんな時……百合子さんが、いてくれたら……
百合子,あのゲーム……これと、一緒の？。……ダメ元で。あっ……二人のプレイルームがある。どうしよう……。……よし
P,……仕方ない、もう一度チャレンジするか
杏奈,……うん……杏奈……頑張る、ね
P,おう！それじゃ早速……？。！？
杏奈,百合子、さん……いるの？
P,どこにいるんだ……？これ、近くの相手としか通信できないはずじゃ。……！
百合子,…………
P,百合子……。……力、貸してくれるのか？。それなら……やるしかないよな。……よし、今度こそクリアするぞ
杏奈,……うん……杏奈……頑張る、ね
小鳥,百合子ちゃん……ドアの影に隠れてやってるわね
美咲,独占じゃなくなっちゃいましたね……
小鳥,私のミスだわ……悪い事しちゃったわね
美咲,……でも、百合子ちゃん楽しそうですよ？
小鳥,……ホント？
百合子,…………！
杏奈,やった……♪
P,よし、ようやくクリアだな！。杏奈、手伝ってくれてありがとな！
杏奈,ん……また一緒に……遊ぼう、ね
P,ああ、いつでも誘ってくれ！。それじゃ……ちょっと杏奈、膝の上からどいてくれるか？
杏奈,？良いけど……
P,ありがとう、それじゃ……ちょっと行ってくるか
百合子,やった……クリアできた。二人きりじゃなかったけど……一緒にゲームできて良かったなぁ
P,百合子！
百合子,ひゃいっ！？
P,さっきは手伝ってくれて助かった！ありがとう！
百合子,た、大した事じゃないですから……
P,それじゃ、はい！
百合子,？
P,勝利のハイタッチだ！
百合子,は、ハイタッチ……
P,ほら、手を出して
百合子,手を……合わせる？。む、無理です！。こ、こんな近くなんて無理！
P,…………えっ？。…………
美咲,プロデューサーさん……魂が抜けきった顔してますね
小鳥,完全に逆の意味にとってる顔よ、あれは……
P,俺、百合子にそんなに嫌われてたのか……
美咲,あ、あのプロデューサーさん……それは違うんじゃ
P,いえ……良いんです、俺が何かしちゃったのかもしれないし。はぁ……とりあえず仕事するかぁ
星井美希,以下、美希
美咲,……美希ちゃん、事務所来てからずっと寝てますね
小鳥,美希ちゃん、次の仕事そろそろじゃないんですか？
P,そうですね……そろそろ起こしてやらないとダメか。おーい、美希！
美希,ん……はにぃ、もっと触って……♪
P,…………
小鳥,よし、任せたわ美咲ちゃん
美咲,はい、落ち着いて１・１・０ですね
P,俺ただ起こしただけですよね！？
百合子,私、何やってるんだろ……逃げたら意味ないのに。まだプロデューサーさんいるかな……？。あれ？美希さん……？プロデューサーさんが起こそうとしてるのかな？。…………
P,ったく！そんな事やってる場合じゃないんだって！。ほら美希、そろそろ時間だぞ！
美希,むぅ……もう、なぁに？ミキ、せっかくいい夢見てたのに……
小鳥,でしょうね
美咲,…………
P,お、俺は何もしてなかったというのに……！
美希,……あれ、ハニー？起こしてくれたの？
P,ああ、そろそろ時間だからな
美希,そうなの？もっとお昼寝したかったのに……
P,そんなにいい夢見てたのか？
美希,うん！ハニーと一緒に寝てる夢！
P,！？
小鳥,さて
P,夢ですよ、夢！？
美希,ハニー……ミキの事、ギュって抱きしめてくれたの
P,そ、そうか……それは良かったな
美希,ハニー、今度一緒に寝てくれる？
P,……そ、それは
美咲,……用意は出来てます、プロデューサーさん
P,……そ、そんな事より早く支度しよう！な？！
美希,あーっ、逃げるなんてズルイの！
P,そうは言ってもな……そうだ！。よし、今日の仕事がバッチリ上手くいったら考えとくよ！
美希,ホント！？ヤクソクしてくれる？
P,ああ、約束だ！
小鳥,……それはヤクソクじゃなくて、ヤケクソなのでは
美希,それじゃ早速行くの！ミキ、ゴホウビの為に頑張るね！
P,……やる気を出してくれて助かった、のか？
美咲,…………
小鳥,ふぅむ……
P,……み、美希送ってきます！
小鳥,まったく……プロデューサーさんったら
美咲,私もやってくれないかな……
百合子,あ、あのぅ
小鳥,百合子ちゃん！良かった、帰ってなかったのね！
百合子,は、はい……
小鳥,ごめんなさい……私がウカツだったわ
百合子,い、いえ！小鳥さんは悪くないです！。私の方こそ、勝手に逃げちゃったりして……
小鳥,百合子ちゃん……
百合子,プロデューサーさん……私の事、嫌いになったかも
美咲,百合子ちゃん……
小鳥,……そんな事はないわ
百合子,で、でも……
小鳥,プロデューサーさんはそんな人じゃないわ、きっと分かってくれるから。……さて、それじゃ次の作戦を立てましょうか
美咲,まだ続けるんですか？
小鳥,百合子ちゃん次第ね……どう？
百合子,……このまま話せないのは、嫌です
小鳥,よし！それなら、別のキッカケを探すしかないわね
美咲,他のキッカケ……ですか
小鳥,自分から話しかけなくても構ってもらえる方法、か……。百合子ちゃん、何か心当たりない？
百合子,……美希さんの真似をしてみるとか、どうでしょうか！
美咲,美希ちゃんの？
百合子,はい！さっきみたいに、ソファーで寝て……
小鳥,起こしてもらう、って事ね……うん、それなら良いかも！
百合子,そ、そうですか？
小鳥,……グッドラック
P,ふぅ……ただいまです
美咲,おかえりなさい……お疲れ、ですか？
P,はは……ここまで往復するとは思わなかったので
小鳥,美希ちゃんはどうでした？
P,出てくる直前に見ただけですが……ええ、気合十分でしたよ。あの調子なら、しっかりとやってくれる筈です！
小鳥,それは良かったですねー
P,……な、なんでそんな刺々しい視線を向けるんですか
小鳥,えー？純粋な乙女を抱き枕にするんですよねー？
P,……し、しませんよ？
美咲,美希ちゃんにウソつくんですか？
P,俺はどうすれば良いんですか……
小鳥,抱き枕にした上で捕まるというのはどうでしょうか
P,救いがない……。……ん？またソファーで誰か寝てませんか？
美咲,あっ、百合子ちゃんです！
P,百合子が？
小鳥,はい、さっき戻ってきて……そのまま寝ちゃいました
美咲,ゲームで疲れちゃったんでしょうか？
P,……そうですか
百合子,……き、きたっ！？
P,…………
小鳥,百合子ちゃん、頑張って！
P,…………
百合子,な、撫でられて……！。だ、ダメよ百合子！ニヤけちゃダメだから……！
P,このまま起こそうか、それとも……。そういえば……。百合子は、お姫様抱っこに憧れてたっけ。……仕方ない、運ぶ間くらいはしてやるか
百合子,？
P,それじゃ、失礼するぞ……
百合子,えっ、えっ！？
小鳥,お、お姫様抱っこ……
P,ここで寝かすわけにもいかないでしょう。この後特に百合子の仕事はないし……仮眠室に運んでおきます。そら、ちょっとだけ我慢してくれよな……
百合子,し、しっかり抱えてもらっちゃってる……？。だ、抱きついても良いかな……？。だ、ダメ！そんな事したらバレちゃう！
美咲,……音無先輩
小鳥,な、なにかしら美咲ちゃん
美咲,私もああいう風に寝てたら、抱っこしてもらえますか……？
小鳥,……羨ましい気持ちはわかるわ
P,さて……
百合子,…………
P,……起きたら、嫌がられるかな
百合子,！そ、そんな事ないです！
P,うおっ！？
百合子,きゃっ！
P,っとと……危ないところだった
百合子,ご、ごめんなさい……
P,百合子、起きてたのか？
百合子,……は、はい
P,……一体どうしたんだ？最近、ちょっと様子おかしかったけど
百合子,……聞いても、笑いませんか？
P,？
百合子,……ぷ、プロデューサーさんに構って欲しくて
P,……へ？それだけか？
百合子,そ、そうですけど
P,…………
百合子,…………
P,……っく、アハハハハ！
百合子,だ、だから笑わないでって言ったのに！
P,ゴメンゴメン！俺、てっきり嫌われたかと思ってたからさ。そうか……それなら良かった
百合子,うぅ……
P,でも、それなら話しかけてくれれば良かったじゃないか。本の話とかゲームとか……色々あったろ？
百合子,そ、それは……その
P,……？
百合子,……なんか、急に話しづらくなっちゃって。気になってるとか絶対言えない！
P,話しづらく？
百合子,な、なんかその……緊張しちゃって
P,……まったく、そんな事考えなくて良いのに
百合子,えっ？
P,俺なんて大層な人間じゃないんだしさ、そんな気負う必要ないだろ？。俺だって、百合子と話してるのは楽しいからさ
百合子,め、迷惑とかじゃありませんか！？
P,全然！そんな事あるわけないだろ？。本の話とかしてる百合子はとっても楽しそうだしな
百合子,そ、そうですか……。こ、こうやって褒められると……恥ずかしい
P,……そろそろ下ろした方が良いか？起きてるし
百合子,いえ！このままベッドまで運んでください！
P,？また寝るのか？
百合子,王子様がベッドまで運んでくれるのは当然、ですよね♪
P,俺には覚えがないけどな……仕方ない。それじゃお姫様、寝台にお連れ致します
百合子,うむ、苦しゅうない！なーんて♪
P,…………
百合子,は、はひふるんでふかぁ～
P,……なんとなく
百合子,もぅ……えへへ♪
小鳥,百合子ちゃんと、あの後でどうしたんですか？
P,ん、どうしたって……
美咲,……ベッドまで、運んで行ったじゃないですか
P,な、なんで青羽さんが睨みつけてくるんですか……！？
小鳥,羨ましかったんですよ
美咲,お、音無先輩！
P,って言っても……俺はベッドに運んだだけなので
小鳥,とか何とか言っちゃってぇ……本当は抱き枕にしたとか
P,ありませんから！
美咲,…………
百合子,おはようございます！
P,おっ、元気いっぱいだな！おはよう！
美咲,百合子ちゃん、もう元気いっぱいだね！
百合子,はい、お手数をおかけしました！
P,さて、今日はボイスレッスンだっけか……
百合子,プロデューサーさんもついてきてくれるんですよね？
P,ああ、久々だからな
百合子,それじゃ、休憩時間にいっぱいお話ししましょう！。最近読んだ本の王子様がまたカッコ良くて……♪
P,分かった分かった、たっぷり聞くよ
小鳥,……いつも、手助けした後は虚無感に襲われるのよ
美咲,良いなぁ……
P,…………
百合子,なんですか？私の顔に何かついてますか？
P,いや、そういう事じゃないんだけどさ……。やっぱり、百合子はそうやって笑ってた方が良いなと思って
百合子,もー、照れちゃうからやめてくださいよ♪
Ｐ,……そういや、前みたいに言わないのか？
百合子,？何のことですか？
Ｐ,ほらこっち見ないで！恋しますよ！って奴
百合子,……言って欲しいんですか？
Ｐ,まぁ……うん、ちょっとドキっとしたし
百合子,……ふふっ、ダメです！言ってあげませーん！
Ｐ,そうか……残念だな
百合子,……それじゃ、お仕事行きましょうか！
Ｐ,お、おい！引っ張るなって！
百合子,……恋しますよ、なんてもう言いませんよ？。だって……私、もう恋しちゃってますから♪
