輿水幸子,……まだかなあ
紗枝,それじゃあ、御三方にいいものあげますわあ
幸子,これは、よく冷えてますね
紗枝,うちの今日の撮影はこのお茶の宣伝らしくて、余ったのをたくさん渡されてなあ
輝子,フ、フヒ……選ばれた
小梅,さ、紗枝さん……ありがとう……
幸子,焼きそば食べてる時も飲み物ありませんでしたしね……丁度良かったです
紗枝,ええ、喜んでもらえたみたいでうれしいわあ
小梅,そ、そろそろプロデューサーさんがくるみたい……
幸子,それじゃあボクらは行きますよ、お仕事の邪魔でしょうし
紗枝,おおきに、よかったら見に来てなあ
輝子,フヒ、脱出……
幸子,さて、何処にいきましょうか
小梅,あ、あんず飴食べたい……
輝子,さ、さっきの場所にあった、行く、幸子？
幸子,行きましょうか、ってあれ……
小梅,ま、間違いなくあそこだね……
輝子,フヒ、解りやすい……
幸子,あ、気づかれた
諸星きらり,幸子ちゃん小梅ちゃん輝子ちゃんおっすおっす☆
双葉杏,ちょっときらりいきなり走らないでよ、三人ともおいーす
幸子,双葉さんがわざわざこんなとこに来るなんて珍しいじゃないですか
杏,違うんだ、きらりが飴買いに行こうっていうから
きらり,きらり嘘はついてないにぃ？
小梅,さ、策士……
輝子,フヒヒ
杏,まあ、人ごみは好きじゃないけどこれも楽でいいかなーって
幸子,ダメ人間だ……
きらり,ところで幸子ちゃんたちはあんず飴がほしいのかにぃ？
小梅,わ、私が買おうと思ったの……
きらり,それじゃあきらりん先輩がおごってあげるにぃ☆はいどーぞ☆
小梅,え、い、いいの？
杏,ルーレット当てたらもう一本っていうのできらりが当てたんだよ
きらり,そういうことー☆
小梅,そ、それじゃあ遠慮なく……
輝子,キ、キノコ飴は……
幸子,無いです
輝子,……
杏,それじゃあ私は次の飴を求めて旅に出るよ
きらり,次はりんご飴だにぃ☆
幸子,ええ、行ってらっしゃい。あと向こうにわたあめの屋台がありましたよ
杏,わたあめはもう食べたんだ
小梅,し、仕事が早い……
きらり,それじゃあ、きらりん特急いってくるにぃ☆
杏,あ、だからちょっといきなり走らないでってば
輝子,あ、嵐のようだった……
幸子,諸星さんって疲れないんですかね……
小梅,あ、ある意味ホラー？
幸子,そんなホラーはいらないです。ちょっとわたあめが食べたくなったので行っていいですか？
輝子,も、問題ない
小梅,……
幸子,それじゃあ行きますか、二人ともはぐれないで下さいよあ、あれは……
喜多日菜子,むふふ、わたあめいかがですかぁ？
幸子,何で店番なんてしてるんですか、喜多さん
日菜子,あらぁ、幸子ちゃんたち、いらっしゃい？
輝子,な、なめこのわたあめ……
小梅,ほ、ホラーはないみたい……
日菜子,ここはちひろさん達が出してる屋台なんですよぉ？
幸子,え、そうだったんですか
日菜子,ええ、お仕事終わった日菜子にちょっとお留守番しててって言ってどこかに行ってしまいましたぁ
幸子,相変わらずよく解らないですねえ……そこのなめこのやつ二つお願いできますか？
輝子,フヒヒ、親友、よく解ってる
日菜子,ええ、ちょっと待ってくださいねぇ、こうくるんくるんと
小梅,お、おお
幸子,上手いですねえ
日菜子,日菜子はもこもこしたものは得意なんですよぉ、はい幸子ちゃんと輝子ちゃん♪
輝子,フヒヒ、ありがとう
日菜子,ああ、お金はいいですよぉ、後でちひろさんに言っておくのでぇ
幸子,それなら、有難く頂きましょう、喜多さん有難うございました
日菜子,どういたしましてー♪あ、あと。もうすぐ花火が始まるみたいですよぉ？
幸子,それなら、どこか落ち着いて見られる場所に行きましょうか
輝子,い、異論なし
小梅,……
日菜子,日菜子もプロデューサーさんと花火……むふふ……。ふふ……
幸子,結局、ベンチに戻ってきましたね
輝子,す、座ってられると落ち着く……
小梅,たくさん歩いたし……つかれた……
幸子,それもそうですね……あ、始まったみたいですよ
小梅,た、たーまやー
輝子,き、キノコォォォォォォ！
幸子,ちょっと間違ってませんかそれ
輝子,き、気にするな親友
幸子,しかし、まあ……
小梅,キレイ……？
輝子,フヒヒ
小梅,あ、あれが爆散した内臓……
幸子,怖い喩えはやめましょう、折角の綺麗な花火が……
小梅,な、内臓もキレイ……
輝子,フ、フヒ、小梅はセンスが独特だから……
幸子,独特でいいんでしょうかこれ……しかし、それにしても
輝子,ま、祭りって
小梅,いいもの……
幸子,来年また三人で来ましょう、その時は普通の浴衣で
輝子,フ、フヒッ、幸子の分の浴衣も選んでおく……
小梅,楽しみ……
幸子,普通のですよ、普通の、普通って解ります？
小梅,小腸柄と悩んだけど、そ、そっちが幸子でも……
輝子,ど、ドクツルタケ柄も……
幸子,……だから普通でお願いしますってば
小梅,幸子、一つ忘れてる……
輝子,ば、罰ゲーム……フヒ
幸子,……忘れられてると思ったんだけどなあ。ま、こうしているのも悪くはないかなあ……
小梅,ふ、ふふ
輝子,フヒヒ
？？,わからないわ、何故私は出ていないの
モバP,名前は出たんだからいいじゃないですか
？？,よくないわ！私も若い子たちに混じってお祭りを楽しみたいのよ！
モバP,まあまあ、たこ焼きでも食べて落ち着いてくださいな
？？,あーん
モバP,はいはい、あーん
？？,もぐっ、まあ仕方ないわ、許してあげる
モバP,いやあ、花火が綺麗だなあ……
？？,ふふ、そこはお姉さんの方が綺麗ですね、でしょう？。P……私も……綺麗……？
モバP,はいはい綺麗だよ、よいしょっと
？？,あら、お姉さんも抱っこしてほしいなあ、ほら♪
モバP,誰か引き取りに来てくれないかなあ……
