モバＰ,以降Ｐ表記だよ★フヒヒッ
まゆ,そうですねぇ…。とりあえず今の録音、まゆにも頂けませんか？好きだよ
凛,駄目。これは後で私用に編集するんだから
まゆ,むぅ、凛ちゃんのケチ。クンカー
肇,帰っていいですか？
未央,待って待って。未央ちゃんだけじゃツッコミ足りない
卯月,基本この事務所ってボケばっかりですもんね！
凛,手掛かりはプロデューサーが電話口で言ってたちーちゃん
未央,手掛かり少なすぎない？
凛,仕方ないよ。とにかく事務所内でちーちゃん
卯月,デストロイですね！
凛,いや、そこまでは……………しなくていいよ
未央,今随分長いこと考えてから絞り出したね、しぶりん
肇,あの…Ｐさんのお相手が事務所の方という確証は無いのでは？
凛,確証は無いけど確率が高いのも事実だよ。だってアイドル事務所だよ？ここ
卯月,思わず手を出してしまってもおかしくない娘が昭和のＲＰＧばりのエンカウント率ですもんね！
未央,しまむー言い方
まゆ,Ｐさんが女性と接する機会が一番多いのも事務所の中ですしねぇ…とりあえず事務所の中の容疑者を当たっていくのは良いアイディアだと思いますよ？
卯月,３４６プロちーちゃん
肇,撲滅しちゃ駄目ですよ！
未央,ツッコミがもう１人いると楽でいいなぁ
肇,あの、そもそもの話ですけどＰさんに直接訪ねてみる、というのはいけないんですか？
凛,えっ…………あ、いや、今日プロデューサー外回りの後直帰らしくてさ？
まゆ,………………そ、それに、あのＰさんの事ですし。上手くはぐらかされてしまいそうですからねぇ？
未央,思いつきもしなかったなぁ、このへっぽこ朱蒼コンビめ
卯月,とりあえずちーちゃん
凛,卯月、そっちに手を出したら色々な意味で潰されちゃう。と言う訳で事情聴取を開始します
千夏,私の知る限り、事情聴取というものはパイプ椅子に手足を拘束して行うものでは無かった筈だけど
卯月,革ベルトと三角木馬のほうが良かったですかね！
千夏,アタンテ待って
未央,ゴメンねちな姉。運がよかったら３０分ぐらいで終わるから
千夏,突然そう言われても…私ちーちゃん
凛,本当に？
千夏,この状況で嘘なんてつかないわよ。何されるか分かったものじゃないわ
卯月,虚言だったら唯ちゃんとのディープなカラミの薄い本が次のイベントで販売されます！
千夏,アタンテ！待って！
凛,アッシェンテ？
未央,盟約に誓ってどうするのさ
千夏,とにかく私じゃないわよ。プロデューサーは優秀だし信頼はしているけど……そういう目で見るにはちょっと闇が、ねぇ？
卯月,何かわかります！
未央,しまむーの闇のほうが遥かに深いと思うけどね
凛,プロデューサーはそこが良いのに…うん、千夏さんは違うみたいだね。協力ありがとうね
千夏,凛ちゃん、こういうのは協力じゃなくて脅迫と言うのよ？
卯月,では次の容疑者のところにいきましょう！今度こそデストロイです！
未央,だからデストロッちゃ駄目だってば
凛,まゆ達はどうだろ。ちょっと電話してみようか
唯,およっ、どったのちなっちゃん。緊縛プレイ中？
千夏,どうしてそんな嬉しそうな顔をするの？
智絵里,ちーちゃん、ですか？ぷ、プロデューサーさんからっ！？
まゆ,この様子じゃあ、智絵里ちゃんは違うみたいですねぇ…
肇,良かった。じゃあその手に持ってる物騒な包丁はしまいましょうね、まゆちゃん
まゆ,大丈夫ですよぉ？ほら、これはただの護身用のタケミツですから
肇,えっ？…あっホントだフニャフニャしてる
まゆ,私としては麺棒握りしめてる肇ちゃんのほうが怖いですよ
智絵里,ちー、ちゃん？プロデューサーさんが、私をちーちゃんって、ちーちゃんって…？
まゆ,あら、智絵里ちゃんがオーバーヒートしちゃってますねぇ可愛い
肇,本当だ、お顔真っ赤にしてモジモジしてる可愛い
智絵里,そ、そんな、恥ずかしいです…で、でもでも、２人だけの時なら少しだけ…あぁっ、やっぱり恥ずかしいですっ！
まゆ,わわっ、智絵里ちゃん手を振り回したら危ないですよぉ可愛いですけど
肇,完全にトリップしちゃってますね可愛いけど
智絵里,あぁ、駄目ですっ駄目ですプロデューサーさんっ
まゆ,わっ！ま、まゆの威嚇用タケミツ包丁が！
肇,さっき護身用って言ってたのに！って私の麺棒まで！？
まゆ,ち、智絵里ちゃん落ち着いて！戻ってきて！？とにかくその手刀エクスカリバー
智絵里,そ、そんな…白い家に子供は２人大きな犬が欲しいだなんて……私、お庭にはいっぱいクローバーを植えたいです
まゆ,きゃっ！離れたのに真空刃がっ！
肇,こ、これじゃあ近づけません…って言うか事務所が細切れになりそうです！
アッキー,それは困る
智絵里,はう
まゆ,ああっ！
肇,アッキー！
アッキー,アイドルを守るのは、俺の本能なのかもしれん
智絵里,……あ、あれ？私、一体何を…
まゆ,…取りあえず、智絵里ちゃんもシロですねぇ
肇,アイドルとしては色々グレーゾーンな気がしますけど
智絵里,？？？
アッキー,ｵﾂｶｰﾚ
凛,さぁサクサク行くよ
卯月,次の容疑者がこちらになります！
千佳,ねぇねぇ、マジカルグッズ買ってくれるって本当？
凛,本当だよ。後で未央がウィザードライバー買ってくれるってさ
未央,この企画私のサイフに厳しい！
千佳,わーい♪ありがとー未央ちゃん♪
卯月,汚したいほど純真無垢な笑顔ですね！
凛,駄目だよ卯月。シロかクロかをまずハッキリさせないと
未央,何そのハッキリさせた後なら汚していいよ的な言い方は
千佳,？
凛,ねぇ千佳。プロデューサーから普段何て呼ばれてる？
千佳,Ｐくんから？千佳は普通に千佳って呼ばれてるよ？
卯月,本当に普通ですね！島村レベルの普通さです！
未央,しまむーが普通だったら未央ちゃんなんかモブレベルの没個性だよ
卯月,えっ？未央ちゃんの個性は同級生みんなの
未央,おい島村
凛,ちょっとそこのサイコ２人、聴取の邪魔だよ
未央,え、私も同類扱い？
凛,他に違う呼ばれ方したりしない？ほら、例えばの話だけど…ちーちゃんとか。あとちーちゃんとかさ
未央,ヘタクソか
千佳,ちーちゃん？ううん、そんな風に呼ばれたことないよ
凛,本当？正直に言ったらアックスカリバーもつけるよ？
千佳,ホントだよぉー、魔女っ娘は嘘つかないんだよ？
卯月,最近の魔法少女は嘘どころか同士討ちしたり絶望に落ちて魔女化しますけどね！
未央,しまむーステイ。千佳ちゃんの希望を砕いてファントムにする気？
凛,うーん、千佳も違うみたいだね。よし、次行くよ卯月、ミツボシ
卯月,合点承知の助です！
未央,親しき仲にも礼儀ってあると思うよしぶりん。あ、色々ありがとうね千佳ちゃん
千佳,よくわかんないけど、いってらっしゃーい♪。…あ、そう言えばこの前Ｐくん確かあの人のことちーちゃんって…
まゆ,そうですか。千佳ちゃんもシロでしたか。ではまゆ達は次の容疑者の取り調べに取り掛かりますねぇ？。すいません、お待たせしました
千奈美,いや別に待ってないから。取りあえずこのリボン解いてくれない？
肇,えっと…お、お似合いですよ？
千奈美,それ喜んでいいの？
まゆ,では、早速尋も……お話を聞かせてもらいますねぇ
千奈美,今７割がた尋問
肇,すみません…すぐに済むと思うので
千奈美,まぁ、下手に抵抗しても無駄っぽいし。で何なの？どうして私はいきなりリボンで拘束されてるのかしら
まゆ,ファンの方にでも見られたら芸能生命アウトな姿ですねぇ
肇,だ、大丈夫です…えっと、お似合いですよ？
千奈美,それがフォローになると思ってるなら肇もそっち側よ？
まゆ,大丈夫ですよ、ちょっと質問に答えて頂けたらすぐ解放しますから
千奈美,なら早くしてよ
まゆ,千奈美さん、Ｐさんから普段何て呼ばれてますかぁ？
千奈美,Ｐさんに？え、何その質問
まゆ,お答え下さぁい
千奈美,痛だだだっ！ちょっ、締まる締まる！いうから、言うから！。ふ、普通に千奈美
肇,本当に普通ですね
千奈美,ねぇ、もういいでしょ？早く解いて
まゆ,嘘ですねぇ？
千奈美,あだだだっ！食い込んでる！食い込んでるっ！
まゆ,噂では密かにＰさんと２人の時にだけ使われている呼ばれ方があると、某マキノさん筋の情報が入ってるんですよぉ？
肇,ぼかす気無さすぎませんか、それ
千奈美,そ、それは……
まゆ,あらあら、４人目でホシ発見ですかねぇ？さぁさぁお答えください？
千奈美,食い込んでる食い込んでるっ！言うから！白状するから取りあえず離してっ！
まゆ,はぁい
千奈美,うぅ…目覚めちゃったらどうしてくれるのよ…
まゆ,さぁ
千奈美,……。………ち…
まゆ,ち？
肇,ちー？
千奈美,ちなみー……
まゆ,
肇,
千秋,ちょっと！一体何なのこれは！
未央,ゴメンちあ姉。大丈夫、多分大人しくしてればすぐ済むからさ
凛,ちょっと２、３聞きたい事があるだけだから、そんな警戒しなくてもいいよ
千秋,突然背後から麻袋被せられて気付いたら鎖で縛られてたりしてたら聖人君子でも警戒するわよ
卯月,鎖で拘束される姿が似合うアイドルＮｏ１ですね！オークとか居なくてごめんなさい
千秋,居ても困るわ
凛,さて、じゃあ早速始めようか
卯月,アレな気分になる薬とかウネウネした触手みたいなの用意しましょうか！
未央,しまむー自重しようね
卯月,はいっ！
千秋,…何かまともに取り合うと頭がおかしくなりそうだし、何かしら？聞きたい事って
卯月,凛ちゃんと若干キャラと見た目が被ってる事ですか？
凛,被ってないよ。私には若さがあるし
千秋,被ってないわよ。８６㎝と８０㎝を一緒にしないで頂戴
凛,くっ…！
千秋,ふふん
未央,しぶりん初っ端から脱線しちゃってるよ。ねぇちあ姉、プロデューサーからいつも何て呼ばれてる？
千秋,えっ、それは普通に千秋、って名前でだけど…それが何なの？
卯月,本当に普通です！平々凡々です！
未央,しまむー、ちょっと大人しくしててくれたら後でビスコ買ってあげるよ？
卯月,はーい
千秋,何？聞きたい事ってそんな事なの？それだけの為に私はこんな目に？
凛,うん、似合ってるよ
千秋,やめて。風評被害にも程があるわ
卯月,千秋さんもシロっぽいですね！黒真珠なのに！
未央,オレオも付けてあげるから大人しくしてようね、しまむー
卯月,はーい
凛,うーん、そうみたいだね…よし、それじゃあ次の容疑者のところにいこうか。協力ありがとうね千秋さん
未央,あとちーちゃん
卯月,語尾にちー
千秋,えっ？いやちょっと！これ解いていきなさいよ！ちょっ、信じられないガチで行っちゃったわあの娘たち！。くっ…！解けない…。誰か来てくれないかしら……
愛海,あーあ…どっかに抵抗できない上り放題のお山があったりしないかなぁ
千秋,あ
愛海,お
肇,あの、まゆちゃん？
まゆ,はい？
肇,どうして私の頭の上にこんな巨大なカゴが設置されてるんですか？
まゆ,それはもちろん、次の容疑者を捕まえるためですよぉ？
肇,え、これで捕まる人がいるんですか？……あれ、もしかして私ってエサ？
千枝,ふんふんふふんふーん♪丸亀製麺～♪…あれ？
まゆ,あ、早速来ましたよ
肇,わぁ、やっぱりだぁ
千枝,わぁい、肇さ…うどんさんだぁ
肇,今目と目が合ってからあえて間違ったほうに言い直したよね？
まゆ,えいっ
肇,きゃっ！
千枝,わわっ、何ですか？千枝が悪い子だからお仕置きなんですかっ？
まゆ,お手柄ですよぉ肇ちゃん。容疑者ゲットです
肇,もしかしてコレのためだけに私呼ばれたんじゃないですよね！？
千枝,うわー暗いよぉ怖いよぉ肇さぁん
肇,大丈夫だよ千枝ちゃん。ほら、こんなの軽いから簡単に
まゆ,まぁ、物置にあった小道具ですからねぇ
千枝,ぐすん…いきなり真っ暗になって怖かったです…うどんさんありがとう
肇,さっきちゃんと肇さんって呼んでくれたのにまた炭水化物にされちゃうんだね
まゆ,うふ、本当に仲が良いですねぇ
千枝,はい。千枝うどんさんの事大好きですっ
肇,私も千枝ちゃん好きだけど色々複雑な感情があるのも否めないなぁ
まゆ,千枝ちゃん千枝ちゃん。１つお聞きしますけどＰさんからいつも何て呼んでもらってますかぁ？
千枝,千枝がプロデューサーさんからですか？千枝の事は千枝って呼んで貰ってますよ？
肇,ちーちゃん、とか呼ばれたりしてない？
千枝,あ、いいなぁ。それ可愛いですねっ
肇,うーん、千枝ちゃんもシロですね
まゆ,そもそもＰさんにロリ趣味はありませんからねぇ
千枝,何のお話ですか？
肇,ううん、何でもないよ。ありがとうね千枝ちゃん
千枝,？よく分かりませんけど、千枝お役に立てましたか？
まゆ,助かりましたよ、千枝ちゃん
千枝,えへへ
まゆ,さて…では最後の容疑者のところにいきましょうか
肇,あの人ですね…ここまで来たら最後までお付き合いしましょう。じゃあ私たちは行くね。またね千枝ちゃん
まゆ,ご協力ありがとうございました
千枝,はーい。行ってらっしゃい。うどんさん、ナポリタンさん
まゆ,ちょっ
肇,ぷっ…
凛,この事務所でち
千鶴,な、何ですか突然！…はっ、まさかドッキリ企画か何かですか!？カメラ、カメラは…？
未央,ところが残念
卯月,ただのプライベートです！
千鶴,同僚をいきなり縛り上げるのが貴女達のプライベートなんですか！？
凛,失礼な。こんなこと一月に３、４回ぐらいしか無いよ
千鶴,ほぼ日常的じゃないですか！
卯月,早速デストロイです！
千鶴,ひっ！
未央,ストップしまむー。良い子だからその振り上げたブリッツェン降ろしてあげようね
卯月,はいっ！
千鶴,い、命拾いした……
ブリッツェン,同じくや
未央,ねぇねぇつるちゃん。プロデューサーから普段どんな風に呼んで貰ってる？
千鶴,むしろその呼ばれ方のほうが気になるんですが…。プロデューサーから？それは普通に千鶴、って呼んで貰ってますけど
卯月,毛筆眉毛とかじゃないんですね！
千鶴,逆さに吊るして人間筆にしましょうか！？
凛,どうどう。うーん、千鶴もシロだとすると…
未央,普通に考えればちーちゃん
卯月,日常的に血まみれな人だからでしょうかね！
千鶴,何それ怖い
小梅,何それ見たい
未央,後は事務所外の人か、って線もあるねぇ。むしろ事務所の関係者と付き合うよりそっちのほうが自然だろうし
凛,うん…アイドル以外のちーちゃん
卯月,日常的にチッ、って舌打ちしまくる人とかですかね！
千鶴,何ですかそれ怖い
凛,…うん？アイドル以外でちーちゃん
未央,およ、何か未央ちゃんも思いついちゃったぞぉ？
卯月,私も閃きました！緑色の容疑者が残っています！
千鶴,あの…もう用事が済んだのなら解いてもらえません？
凛,灯台下暗しとはこの事だね…一番身近で一番怪しい人を見落としていたよ。行くよ卯月！ヨツボシ！
卯月,ひとっ走り付き合います！
未央,何の権限があって星増やしたのさ。しぶりんはミシュランか何かなの？
千鶴,あの！だから解いてっ！振り返らず前を向いて行っちゃいますか普通！誰かっ、誰かぁー！
ブリッツェン,堪忍なぁ、おっちゃん蹄やから解いてやれんのや
凛,さぁ、お前の罪を数えろ！
卯月,今更数え切れそうにありませんけどね！
ちひろ,ちょっ！何ですか何ですか突然！わわっ、あっという間に縛られちゃいましたよ！？
未央,うわあ、爪先から首元までグルグル巻きだね
卯月,まるでエビフライみたいです！
ちひろ,お願いだから食べないでね？
まゆ,お待たせしましたぁ。ごめんなさい、まゆ達すっかりちひろさんを見落としていましたぁ
未央,ダークホースと言うか、考えてみれば一番有力な容疑者だもんねぇ
ちひろ,えっ、えっ？さっきから何の話ですか？というかまずは解いてくれませんか。微動だに出来ないんですけど
肇,ごめんなさい…私の力ではどうすることもできません。未央ちゃんもツッコミ仲間だと思っていたんですけど…
凛,ふふ、未央は常識人ぶってるけど結構コレはコレでアレだからね
未央,人のことを言えるのかい渋谷の凛さんや
卯月,類友ですね！
ちひろ,ですから何の話ですか！？まずは説明してもらえると嬉しいんですけど！…くっ、首から上しか動かせない！
凛,私たちが聞きたい事は１つだけだよちひろさん……いいや。あえてこう呼ぼうか、ちーちゃん！
ちひろ,……はい？
凛,……え？
ちひろ,ちーちゃん？えっ？何ですかそれ。随分可愛いあだ名ですけど…え、私ですか？
まゆ,とぼけても無駄ですよ？もう容疑者っぽいのはちひろさんしか残ってないんですから。もうちひろさんがオチ…犯人に決まってるじゃないですかぁ
ちひろ,いや、確かにそりゃあオチ要員とか言われる事もありますけども！ありますけども！
卯月,グルグル巻きのまま活きの良い車エビみたいにピョコピョコ跳ねてます！
肇,あの…プロデューサーさんからちーちゃん、なんて呼ばれたりしてません？
ちひろ,はぁ？あの陰険性悪外道社畜がそんなラブリーな呼び方してくれる訳ないじゃないですか！
未央,うわぁ、返す言葉が微塵も思いつかないや
ちひろ,そもそも、私があの人から日頃何て呼ばれてるか知ってます？
凛,緑の悪魔
未央,財布の破壊者チィケイド
まゆ,カネゴン
肇,えっと、金の亡者…？
卯月,鬼と悪魔も最寄り駅１つ前で下車して避ける銭ゲバです！
ちひろ,うわぁぁん！今の恰好じゃ涙も拭けない！
凛,…うん、よく考えると確かに一番怪しい容疑者だけど
まゆ,更によく考えると一番可能性の低い容疑者かもしれませんね
未央,結局プロデューサーとちひろさんって仲良いの、悪いのどっち？
肇,あの、何と言えばいいのか……強く生きてください
ちひろ,だから何がどうなってるんですかぁ！毎回私の扱いだけ悪くありません！？
Ｐ,来たぞー
時子,チッ、本当にノコノコ来たのね。他に何かすることが無いのかしら？
Ｐ,入荷したってわざわざ連絡くれたんだろ。ツンデレキャラに路線変更か？
時子,アァン？しばき倒すわよ
Ｐ,やめて。今持ってるの鞭じゃなくて包丁じゃないスか
時子,ああ、そう言えば電話口で随分おちょくった事言ってたわよね。豚の分際で
Ｐ,記憶にございませんのでまずは包丁置いてください時子サマ
時子,チッ…
Ｐ,あ、ほら。そうやってチッチッ舌打ちしまくるからだろ。ちーちゃん
時子,この豚は正味幾らぐらいかしらね
Ｐ,だから包丁は置いといて！？
時子,はぁ…気分が悪いわ。さっさと用を済ませてそのみっともない顔を私の視界から消して頂戴
Ｐ,この顔が気に食わないならこの前別の事務所の先輩から貰った被り物があるけど
時子,何でアルファベットの形なのよ
Ｐ,アイドルのプロデューサーの正装らしいぞ
時子,まぁいいわ、どうだって。…はい、好きなんでしょう？コレが
Ｐ,そうそう。悪いな、こんなの時子にしか頼めなくてさ
時子,調子に乗らないことね。相応の対価かきっちり払って貰うわよ
Ｐ,ああ、もちろん
時子,豚バラ４００ｇ。１０８０円よ
Ｐ,はい、んじゃ丁度
時子,生意気にスタンプが溜まってるじゃない。みみっちい男ね
Ｐ,ポイントカードくれたのお前なんだけど。よし、今夜はトロトロ角煮だな。ありがとな時子
時子,チッ
Ｐ,じゃ、また事務所でな。ちーちゃん
時子,他の女の前でその戯言吐いたら店頭に並べるわよ
Ｐ,とっきーだと愛梨と被るだろ？
時子,帰れ
芳乃,おしまいなのですー
アッキー,買い物を待っている娘にモフモフさせてあげるのが飼い犬のルールだろう
