ついでにホラー系はやり,れ
小鳥,協力ですか。なら、私がリードするから大丈夫よ、千早ちゃん
千早,……ではよろしくお願いします
P,ふふ、内容も知らずに小鳥さんも強気ですね。……まぁ、そんな難易度高いゲームじゃないですけど
小鳥,ではでは、タイトルをどうぞ！
P,スライムは投げるXです。説明はゲームしながらにしよう。それじゃ、スタート！
小鳥,私がこの赤いスライムですね
千早,私が青いほうですね
小鳥,……
千早,……
小鳥,なるほど、木箱を投げてぶつけるわけですね
千早,だからタイトルがスライムは投げる、ですか
P,この分だと説明要らないな
小鳥,よしっ、一面クリアしたわ
千早,次のステージは……あっ
小鳥,あの、これいきなり難易度アップしすぎじゃ……
P,ああ、1-2は鬼門ですね。ジャンプにクセがあるから動く床が対応しにくいんですよね
千早,音無さんすみません、登れません
小鳥,任せて！ここは私がパパッとクリアしてみせるわ！
P,友情だなぁ……これこそ、協力プレイの醍醐味だね
小鳥,あれ、何か鉄アレイみたいのがありますね
千早,投げてみます？……遅い
P,ああ、鉄アレイは重いから投擲速度が遅いんだ。代わりに攻撃力は高いぞ
小鳥,なるほど
千早,……だいぶ進みましたね
小鳥,1-10……あの黒いのはボスみたいね
P,ええ。気をつけて下さいね
千早,私はボス以前にジャンプがまだ……
小鳥,……攻撃が避けられた！？
P,ボスですからね
千早,音無さん、ここは箱を積み重ねて攻撃を
小鳥,そうね。いっけー！
P,……おっ、勝った
千早,次のステージは……敵が盾？を持ってますね
小鳥,えっ、この敵、普通に回避してくる！？
千早,後ろからなら避けないみたいですよ
P,……なんだかんだあって、全クリしたな
小鳥,サクサク進みましたからね
千早,音無さんに助けられてばかりでしたけど
P,いやいや、傍から見てたら千早の活躍っぷりもよく分かったぞ
小鳥,そうよ。ラスボスにとどめ刺したのも千早ちゃんだったじゃない
千早,そんな……たまたまです
P,千早、どうだった。後半はジャンプも上手くなったようだが
千早,そうですね……たまにはこういうのもいいかとは思えました。単純操作なので、やっていくうちに上手くなるのも体感できますし。面白かったです
P,小鳥さんは？
小鳥,協力プレイが出来るのは良かったです。私、バッチリ活躍できましたし。ステージもギミックが凝ってて良かったですね。それと……やっぱりゲームはグラフィックじゃないですね
P,ええ。あんまり言うとアレですが。市販ゲーで言えばFPS系やMGSなんかは美麗なグラフィックがあって、より面白くなった作品だと思います。でも、そこに凝らなくても面白いゲームってやっぱりあるんですよね
小鳥,だからこそ、フリーゲームってわけですね
P,ええ……ちなみに、このスライムは投げるには続編があります
千早,続編ですか
P,ああ。アイテムが追加されたり、スライム以外の敵が増えたりしている。ただMS-DOSゲーだから起動すんの面倒なんだけどな
小鳥,機会があったら千早ちゃんとまたやりたいですね
千早,そうですね。次は音無さんをもっとサポートしてみせます
P,珍しい組み合わせだが、この二人もいいよね。……そろそろ仕事の時間だな。千早、行こうか
千早,もうそんな時間でしたか
小鳥,熱中してたからね……頑張ってね、千早ちゃん！
千早,はい！
P,……名曲揃いのスターダンスもやらせたかったが……あれはやめとこう
春香,プロデューサーさん！聞きましたよ
P,おう、春香。何を聞いたんだ？
春香,ゲームですよ、ゲーム！千早ちゃんと遊んだんですよね！
P,うん。春香もやるか？
春香,わっほい！？私が言おうとしてたんですけど
P,あずささんもどうです？
あずさ,ゲームですか。あまり経験がないんですけど
P,大丈夫ですよ。初心者でも安心のものをチョイスしますから
あずさ,そうですか？じゃあ、たまにはいいかもしれませんね
春香,それで、どんなゲームをするんです？
P,まぁ、待て……ジャジャーン！マイパソコン～。うーん、あずささんと春香がプレイするとなると……そうだな。よし、まずはこれだうみのなかまたちDX！
あずさ,あら、かわいい
春香,クラゲとタコですか、これ
P,おう。まずストーリーを紹介しよう。今、画面に浮いているクラゲが完全自律型戦闘支援用ロボット試作1号だ。そして、タコが試作2号だ。この二機がプレイヤーになる
春香,えっ。これ、ロボットなんですか
あずさ,あらあら～
P,ああ、そしてこのクラゲとタコがある日海に行くと、謎の魚型ロボット軍団が暴れていた。遊び場を好き勝手されてクラゲは激怒。海の平和のために今、立ち上がった！。……というストーリーだ
あずさ,見た目とは違って、何だかシリアスですね～
P,まぁ、ゲーム中そんな話は一切出てこないし、プレイするだけなら全く関係ないけどな
春香,じゃあ、何でストーリー説明したんですか
P,一応、背景も語っておこうかなって。さ、ゲーム始めるぞ。二人はクラゲとタコ、どっちがいい？
春香,えぇと、どんな違いがあるんですか
P,クラゲの方が早くて、タコはリーチが長い。まぁ、取り合えず見た目で選べばいいさ
あずさ,私はどっちでもいいから、春香ちゃん選んで？
春香,そうですか？……じゃ、クラゲにします
あずさ,それじゃ、私がタコね～
P,よし、ゲームスタートだ
あずさ,え～と、どうすればいいのかしら～
P,何もしないと沈んでいくんで、上昇してください
春香,こうですね。……なんか、一々所作がかわいいですね
あずさ,あら～画面の端から魚が泳いできたわ
P,さっき話した謎の魚ロボットです
春香,じゃあ、あれが敵なんですか
P,そうだ。あずささん、捕獲ボタンを押してみてください
あずさ,これですね～
春香,わっ、タコが脚を伸ばしましたよ！
あずさ,あらあら～、お魚さんを捕まえちゃったわ～
P,ナイスです。あ、敵の集団が来ましたね。あずささん、捕まえた魚を敵に向かって放ってみてください
あずさ,えっと、これでいいんですか？
春香,爆発しましたね
P,ちなみに、今の黒いのがオープニングのボスだ。もう分かったと思うが、このゲームは雑魚敵を捕まえて自分の武器にするんだ
春香,なるほど……あ、捕まえた魚に★がつきましたよ
P,捕まえた魚は一定時間がたつとそうやってパワーアップする。二段階パワーアップすると凄い威力になるぞ
あずさ,どんなお魚さんでも捕まえられるんですか？
P,さすがに全部じゃないですよ。ボスは当然として、大型は大体無理です
春香,あっ、ナマコみたいのがウニ投げてきましたよ、ウニ！
P,気をつけろ春香！そいつは強力な爆弾だ！
春香,えっ……あ、やられちゃった
P,大丈夫。まだ残機はある。……ウニは強力だから上手く捕まえたいところだな
あずさ,あら、上から漂ってきたのはクリオネかしら～
春香,やたっ、クリオネゲットですよ！
P,クリオネは溜めるとバリアー張れるから、ストックしとくと安全だぞ
春香,……次のボスはイソギンチャクですね
あずさ,イカを吐き出すなんて大きいわね～
P,さっきからあずささんが一度もやられてないな。あれ、あずささんて俺よりゲーム上手い？。っていうか何気に春香も撃墜数少ないな。俺、初プレイでイソギンチャクまでいけなかったぞ。…………
春香,あ、クリアーですね
P,えっ、もう？早くね？
あずさ,でも、これで終わりみたいですけど
P,……マジかよ。二人ともゲーム上手いのね
春香,私は結構やられちゃったんですけど、あずささん凄い得点稼いでたんで
P,ああ、1upしまくって残機がたくさんあったのか
あずさ,よく分からないんですけど～
P,……うーん、これだけで終わるのは寂しいな
春香,あの、それじゃ次はプロデューサーさんも参加できるゲームがいいです
あずさ,そうね～。せっかくなんですから
P,……そうだな。俺も腕前を見せておかなきゃまずいか
春香,何かあるんですか？
P,任せろ。じゃ次は協力じゃなくて対戦ゲームにしようか
あずさ,対戦……春香ちゃんやプロデューサーさんと戦うんですね～
春香,お手柔らかにお願いしますね
P,何を言う。全力で行くぞ。タイトルはWRITECIRCLEGAMEX2、通称WCGX2だ。ゲーム内容は極めてシンプルだからやりながら覚えようか。ってわけでスタート
春香,えっと、私この赤色の線？ですか
あずさ,私は緑色ね～
P,俺は青だ……一応、もう一人参加できるんだが今回は無しにしといた
春香,……これ、線を描いていくゲームなんですか
P,そうだ。画面外や他人が描いた線、自分の線にぶつかったらゲームオーバーだ
あずさ,なるほど～上手く旋回して相手を追い詰めていくんですね～
春香,凄くシンプルなゲームですね……あ、何か出てきましたよ！
P,アイテムだ。このゲームには23種類のアイテムが存在する。ちなみにそれはスピードアップだな
春香,なるほど……うわっ、早過ぎて曲がりきれないですよぉ～！
P,……地味に小回りが利かなくなる地雷アイテムだ
春香,あー、ぶつかっちゃった
あずさ,プロデューサーさん、この魔方陣みたいなマークは何でしょう？
P,ワープです。ランダムでどっかに移動します
春香,あずささんにピッタリなアイテムですね！
あずさ,せっかくだから使ってみようかしら～
P,……お、俺の目の前に！？
あずさ,あらあら～
P,……あずささんマジパネェ
春香,もっかい！もっかいやりましょう！
P,当たり前だ。このまま終われるか！
春香,プロデューサーさん！ミサイルこっち向けないで下さいよ！
P,射線上にいる方が悪いのだよ！……って、花火ー！？
あずさ,すみません～ちょうど拾ったもので
P,くっ、必殺！左右反転！
あずさ,あら～私はどこかしら～？
春香,どこかといいながら人の進路妨げないでぇぇぇぇ！
P,ならば最終奥義！壁際で場所チェンジ！
あずさ,あら～無敵があって良かったわ～
P,こっちが袋小路！？
春香,あのープロデューサーさん
P,なんだ、春香。人の脳内に
春香,あずささんが強すぎます。ここはタッグを組みませんか
P,おまっ……さすがにそれは卑怯すぎるだろ
春香,でもこのままじゃ一戦も勝てませんよ
P,ぐぬぬ……
あずさ,遠慮なくどうぞ～
P・春香,バッチリ聞かれてたー！？
P,……結局あずささんの一人勝ちだったな
春香,ミサイルさえ、ミサイルさえ出ていればっ！
あずさ,うふふ
P,……ちなみに、言ってなかったがこのWCGX2はステージを自分で作れたりする。そういった自由度の高さも見所のひとつだな
春香,へ～面白そうですね。のワのステージとか作れるんですか
P,作れるけど……それを作ってどうするんだよ。ところで、二本ゲームやってもらったけど二人とも楽しんでくれたか？
春香,はい！うみなかDXはほのぼのとした絵柄の割に、ゲーム性が高くって面白かったです。WCGX2は本当に対戦ゲームですね。見た目は地味ですけど、凄くハマっちゃいました
あずさ,私も楽しかったです～。普段ゲームはしませんけど、春香ちゃんと協力して進んでいくのが凄くよかったです
P,楽しんでもらえて何よりだ。では、最後にコイツを紹介して締めるとしよう
春香,何ですか？
P,葛藤アクションゲームらいが～らいがぁ～♪だ
あずさ,どんなゲームなんですか？
P,一言で表すなら格ゲーのボーナスステージを抽出したゲーム、かな。車出すから、ちょっとやってみといてくれよ
春香,分かりました～
P,…………今日も無事、終わったか。後の皆には何をやらせようかな。次はシューティング辺り……落ちモノもいいな。期待が膨らむね
