藤居朋,おはよーございまーす
智絵里,ほたるちゃんが、病院に運ばれたそうです……！
朋,ええ！？！？！？どうして！？何か事故に！？
智絵里,いえ、そのくらいではほたるちゃんに傷はつきません
朋,普通に納得できるのがイヤだけどじゃあどうして！？
ほたる,……
朋,ボディの強度にドヤ顔しないで！！！かわいいけども！！！
智絵里,ほたるちゃんに傷をつけるには、ほたるちゃんと同じくらいの硬さのモノが必要です
朋,なんかモンスターの攻略法を練ってるみたいで嫌なんだけど
智絵里,しかし、そんなものは存在しません
朋,詰んでない？
智絵里,いいえ、方法が1つ。ほたるちゃん自身です
朋,？？？
智絵里,ほたるちゃんを使えば、ほたるちゃんにダメージを与えられますっ
朋,これ、何の話？？？
智絵里,ほたるちゃんが、自分で自分を攻撃すれば、ダメージが入るんです！
朋,じ、自分で自分を！？
智絵里,はいっ
朋,ごめん全然場面が浮かばないんだけど、結局どうしてほたるちゃんは病院に……？
智絵里,顔に止まった蚊を叩こうとして、思いっきり自分の頬を引っぱたいてしまったらしいです
朋,ほたるちゃん！！！！！
ほたる,//////
朋,いちいちかわいいなあもう！！！！！
智絵里,えっと、確認なんですが、そこにほたるちゃんはいる……んですか？
朋,いるわよ！ここに！
智絵里,ではそれは……、"生霊"かも……
朋,ええ！？
智絵里,なにか伝えたいことがあって、現れたのかもしれませんっ！
朋,そ、そうなの！？
ほたる,……
朋,そ、そうみたい……！
智絵里,今、ほたるちゃんの声を聴けるのは朋さんだけですっ！しっかり聴いてあげてください！
朋,ほ、ホントに……！？ほたるちゃん、何か伝えたいことが……？
ほたる,この幽霊がよくつけてる三角のやつ、"天冠"って呼ぶらしいです
朋,なんでこのタイミングでマメ知識を！！！。も、もっと他に！なにかあるんでしょ！？
ほたる,もやしを漢字にすると"萌やし"らしいです
朋,もう完全にムダ知識を披露する感じになってる！
智絵里,砂漠で最も多い死因は溺死らしいですよ
朋,緒方ァ！！！
ほたる,鳥取砂丘ではそのようなことはないですよ。みなさん、ぜひ鳥取へ
朋,みなさんって誰！？
智絵里,へー、そうなんだ！
朋,もう普通に会話してるじゃない！！！。もういい！智絵里ちゃん、ほたるちゃんの病院に行こう！
智絵里,えっ？でも、朋さん、このあとお仕事じゃ
朋,そんなの関係ないわよ！ほたるちゃんの危機なのよ！？
智絵里,でも……
朋,でももだってもない！お仕事なんかよりほたるちゃんの方が100倍大切なんだから！！！
智絵里,朋さん……
ほたる,……
朋,ここで行かなきゃ絶対に後悔する！ここで仕事を優先するようなあたしに、ほたるちゃんの隣に立つ資格はないわ！！！
智絵里,……！
朋,あたしは譲らないからね！病院の場所教えて！
智絵里,あ、そ、その前に、ほたるちゃんが何か言いたいみたいですよっ！
朋,ええ！？またマメ知識！？
ほたる,……う
朋,え？なんて？
ほたる,……り……う
朋,ごめん、聞こえな……
ほたる,ど……り……こう
朋,え？もっと大きな声で……
ほたる,ドッキリ……大成功……
朋,
智絵里,
朋,逃げたっ！？。もう！2人共！ひどいじゃない！！！
智絵里,怒ってる朋さんもかわいい！ごめんなさい……
ほたる,頬を膨らませる朋さんかわいい！少し悪ノリをしてしまいました……
朋,もう！！！。もう2人なんて知らないんだから！
智絵里,えっえっ
ほたる,と、朋さん……？
朋,……
智絵里,
ほたる,
朋,……たまには反省してもらわなきゃ！
智絵里,……
ほたる,……
智絵里,……ほたるちゃん、ここ、何階だっけ？
ほたる,……7階です
智絵里,……飛び降りよっか
ほたる,……そうですね
朋,待って待って待って！！！。発想が極端すぎるでしょ！？
智絵里,もう生きていけません……
ほたる,来世では仲良くしてくださいね……
朋,現世でも仲良しのつもりだけど！？
智絵里,生まれ変わっても、わたしに生まれたいな……。もしくは石油王
朋,最期で台無し。わかった！わかったから！
智絵里,ほたるちゃん、飛び降りの許可が出たよ……
朋,わかったっていうのはそっちじゃなくて！！！
ほたる,OK！
朋,そのテンションはおかしくないかな！？
智絵里,じゃあ、わたしが先に飛ぶねっ
ほたる,いえいえ、最年少ですから、私が先に……
朋,……え？
智絵里,……
ほたる,……
朋,……。じゃあ……あたしが……
智絵里＆ほたる,どうぞどうぞ！！！
朋,もー！！！。というか、どうしてドッキリをしようってなったの？
智絵里,あれは……、わたしが上京して3回目の春でした……
朋,本当は？
智絵里,今朝です
朋,あら素直。ああ、胃が……。そこで急に決まったの！？
智絵里,この5秒後に朋さんが入ってきました
朋,そこからのアドリブ能力凄すぎないかな！？。ま、まあ、何はともあれほたるちゃん、頑張ってね……？
ほたる,はい、今回は、この世に未練があって成仏できない幽霊の役らしいんです。頑張りますね
智絵里,未練かぁ……。ほたるちゃんは、死ぬ前にやっておきたいこととかある？
ほたる,1度くらいはエレベーターの扉に挟まれずに乗り降りしてみたいですね
朋,毎回挟まれてるの！？
ほたる,あと、カップ焼きそばの湯切りを成功させてみたいです
朋,あれ普通ミスらないけど！？
智絵里,つまらない人生だねっ！
朋,智絵里ちゃん！！！
ほたる,そういう智絵里さんは、なにかありますか？
智絵里,ほたるちゃんがFXでお金を溶かす顔を見てみたい
朋,明確すぎる敵意
智絵里,……っていうのはもちろん冗談で
朋,あたしの知ってる"もちろん"とは意味が違う気すらしてくるわね
智絵里,トップアイドルになるまでは死ねませんっ！
朋,ここでまともなセリフ！？ごめん全然予想してなかった！！！
ほたる,智絵里さん……
朋,ほたるちゃん、ちょろすぎないかな？
智絵里,雨降って地固まる。ですねっ
朋,暴風雨の直後にコンクリで固めるレベルの無理やりさだけど
智絵里,朋さんはどうですか？
朋,あ、あたし？うーん……
智絵里,いつ死んでも一片の悔いなし……と
朋,もうちょっと考えさせてよ！誰がラオウだ！
智絵里,あ、パソコンの中身ですか？消してあげますよ？
朋,別に見られて困るモノ入ってないから！
ほたる,私がパソコンを触ると、もれなくデータがなくなるらしいです
朋,それウイルスじゃないの！？
智絵里,ほたるちゃんをウイルス扱いだなんて……酷いです……
朋,もう智絵里ちゃんは黙っててくれない！？。まあやっぱり、もっとアイドルとして活躍しないと悔しいかもね
ほたる,私も同感です。せっかくこうしてアイドルになれたんですから
智絵里,はいっ！もっともっとお金を稼ぎましょうねっ
朋,なんでそう生々しい言い方にしちゃうのかな
ほたる,そして、トップアイドル……ですね
朋,うん！その時には、2人が隣にいてくれるといいかな……なんて
智絵里,朋さん……
ほたる,朋さん……
朋,えへへ……
智絵里＆ほたる,もちろんですっ！
朋,ふふっ……。こういう時だけ、息ピッタリなんだから……。そういえば、その劇の役の幽霊はどうして死んじゃったの？
ほたる,いえ、まだ台本を見てないのでそこまでは……
朋,あ、そうなんだ。……まだ仕事までは時間があるわね
智絵里,じゃあ、この前の写真集のサンプルを見てたらどうですか？
朋,そっか、それはホントに届いてるのね？
智絵里,はいっ。そこの棚のところに……
ほたる,あ、私が取りますね
朋,ありがとー。……その服、歩きにくそうなのにごめんね？
ほたる,いえいえ、大丈夫で……
智絵里,あ
朋,わ！あ、足、棚にぶつけちゃった！？大丈夫！？
ほたる,はい…、これくらいなら……
智絵里,棚の上にあったタライが落ちてきましたっ！
朋,ほたるちゃん！！！！！！
