モバＰ(以下Ｐ表記),なんて怖い笑顔で言われちゃったし、流石に休日出勤できないよなぁ
Ｐ,ありがとうございます。力になれるといいですけど
保奈美,優しいのね。でも、あまり深入りしない方がいいわ。戯言だとでも聞いて頂戴。私ね、今行き詰まってるのよ。オペラ歌手としての道を進んでいくことに。理由は、舞台に立てないから。小さい頃に夢見た、キラキラした自分を想像できなくなったの。前に進む事も、後ろに引く事もままならない、そんな状態が続いてね。わからないのよ、どうすればいいか
Ｐ,でも、そんなの誰にだってある事じゃないですか。夢見てるだけだなんて、そんなことありませんよ。何かがきっかけで解消することはきっとあります。辛いかも知れないけど、決めつけるのは早いんじゃないでしょうか
保奈美,諦めるなって言いたいの？別に諦めた訳じゃないわよ。……でも、諦める寸前なのは認めるわ
Ｐ,それほどオペラの道が辛いんですか？
保奈美,辛くなさそうにみえる？
Ｐ,そんなこと……
保奈美,ううん。実際、辛くないの。レッスンが辛いなんて全然思った事ない。私はね、Ｐさん。舞台に立つことが許されないのよ。何がいけないのかわからない。ただそれが苦しくてたまらないの。舞台に立つチャンスはいくらでもあったわ。それを掴み取る機会だってちゃんとあった。でも、どうやってもそのチャンスをモノにする事が出来ないの。実力が無いわけではないと思う。褒められた事は何度もあったし、怠けてた訳でもない。声楽を学んでて、歌劇団にも所属してた。そこでレッスンも積んだし、それなりに歌える自信もあるわ。でも、それでも私は今まで一度も舞台に立った事がないの。強いて言えば、台詞の一つもないエキストラとしてしかオペラを知らない。どんな役のオーディションを受けても、一度も通った事がないのよ。私より適した誰かがその役を持ってっちゃう。どうしてですか、って聞いたことだってあるわ。でも、答えはみんな、悪くないけどあの子の方が上手く表現できていた上手かったけど役に嵌っていなかったって言うの。もっと色んな人の演技を観てきなさい、って助言されるけれど、具体的にどうすればいいのか教えてくれないのよ。きっと、何かに気づかなきゃいけないんだと思う。私に無いものを、自分で見つけ出さなきゃいけないんだと思うの。でも……わからないのよ。こうやって実力問わず色んなオペラを観てきたけど、同じように熱を込めて演じてもそれが伝わらない。ずっとそんな壁と向き合ってきた。でも結局、その劇団はそのまま卒団して、今は縋り付くみたいに声楽を学んでる
Ｐ,保奈美さん……
保奈美,なんて、深刻そうに言ってみたけど。ただ実力が足りないから日常生活と折り合いをつけながらそれを補おうとしてるってだけよ。オンステ(出演)しないならただのオタクと変わらないしね
Ｐ,でも、いつかはまたオーディションを受けるつもりなんでしょう？そんな風に自分を卑下しなくても
保奈美,……そうね。またどこかの歌劇団に入って、何かの役をもらってって、そう考えてるわ
Ｐ,なら
保奈美,でもね、本気でオペラ歌手になりたいのなら、それなりの覚悟がいる。自分の人生を捧げるくらいの覚悟が。オペラは好きよ。大好き。……でも、一度も舞台に立った事がない私が、盲目なまでに覚悟を決める勇気なんて持てる筈がないでしょう？
Ｐ,………
保奈美,だから、潔く諦めて……歌う事を仕事とした、別の道を探す事もありなんじゃないかって。そう思うのは……間違ってるのかしら
Ｐ,保奈美さん……。(何か、何か言わないと)。(でも、何を言っても無責任な事ばかりーーー)
保奈美,……もうすぐ開演よ。オーケストラピットでのチューニングも粗方済んだみたいだし、そろそろ静かにしましょうか
Ｐ,………、そうですね。(……何も、言えなかった)。(そのまま、舞台は開演された)。(小骨が喉に引っかかったような気分のまま、ステージでは聞き覚えのある音楽が流れていく)。(舞台に集中しようとして、暫くーーー)。結構、面白いな。(本格的なオペラなだけあって、フランス語？の演技はわからない)。(しかし、場面転換する度に日本語で注釈が入り、言語がわからなくてもなんとなく伝わる)。(それに……)。上手さとかそういうのじゃなくて、わかりやすくする事に重点を置いてるのか。(明らかに集客した層に合わせた演技をしてる。初心者でもわかるように、でも本格的なオペラを皆に楽しんでもらえるように)。(その証拠に、主人公のカルメンは要所要所でオーバーとも取れる大胆な演技が目立つ)。(悪女役だとすぐにわかるように、胸を逸らして見下したり、媚びるような猫撫で声になったり、いちいちアクションを起こす度に面白い)。(ターゲットを絞り、その中でより楽しんでもらえるように工夫する)。このサークルの演出担当はいいプロデューサーになれるな。(こんな風にアイドルを活かす事ができれば、なんて純粋に考えてしまうほどに)。(そして、舞台は閉演した)。(観客皆が淀みない拍手を送っていた)。(勿論、保奈美さんも)。(余韻に浸りながら、俺と保奈美さんは一言も話さず座っていた)。(劇場に二人しか居なくなっても、しばらくそうしていた)。(そうするべきだと、俺は直感していた)
保奈美,よかったわね……
Ｐ,ええ。良いステージでした
保奈美,あれほどのびのびと、楽しそうに、全力で。いつか、あんなふうに舞台で歌えたら、最高でしょうね
Ｐ,……
保奈美,ああやって歌えたら、どれだけ……
Ｐ,……保奈美さん
保奈美,……ごめんなさい。気を遣わせてしまったわね。気にしないで
Ｐ,保奈美さん
保奈美,私、頑張るわ。いつか、舞台に立って、良い演技して、それで……
Ｐ,保奈美さん。だったら、今歌ってみませんか？
保奈美,は、え？何言ってるのよ。歌えるわけないじゃない
Ｐ,どうして？
保奈美,どうしてって、そんなの。誰かに見られたりしたら
Ｐ,誰もいませんよ？今なら念願のステージで歌えます
保奈美,そういう問題じゃないでしょ？それに、今ステージに立ったって意味が
Ｐ,歌いたくありませんか、保奈美さん
保奈美,だから……ッ
Ｐ,言い方を変えましょう。今、猛烈に。歌いたくて仕方がないんじゃないですか？
保奈美,……っ
Ｐ,俺は正直なところ、保奈美さんにかける言葉なんて持ち合わせていません。何を言っても、無責任で、軽薄な言葉にしかならないからです。……保奈美さん。少しだけ自分語りをさせてください。俺は、保奈美さんの気持ち。ちょっとわかるんです。俺、昔から結構音感あったんです。一度聞けば、自分の出せる音帯であれば再現できる。小学生の頃はそれが特技でした。だからですかね。小学生の時の夢は歌手になりたいでした。クラシックのソリストが渋くてカッコイイって、背伸び満々ガキでしたけど。中学の頃なんかは、合唱部がなかったので合唱祭でお手本係なんて自称してましたよ。声楽の本も買って、進路は芸大に進むんだって、適当に入った部活が終わったら音楽室に忍び込んで発声練習したりもしてましたね。高校生になってからですかね。少しだけ現実を見始めたのは。それなりに実績のある合唱部に入って、最初はチヤホヤされたりもしました。自分が一番上手いんだって、自惚れたりもしましたよ。でも、高学年になって、役職決めやコンクール曲のソロパートの選出が始まって。俺は、パートリーダーやソロに選ばれる事はありませんでした。どうしてだって、みんなに問い詰めた事があります。その時の答えは、Ｐだと色々上手くいかないでした。でも……俺の声は、独善的過ぎたんです。歌としては悪くない。でも、表現の仕方が、感性が、普通の人とは少しズレていて、みんなついてこれなかったんです。ソリストとしてなら、それで良かったのかもしれません。けれど、当時の俺にとってそれを理解することはまだ早かったんです。他にも、俺の知らない水面下で諸々の問題があったんですけど……結局、俺はその合唱部を辞めてしまいました。理解できたのは、自分の実力は大したものじゃないって事だけだったから。歌うのが怖くなってしまったんです。だって、自分が思ってるより周りは俺の声を認めていないんじゃないかって。みんな隠してるだけで、本当はそんなに上手くないって思ってるんじゃないかって。自分の声を、実力を、信じる事が出来なくなってしまったんです。努力はしました。俺には歌が夢で、それしかなかったから。ずっとそのために努力してきたから。でも、駄目でした。何が正しいのかわからないまま練習したところで、悪化するしかなかったから。俺のせいで練習が止まった事がきっかけで、もう部活には行けなくなりました。俺の夢が終わった事を悟りました。……いいや、これは言い訳ですね。自分から逃げて、諦めたんです。保奈美さん。俺は貴女に、頑張れなんて言えません。俺は頑張れなかった人間だから。いつか舞台に立てるようになれますなんて言えません。俺はそこを諦めた人間だから。ただ……最近になって、わかったんです。諦めなければ、もしかしたらそこに立てたかもしれないって。保奈美さん、さっき言いましたよね？諦めた訳じゃないって。だったら歌える筈です。歌えるんですよ。どれだけボロボロになってても、諦めていないのなら。俺は知ってるんです。悔しかったから。俺も歌いたかったから。いつでも成り代わってやるって思ってたから。保奈美さん。貴女は、あの演技を観て。あれ以上の演技をしてやりたいって。そう思ったんじゃないんですか？
保奈美,……簡単に言ってくれるわね
Ｐ,演技じゃない、歌だけです。簡単な事ではありませんか？
保奈美,貴方、やっぱりズレてるわよ。そういう問題じゃないでしょう？
Ｐ,そういう問題じゃなくても、です。歌だけなら、素人目でもさっきの人と比べる事が出来ます
保奈美,比べて、どうするの？
Ｐ,怖いですか？また同じような答えが返ってくるのが
保奈美,……
Ｐ,……それとも。誰かと比べて、劣っていると評価されるのが怖いんですか？
保奈美,…………ッ！
Ｐ,そうではないのなら。歌って見せてください。俺に見せて下さい。貴女の歌を
保奈美,………私、はっ。私だってーーーッ！！
警備員,すみませーん
Ｐ保,ーーーっ
警備員,お客様、退場のお時間が過ぎています。おかえり願いませんか
保奈美,……Ｐさん、行きま
Ｐ,歌わせていただけませんか
警備員,は？
Ｐ,歌わせてください。お願いします！
警備員,いや、ちょっと！何をいってるんですか？困ります。退出をお願いします！
Ｐ,そこをなんとかーーー
保奈美,……Ｐさん………。結局、追い出されちゃったわね
Ｐ,そうですね
保奈美,歌う場所を得るのって、簡単な事じゃないのよ。舞台に立つなんて、尚更
Ｐ,………
保奈美,今日はありがとう。話を聞いてくれて。話を聞かせてくれて。……では、私はこれで
Ｐ,待ってください。俺はまだ貴女の歌を聴いてない
保奈美,……でも、歌う場所なんてないでしょう？
Ｐ,用意します。今すぐに
保奈美,え？Ｐさんちょっと……！
Ｐ,聴くなら今すぐしかない。用意してみせます。絶対に
保奈美,……Ｐさん？
Ｐ,ーーー。……もしもし、ちひろさん？。先輩が企画してる中で、一番広い箱はどこですか？。はい、はい、すみません。我儘きいてもらってありがとうございます。……はは。今度全部話しますよ。酒の席なら俺の奢りでいいです。はい、では……。ふぅ……よし
保奈美,ね、ねぇ…Ｐさん？
Ｐ,ん？どうしました？
保奈美,本当に、ここで歌っていいの？
Ｐ,大丈夫ですよ。誰も居ないですし、許可も降りてます。時間食っちゃいましたけど、すみません
保奈美,いや、別にそれは構わないのだけど、ここって某放送局のホールなんじゃ……
Ｐ,適度に大きくて使えるとこあって良かったです。懐かしいなー
保奈美,……もういいわ。うん
Ｐ,そうですか。……さて。場所は用意しました。案外簡単でしょう？歌う場所を得るのなんて
保奈美,それについては全力で意義を唱えたいところね
Ｐ,簡単なんですよ。では、聴かせてもらいましょうか。保奈美さんの歌を
保奈美,……ねぇ、Ｐさん
Ｐ,どうしましたか？今更怖気付いたなんてのは無しですよ
保奈美,一つだけ聞かせて欲しいの
Ｐ,何を、ですか？
保奈美,Ｐさんは、最近諦めなければ良かったって気付いたのよね。どうしてそれに気付けたの？。どうして、諦めなければ舞台に立てたかもしれないって、そう思えたの？
Ｐ,………。俺、高校卒業したら、進学じゃなくて就職を選んだんですよ
保奈美,？
Ｐ,歌を諦めたけれど、完全に捨て切ることができなくて。音楽は俺にとって既に血肉の一つだったんです。なら、せめて歌に関わる仕事をしようと思って、色々探してみた結果、アイドルのマネージャーならやれそうだって思ったんです。音程だけならアドバイスできるかもって、身体の鍛え方とかならアシストできるかもって。それで、とあるアイドルのマネージャーを任されたんですよ。その人は凄い破天荒な人だったけど、同時に空気を変える事に凄く長けている人だった。そんな人にただ付いて行って命令を聞くだけの生活だったんです。でも、その人は最初からそうだった訳じゃないんです。悩んだ時期もあったって。自分を殺して活動した時もあったって。せん……その人のプロデューサーは、それが嫌だったらしいんです。絶対にそれは彼女の持ち味じゃないって、彼女だけの持ち味を活かさなきゃいけないんだって。二人とも、諦めなかったんですよ。やっぱり自分のやり方が正しいんだって、そう言い張る事を決めたらしいです。まぁ、それがあの破天荒ぶりになるのはアレですけど……正直、目が覚めた気分でしたよ。考えて考えて、それでも考えて。自分の正しさを証明するために努力する。勿論、それだけでは駄目かもしれないけれど、少なくとも俺には仲間はいました。心が折れてしまった時こそ、仲間の声を聞くべきだったんです。部活に行かなくなった時。部活の仲間が何度も声をかけてきました。手を差し伸べてくれていたのに、夢が終わったんだって勝手に逃げ出していた。諦めずに、その手を握っていたら、変わっていただろうって。そう思うんです
保奈美,Ｐさん……
Ｐ,だからこそ、こう考えるんです。考えてしまうんです。目の前の人が夢を諦めてしまったのなら、手を伸ばさない訳にはいかないって
保奈美,……！
Ｐ,保奈美さんは、諦めていないみたいだから。だからこう言います。歌は歌だ。それに上も下もなければ、貴賎や身分の違いだってない。他人や自分を傷付けるものじゃないんです。自分を傷付けるために歌う事なんて出来やしないんです。歌う事を、どうか怖がらないで。教えてください。西川保奈美という、素敵な女性の事を。夢みたいでキラキラしてる貴女を、俺に聴かせて欲しいんだ
保奈美,………
Ｐ,保奈美さん？
保奈美,……こんなdolceな告白、中々無いわね
Ｐ,え……！や、そんなつもりで言ったつもりは一切……！
保奈美,………ふふふ。いいわ、教えてあげる。口が回る貴方に、私のハバネラを。この湧き上がる想いを。魅せてあげる。今の私の全てで
Ｐ,(その後、保奈美さんは伴奏も無しに歌い始めた)。(音は完璧で、舞台に立っていた子と遜色ない……いや、それ以上の歌を披露してみせた)。(惜しむらくは、ここに俺以外の人間が居なかったことだろうか。広いホールに二人しか居ないのは、やはり寂しすぎる)。(でも、保奈美さんはとても楽しそうに歌っていた。俺だけを見て、俺だけの為に歌ってくれた)。(それだけで、無理を言った価値は十分すぎる程にあると思えた)
保奈美,ねぇ、Ｐさん。私ね。少しだけわかった気がするの。さっき、私のことを教えてくれって言ったでしょう？そのつもりで歌おうとしたんだけど……私らしさってなんだろうってなってしまったの。舞台に立つ子はみんな、とても個性的だったわ。今思えば、自分の持ち味を理解してたのかも。上手いとか下手だとか、そういうところじゃなくて。自分の性格や個性が役に嵌ってて、観てる人みんなが楽しそうに見えてたのかもしれない。ね。Ｐさん。私の魅力ってなにかしら？。答えられない？そうよね。私たち、まだ今日初めて会ったばかりだもの。でも、貴方は得意でしょう？それを見つけるのが仕事なんだもの。Ｐさん。これから、私の事を教えてあげる。好きなものも、嫌いなものも。苦手な事や、私にも分かってない事まで、全部。だから、教えて？。私の魅力。私の個性。ちょっと遠回りするの。ううん。もしかしたら、遠回りしてたのかもね。今まで怖くて踏み出せなかった。でも、貴方となら進める。今日それがわかったの。だから、逃がさないわ。私をあんな風に歌わせたのだもの。責任とってね。……ふふふっ。さぁ、冗談かどうかは教えてあげない。それがわかるくらいには、お互いのことを理解しなくちゃね。だから……そうね。まずはーーー。貴方の事を教えて貰おうかしら。名刺、いただける？
大学の頃合唱サークルに入ってて、一度,カルメン
