鷹富士茄子,ライブ中でも不幸が気になる……！一緒に歌う人を巻き込んでしまうかも……！そんな中でも事務所には幸運の女神が……！しかも歌が上手い
茄子,ほ、ほたるちゃんを泣かせたのはどこの誰ですか！！！！！
ほたる,そこのあなたです……。ええと、プロデューサーさんから先にお話だけ頂いたんですが……
茄子,ふむふむ
ほたる,今度のライブのセットリストに、ミス・フォーチュンのデュエットを入れるらしくて……
茄子,……
ほたる,……？
茄子,……
ほたる,……あの
茄子,うぅ……
ほたる,ど、どうして泣くんですか……！？
茄子,せっかくお仕事を頂いたのに……私がほたるちゃんを説得できないばかりに……断らなくてはいけないと思うと……うぅ……
ほたる,こ、断らないですからっ……！もうプロデューサーさんにも”やります”って伝えましたし……
茄子,……！？ほ、ほたるちゃん、私とデュエットしてくれるんですか……！？
ほたる,最初から言ってるじゃないですかぁ……
茄子,ち、ちなみに歌う曲は……？
ほたる,はい、”キミのそばでずっと”です
茄子,！！！！！
ほたる,か、茄子さん！？大丈夫ですか！？
茄子,き、キミのそばでずっと……！？
ほたる,は、はい……
茄子,赤い糸……ずっと大切だよ……つなぐ手と手……とめどなく溢れる愛……！！！。その歌をほたるちゃんがOKした……！？。告白では……！？！？！？
ほたる,……？
茄子,ほたるちゃん
ほたる,は、はい
茄子,ハネムーンはどこへ行きたいですか？
ほたる,はい？
茄子,はっ！ごめんなさい、ちょっと先走ってしまって……
ほたる,ちょっと……？
茄子,でも、デュエットを受け入れてくれたということは……
ほたる,？
茄子,つまりほたるちゃんは、とうとう私に依存してくれる気に……
ほたる,なってないですね
茄子,……
ほたる,……
茄子,……そっかぁ
ほたる,あ……ちょっと可愛い……
茄子,ちなみに、どういう演出で歌うとか、そういうことは聞いているんですか？
ほたる,いえ……そこまではまだ……
茄子,なるほど……どうでしょう？私がほたるちゃんを抱っこしながら登場するのは
ほたる,ユニット解散まで見えますが
茄子,なななな〜んちゃって♪
ほたる,誤魔化した……
茄子,でもよかったです……ほたるちゃんの本当の気持ちが知れて……！
ほたる,たぶん噛み合ってないです……
茄子,これで次回はどうしてほたるちゃんは私とハネムーンに行ってくれないんですか！？ができますね♪
ほたる,お断りします……！！！
