美城常務(以下常務にゃあ),昨今は恋愛やプライベートなどを週刊誌に撮られたりする
P,撮影してるのがバレないように一定の車間距離を保ちながら走りました。あ、そろそろ高速入りますね
テレビ,ｳﾜｧ!ﾄﾞｯｶﾞﾗｶﾞｯｼｬ-ﾝ!
常務,転けた？バイクで追いかけてたのか？
P,いえ、自転車で追いかけました
常務,自転車で！？車と同じぐらい走ってるよ！？。自転車で追いかけるという発想は凄いな……
P,あと転けた後トラックに自転車潰されてさらには後続車に轢かれたんで自転車代と治療費と入院費経費でください
常務,出せるわけないだろ！あと轢いた相手から貰え！
P,ひき逃げされて相手がわからないんですよ
常務,そうか…にしても車に轢かれたのによく無事でいるな
P,車が時速10km以下でしたからね
常務,徐行運転じゃないか！怪我してないのが納得したわ！
P,まぁ細かいところはいいんで自転車代と治療費と入院費出してください
常務,出せるかぁ！。次は誰だ？
P,アーニャです。こないだ都内の喫茶店でガタイのいい男性とお茶してました。こちらです
常務,アナスタシアは純粋な子だからな…悪い男に騙されて肉体関係を…みたいなこともありうる
P,あとアーニャはその男性のことをパパと呼んでます
常務,パパだと？まさか最近流行りのパパ活にアナスタシアが？
P,続きを見てください。今アーニャが男性と移動しました
常務,腕を組んで歩いてるな…
テレビ,ｳﾜｧ-!ﾅﾆｦｽﾙ!ﾊﾅｾｪ!......ﾊﾟﾀﾘｯ
常務,え、映像が乱れたぞ！何があったんだ！
P,あーここからは私連れていかれるんで動画はここまでになります
常務,連れていかれた！？どこに！？
P,ロシアのKGB本部です
常務,えぇぇぇ！？
P,どうもアーニャはロシア政府のお偉いさんの一人娘らしいんですよ。たまにお忍びでアーニャに会いに行くんですがそれでKGBがその方の警護にあたってまして…
常務,たまたま近づいてったら怪しい人物認定されて連れていかれたのか！？怖いな！。しかし捕まったのに今どうしてここにいるんだ？解放してくれたのか？
P,はい。僕がプロデューサーだと理解してくれて解放してくれましたよ
常務,大変だったな….…そういえばアーニャの父親はまさかあのプーt
P,ソレイジョウイウト、コロサレル
常務,あ、はい。まさかうちのアイドルにそんな人の娘がいるとはな…
P,あとこの調査をして父親がわかったのはアーニャだけじゃないですね。菜々の父親は総理大臣ですし七海の父親は東京海洋大で助教授してましたし夏樹の父親はチョマテヨで比奈は吸血鬼の漫画家に未央の父親はペプシ後出しじゃんけんクソ野郎でした
常務,大物多いな！？うちのプロダクションそんな凄い人達集まってたの！？。あと最後悪口だからな！失礼だわ！
P,さらに言うと小梅の父親はコウメ太夫でした
常務,一気にショボくなったな！いや失礼だけどさ！
P,あと父親ではないですがナターリアの知り合いには伝説の傭兵がいましたね
常務,伝説の傭兵と知り合い！？どうなんてるんだこのプロダクションは！？。いやそんな事はどうでもいいんだ。ほかに調査したアイドルで何がスキャンダルに結びつくようなものはあったか？
P,ありましたね。奈緒です
常務,神谷奈緒というと君の担当するアイドルじゃないか。何かあったのか
P,男性と車内デートしてディープキスしてましたよ！これがその時の映像です！
常務,なんだと！？相手は誰だ！
奈緒,んっ……んくっ…あっ…プロデューサーぁ…///
P,奈緒……奈緒……
常務,お前やないかーい！何してるんだ！。しかもカメラ目線でするな！何撮ってるんだ！
P,僕と奈緒のディープキスです
常務,言わんでいい！誰が見るんだ！。君は何を考えてるんだ！アイドルとプロデューサーが恋愛関係を持つなどご法度であろうことか相手はまだ未成年だぞ！いい歳した社会人が何してるんだ！
P,……
常務,どうした！何か反論があるなら言ってみろ！
P,嫉妬か！
常務,いった！何叩いてるんだ！
P,よし！みんな！突入するぞ！。SATか！
常務,叩くなぁ！もういい！こんなくだらない調査して何も結果は出さない担当アイドルと付き合うそんなプロデューサーはいらん！クビだクビだクビだ！
P,じょ、常務！それだけはやめてください！実は僕は奈緒と結婚する予定なんです！
常務,なにぃ？結婚だと？
P,はい。僕は奈緒と結婚して……奈緒はアイドルを続けて
常務,ふむ
P,僕はプロデューサーをやめて奈緒のヒモになるんです！
常務,クズじゃねぇか！そんな人間にプロデューサーなんか任せられん！クビだ！
P,待ってください！最後に加蓮の調査結果があります！これはかなりスキャンダルです！
常務,何？。スキャンダルとはなんだ？
P,はい。加蓮がホテルに男性と一緒に入り、そのホテルの中の様子を撮影することに成功しました！
常務,それは一大事だな…よくやった。スキャンダルになる寸前で発見したのだからクビは撤回しよう。動画を見せてくれ
P,はい。こちらが最後の動画となっております
加蓮,プロデューサー…んぁっ！……プロデューサーぁ！///
P,加蓮！中に出すぞ！
常務,クビだぁぁぁー！！
