また、モブ,演出家・王子役など
甜花,その、甜花……エキストラの役すら、ちゃんと出来なかったよね……。それなのに……もっと大事な役なんて、出来るのかな……？
P,できるさ。あの時も言ったが、甜花は磨けば光る子だ。あれから、色んな仕事をしただろ？だから、きっと大丈夫だよ
甜花,でも、お芝居の仕事は……
P,していなくても、他の経験はちゃんと積めている。問題は、甜花がやりたいかどうかだ
甜花,……自信ない、です
P,そう、だな……。やりたくないわけじゃ、無いんだよな
甜花,うん……
P,それならこうしよう。今日明日と舞台稽古に参加して、無理そうなら断る。つまり、お試し期間だな。最終的にどうするかは明日の夜に決める
甜花,そんなこと……できるの……？
P,普通は絶対に無理だ。提案しただけで、間違いなく先方に怒られる。だが、今回ばかりは何とかするよ。それでどうだ？
甜花,それなら……やってみたい、です。あ、あと……その、ごめんなさい……
P,……？何で謝ってるんだ？
甜花,プロデューサーさんに、また迷惑かけちゃったから……
P,ああ、なるほど。気にしなくていいぞ。迷惑かけられるのも仕事だからな。それでも何か言ってくれるなら……そうだな、こういう時は感謝の言葉の方が嬉しい
甜花,あ、ありがとう……プロデューサーさん……
P,どういたしまして、だ。よし、それなら善は急げだ。十五分後には出るぞ
甜花,う、うん……
千雪,甜花ちゃん、えい♪
甜花,……わ……！
千雪,甜花ちゃん、少しでもやりたいって思えたなら……。楽しむこと、忘れちゃダメですよ？千雪さんとのお約束です
P,千雪ー、ちょっと聞きたいことがあるんだが……
千雪,あ、はい！今行きます！。それじゃあ甜花ちゃん、頑張って来てくださいね
甜花,あ……。……お礼、言い忘れちゃった……。……って、言ってたのに
演出家,大崎ィ！全然声出てねーぞ！代役だからって甘えてんじゃねぇッ！
甜花,ひんっ！。プ、プロデューサーさんの、嘘つき……
演出家,大崎、もう一回やってみろ
甜花,わ、わかっ……分かり、ました……。こ、これで、顔を拭きなさい、シンデレラ。そしたら……
演出家,やり直し。声に張りがない
甜花,これで顔を拭きなさい……シンデレラ。そしたら、礼拝に……
演出家,視線を泳がせるな。やり直し
甜花,これで顔を拭きなさい、シンデレラ。そしたら、礼拝に
演出家,棒立ちで演じるつもりか。やり直し
甜花,これで顔を拭きなさい、シンデレラ……！そしたら、礼拝に……！
演出家,ここは叫ぶシーンじゃねぇだろ
甜花,……あぅ……
演出家,……なるほど、な。隅っこの方で、もう一回読み込んでこい。それと見学だ。個人練をやっている奴らをよく見ておけ
甜花,……はい……。シンデレラ、これで……
夏葉,ちょっといいかしら
甜花,え……？
夏葉,失礼するわ
甜花,な、何……？え……。ひんっ……！
夏葉,さっきのセリフ、もう一回読みなさい
甜花,あの、でも……！な、なんで……お腹を……
夏葉,いいから早く。動きの方はいいわ。声だけに集中して
甜花,は、はい……！。え、えっと……シンデレラ、これで顔を拭きなさい。そしたら、礼拝に行きましょう……
夏葉,やっぱり、そうね。お腹に力が入ってないわ
甜花,え……？
夏葉,いい？基本は腹式呼吸よ。日常の会話とは違う声の出し方をしなくてはいけないわ
甜花,腹式呼吸、って……
夏葉,ボーカルレッスンで叩き込まれているはずよね。それを思い出して。ステージ上で歌う時みたいに。それでいて、叫ぶようにしない事を意識するのよ。さぁ、やるわよ。さん、はい……！
甜花,シ……！シンデレラ、これで顔を拭きなさい。そしたら、礼拝に行きましょう。……あ、いい感じ……
夏葉,悪くなかったわね。それじゃあ次は動きの方ね。こっちはダンスレッスンを思い出しなさい
甜花,ダンス……？。でも……このシーンの動きって、手を差し伸べるだけだよ……？。だから、こう……
夏葉,それだとダメよ。それは普段の動きの模倣であって、演技にはなっていないの。他人の目にどう映っているかを意識しなさい。どういう動きをしているのかを、観る人に伝えなくてはいけないのだから
甜花,観る人……伝わる、様に……。あ、だから……ダンスレッスンなんだね……。こう……かな？
夏葉,ええ、いい感じだったわ。少しぎこちない気もするけれど。さて、これで発声と動作についての取っ掛かりは掴めたかしら？
甜花,う、うん……分かりやすかった……です……
夏葉,それなら良かった。まずは、この二つからしっかりと練習しなさい。なにごとも最初は一つずつ。どんなに複雑に見える問題も、そうすれば必ず解決できるものよ
甜花,……あ、プロデューサーさん……
P,あ……おーい、甜花！。ここで練習していたのか、甜花
甜花,うん……演出家さんに、言われて……
P,そうか。頑張ってるみたいだな。夏葉もいたんだな。早速仲良くやってくれているようで、何よりだ
夏葉,ええ、楽しくやらせて貰っているわ。アナタも来ていたのなら、声の一つでも掛けてくれれば良かったのに
P,すまん。別の仕事があってな。それに夏葉、練習の時にはあまり声を掛けられたくないかと思って
夏葉,そういう心配は不要よ。そう易々と乱されるような集中はしていないもの。すぐ隣に雷が落ちたとしても、無反応で練習を続けていられる自信があるわ！
P,それだと俺が声をかけても、無反応って事にならないか……？。……まぁ、それはそれとしてだ。甜花、もう少しで昼の休みになるから、その時間は空けといてくれ
甜花,うん……了解、だけど……
P,共演者の方とか裏方の方達への、挨拶回りをしようと思っていてな。直接お世話になる人達だから、甜花にも居て欲しいんだ
甜花,挨拶回りって……甜花、何をすればいいの……？
P,心配するような事はないよ。話は俺がするから、頭を下げる時だけ合わせてくれれば良い
甜花,うん……それなら、安心……
P,あ、そうだ。夏葉は昼休み……
夏葉,……そう、ね。この場面はもっと縮こまる感じで……そうすると……。いや。いやよ、サンドリヨン……ううん、少し違う気がするわね
P,さすがは夏葉、と言うべきかな
甜花,うん……。あ……夏葉さんに、さっきのお礼……言ってない……
夏葉,行きたく、ないわ……いえ、行きたくないわ……
甜花,今は、話しかけない方が良いよね……。……また、言いそびれちゃったな……。劇団にも、昼休みってあるんだね。学校みたい……
P,人の集まりだからな。食事とか休息の時間を、取らないって訳には行かないさ。それはそうと……今から演出家の人に挨拶するけど、心の準備は大丈夫か？
甜花,お願いします、って言うだけなら……たぶん……。怖い人だったから……本当は、かなり緊張してるけど……
P,そう……か。そうだな。少しでも、演出家の人の事を知っておこうか
甜花,演出家、さんの……
P,この業界では名が知れている人だし、知っておいて損はない。甜花は、名前くらい聞いたことあったか？
甜花,ううん……。あ、でも……行きの車で、この劇団のこと調べたら……
P,真っ先に名前が出てきたか。脚本家としても高名な人だしな。今回の脚本だって、あの人が書いている。多分……この劇団よりも、演出家さん個人の方が有名なんだろうさ。……加えて、突拍子もないことで有名だからな。ひょっとしたら脚本の事で何か聞かれるかも
甜花,あ、えっと……。その時は、甜花……どうすればいい……？
P,正直に答えてしまって問題ない。分かりません、でもいい。下手に取り繕うのは、多分最悪の手だな
甜花,わ、わかった……甜花、頑張るね……
P,よし、もう大丈夫そうだな
甜花,え……？あ……
P,それじゃあ、行こうか
甜花,う、うん……！
P,もしもし、283プロのPと言うものですが……。……それでは、よろしくお願いします
甜花,よろしく、お願いします……
演出家,ああ、こちらからもよろしく頼む。急な話を聞いてくれた点については、感謝している
P,いえ、こちらとしても有難い話です。舞台での経験は、今後に必ず生きてくるものですから
演出家,そうかい。まぁ、何でもいいがな。引き受ける以上は、きちんと為すべきことは為してもらうぞ。代役だから、途中参加だから……そういう甘えは一切認めない。いいな？
P,はい。正式にお引き受けする際には、よく言い含めておきます
演出家,正式に……ね。無駄な期間なんぞ設けやがって。もう決まった事だし、今更文句は言わないけどよ
甜花,あ……プロデューサーさん、本当に作ってくれたんだ……お試し期間……。でも……
演出家,そうだな……じゃあ、最後に一つだけ質問をしようか。大崎
甜花,き、きた……！
演出家,大崎、お前は双子だそうだな
甜花,は、はい……双子の妹が、います……
演出家,今回の演劇は、童話シンデレラの皮を被った全く別の話だ。とある夢見る少女の話では無く、とある双子の姉妹の話になっている。脚本を書いた者として、その姉妹を演じる人間に聞いておきたい。大崎甜花、お前にとって姉妹とは何だ？
甜花,姉妹のこと……なーちゃんの、こと……？。家族で、大切な人……です
演出家,……
甜花,あ……！えっと、安心できるから、一緒に居たい人です……！
演出家,……なるほど。質問は終わりだ。もう出て行ってくれ
甜花,……や、やっぱり……
P,それでは失礼致します……甜花、行こう
甜花,し、失礼……します……。……もっと考えてから、言えばよかった……。また、失敗……
P,そんな事はない。俺は、良い受け答えだったと思うよ
甜花,プロデューサーさん、優しいね……
P,いやいや、慰めてるわけじゃ無いぞ。本当にそう思ってる。あの人さ、気分が良くなると何故か、そっけない言い回しになるんだよ。だからアレで大正解だ
甜花,そうなの……？演出家さんのこと、よく知ってるんだね……
P,え？あ、ああ……まあな。それより次だ、次。裏方のスタッフさん達と、共演者さんの方達に挨拶に行くぞ、甜花
甜花,……？焦ってる……？
大道具,大道具だ
小道具,小道具です。よろしくね
P,よろしくお願いします。こちらが、うちの大崎甜花です
甜花,よろしく、お願いします……！
大道具,……挨拶はこれでいいな？俺は仕事に戻る。小道具、あとは頼む
小道具,はいはーい！あ、もう行っちゃいましたね。あーあ……相変わらず、ぶっきらぼうな人
P,急に来てすみません。打ち合わせの途中でしたか？
小道具,あ、いいのいいの。気にしないで。確かにそうだったけど、ちょうど終わったところだから。甜花ちゃん、改めてよろしくね。はい、飴ちゃんあげるわ
甜花,あ、ありがとう……ございます……
小道具,うん、よろしい。劇団とか舞台のことでなら、いつでも私を頼ってくれていいからね。これでも古参で、小道具班のリーダーをやらせて貰ってるから。分からない事とかがあったら、気軽に聞いてちょうだい
P,甜花、折角だし何か聞いてみたらどうだ？
甜花,それなら……さっき言ってた打ち合わせって……？
小道具,打ち合わせね。うーんと、それだと……。甜花ちゃん、小道具と大道具の違いってわかるかな？
甜花,小道具が、アクセサリーとか手に持つ道具とかで……大道具が、セットとかの大きなもの……だよね？
小道具,うん、大体その通り。とはいえ、小道具も大道具も同じ舞台上のものだからね。チグハグだとまずいのよ。そこで、主に大道具と小道具のリーダー同士で、方向性とかの擦り合わせをするの。それが打ち合わせ。……まぁ、さっきのはそう言うのじゃ無くて、これの打ち合わせだったんだけど
甜花,……機械の、箱？
P,スモークマシンだな。その名の通り、人工的に煙を発生させる装置だ
小道具,ラストシーンの演出で使おうと思っててね。それで、その相談をしてたのよ。台数の調整だったり、天井への取り付け方だったり、話すことが多くて多くて。ああ、あと風船選びとか、それを割るための仕掛け作りとか……
甜花,風船……？割って、どうするの……？
小道具,あ……あー、余計なことまで言っちゃった
P,不都合がなるなら、もちろん口外しないようにしますが
小道具,あ、いいのいいの。話されて困るものじゃないし。本決まりじゃない部分は、まだ秘密にしておきたいってだけよ。結構いい演出になると思うから。楽しみにしててね、甜花ちゃん
継母役,か・わ・い・い～！！
義姉1役,ホント、ホント！まじにフランス人形みたい！
甜花,え、あ……あの……よ、よろしく、おねがい……
義姉2役,うわ、髪もサラサラ。肌も綺麗だし、凄いよこれ。相当気を使ってるんだろうな……
義姉1役,いやー、やっぱアイドルって違うわー。夏葉ちゃんも、相当の一品だったし
甜花,そ、その……甜花、手入れは……じゃ、じゃなくて、あいさつ……
王子役,髪そんな凄いの！？じゃあ俺も、ちょっと失礼して……うぇ？
P,男性の方のタッチは御遠慮下さい。というか止めろ。命が失われかねない
王子役,こ、怖いっすよ……Pさん。じょ、冗談ですって
P,分かってるけどさ。必死にもなるよ。死因・監督不行き届きは御免こうむるからな
王子役,？
P,こっちの話だ。というか、そろそろ甜花にも助け舟出さないとな……
継母役,うーん……ちょっと気が早いけど、衣装着せちゃおっか。小道具さんに言えば、出してくれるわよね？
甜花,あの、て、甜花……その前に……
義姉1役,いいですね！舞踏会の時のドレス着せたら、可愛すぎるの間違いなしです！
義姉2役,大賛成。ちょっと聞いてくる
P,はいはい、そこまそこまで。甜花が困ってる
甜花,……あぅ……
継母役,あら
P,取り敢えず、挨拶だけはさせてくれ。コホン……それでは、うちの大崎甜花のこと、よろしくお願します
甜花,よろしく、お願いします……！。やっと……言えた……
義姉1役,いやー、283プロってレベル高すぎっしょー。Pさん、よりどりみどりでいいねー
P,うちのアイドル達を、そういう目で見たことは有りません
義姉1役,あーあ、私のことをバイトとかで雇ってくれないかな。いい目の保養になりそう……
P,事務仕事に加えて、各種レッスンとアイドルのメイクが出来たら、社長も考えてくれますよ
義姉1役,いやいや、そんなバイトいるわけないっしょー。……え、いないよね？
P,いるんだなこれが。さて、挨拶回りはこんなもんかな。お疲れ、甜花
甜花,結構、疲れた……
P,甜花は、これからどうする？俺は他のみんなの現場に顔出す予定なんだが……。まだ昼休みの時間も残っているし、何か食べに行くか？
甜花,お腹、まだあんまり空いてない。だから、その……夏葉さん……
P,夏葉？
甜花,お話したいんだけど、見当たらないから……どうしようかなって……
義姉1役,ん、なになに？夏葉ちゃんのこと、探してんの？
甜花,知ってる、の……？
義姉1役,もっちろん！夏葉ちゃん、すごい努力家だもんねー。この時間は間違いなく、一人で練習してるっしょ！
甜花,それに……夏葉さん、優しかったから……。それで、甜花も……友達が増えるよね……。……あ……。……違う……。……本当は、そうじゃなくて……。甜花が……避けてきた、だけだよね……
夏葉,……あら？。私に、何か用かしら？
甜花,あ……その……えっと、甜花は……。……な、なんでもない……です……
夏葉,わざわざ、こんな場所まで来たのに？。……まあ、いいわ。私としてはちょうど良かった訳だし。さっき、言いそびれてしまった事があるの
甜花,夏葉さんが、甜花に……？。あ……演技で駄目な所、まだあったとか……？
夏葉,いえ、そういうのでは無くて……。はい。直接一緒に仕事をするのは初めてだから、こういう事は必要だと思ってね。有栖川夏葉よ。名も知らぬ仲では無いけれど、改めてよろしくお願いするわ
甜花,大崎甜花……です。よろしく、お願いします……
夏葉,同じ仕事自体は、海の家の一件以来ね。あの時は、顔を合わせる事は無かったけど……。……どうしたの？
甜花,あ、あの……劇に出るかは、その……まだ分からないから……
夏葉,どういうこと？。……詳しく説明してちょうだい。……そう。お試し期間、ね
甜花,うん……
夏葉,この事、他の誰かには話した？
甜花,それは……ううん。プロデューサーさんと、だけ……。演出家さんとかは……知ってると思う、けど……
夏葉,それがいいわ。人の耳に入らない方が良い話よ。他の役者のかスタッフさんには、特にね
甜花,……はい。……分かってる。そういうことは、甜花も分かってる……だけど……
夏葉,甜花、アナタは何になりたいの？
甜花,え……
夏葉,私は、トップアイドルになりたい。主役という大役を頂いた以上、余すことなく自分の糧にしたい。そう思って、この舞台に参加しているわ。他の人達だって変わらない。それぞれが、それぞれの強い目的を持って参加しているはずよ。だから……。自分だけの目的が持てないのなら、やめておきなさい。アナタの為にもならないわ
甜花,……やめといた方が、良いのかな……。そもそもアイドルだって、何のためにやってるんだろう……。……分からないづくし、だね……。……あれ、着信……？。もしもし、なーちゃん……？。そうだけど……。……ちょっと、待ってね……。……ごめんね、なーちゃん。連絡が来てるの、気が付かなかった。……うん。怪我も病気もしてないよ。それで、なーちゃん……何か緊急の用事？。そう……なんだ。それじゃあ、その……お仕事の方は順調？。そっか……なーちゃんが楽しめてるみたいで、甜花も嬉しい……。にへへ……。甜花は……うん、舞台のオファーが来たよ。一応……準主役みたいな役。でも甜花……代役で選ばれただけだよ……？。……。あ、何でもないよ……劇のこと、だよね……。えっとね……シンデレラとサンドリヨンって題名なんだけど……。……みたいな感じ。やっぱり……分かっちゃうんだ。なーちゃんは、凄いよね……。それは、そうかも……。その、聞かないんだね……。ありがとう、なーちゃん……。なーちゃん……？。……？甜花で用意できるものなら、頑張ってみるよ……。その……今月は、ちょっとだけピンチだけど……。……？。なーちゃん、それって……。でも……伝わった、から……。……なーちゃんと話せて、良かった。その……舞台、見に来てね。もう、切るよ……やらなきゃいけないこと、出来たから。うん……頑張って、みるよ……。あった……台本……！。きっと……大丈夫。このシーンなら、甜花にだって……。あとは……。プロデューサーさん。お願いが、あります……！
夏葉,おはよう、プロデューサー
P,ああ、おはよう。急な連絡だったのに、よく来てくれた
夏葉,そうね。いいランニングコースを見つけた。明日の朝から走ろう……。こんな急なメール、無視されても仕方ないわよ？
P,そうだな。今後は無いように気をつけるよ。急に悪かったな、夏葉
夏葉,別に責めているわけじゃ無いのだけど……。その辺りのことは、走りながら聞かせてちょうだい
P,了解した。じゃあ、行こうか。……ふっ、ふっ、はっ……ふっ、ふっ、はっ……
夏葉,ランニング、すっかり板についてきたわね
P,最初に、夏葉と走った時に、比べればな。あれから、たまには、走るようにしてるし……
夏葉,素晴らしいこと事だと思うわ
P,おかげさま、でな
夏葉,……それで、今朝は何のためのランニングなのかしら。何かあるんでしょう？アナタ、急な連絡なんて滅多にしないもの
P,そう、だな。ええと、昨日の、事なんだが……
夏葉,ペース、落とすわよ
P,……助かる
夏葉,昨日と言うと、甜花のことよね
P,それも関係ある。あるんだが……まずは、俺の口から夏葉に謝罪がしたい
夏葉,私に、謝罪？
P,そうだ。お試し期間の事を提案したのは、俺だからな。あの話を聞いて気分を害したなら、俺は夏葉に謝らないといけない
夏葉,……
P,甜花に何としても仕事を受けてもらいたくて、俺が言った事だ。その全責任は俺にある。あの発言で、夏葉が怒るのも当たり前だ。だけど、その対象は甜花じゃなくて俺に……
夏葉,ちょっと待って。私が怒ったって、なんの話かしら？
P,あれ、違うのか。甜花から、お試し期間の話を聞いて、それで………
夏葉,確かにいい気分がしなかったけど、それで怒ったりはしないわ
P,……というと？
夏葉,私は、全ての事情が分かっているわけでは無いもの。物事の一面だけを見て感情的になる事はしないわ。少なくとも、そう心掛けているつもりよ
P,そう……だよな。夏葉なら、確かにそうか。とすると、甜花は……
夏葉,私は怒ってはいなかった。だけど、厳しい言葉をかけたのは事実よ。あの子……落ち込んでいた？
P,ああ。帰りの車の中でも、茫然自失という感じだった
夏葉,悪いことを、してしまったかもしれないわね。間違った事を言ったとは思っていないわ。でも、もう少し言葉を選ぶべきだった。傷つけるつもりは、無かったのだから
P,ちなみに、どういう事を言ったんだ？
夏葉,最初に目標を聞いて、答えが帰って来なかったから、まずは自分の事を話したの。それから、目的意識に欠けるのは為にならないという趣旨のことを言ったわ
P,ここまでは、車の中で甜花から聞いたな
夏葉,その上で目標設定から始めなさいとか明日からもよろしく……みたいな事を言ったはずよ
P,……！それで、か
夏葉,自信を失っているように見えたから、私なりに助言をしたつもりなのだけど……。裏目に出てしまったみたいね。事務所で会ったら、誠心誠意謝らせてもらうわ
P,……勘違いだ
夏葉,勘違い……？
P,甜花から聞いた話と食い違っている。どちらかが嘘を吐いている訳でもない。だから勘違いだ。おそらく途中までしか、甜花の耳に入ってない。ショックのあまり、為にならない以降の言葉が聞こえてなかったんだろう。ちなみに、その時の正確な発言は……
夏葉,やめておきなさい。アナタの為にもならないわ。……
P,……
夏葉,……辞退を促している事に、ならないかしら？
P,……なってるな
夏葉,プロデューサー、彼女に連絡を……！
P,それは、必要ない。目的地に着いたからな
夏葉,え……？
P,ランニングの目的地だよ。事務所近くの公園だ。ここに夏葉を呼び出すように、甜花に頼まれていたんだよ。ほら、あそこを
夏葉,……あの子
P,そういうことだ。行ってこい、夏葉
甜花,夏葉さん……。すぅ……。シンデレラ、これで顔を拭きなさい。そしたら、礼拝に行きましょう
夏葉,……！。……いや。いやよ、サンドリヨン。行きたくないわ
甜花,どうして？そのために二人掛かりで、すす掃除も終わらせたんじゃない
夏葉,賛美歌を、歌いたくないの。だって、サンドリヨンみたいに、上手には出来ないんだもの
甜花,だって、この言葉は……！甜花が甜花に、言いたかった言葉だから……！。歌うのは好きなんでしょう？
夏葉,それは、そうだけど……
甜花,それなら、行かなくちゃ。この話のシンデレラは、甜花だから……！。嫌なことならまだしも……好きなことから逃げるのは、もったいないわ
夏葉,分かってる。分かってるの
甜花,それなら
夏葉,だけど、怖いの。好きなことでも、失敗するのは怖いの。また足を引っ張ってしまう事が、恐ろしいの
甜花,変わりたいって……！震えながらも、ちゃんと思えてるから……！。私は……シンデレラと歌いたいわ
夏葉,そう、言ってくれても……！
甜花,それでいて、甜花は……！もう……！
夏葉,それでも、力が入らないのよ。頑張ろうって思うのに、頑張れないよ……！
甜花,大丈夫よ、大丈夫。困っている時はいつだって、私が手を貸してあげる。──もういっぱい……！お手本を魅せてもらったんだから……！。行きましょう、シンデレラ。きっと何とでもなるわ
P,いい演技だった
甜花,見て、たんだ……プロデューサーさんも……
P,そりゃな。引き合わす段取りをしたんだ。すぐに帰るほど、薄情じゃないさ。それで夏葉は、どう感じた？
夏葉,そう、ね……。……驚いているわ。昨日と比べて、格段に素晴らしい演技になっていると思う。それでいて、全く別人の演技とは思えない。不思議な気分だわ
P,そうだな。本当に、見違えた
甜花,夏葉さんの、おかげ……です……
夏葉,私の？
甜花,夏葉さんが教えてくれたから……甜花、一人でも練習できた……。お礼、言えなかったから……一人でも、頑張れた……。どっちも……夏葉さんのおかげだから……。本当に……ありがとう、ございました……
夏葉,……何よ、それ。アナタが努力をした、というだけの話じゃない
甜花,プロデューサーさん……甜花、舞台に立ちたい、です……。夏葉さんと……一緒に仕事をしたい、です……。だ、だから……！よろしく、おねがい、しましゅ……！
夏葉,ええ、甜花。これから、よろしくお願いします
P,一件落着だな。これからは二人で、切磋琢磨して……
甜花,あの……プロデューサーさん……そのこと、なんだけど……。練習場所の、相談が……
P,練習場所？
甜花,昨晩ね……家で、練習してたんだけど……ママに、怒られちゃった……。夜中に大きな声を出すのはいけません！って……
P,あー……まぁ、そうだな
甜花,昨晩だけは、何とか許してもらったんだけど……今日からは、家で練習できない……
P,……なるほど。さて、どうしたもんかな。なるだけ練習時間は確保してやりたいが……。しかし、レッスンスタジオにも営業時間はあるし、夜中の公園とかで練習させるわけには……
夏葉,私の家に、泊まればいいじゃない
P,……あ
甜花,……え
夏葉,ええ、我ながらいい考えだわ。今日からうちの子になりなさい、甜花。いらっしゃい、遅かったわね
甜花,その、泊まり支度に、時間かかっちゃって……。それと、マ……お母さんの、説得に……
夏葉,それは……そうね、時間が掛かる物よね
甜花,プロデューサーさんに……また、お世話になっちゃった……
夏葉,玄関に立たせっぱなしも何だし、もう畏まってないで入りなさい
甜花,お、お邪魔します……
夏葉,ええ、いらっしゃい！
甜花,夏葉さん……やっぱり、凄いね……
夏葉,この家に関しては、凄いのは両親よ。私は関係ないわ。それより……。まずは涼むとしましょう。泊まるにあたってのお願いは、その後でね。飲み物、どれがいい？
甜花,えっと、夏葉さんは……
夏葉,私はプロテインジュースよ
甜花,……て、甜花は、ブドウジュースにするね
夏葉,グラスを持って、付いて来て
甜花,え……どこか、行くの……？
夏葉,お気に入りの場所があるの。そこで、ちょっとだけ話をしましょう。ここから、景色を見るのが好きなの。遠くの方を見るのも、空を見るのも……。だけど、今夜は曇っちゃったわね。ねえ、甜花。アナタは、何のために舞台に上がるの？
甜花,その、質問……
夏葉,昨日と、同じ質問。あの時は誤解を与えてしまったけど……今なら別の答えが聞けると思って。もちろん、答えたくないなら答えないでいいわ。ただの興味本位だから
甜花,甜花は……。……期待に、応えたいから。なーちゃんに、千雪さんに、プロデューサーさん……。甜花なんかに、なんで期待してくれるのか、分からないけど……。期待してくれるなら、応えたいって……今は、そう思えるよ
夏葉,期待に応えたい、か。……ふふ、良い理由じゃない
甜花,夏葉さんは、なんで……今回の舞台に……？。その……きっかけとか、聞かせて欲しい……
夏葉,きっかけ、というと……？
甜花,甜花は、だだの代役だけど……夏葉さんは、どうだったのかなって……
夏葉,ああ、そういうこと。……私が有栖川だから、かしらね。少し前の話なんだけどね。ロミオとジュリエットをやったの。同じユニットの、樹里って子と一緒に。それが、私の初舞台だったのだけど……初回公演の時、父が見に来てくれたわ
甜花,お父さん……？社長さん、だよね。それで有栖川だからって……
夏葉,ああ、そういう事じゃないの。紛らわしい言い方をして、ごめんなさい。父が誰かを動かした、と言うことでは無いわ。父も私も、そういう卑しい事は絶対にしない。父の預かり知らぬ所で、事が起こったという話よ。同席した、父の友人のそのまた友人が、偶然に今の劇団の人と繋がりがあったの。その友人さんが大の演劇好きで、私の演技を見て気に入ってくれて……。その話が劇団の人にいって、それでオファーが来た……私のきっかけは、そんな感じよ
甜花,それだと夏葉さんの……実力、なんだよね……？
夏葉,それは、どうかしらね。オファーをくれた人は、私と父の関係を知らなかった。だから、誰かの悪意があったわけじゃない。それでも、私が有栖川じゃなければこの話はなかった。それは事実よ。……ままならないものよね、家族って。どうしたの、私の顔をじっと見つめて。何か付いているかしら？
甜花,え、あ……何でも、ないよ……うん……。そんなわけ、無いよね……夏葉さんは……
果穂,えーっ！！サンドリヨンさんが、舞踏会に行っちゃうんですか！？
智代子,え、何で何で！？今までのサンドリヨンちゃん、素敵なお姉さんしてたのに……！。な、夏葉ちゃん！それから！それから、どうなるの！？
夏葉,落ち着いて智代子。そう急かさなくても、ちゃんと話すわよ
