速水奏,遅いわね
Ｐ,それはなんというか……思ったより俗っぽい発想だな
奏,そうかも。あ、一口頂いた分、私のカフェラテ飲む？
Ｐ,それはいい
奏,ふふっ……ふぅ、ようやく暖かくなってきた
Ｐ,さて、のんびり休憩しちゃってるけど、11時回ったか……
奏,このまま走って帰る？
Ｐ,そうしたいところだけど……あと4時間くらいはかかるんだよな
奏,朝3時ね。17歳にして朝帰りしちゃうなんて
Ｐ,またそう言うことを……奏、明日の予定は？
奏,明日はオフよ。もう親にもLINEしたわ
Ｐ,……なんて
奏,Pさんとお泊り、って
Ｐ,おいおいおい
奏,やだ、冗談よ。渋滞で遅くなるって
Ｐ,それなら、まあ
奏,Pさんも一緒ってこともね
Ｐ,駄目だった
奏,でも、スタッフさんたちと一緒にいるよりも安心してると思うわよ
Ｐ,そう思われるのは有り難いことかもしれないけど、そうじゃない
奏,そんなわけで、明日まで連れ回してもらって結構なんだけど、Pさんは？
Ｐ,明日の夕方に事務所に行く用事がある
奏,ふうん
Ｐ,ん？……あ、いや待った。明日の午前中には着いておかないと
奏,慌てて嘘ついてもダメよ
Ｐ,んん……
奏,そういうところ、正直なのよね。嬉しいけど
Ｐ,あーもういい、わかったよ
奏,明日の夕方までいいなら、やりようはあるんじゃない？
Ｐ,そうだな……でも、出来るだけ早く帰るぞ
奏,そうね。変な噂立てられると困るでしょ
Ｐ,言っちゃなんだけど、この状況を作ったのは君だ
奏,私は困らないもの
Ｐ,はぁ……渋滞なくてもてっぺん回ってたろうしな。奏を乗せた時点で俺の負けだったわけだ。さてどうするかな。このまま運転して帰れなくもないけど。正直睡眠をとりたいってのはあるし、奏もしっかり休ませないといけない
奏,Pさん？
Ｐ,ああいや、このまま走って帰るのは難しそうだなって
奏,……どこか、休憩できるところ？
Ｐ,ああ、SAなら休憩施設も充実してるけど、アイドルそこに放り込むのもな……
奏,じゃあ例えば……高速道路脇に良く建っているようなホテルとか？
Ｐ,あのな。まあその手段もアリかもしれないけど
奏,えっ、アリなの
Ｐ,比較的なら安い方だし、そうなったら二部屋とる。けどその前にビジネスホテルだ。はい、一人です。ではその部屋で……よろしくお願いします。この先のインター降りた近くで一部屋取れたから、そこ行くぞ
奏,あら……一部屋なの
Ｐ,四の五の言ってられないから、そこで奏が寝て、俺はどうにかする。シートベルト締めて
奏,どうにかならなかったら？
Ｐ,車で寝るよ
奏,ダメよこの季節に。Pさんも疲れてるでしょ
Ｐ,部屋がとれたら大丈夫だろ
奏,ねえその
Ｐ,シングルだ
奏,……質問する前に答えるなんて。用意していたみたい
Ｐ,シングルということにしておいてくれ
奏,本当はツインかダブルなんでしょ
Ｐ,奏、君は鋭いけどそれを口に出さないでくれると助かるんだがな
奏,何よその洋画の下手な和訳みたいな口調。子ども扱いしてくれて
Ｐ,そうしないといけないんだよ。一人でもう予約したし
奏,そんなのフロントでどうにもなるわ
Ｐ,どうにでもなるな。中学生組みならこれで通せるんだが。……理由はまだある
奏,？
Ｐ,奏だけなら経費で落ちる
奏,えーと……でも、仕事で泊まるんでしょ
Ｐ,ちひろさんが出すと思うか
奏,思わないけど
Ｐ,だろ
奏,いいじゃない。Pさんも一緒で
Ｐ,だから、一部屋しか
奏,二人部屋なんでしょ。なら二人で泊まるべきじゃないかしら
Ｐ,ダブルしか空いてなかったんだから仕方ないだろ
奏,語るに落ちてるわ
Ｐ,同室だって問題なのに同衾とかできるわけないっての
奏,私はいいけど
Ｐ,こっちが良くない
奏,ねえ、私とは嫌なの？
Ｐ,そうは言って……いや、嫌だね
奏,……
Ｐ,奏にも俺にも立場がある。全部ひっくるめて、どっちが後悔しないかってことだ
奏,……はぁー
Ｐ,わかったか
奏,一人の男性すら落とせないなんて。速水奏もまだまだなのね
Ｐ,あのな、立場が無ければ俺だって……
奏,あら
Ｐ,……いや、そういう意味じゃない
奏,俺だって？どんな意味かしら？
Ｐ,失言だ、忘れてくれ
奏,現役女子高生アイドルに手を出すんだ、ってこと？
Ｐ,おっ、お前な……
奏,そんなPさんだから、私は安心して一緒に寝られる、なんて言えるのね
Ｐ,……コンビニ寄る必要あるか
奏,あは、強引に話そらしたわね。大丈夫、最低限の用意はしてあるわ
Ｐ,用意いいんだな
奏,遠出する時は念のため、ね
Ｐ,本当、手がかからなくて助かるよ……いや、そもそもこんな事態にならなければもっと助かったけど
奏,褒めるだけにしてくれればよかったのに
Ｐ,少しは責任感じてくれないか。着いたぞ。必要なもの用意しておいて。チェックインしてくる
奏,ねえ、Pさん
Ｐ,なんだ。……手、放してくれ
奏,本当に、一緒に泊まらないの？
Ｐ,泊まらない
奏,私の隣で寝るの、耐えられない？
Ｐ,……そうだって言ったら諦めてくれるか
奏,それが聞けたら、ますます引き止めたくなるわ
Ｐ,奏
奏,……
Ｐ,どうしたんだよ今日は
奏,だって、こんな時でもないとあなたを独り占めできないじゃない
Ｐ,……あまりからかうもんじゃない
奏,そうね。からかいすぎると、いくらPさんでも何するか分からないわよね
Ｐ,……
奏,行きましょう。Pさんのホテルも探さないといけないわ
Ｐ,その件だが
奏,ん？
Ｐ,本当に二人でチェックインするか？
奏,えっ
Ｐ,そうすれば、俺のホテルを探す必要はなくなる
奏,あら……その気になった？
Ｐ,……
奏,……あの
Ｐ,行くぞ。フロントで人数変わったことを伝えないと
奏,Pさん？
Ｐ,奏、俺をからかうのはいいけど、それなりに注意しろよ。そうじゃないと
奏,あっ。腕、掴まれて……
Ｐ,こう言うことになるかもしれない。カードキー入れは……と、ここか
奏,……それでライト点くのね
Ｐ,ビジネスホテルにはよくある
奏,……
Ｐ,奏、部屋に入って
奏,ええ、そうね……
Ｐ,コートかけて……ジャケットも一緒でいいか
奏,……良く泊まるの？こういうところ
Ｐ,出張なんかあるとな
奏,そう
Ｐ,奏も、コートくれ
奏,あっ、自分でやるわ
Ｐ,なら俺はポットに水でも入れておくか
奏,……コート、ジャケットも脱い……いや、まだいいかしら。私のコートとPさんのコートが並んでる……
Ｐ,奏
奏,な、なに？
Ｐ,ポットでお湯沸いたら、蓋を開けておくといい。加湿器の代わりになる
奏,あ、うん……
Ｐ,それと、シャワーだけ浴びさせてもらっていいか
奏,えっ
Ｐ,先がいいか？
奏,いえその……どうぞ
Ｐ,悪いな
奏,……
Ｐ,やっぱりしり込みしてるな。まあ、少しはいい薬だ。……。華々しいアイドル、文句なしの美貌、歌も踊りも演技もこなせるようになって、あれでまだ17歳。こんな仕事してなきゃ知り合う機会もないだろうから。そうイライラしないでくれよ、我が愚息……
奏,シャワーの音……。今すぐそこで、Pさんが浴びている……。やりすぎた、かな。でも……
Ｐ,空いたぞ
奏,あっ。……ええ。バスローブ姿……
Ｐ,浴びるだろ？
奏,それはもちろん……髪、濡れてないのね
Ｐ,体の汗だけ流したかった。それに、湯冷めしたくなくて
奏,そう
Ｐ,まあ、ゆっくり浴びてくるといい
奏,じゃあ、浴びてくるわ
Ｐ,……しっかり鍵かけてるな。そうだよな。それでいい。うーんと。毛布は……ああ、2枚あるな。でも、フロントで止められるかな～……。さて。あとはタイミングみて……
奏,どうしよう……。もちろん、シャワーは浴びるけど、けど……。そこまでのつもりはなかったけど……Pさん、本気で……？。心臓が、早い……息が浅い。緊張してるのか、後悔してるのか、それとも……興奮してる？。あっ、顔まで熱くなってきた。ひゃっ
Ｐ,奏
奏,……なっ、なに、Pさん？
Ｐ,言っておかないといけないことがあった
奏,言っておかないといけない？
Ｐ,ああ
奏,なに？
Ｐ,おやすみ
奏,え……
Ｐ,明日朝は7時でいいな。迎えに来るから用意しててくれ
奏,ちょ、ちょっと。Pさん！。あ……服もスーツも、コートも着て……部屋のノブに手をかけて……
Ｐ,どうした、ドアから顔だけのぞかせて
奏,それは、いま服着てないから……
Ｐ,まあそうだよな。それぐらいのタイミングで声かけたんだから
奏,……
Ｐ,どうした
奏,ずるい
Ｐ,そうだよ。だから言ったんだ、からかうもんじゃないって
奏,最初からこのつもりだったの
Ｐ,そりゃまあ
奏,私の気持ちも考えず？
Ｐ,……考えていても、俺は部屋から出ていくと思う
奏,……
Ｐ,奏にとって俺は安心じゃないといけないだろ。俺もそう思うよ
奏,私って……思った以上に愛されているのかしら
Ｐ,そうかもな
奏,ねえPさん、ちょっとだけ待って
Ｐ,？。お、おいバスローブだけってお前
奏,当り前よ。この下、何も着てないんだから
Ｐ,う……
奏,想像した？
Ｐ,……用件はなんだよ
奏,危険のある男は……魅力的よね
Ｐ,それは……秘密が美貌の秘訣、みたいな？
奏,そうね。そうかも。でも……いまはＰさんの安心が嬉しい。ありがとう。今日は、ごめんなさい
Ｐ,そうだなぁ。何だかんだ俺も楽しかったし。いいんじゃないか
奏,そう言ってくれると、今日の寝つきが良くなるわ
Ｐ,惚れるなよ
奏,残念、手遅れ
Ｐ,ははは
奏,ふふっ。でも今は……毛布を持ち逃げしているサラリーマンにしか見えないわ
Ｐ,自分で言うのも情けないけど、そのものズバリだよ。朝には返すから……
奏,私は……Pさんならいいって、いえ、Pさんだったらいいなって。漠然と考えていたわ。さっきまで。でも、Pさんがそこでシャワー浴びて……私も浴びようとしたとき、分からなくなってしまった。だから多分……いまは、これでいいのよね
Ｐ,そうだな
奏,だからね、Pさん。おやすみ
Ｐ,ああ
奏,……キスは？
Ｐ,ん？
奏,寝るのなら……おやすみのキスが欲しいものじゃない？
Ｐ,子どもみたいだな
奏,子どもなのよ、私
Ｐ,手のかかる子だ
奏,……ねえ
Ｐ,奏
奏,今日だけ。ダメ？
Ｐ,……今日だけ、本当に今日だけの特別だ。これでいいか
奏,ん……
Ｐ,じゃあ
奏,Pさん……
Ｐ,ん
奏,……。言ってはダメ。やっぱり一緒にいたいなんて。それは困らせるだけ
Ｐ,なんだ？
奏,だから今は、まだ……。また明日
Ｐ,おやすみ、また明日。奏
奏,……。額にまだ感触が残ってるみたい。ふふ。キス、されちゃった。うふふっ。……でも。あのまま本当に引き留めていたら……。もし本気で、Ｐさんがここに泊まっていたら……
Ｐ,ふぅ……。エアコンは……あー、だめだバッテリーあがる。ホテルの床の方がマシだったかなぁ。……でも。あのままあそこに泊まっていたら……。あとで後悔すること、してただろうなぁ
奏,はー……
Ｐ,はー……
奏,もったいないことしたかも
Ｐ,もったいないことしたかも
