実はこれ以下の話のサイドストーリーみたいなやつです。全く読んでなくても大丈夫なやつなので特に問題ではないんですが,なんで灯織褒めてたんだよ
摩美々,……はぁい
結華,でも、こがたんがどうしたいのかわからないとどうしようもないよねー
霧子,……えっと、恋鐘ちゃんはどうしたいの？
恋鐘,うちは……
結華,本当に嫌ならわたしたちでプロデューサーに言うけど？どうする？
恋鐘,……こんままがよか。せっかく構うてもらえとーもん
摩美々,……
咲霧三,……
四人,ごちそーさま
恋鐘,な、なんね！？うぅぅぅぅぅぅぅぅぅぅぅ……！。別に、嫌じゃなか。ばってん、恥ずかしか。恥かしいだけで、むしろ嬉しかともあって……。うち、構って欲しかっただけばい……。灯織はばり褒められとったって聞いて、ちょっと羨ましゅうなった。灯織はすごかけん、褒めらるるんもわかる。けど……。うちも、頑張ったもん。もっと褒めてほしか……。……！いかんね。うち、頑張らないかんもん。せめて、笑顔くらい！。ただい、まー……？。プロデューサーが……ソファで寝とる……。ぷろ、でゅーさー……？
P,……ｚｚｚ
恋鐘,……お弁当箱、洗ってある。プロデューサー……。手、握ってもばれんかな。……。……。……。……うち、がんばっとーよ。ばってん、ちょっとだけ……。……ごつい手。うちのより、大きか
P,……よしよし
恋鐘,……起きとったん？
P,ついさっき
恋鐘,……いじわる
P,……こっちにおいでー。ちょっとだけ続き
恋鐘,……
P,よしよし。いい子いい子
恋鐘,……
P,……ごめんな。恋鐘も頑張ってるもんな
恋鐘,……うん
P,灯織褒めたのはさ、単純に灯織自身が自分の努力を認められないからってのがあったんだよ
恋鐘,……知っとう
P,だから、ちょっとは認めてあげようぜって褒めたんだ
恋鐘,……それも知っとう
P,だけど、そうだよな。恋鐘も褒めて欲しいもんな
恋鐘,……うん
P,恋鐘は頑張ってるよ
恋鐘,……うん
P,この前の芝居だって、恋鐘じゃなきゃ駄目だったよ
恋鐘,……
P,お姫様、綺麗だった。本物のかぐや姫みたいだった
恋鐘,……
P,……大丈夫。きちんと見てる。恋鐘は、頑張ってるよ
恋鐘,……
P,恋鐘？
恋鐘,……にえへへぇぇ
P,……もっと褒めないとだめかな、こりゃ。褒められると伸びるタイプだったらしい。あれ以来、恋鐘はより一層アイドルとしての魅力を増した。ただ、そのかわりというか。恋鐘とのことが事務所内でバレてしまった。いや、うん。実際は恋鐘が時折お膝をご所望してそれを見られてしまったとかそんな感じなんだけど。まさか千雪さんまでお膝ご所望とかちょっとびっくりした。もじもじしながらお膝乗せてって言われるとか実際すごい威力。……。どうしよう＼(^o^)／。……摩美々
摩美々,なんですかぁ？
P,イタズラしてもお膝は貸さないぞ？
摩美々,えー？
P,だからほんとやめておねがい。拡散したの摩美々だろ！？というかなんで千雪さんの写真恋鐘に送りつけてんの！？
摩美々,浮気現場かと思って―
P,浮気じゃないわい！
摩美々,千雪さんがー、本妻ですかぁー？
P,結婚してねーよ！？
