冷戦,ホワイトデー
智絵里,Ｐさん、千秋ちゃんがチョコを入れてた小箱をいつも机の上に置いて仕事してるんです。時々、その中にちっちゃいチョコレートを入れて食べてたりもしてます
千秋,……そ、そうなの
智絵里,はい。何度も言いますけれど、それだけ千秋さんはＰさんに大切に思われてます
千秋,ふ、ふーん……えへへ。はっ。べ、別にそこまで嬉しくないわね
智絵里,今思いっきり嬉しそうに笑ってた……
千秋,こほん。じゃあどうして、私へのホワイトデーのお返しがこんなに遅いのよ
智絵里,それは……ええと……智香さんのお返しと同じ理由じゃないでしょうか
千秋,智香へのお返し？
智絵里,さっきＰさん言ってたじゃないですか。智香さんはとても凝ったチョコを渡してくれたから、自分も智香さんに似合うのを探してたって
千秋,……つまり、そういう事って思っていいの？
智絵里,十分ありえます。Ｐさんは凄く真面目な人ですから、大切な千秋さんからのチョコには、ちゃんと時間をかけたお返しをしたいと
千秋,……なら、もう少し待ってみようかしら
智絵里,はい。その意気ですよ
千秋,智絵里
智絵里,何ですか？
千秋,……ありがとう。バレンタインデーも、今日も、今までも全部
智絵里,……私も
千秋,え？
智絵里,私も、千秋さんを大切に思ってる一人、ですから。当たり前です
千秋,なら、いつか今日のお返しをさせて。ホワイトデーのお返しのお返しなんて、少しおかしいかもしれないけれど。貴方が迷った時、貴方が立ち止まった時。貴方の背中を押せるなら、私を頼って
智絵里,……その気持ちだけで、十分、私は幸せですよ
千秋,でも
智絵里,だって私は……。いつだって、千秋さんに背中を押されてますから
Ｐ,……よ
千秋,……遅い
Ｐ,ごめんな。お返しに手間取ってさ
千秋,これだけ私を待たせたって事は、期待してもいいのね？
Ｐ,もちろんだ
千秋,なら、早速見せてもらいましょう。貴方の、時間をかけたお返しを
Ｐ,……俺さ、料理できないんだ
千秋,え？突然何を……
Ｐ,千秋と一緒だよ
千秋,私は出来るけれど？
Ｐ,智絵里から聞いた。猛特訓したんだろ
千秋,……あの子
Ｐ,今回のチョコだって、そうだったんだろ？智香と、智絵里と、特訓して作り上げたチョコ
千秋,……そうよ。女の子なのにお菓子の一つも作れない私を笑えばいいじゃない
Ｐ,んな事しねぇよ。でな。俺も見習ってみた
千秋,……それって
Ｐ,智絵里に教え込まれて、智香に応援されて、どうにかこうにか形になったクッキーだ
千秋,貴方の、手作りって事？
Ｐ,……そう、なるかな
千秋,そ、そう……
Ｐ,もちろんだけど、これを渡すのも、食べるのも、千秋しかいないよ。他の子には渡してないし、食べさせてない。智絵里や智香にも味見させてない。だから俺も内心ドキドキだ
千秋,……つまり、私が毒見役って事？
Ｐ,ちょ、そういう事じゃ
千秋,ふふっ。分かってるわよ。つまり、本当の意味でのお返し、と
Ｐ,そういう事だ
千秋,ねぇ、ここで食べてみてもいいかしら
Ｐ,作った本人を目の前にして食うか
千秋,貴方のリアクションが楽しみだから
Ｐ,どＳだな
千秋,そう？……見た目は、凄く普通ね
Ｐ,可愛らしくしようとしたら失敗すると思ってな。できるだけシンプルに仕上げてみた
千秋,……いただきます
Ｐ,……召し上がれ
