双葉杏,……うわ、降ってきたよ。めんどいなぁ
杏,あああ！もう！！！。ちょっとまって！
ビックリ都,え？
杏,そんなビックリ箱みたいな書き方。今の杏の状態なら、犯人が目の前にいればわかりそうだし……。……とりあえず、みちる呼んできてくれない？
みちる呼ぶ都,はいっ！
杏,なんでカタコト？
ミチルヨンダミヤコ,来てもらいました！
杏,なんで悪化してるの！？！？
最後の2個は同時に呑み込んだことをすっかり忘れている大原みちる,杏さん！聞いてください！
杏,お前もうホントふざけるなよ！！！！！
いきなりの大きい声に驚く2人,！？
杏,解決だよ解決！！！帰れ！！！
よくわからないみちる,？
なぜ怒ってるのか全然わからなくて怖い都,す、すみませんっ！？
杏,……いや、これ都は完全に被害者だけどね？
パンが食べたいみちる,それで、あたしのパンは……？
杏,……説明しても証明手段ないし。……今さら1個戻ってきてもしょうがないでしょ？次のパンを買う時に1個多く買えばいいじゃん。事務所で犯人捜しなんてむなしいよ
納得みちる,なるほど！
杏,苗字かよ
感心都,さすがです！
杏,苗字かよ。とんだ難事件だったよ……
カワイイ輿水幸子,こんにちは！今日もボクはカワイイですね！
杏,あー、はいはい、カワイイカワイイ
雑でもカワイイと言われて嬉しい幸子,フフーン！杏さんもボクには及びませんが中々ですよ！
杏,んー……
反応が良くないので疲れてるのではないかと推測する幸子,……杏さん、お疲れですか？
杏,ちょっとね……
構ってもらえないのは悲しいが休んでほしいので勉強の準備をする幸子,ではボクは宿題をやるので、杏さんは休んでいていいですよ！
杏,あー、悪いねー……幸子でよかった……
宿題をやる幸子,……
杏,……
宿題をやる幸子,……
杏,……
わからない問題がでてきた幸子,……？
杏,……
詰まった幸子,……
杏,……
悩む幸子,……
杏,……
杏に聞けばわかると思うが、ゆっくり休ませたいと思い頼らない幸子,……
杏,……
全く糸口が掴めない幸子,……
杏,……
頑張る幸子,……
杏,……
諦める幸子,……
杏,もう！！！しょうがないなあ！！！！！
ビックリ幸子,あ、杏さん！？
杏,そのビックリした時の表記、流行ってるの！？ほら！問題見せて！
SachikowhoissurprisedbyAnzu'sbehavior,え？え？？
杏,急に英語で！？関係代名詞who！？
数学の教科書を見せる幸子,え？英語ではなくて数学ですけど……
杏,こっちの話！！！
杏の機嫌が悪そうなので1度で聞き取らなきゃと身構える幸子,こ、この問題なんですが
杏,なんか気を遣わせてる……。こういう問題は、こっちに補助線を引いて考えるんだよ
目からうろこしみず幸子,なるほど！
杏,語呂がいい
無事に宿題が終わりレッスンへ向かう幸子,ありがとうございました。お疲れなのに……
杏,いいよいいよ……アレじゃ寝るに寝れないし
"カワイイ"幸子,では、行ってきますね！
杏,……やっぱり幸子はこれが似合うね。今度、余裕がある時は構ってあげよっと……。……あー、ダメだ、大声出したから眠くなってきちゃった。ちょっと……、ひと眠り……、しよ……う……。……
？？,！
杏,……
？？,……
杏,……
？？,……
杏,……ん……？
？？,！！！
杏,はっ！？誰！？
毛布を手に持つ神谷奈緒,あ……！えっと……、その……
杏,なんだ、奈緒か……。あれ？毛布？
寝てる杏に毛布を掛けようとしたが見つかってしまい、恥ずかしいけど言い訳が苦しい奈緒,こ、これは……、その……、お、落ちてたんだ！！！
杏,ホントに苦しいな！別にいいじゃん善意なんだし！！！
優しい奈緒,そ、そうだな……、毛布くらい掛けないと風邪ひくぞ？はい
杏,ありがと……
優しい・眉毛・奈緒,じゃ、あたしは行くから
杏,善人に限っていじるのやめない？
眉毛・眉毛・眉毛,？
杏,もう説明でもなんでもないよ。誹謗中傷だよ。もうちょっと眠ろう……。……
？？？,！
杏,……
？？？,……
杏,……
？？？,……
杏,……ん……？
？？？,！！！
杏,またか！？誰！？
杏のおでこに積み上げるためのマカロンを持っている緒方智絵里,え、えっと……
杏,智絵里ちゃん！？
杏のおでこにマカロンを積み上げようとしたが見つかってしまい、しかも言い訳がサイコな智絵里,こうすれば運がよくなるって……、ガゼッタ・デロ・スポルト誌に書いてあった気が……
杏,状況から発言まで全部意味わかんないね！？
なんとか乗り切りたい智絵里,マカロン……、食べる？
杏,よく言えるな！！！
褒められて照れる智絵里,えへへ……
杏,どの発言でそう思ったの！？
日本経済と年金制度の未来を憂う智絵里,じゃあ、お仕事に行ってくるね！
杏,最後まで杏と会話のキャッチボールをしてくれなかったね智絵里ちゃん。疲れた……。というか、もう雨も上がってるし、帰るかな……。これ以上ここにいたら身がもたないよ……
疲れた杏,帰り支度しよっと
杏,……！？あれ？い、今、違和感が……。気のせい……？
警戒する杏,大丈夫かな……
驚く杏,うわ！まただ！
たじろぐ杏,なになになに！？なんなのコレ！
狼狽える杏,ち、ちょっと！だ、誰か！
意識が薄れる杏,ち……ちょ……、助け……
杏,。うわああああああああああああああ！！！！！！
奈緒,うわ！ど、どうしたんだ！？うなされてたけど……
杏,な、奈緒……。あれ？毛布？
奈緒,あ、ああ、毛布くらい掛けないと風邪ひくぞ？はい
杏,ってか！ふ、普通だ！
奈緒,はぁ？というかもう遅いから、起きたなら帰った方がいいんじゃないか？
杏,ってことは……。夢オチ……かよ……
奈緒,あ、テレビつけていいか？
杏,どうぞ……
奈緒,サンキュ
杏,！！！？？？
智絵里,あ！杏ちゃん、奈緒さん、こんにちは！
杏,！！！？？？
くどい,確信
