白菊ほたる,ひっ
ほたる,でも、プロデューサーさんも、一緒に移籍するって……
Ｐ,俺はしない
ほたる,……そうですよね、私みたいな疫病神とは、一緒になんて
Ｐ,白菊！
ほたる,す、すみません……
Ｐ,違う。謝るのは、俺のほうだ。お前を幸せにしてやれなくて、すまなかった。疫病神は、俺のほうだ。お前は絶対に幸せになれる。それだけのことをしたんだ。俺が努力を怠ったんだ。お前の足を引っ張ったんだ
ほたる,違います……プロデューサーさんは、私の幸運です！
Ｐ,この話は終わりだ。早く帰れ
ほたる,――なら、最後に聞いてください
Ｐ,なんだ
ほたる,今まで、お世話になりました。ライブを開いてくれて嬉しかったです……。本当に……ありがとうございました！
Ｐ,あいつから、謝罪じゃなくて、お礼の言葉を聞けるとはな。頑張れよ、白菊。……悔しいなぁ
ほたる,そうですね。○○さんのおかげです。それなら……褒めるべきは私じゃないですよ。私がずっと頑張ってこれたのは、プロデューサーさんのおかげですから。弱気になったとき、怒鳴り声が聞こえてくるんですよ。ふふっ、そうですよね……今だって、頑張れてるのは、きっと
