担任,はい、今回はここまで。気をつけて帰れよー
シキ,まあねー……ん？
フレデリカ,奏ちゃん！出番だよ！
奏,任せてちょうだい
フレデリカ,相変わらずルージュの引き方がざつー！
シキ,かっこよくてあたしは好きだよ？
フレデリカ,でもなんかルージュを引くより口から流れる血を拭うぐらいの勢いじゃない？
シキ,確かに、でもそれはそれでなんかいいね
フレデリカ,確かに
ハヤミン,今回の相手はアレ？初めて見るタイプね。3匹ぐらいいるかしら
怪物,ﾌﾄ-!
フレデリカ,あれはシロフウトーだよ。単体ではバクシーより弱いんだけど数が多いんだ
シキ,これからまた増えるだろうけど気をつけてね～
ハヤミン,こんな敵………。相手に……。ならないわよ！
シキ,おー、つよーい
フレデリカ,でもこれからだよ！
シロフウトー,ｼﾛ-...
ハヤミン,吹っ飛ばされたシロフウトーが分裂してまた増えた……！？
フレデリカ,シロフウトーがエネルギー切れになるまでまた分裂するんじゃないかなぁ……しらみつぶしでやっていくしかないけど頑張って！
ハヤミン,くっ……。数が多すぎる…………このままじゃ飲まれてしまうわね……
？？,はあああっ！
ハヤミン,あれは……槍？
シキ,やっときた……遅かったねミナミン！
ミナミン,詳しいことは後。ここからは私も手を貸します
ハヤミン,了解、助かるわ
ミナミン,ミナミン！行きます！
フレデリカ,ハヤミンは？
ハヤミン,う……。は、ハヤミン///行きます！！！！！！！！！！
シキ,いい声だねー
フレデリカ,ねー。ヤケになってたみたいだけど
ミナミン,だいぶ片付いてきたみたい……一気に行きましょう！
ハヤミン,了解
ミナミン,リオースヴァルハラ！。そっちもやっちゃって！
ハヤミン,ふんっ！
ミナミン,これで終わりっと、おつかれさま。最後はいい一撃だったけど名前とかつけてないの？
ハヤミン,おつかれさま。ええ、名前は考えたことなかったわね
フレデリカ,あれ？カナデちゃんこの前までマジカルスーパーパンチ！とか言ってなかった？
ハヤミン,ちょ、ちょっと！
シキ,ぷぷ……マジカルスーパーパンチ！だって
ミナミン,え、いや、えっと、かっこいいし、かわいい？と思いますよ
ハヤミン,無理なフォローはいいわよ……さっさとここを離れましょう。ここは人目も多いし
シキ,はーい！マジカルスーパーパンチ！
ハヤミン,ぐぬぬ……
フレデリカ,フレちゃんは茶目っ気があっていいと思うんだけどな～
奏,で、結局ここなのね
美波,改めて自己紹介を。私は新田美波。この大学で大学生をしています
奏,速水奏。高校生よ
美波,高校生……えっ！
奏,変かしら
美波,変っていうか……大人びてるなあって。よろしくお願いします！奏さん！
奏,よろしく。貴方の方が年上なのにさんはおかしいと思うけど
美波,んー……でもなんだか年上って印象が抜けなくて
奏,……まあいいわよ
フレデリカ,はいはーい！そろそろフレちゃんにも話させてね！
美波,シキちゃんは？
フレデリカ,寝ちゃった
奏,寝るって……いいのそれ
フレデリカ,いいのいいの、たぶん
美波,たぶん……
フレデリカ,それで、これからだけど怪物と戦うときは2人で戦って欲しいなって
美波,2人で？
フレデリカ,そう！最近強い怪物も増えてきてるみたいだし、念のためね。2人の方が早く終わるだろうし
奏,今日なんて数の多すぎて困ってたから美波が来てくれて助かったわ
美波,私こそ授業で遅れてたのを持ちこたえてくれてありがとう
フレデリカ,はいはいそこまで。で、2人ともまだ初対面だし仲を深めるためにも遊びに行ったりしてみたらどうかな？2人のコンビネーションは大事だよー？
奏,2人で……
美波,遊びに……
