※,女子高生の無駄づかい
ヤマイ,そ、そんな急に言われても困る……僕にはドラゴニア王国のリアーナ姫という忠誠を誓った相手が……！//
マジメ,なんで赤くなってるんですか？
ヤマイ,じゃ、じゃあ……僕とマジメが結婚するのが一にのまえ
マジメ,えっ、私と山本さんが結婚？
ヤマイ,えっ、そう言う話だろ？
マジメ,えっと……その場合は同性結婚になるので日本では無理です
ヤマイ,無理なの！？
マジメ,法的に認められてませんから
ヤマイ,くっ……なんてこった……
マジメ,そんなに残念がらなくても……。まあどうしてもというなら同性結婚が認められている国、例えばイギリスとか……。私と山本さんがイギリス国籍を取ってからそこで結婚することで……
ヤマイ,イギリスで結婚……
マジメ,いえ、ちょっと待ってください！
ヤマイ,？
マジメ,この法制度なら……イギリス国籍さえ取ってしまえば……その方法は……なるほど……。朗報です山本さん、一にのまえ
ヤマイ,本当か！？
マジメ,調べてみるとイギリスでは届け出さえすれば自由に氏名の変更は認められるそうです！独身でも！
ヤマイ,え、独身でも？
マジメ,ええ、ですのでまずはイギリスに移住してください
ヤマイ,え、移住？
マジメ,そして5年以上継続して生活してください
ヤマイ,5年……
マジメ,すると永住権取得申請の権利を獲得できるのでそれで永住権を得た後、英語能力とイギリスに関する知識の試験を受け、それに合格すれば国籍取得の申請を行う権利が手に入ります、そして申請後に国によるもろもろの検査を無事通れば晴れてイギリス国民です！
ヤマイ,ああ……
マジメ,イギリス国民になってしまけば後は簡単です、書類一枚で簡単に名字の変更ができますよ！
ヤマイ,ああ……
マジメ,一にのまえ
ヤマイ,……
マジメ,そうと決まればやはり勉強です！英語の勉強！さあ目指せイギリスです！
ヤマイ,……。……
マジメ,……？山本さん？
ヤマイ,やっぱ僕、山本でいいや……
マジメ,えっ……
ヤマイ,帰るわ……
マジメ,えぇ……
ヤマイ,鷺宮(さぎのみや)もいいよな……響きといい字面といい
マジメ,それには全面的に同意です……！
ロボ,？
